x50_percent,x90_percent,x95_percent,x99_percent,x99_9_percent,x100_percent,spp,source,tot_catch,tot_npp_catch
0,923.7366660000001,7421.926205999977,49082.35436640015,74536.25701464021,77364.46842,panulirus pascuensis,iucn,658.14091,104287.82322
81.75078500000001,1089.212615,19189.354835,26383.1427675,26773.21364175,26816.55485,cruriraja andamanica,iucn,6445.1319300000005,57223.58715
42.56906,175.932944,3249.542247999972,23737.33821439999,53298.901499199965,67023.00124,illex argentinus,am,1592859.48512,7663013.06685
61.57263,1837.5945519999996,3309.4951199999996,10341.886363999916,24777.666603360165,26903.04982,okamejei heemstrai,iucn,19655.2135,128701.75613
1.79869,121.40652800000011,433.70650999999975,7025.930414799963,38969.26710270031,95823.9706,panulirus argus,iucn,147832.36616,6706338.6963
3.96611,834.3964619999991,1843.0722719999867,6546.452118200003,15029.769845160015,58552.96318,ethmalosa fimbriata,am,2851951.92468,1654626.41069
8.23819,936.3876879999991,2084.5472639999994,6254.957273199934,16310.651642229986,58552.96318,ethmalosa fimbriata,iucn,3912545.2171,2179191.42003
1.056515,115.01099500000001,365.6447825,6189.482374500008,36612.1635684495,112237.58945,panulirus argus,am,135971.08418,5816937.04009
29.22371,928.8614340000036,2108.0891810000003,5830.130622399969,11526.107014620138,17014.20402,opisthonema libertate,am,624519.83308,1975427.67632
0.01095,2169.6181960000004,3177.9563859999994,5723.975882400003,30391.862658079597,59642.49308,engraulis ringens,iucn,12333131.1406,3830928.58736
0.934175,260.17899,893.7032044999992,4787.657069300007,15064.924812201069,120337.60818,sardina pilchardus,iucn,4766133.3756,6211876.81153
0.08523,436.61304400000006,1156.696029999997,4109.243603599994,8899.231945180127,20186.61124,opisthonema libertate,iucn,1018487.71323,2961134.68341
0,1030.511428,1889.3162749999992,4106.930396199999,12080.761436539864,20311.59023,tenualosa ilisha,iucn,1056060.29315,365108.52667
0.01918,130.94460600000008,483.8311139999996,4027.417805199975,37248.87337223995,80570.05889,strombus pugilis,am,94473.69276,3284923.64143
0.14984999999999998,266.41774000000004,911.759605,3660.5421729999916,11178.17385340016,14323.33405,mizuhopecten yessoensis,am,478748.41207,395615.34750000003
1.61865,270.6617840000001,684.2832489999955,3456.6988955999223,8862.738583180068,89804.18497,sardina pilchardus,am,4306368.40505,6039148.19007
0,66.414195,1375.8012724999999,3310.435788500001,11639.381586248632,67312.85968000001,engraulis ringens,am,10778486.54041,3310944.59078
102.778105,640.950465,992.3896269999996,3208.549924500001,7602.80871986995,23353.727779999997,engraulis japonicus,iucn,3383823.23191,6822979.0467
41.005985,1351.8223610000016,1832.6283554999995,3048.266919599999,8516.708104849331,34341.78514,brevoortia patronus,iucn,1544626.57179,2097000.36053
0,232.101205,632.7667799999999,2740.2563379999415,10668.568136699962,28152.78958,pollachius virens,am,1421246.3344,2677089.29011
2.93816,188.2822340000003,470.3430699999996,2077.0855996,5169.1953874799965,5901.1187500000005,trachurus picturatus,am,145688.43006,1319891.74927
0.036500000000000005,4.352477000000006,239.91093899999973,2075.808423799989,6084.327130570209,13743.20281,normanichthys crockeri,am,111416.23897,71562.92696
0,527.3929660000006,1010.7724739999978,1858.6285027999952,2395.6732512799977,2455.34489,apristurus investigatoris,iucn,229.84783,8226.04447
0.12407,22.05224800000004,120.46739000000048,1843.3562352000013,2965.613384880001,3066.7554,etmopterus polli,iucn,2011.78883,68957.9704
0.01756,7.064372999999995,101.22342750000017,1841.016757200022,7087.511883000006,11022.55607,placopecten magellanicus,am,434718.04734,564783.03614999994
65.71697,350.98735,996.04223,1840.080354000003,2579.0425404000016,2661.14945,amblyraja reversa,iucn,2394.15739,15430.37343
0.634935,199.85878100000025,588.283664999997,1818.2850120999879,4310.972007620144,32092.55684,sprattus sprattus,iucn,1936294.51656,3916502.34459
25.394365,174.8950880000001,474.1083354999999,1781.0888158999974,3050.6396608299983,4835.4237,sardinella longiceps,am,561499.84635,627508.62877
0,35.87752799999996,364.06468249999955,1729.7052832000059,3944.843782789957,45465.4143,crassostrea virginica,am,2529849.40249,2329691.91013
298.95079,1442.3556640000002,1687.3512230000001,1692.3648902,1694.48760302,1694.72346,raja maderensis,iucn,66.88209,16597.00319
2.8513200000000003,247.316735,338.2634225,1685.3532184999856,4099.275835150223,47871.521609999996,merluccius hubbsi,am,1184087.92235,2057858.92847
0.00878,586.20758,906.39298,1577.9309359999984,5767.876849600028,11923.560870000001,brevoortia patronus,am,1000162.28863,875325.57078
0.003215,243.7982990000001,444.4045979999987,1539.594889199999,4415.1872660000545,4507.51443,engraulis capensis,iucn,871488.47853,363572.50804
1.81334,87.37872400000003,145.76706399999978,1501.7661039999998,5289.586054860086,24057.983220000002,pseudotolithus elongatus,am,236217.88773000002,222378.33135
6.94212,9.440588,10.070535999999999,1422.351356399997,1868.8580726400003,1918.46993,sinobatis brevicauda,iucn,147.00499,2061.61682
0.02894,261.44467,434.86772499999995,1394.107358,6186.517887099965,56826.23345,pleoticus muelleri,am,318251.82758,451820.11699
1.163195,335.452465,569.0690704999987,1379.5473242000005,4678.889221289934,12097.1844,engraulis japonicus,am,2029900.93206,4317148.29158
0.11104,100.17503900000003,203.92707049999999,1311.806002299998,3747.8800840400727,9805.58841,engraulis encrasicolus,iucn,1418408.84999,3560740.41707
13.16106,107.99914000000004,179.39600799999994,1293.0268853999976,2576.8617198799598,3226.03398,beringraja cortezensis,iucn,3049.30883,27592.49294
385.74255,1071.5318510000002,1182.6537304999997,1271.5512340999996,1291.55317241,1293.77561,sinobatis andamanensis,iucn,81.26295,2065.26071
