project,country,site,latitude,longitude,sample_date,hard_coral_pit,soft_coral_pit
Taka Bonerate 2015,Indonesia,Taka Gantarang 1,-6.44483,121.2271,2015-04-13,31.33,7.5
Taka Bonerate 2015,Indonesia,Taka Gantarang 2,-6.453174027,121.285359,2015-04-13,29.67,20.5
Taka Bonerate 2015,Indonesia,Taka Kayu Bulan Barat,-6.770354966,121.041817,2015-04-18,20.33,1.17
Taka Bonerate 2015,Indonesia,Taka Kayu Bulan Selatan,-6.7748309860000004,121.063497,2015-04-18,21.17,4.33
Taka Bonerate 2015,Indonesia,Taka Kayu Bulan Utara,-6.75829,121.05997,2015-04-18,27.5,2.17
Taka Bonerate 2015,Indonesia,Taka Kumai Barat,-6.87341,121.1457,2015-04-24,30.67,3.17
Taka Bonerate 2015,Indonesia,Taka Kumai Selatan,-6.873409962,121.145699,2015-04-26,26,10.83
Taka Bonerate 2015,Indonesia,Taka Kumai Utara,-6.89657704,121.150273,2015-04-24,55.17,2.5
Taka Bonerate 2015,Indonesia,Taka Lamongan,-6.542506004,121.234578,2015-04-11,19,25.67
Taka Bonerate 2015,Indonesia,Taka Lasalimu,-6.5849,121.18877,2015-04-07,16.83,36.83
Taka Bonerate 2015,Indonesia,Taka Malori Selatan,-6.89226,121.0464,2015-04-19,64.33,8
Taka Bonerate 2015,Indonesia,Taka Malori Utara,-6.891774042,121.044765,2015-04-19,72.33,10
Taka Bonerate 2015,Indonesia,Taka Rajuni,-6.6057,121.03266,2015-04-14,62,4.5
Taka Bonerate 2015,Indonesia,Taka Sirobe,-6.64884,121.20457,2015-04-07,31,24.17
Taka Bonerate 2015,Indonesia,Taka Taburi,-6.843416998,121.286401,2015-04-23,45.67,9.5
Taka Bonerate 2015,Indonesia,Taka Takere,-6.68496,121.20734,2015-04-07,16.17,23.5
Taka Bonerate 2015,Indonesia,Tambuna Besar,-7.01067,121.20885,2015-04-21,25.67,7.17
Taka Bonerate 2015,Indonesia,Tarupa Besar,-6.50876,121.1272,2015-04-12,31.83,12.5
Taka Bonerate 2015,Indonesia,Tarupa Kecil,-6.451674001,121.138145,2015-04-12,25.5,17.83
Taka Bonerate 2015,Indonesia,Tinabo Besar,-6.56134,121.10214,2015-04-06,51.67,7.17
Taka Bonerate 2015,Indonesia,Tinabo Kecil 1,-6.573907966,121.075189,2015-04-06,22.17,24.83
Taka Bonerate 2015,Indonesia,Tinabo Kecil 2,-6.564304987,121.081806,2015-04-06,25.83,0.83
Taka Bonerate 2015,Indonesia,Tinanja Timur,-6.55469,121.17685,2015-04-11,25,45.33
Taka Bonerate 2015,Indonesia,Tinanja Utara,-6.541016959,121.169863,2015-04-11,3.83,33.17
