worms_sciname,am_sciname,am_sid,iucn_sid
epinephelus itajara,epinephelus itajara,Fis-22720,195409
epinephelus morio,epinephelus morio,Fis-22721,44681
epinephelus striatus,epinephelus striatus,Fis-22722,7862
balistes vetula,balistes vetula,Fis-29302,2539
argentina sphyraena,argentina sphyraena,Fis-29289,NA
benthosema glaciale,benthosema glaciale,Fis-22718,198611
callionymus reticulatus,callionymus reticulatus,Fis-29314,198554
callionymus lyra,callionymus lyra,Fis-29313,198634
clupea harengus,clupea harengus,Fis-29344,155123
gadiculus thori,gadiculus thori,Fis-3399,NA
glyptocephalus cynoglossus,glyptocephalus cynoglossus,Fis-22723,NA
lepidorhombus boscii,lepidorhombus boscii,Fis-22724,198729
lepidorhombus whiffiagonis,lepidorhombus whiffiagonis,Fis-22725,198730
merlangius merlangus,merlangius merlangus,Fis-22726,198585
merluccius merluccius,merluccius merluccius,Fis-22727,198562
micromesistius poutassou,micromesistius poutassou,Fis-22729,NA
microchirus variegatus,microchirus variegatus,Fis-22728,198736
molva molva,molva molva,Fis-22730,NA
pollachius pollachius,pollachius pollachius,Fis-22732,18125103
anguilla anguilla,anguilla anguilla,Fis-22711,60344
agonus cataphractus,agonus cataphractus,Fis-22710,18227168
ammodytes marinus,ammodytes marinus,Fis-29267,NA
ammodytes tobianus,ammodytes tobianus,Fis-29269,18155960
aphia minuta,aphia minuta,Fis-22712,NA
argyropelecus affinis,argyropelecus affinis,Fis-29291,190118
arnoglossus laterna,arnoglossus laterna,Fis-22714,198724
arnoglossus imperialis,arnoglossus imperialis,Fis-22713,154687
arnoglossus thori,arnoglossus thori,Fis-29297,198556
chelidonichthys cuculus,chelidonichthys cuculus,Fis-22715,198750
atherina presbyter,atherina presbyter,Fis-29300,194991
melanolagus bericoides,melanolagus bericoides,Fis-139729,190485
belone belone,belone belone,Fis-22717,198573
parablennius gattorugine,parablennius gattorugine,Fis-22731,185128
blennius ocellaris,blennius ocellaris,Fis-29304,185126
brosme brosme,brosme brosme,Fis-22740,NA
buenia jeffreysii,buenia jeffreysii,Fis-22741,18159126
engraulis ringens,engraulis ringens,Fis-29372,183775
orthopristis chrysoptera,orthopristis chrysoptera,Fis-22701,192937
coryphaena hippurus,coryphaena hippurus,Fis-22215,154712
coryphaena equiselis,coryphaena equiselis,Fis-29358,170350
abalistes stellaris,abalistes stellaris,Fis-53544,NA
alectis indica,alectis indica,Fis-8344,20253300
cephalopholis cruentata,cephalopholis cruentata,Fis-22703,132761
epinephelus adscensionis,epinephelus adscensionis,Fis-22704,132819
buglossidium luteum,buglossidium luteum,Fis-22742,155044
capros aper,capros aper,Fis-22743,198557
centrolabrus exoletus,centrolabrus exoletus,Fis-22745,187803
cepola macrophthalma,cepola macrophthalma,Fis-22746,198649
chirolophis ascanii,chirolophis ascanii,Fis-22749,NA
coris julis,coris julis,Fis-22750,187752
symphodus melops,symphodus melops,Fis-22769,187748
crystallogobius linearis,crystallogobius linearis,Fis-22751,198654
ctenolabrus rupestris,ctenolabrus rupestris,Fis-22752,187751
cyclopterus lumpus,cyclopterus lumpus,Fis-29361,NA
dicentrarchus labrax,dicentrarchus labrax,Fis-22755,135606
echiodon drummondii,echiodon drummondii,Fis-62865,18138815
engraulis encrasicolus,engraulis encrasicolus,Fis-22756,198568
entelurus aequoreus,entelurus aequoreus,Fis-22757,18258072
eutrigla gurnardus,eutrigla gurnardus,Fis-22760,NA
gadus morhua,gadus morhua,Fis-29394,8784
caranx hippos,caranx hippos,Fis-22744,190458
gobius niger,gobius niger,Fis-29403,198570
gobius paganellus,gobius paganellus,Fis-29404,198662
gobiusculus flavescens,gobiusculus flavescens,Fis-22761,18159817
gymnammodytes semisquamatus,gymnammodytes semisquamatus,Fis-22762,18155963
helicolenus dactylopterus,helicolenus dactylopterus,Fis-22764,195093
istiophorus platypterus,istiophorus platypterus,Fis-22766,170338
istiophorus albicans,istiophorus albicans,Fis-22765,NA
chanos chanos,chanos chanos,Fis-22748,60324
aphareus furca,aphareus furca,Fis-22737,194289
aphareus rutilans,aphareus rutilans,Fis-29276,194360
aprion virescens,aprion virescens,Fis-29278,194379
apsilus dentatus,apsilus dentatus,Fis-22219,155126
apsilus fuscus,apsilus fuscus,Fis-29288,194364
etelis carbunculus,etelis carbunculus,Fis-29375,154999
lamna nasus,lamna nasus,Fis-22768,11200
acanthocybium solandri,acanthocybium solandri,Fis-22735,170331
cetorhinus maximus,cetorhinus maximus,Fis-22747,4292
allothunnus fallai,allothunnus fallai,Fis-29265,170349
acanthostracion quadricornis,acanthostracion quadricornis,Fis-22736,193647
auxis rochei,auxis rochei,Fis-22738,170355
auxis thazard,auxis thazard,Fis-22739,170344
cybiosarda elegans,cybiosarda elegans,Fis-22754,170321
euthynnus affinis,euthynnus affinis,Fis-22758,170336
euthynnus alletteratus,euthynnus alletteratus,Fis-22759,170345
euthynnus lineatus,euthynnus lineatus,Fis-29391,170320
alepisaurus ferox,alepisaurus ferox,Fis-29263,154820
gasterochisma melampus,gasterochisma melampus,Fis-29402,170340
alosa alosa,alosa alosa,Fis-22770,NA
conger esculentus,conger esculentus,Fis-22773,199019
grammatorcynus bicarinatus,grammatorcynus bicarinatus,Fis-21661,170308
grammatorcynus bilineatus,grammatorcynus bilineatus,Fis-21662,170358
alosa immaculata,alosa immaculata,Fis-2,907
alosa immaculata,alosa immaculata,Fis-2,98470072
gymnosarda unicolor,gymnosarda unicolor,Fis-22776,170342
katsuwonus pelamis,katsuwonus pelamis,Fis-22777,170310
orcynopsis unicolor,orcynopsis unicolor,Fis-22805,170319
rastrelliger brachysoma,rastrelliger brachysoma,Fis-22812,170318
rastrelliger faughni,rastrelliger faughni,Fis-29499,170324
rastrelliger kanagurta,rastrelliger kanagurta,Fis-22813,170328
sarda australis,sarda australis,Fis-22815,170332
sarda chiliensis,sarda chiliensis,Fis-21631,170352
sarda orientalis,sarda orientalis,Fis-22817,170313
sarda sarda,sarda sarda,Fis-22818,155096
scomber australasicus,scomber australasicus,Fis-29506,170329
scomber japonicus,scomber japonicus,Fis-29507,170306
scomber scombrus,scomber scombrus,Fis-29508,170354
scomberomorus brasiliensis,scomberomorus brasiliensis,Fis-29509,170335
scomberomorus cavalla,scomberomorus cavalla,Fis-22819,170339
scomberomorus commerson,scomberomorus commerson,Fis-22820,170316
scomberomorus concolor,scomberomorus concolor,Fis-22821,20047
scomberomorus guttatus,scomberomorus guttatus,Fis-22822,170311
scomberomorus koreanus,scomberomorus koreanus,Fis-22823,170343
scomberomorus lineolatus,scomberomorus lineolatus,Fis-22824,170353
scomberomorus maculatus,scomberomorus maculatus,Fis-22825,170323
apogonichthyoides taeniatus,apogonichthyoides taeniatus,Fis-3059,NA
scomberomorus munroi,scomberomorus munroi,Fis-29510,170330
argyropelecus aculeatus,argyropelecus aculeatus,Fis-29290,18253276
scomberomorus niphonius,scomberomorus niphonius,Fis-22826,170356
scomberomorus plurilineatus,scomberomorus plurilineatus,Fis-29511,170348
scomberomorus queenslandicus,scomberomorus queenslandicus,Fis-29512,154946
scomberomorus regalis,scomberomorus regalis,Fis-22827,170327
scomberomorus semifasciatus,scomberomorus semifasciatus,Fis-22828,170337
scomberomorus sierra,scomberomorus sierra,Fis-29513,170325
scomberomorus sinensis,scomberomorus sinensis,Fis-22829,170346
somniosus microcephalus,somniosus microcephalus,Fis-22831,60213
squalus acanthias,squalus acanthias,Fis-29532,44168
squalus acanthias,squalus acanthias,Fis-29532,44169
squalus acanthias,squalus acanthias,Fis-29532,61409
squalus acanthias,squalus acanthias,Fis-29532,61410
squalus acanthias,squalus acanthias,Fis-29532,61411
squalus acanthias,squalus acanthias,Fis-29532,61414
squalus acanthias,squalus acanthias,Fis-29532,61415
squalus acanthias,squalus acanthias,Fis-29532,91209505
pseudobatos percellens,pseudobatos percellens,Fis-171716,161373
scomberomorus tritor,scomberomorus tritor,Fis-22830,170326
thunnus alalunga,thunnus alalunga,Fis-22832,21856
thunnus alalunga,thunnus alalunga,Fis-22832,21861
thunnus alalunga,thunnus alalunga,Fis-22832,21862
thunnus albacares,thunnus albacares,Fis-22833,21857
thunnus atlanticus,thunnus atlanticus,Fis-22834,155276
thunnus maccoyii,thunnus maccoyii,Fis-22835,21858
thunnus obesus,thunnus obesus,Fis-22836,21859
thunnus thynnus,thunnus thynnus,Fis-49220,21860
thunnus tonggol,thunnus tonggol,Fis-22838,170351
pseudobatos planiceps,pseudobatos planiceps,Fis-171717,44584
lutjanus guttatus,lutjanus guttatus,Fis-22779,183777
lutjanus inermis,lutjanus inermis,Fis-22780,183282
lutjanus jocu,lutjanus jocu,Fis-22781,190221
lutjanus jordani,lutjanus jordani,Fis-22782,183780
lutjanus kasmira,lutjanus kasmira,Fis-22783,194337
lutjanus lemniscatus,lutjanus lemniscatus,Fis-22784,194352
lutjanus lunulatus,lutjanus lunulatus,Fis-22785,194367
lutjanus lutjanus,lutjanus lutjanus,Fis-29439,194335
lutjanus madras,lutjanus madras,Fis-22786,194369
lutjanus mahogoni,lutjanus mahogoni,Fis-22787,190083
lutjanus malabaricus,lutjanus malabaricus,Fis-22788,194346
lutjanus monostigma,lutjanus monostigma,Fis-22790,194376
callorhinchus capensis,callorhinchus capensis,Fis-22772,NA
lutjanus notatus,lutjanus notatus,Fis-22791,154742
lutjanus novemfasciatus,lutjanus novemfasciatus,Fis-29441,183311
lutjanus peru,lutjanus peru,Fis-22792,183334
lutjanus purpureus,lutjanus purpureus,Fis-22220,NA
lutjanus quinquelineatus,lutjanus quinquelineatus,Fis-22793,194359
lutjanus rivulatus,lutjanus rivulatus,Fis-22794,194356
elops saurus,elops saurus,Fis-29369,191822
lutjanus russellii,lutjanus russellii,Fis-53903,194334
lutjanus sanguineus,lutjanus sanguineus,Fis-22796,194392
lutjanus sebae,lutjanus sebae,Fis-22797,194343
lutjanus semicinctus,lutjanus semicinctus,Fis-29442,194398
lutjanus synagris,lutjanus synagris,Fis-22798,194344
lutjanus timoriensis,lutjanus timoriensis,Fis-21518,68398868
lutjanus viridis,lutjanus viridis,Fis-22800,183596
lutjanus vitta,lutjanus vitta,Fis-22801,194374
lutjanus vivanus,lutjanus vivanus,Fis-22802,194406
macolor macularis,macolor macularis,Fis-29444,194348
macolor niger,macolor niger,Fis-22803,194338
ocyurus chrysurus,ocyurus chrysurus,Fis-22804,194341
paracaesio kusakarii,paracaesio kusakarii,Fis-29467,194391
paracaesio sordida,paracaesio sordida,Fis-29468,194339
paracaesio stonei,paracaesio stonei,Fis-29469,194380
paracaesio xanthura,paracaesio xanthura,Fis-47262,194349
pinjalo pinjalo,pinjalo pinjalo,Fis-21658,194403
pristipomoides aquilonaris,pristipomoides aquilonaris,Fis-22810,190156
pristipomoides argyrogrammicus,pristipomoides argyrogrammicus,Fis-22811,194368
pristipomoides auricilla,pristipomoides auricilla,Fis-22936,194351
pristipomoides filamentosus,pristipomoides filamentosus,Fis-22937,194331
pristipomoides flavipinnis,pristipomoides flavipinnis,Fis-29487,194401
boops boops,boops boops,Fis-22849,170251
sarpa salpa,sarpa salpa,Fis-22952,170169
pristipomoides freemani,pristipomoides freemani,Fis-22221,154682
pristipomoides macrophthalmus,pristipomoides macrophthalmus,Fis-22938,190372
bothus podas,bothus podas,Fis-22851,198725
pristipomoides multidens,pristipomoides multidens,Fis-22939,194387
pristipomoides sieboldii,pristipomoides sieboldii,Fis-22940,194366
pristipomoides typus,pristipomoides typus,Fis-29488,194383
pristipomoides zonatus,pristipomoides zonatus,Fis-22941,194371
randallichthys filamentosus,randallichthys filamentosus,Fis-22944,194400
rhomboplites aurorubens,rhomboplites aurorubens,Fis-22946,190138
symphorichthys spilurus,symphorichthys spilurus,Fis-22959,194402
symphorus nematophorus,symphorus nematophorus,Fis-22960,194347
makaira nigricans,makaira nigricans,Fis-29447,170314
istiompax indica,istiompax indica,Fis-164254,170312
kajikia albida,kajikia albida,Fis-164253,170322
tetrapturus georgii,tetrapturus georgii,Fis-8203,170333
kajikia audax,kajikia audax,Fis-163398,170309
callionymus filamentosus,callionymus filamentosus,Fis-29312,NA
xiphias gladius,xiphias gladius,Fis-29576,23148
xiphias gladius,xiphias gladius,Fis-29576,23149
megalops cyprinoides,megalops cyprinoides,Fis-22902,166868
albula vulpes,albula vulpes,Fis-22841,194303
nemoossis belloci,nemoossis belloci,Fis-171651,194305
alepocephalus bairdii,alepocephalus bairdii,Fis-29264,15147740
coregonus albula,coregonus albula,Fis-22868,NA
salmo salar,salmo salar,Fis-29501,19855
salmo trutta,salmo trutta,Fis-21630,NA
oncorhynchus mykiss,oncorhynchus mykiss,Fis-22919,NA
oncorhynchus gorbuscha,oncorhynchus gorbuscha,Fis-22915,NA
oncorhynchus keta,oncorhynchus keta,Fis-22916,NA
oncorhynchus masou masou,oncorhynchus masou,Fis-58483,NA
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135301
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135302
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135303
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135306
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135308
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135309
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135310
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135311
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135312
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135313
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135315
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135316
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135317
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135318
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135319
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135320
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135321
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135322
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135323
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135324
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135325
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135326
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135327
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135328
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135329
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135330
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135331
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135332
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135333
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135334
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135335
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135336
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135337
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135338
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135339
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135340
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135341
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135342
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135343
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135344
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135345
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135346
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135347
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135348
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135351
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135352
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135353
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135354
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135355
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135356
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135357
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135358
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135359
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135360
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135361
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135362
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135363
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135365
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135366
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135368
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135369
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135370
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135371
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135372
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135373
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135374
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135375
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135376
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135377
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135379
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135380
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,135381
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201429
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201430
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201431
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201432
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201433
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201434
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201435
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201436
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201437
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201438
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201439
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201440
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201441
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201442
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201444
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201445
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201446
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201447
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201448
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201449
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201450
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201451
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201452
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201453
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201454
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201499
oncorhynchus nerka,oncorhynchus nerka,Fis-22920,201500
oncorhynchus tshawytscha,oncorhynchus tshawytscha,Fis-22921,NA
oncorhynchus kisutch,oncorhynchus kisutch,Fis-22917,NA
salvelinus fontinalis,salvelinus fontinalis,Fis-22950,NA
salvelinus alpinus,salvelinus alpinus,Fis-22949,NA
centrolophus niger,centrolophus niger,Fis-22856,198571
schedophilus ovalis,schedophilus ovalis,Fis-22953,NA
plecoglossus altivelis,plecoglossus altivelis,Fis-29478,17595
plecoglossus altivelis,plecoglossus altivelis,Fis-29478,62222
mallotus villosus,mallotus villosus,Fis-22900,NA
osmerus mordax,osmerus mordax,Fis-22922,202413
hypomesus pretiosus,hypomesus pretiosus,Fis-22880,NA
thaleichthys pacificus,thaleichthys pacificus,Fis-22963,202415
lampanyctodes hectoris,lampanyctodes hectoris,Fis-22887,15598976
harpadon nehereus,harpadon nehereus,Fis-22878,75143569
lutjanus fulviflamma,lutjanus fulviflamma,Fis-146035,194370
lutjanus fulvus,lutjanus fulvus,Fis-22893,194377
lutjanus johnii,lutjanus johnii,Fis-22896,172495
lutjanus gibbus,lutjanus gibbus,Fis-22894,194385
lutjanus griseus,lutjanus griseus,Fis-22895,192941
anchoa curta,anchoa curta,Fis-22842,183619
anchoa eigenmannia,anchoa eigenmannia,Fis-22844,183635
galeichthys feliceps,galeichthys feliceps,Fis-29396,NA
anguilla japonica,anguilla japonica,Fis-29274,166184
anguilla rostrata,anguilla rostrata,Fis-22845,191108
anguilla australis,anguilla australis,Fis-29273,195502
muraenesox cinereus,muraenesox cinereus,Fis-22912,199344
conger orbignianus,conger orbignianus,Fis-121247,195016
conger oceanicus,conger oceanicus,Fis-22867,199391
conger conger,conger conger,Fis-22866,194969
conger myriaster,conger myriaster,Fis-22848,199034
cololabis saira,cololabis saira,Fis-22864,NA
hyporhamphus sajori,hyporhamphus sajori,Fis-50000,NA
salilota australis,salilota australis,Fis-22948,195036
gadus macrocephalus,gadus macrocephalus,Fis-29393,NA
urophycis brasiliensis,urophycis brasiliensis,Fis-22971,NA
urophycis chuss,urophycis chuss,Fis-22972,NA
urophycis tenuis,urophycis tenuis,Fis-22973,NA
eleginus gracilis,eleginus gracilis,Fis-22874,NA
microgadus tomcod,microgadus tomcod,Fis-22909,202405
gadus chalcogrammus,gadus chalcogrammus,Fis-1918,NA
boreogadus saida,boreogadus saida,Fis-22850,NA
micromesistius australis,micromesistius australis,Fis-29452,NA
merluccius senegalensis,merluccius senegalensis,Fis-29451,15522229
merluccius australis,merluccius australis,Fis-22905,NA
merluccius bilinearis,merluccius bilinearis,Fis-22906,16466393
merluccius hubbsi,merluccius hubbsi,Fis-29449,NA
merluccius productus,merluccius productus,Fis-22908,183411
merluccius polli,merluccius polli,Fis-29450,15522226
macruronus magellanicus,macruronus magellanicus,Fis-29446,NA
macrourus berglax,macrourus berglax,Fis-29445,NA
coryphaenoides rupestris,coryphaenoides rupestris,Fis-29359,15522149
macroramphosus scolopax,macroramphosus scolopax,Fis-22897,155030
hoplostethus atlanticus,hoplostethus atlanticus,Fis-29419,NA
zenopsis conchifer,zenopsis conchifer,Fis-22974,190347
joturus pichardi,joturus pichardi,Fis-29424,192944
menidia menidia,menidia menidia,Fis-22904,16441575
eleutheronema tetradactylum,eleutheronema tetradactylum,Fis-22876,NA
galeoides decadactylus,galeoides decadactylus,Fis-22877,21132319
pentanemus quinquarius,pentanemus quinquarius,Fis-22929,21132344
centropomus undecimalis,centropomus undecimalis,Fis-22857,191835
lates calcarifer,lates calcarifer,Fis-22888,166627
polyprion americanus,polyprion americanus,Fis-22932,43972
polyprion americanus,polyprion americanus,Fis-22932,43973
polyprion oxygeneios,polyprion oxygeneios,Fis-22933,NA
acanthistius brasilianus,acanthistius brasilianus,Fis-22840,154987
paralabrax humeralis,paralabrax humeralis,Fis-22926,183746
morone saxatilis,morone saxatilis,Fis-22911,192942
morone americana,morone americana,Fis-22910,184088
priacanthus macracanthus,priacanthus macracanthus,Fis-29483,69545534
synagrops japonicus,synagrops japonicus,Fis-22961,42830204
centropristis striata,centropristis striata,Fis-22858,16435325
lopholatilus chamaeleonticeps,lopholatilus chamaeleonticeps,Fis-29435,16545046
lactarius lactarius,lactarius lactarius,Fis-22886,NA
pomatomus saltatrix,pomatomus saltatrix,Fis-22935,190279
trachurus japonicus,trachurus japonicus,Fis-22969,20437783
trachurus murphyi,trachurus murphyi,Fis-29573,183965
trachurus symmetricus,trachurus symmetricus,Fis-22970,183729
trachurus lathami,trachurus lathami,Fis-22214,195098
exyrias belissimus,exyrias belissimus,Fis-22967,193073
trachurus trecae,trachurus trecae,Fis-29574,21113110
trachurus declivis,trachurus declivis,Fis-22968,20437665
decapterus russelli,decapterus russelli,Fis-22872,155043
exyrias puntang,exyrias puntang,Fis-22853,193092
selene setapinnis,selene setapinnis,Fis-22957,16506931
selene dorsalis,selene dorsalis,Fis-22956,18158331
trachinotus carolinus,trachinotus carolinus,Fis-22966,16507646
seriola quinqueradiata,seriola quinqueradiata,Fis-29524,20435860
seriola lalandi,seriola lalandi,Fis-29523,195097
seriola lalandi,seriola lalandi,Fis-29523,123424951
seriola lalandi,seriola lalandi,Fis-29523,123424986
megalaspis cordyla,megalaspis cordyla,Fis-22901,20432158
chloroscombrus chrysurus,chloroscombrus chrysurus,Fis-22861,16437187
parona signata,parona signata,Fis-22927,195049
selar crumenophthalmus,selar crumenophthalmus,Fis-22954,190388
selaroides leptolepis,selaroides leptolepis,Fis-22955,20435470
mene maculata,mene maculata,Fis-22903,NA
brama brama,brama brama,Fis-22852,195091
arripis georgianus,arripis georgianus,Fis-22847,NA
dicentrarchus punctatus,dicentrarchus punctatus,Fis-22873,198671
emmelichthys nitidus nitidus,emmelichthys nitidus nitidus,Fis-59418,NA
nemipterus virgatus,nemipterus virgatus,Fis-22913,154900
isacia conceptionis,isacia conceptionis,Fis-22885,155309
plectorhinchus mediterraneus,plectorhinchus mediterraneus,Fis-22931,194433
pomadasys argenteus,pomadasys argenteus,Fis-22934,172404
brachydeuterus auritus,brachydeuterus auritus,Fis-23040,194413
conodon nobilis,conodon nobilis,Fis-23096,194414
sillaginopsis panijus,sillaginopsis panijus,Fis-23248,NA
cynoscion nebulosus,cynoscion nebulosus,Fis-23098,193266
cynoscion regalis,cynoscion regalis,Fis-23099,46104933
cynoscion striatus,cynoscion striatus,Fis-23100,NA
micropogonias undulatus,micropogonias undulatus,Fis-23190,193268
menticirrhus americanus,menticirrhus americanus,Fis-23187,195075
menticirrhus saxatilis,menticirrhus saxatilis,Fis-23189,46105847
menticirrhus littoralis,menticirrhus littoralis,Fis-23188,46105545
elagatis bipinnulata,elagatis bipinnulata,Fis-47571,16440027
umbrina canosai,umbrina canosai,Fis-29575,195077
larimichthys polyactis,larimichthys polyactis,Fis-14259,49182929
macrodon ancylodon,macrodon ancylodon,Fis-23183,162915452
argyrosomus regius,argyrosomus regius,Fis-23017,198706
atractoscion aequidens,atractoscion aequidens,Fis-23031,162708774
genyonemus lineatus,genyonemus lineatus,Fis-23135,154755
pteroscion peli,pteroscion peli,Fis-23235,49218151
paralonchurus peruanus,paralonchurus peruanus,Fis-23210,183581
pogonias cromis,pogonias cromis,Fis-23219,162912433
epinephelus aeneus,epinephelus aeneus,Fis-23120,132722
larimichthys crocea,larimichthys crocea,Fis-21640,49182559
leiostomus xanthurus,leiostomus xanthurus,Fis-29428,193267
pseudotolithus senegalensis,pseudotolithus senegalensis,Fis-23228,49217798
pseudotolithus elongatus,pseudotolithus elongatus,Fis-23227,49217539
pennahia argentata,pennahia argentata,Fis-21653,49188539
pagellus bellottii,pagellus bellottii,Fis-29463,170162
dentex macrophthalmus,dentex macrophthalmus,Fis-23109,170232
dentex dentex,dentex dentex,Fis-23108,170245
dentex angolensis,dentex angolensis,Fis-29364,170158
archosargus probatocephalus,archosargus probatocephalus,Fis-23013,170223
argyrops spinifer,argyrops spinifer,Fis-23015,170238
argyrozona argyrozona,argyrozona argyrozona,Fis-23018,170231
cheimerius nufar,cheimerius nufar,Fis-23091,170221
pagrus major,pagrus major,Fis-23093,170167
petrus rupestris,petrus rupestris,Fis-23217,170247
pterogymnus laniarius,pterogymnus laniarius,Fis-23234,170213
rhabdosargus globiceps,rhabdosargus globiceps,Fis-23238,170225
lithognathus lithognathus,lithognathus lithognathus,Fis-23176,12137
stenotomus chrysops,stenotomus chrysops,Fis-23283,170168
pseudupeneus prayensis,pseudupeneus prayensis,Fis-29492,18177478
drepane punctata,drepane punctata,Fis-23112,NA
drepane africana,drepane africana,Fis-29366,21115107
lebetus scorpioides,lebetus scorpioides,Fis-23170,18159823
tautoga onitis,tautoga onitis,Fis-23293,187479
lebetus guilleti,lebetus guilleti,Fis-23169,198664
