worms_sciname,am_sciname,am_sid,iucn_sid
synalpheus mcclendoni,synalpheus macclendoni,ITS-96699,NA
synalpheus minus,synalpheus minus,ITS-96700,NA
synalpheus pandionis,synalpheus pandionis,ITS-96703,NA
synalpheus paraneomeris,synalpheus paraneomeris,ITS-659954,NA
synalpheus pectiniger,synalpheus pectiniger,ITS-96701,NA
synalpheus rathbunae,synalpheus rathbunae,ITS-96716,NA
synalpheus sanctithomae,synalpheus sanctithomae,ITS-96717,NA
synalpheus scaphoceris,synalpheus scaphoceris,ITS-96713,NA
synalpheus streptodactylus,synalpheus streptodactylus,ITS-659956,NA
synalpheus townsendi,synalpheus townsendi,ITS-96696,NA
anchistioides antiguensis,anchistioides antiguensis,ITS-96541,NA
aristaeomorpha foliacea,aristaeomorpha foliacea,ITS-96056,NA
aristaeopsis edwardsiana,aristaeopsis edwardsiana,ITS-96074,NA
aristeus antennatus,aristeus antennatus,ITS-96062,NA
aristeus antillensis,aristeus antillensis,ITS-96060,NA
aristeus mabahissae,aristeus mabahissae,ITS-551516,NA
aristeus semidentatus,aristeus semidentatus,ITS-96064,NA
aristeus varidens,aristeus varidens,ITS-96066,NA
aristeus virilis,aristeus virilis,ITS-96067,NA
austropenaeus nitidus,austropenaeus nitidus,ITS-551527,NA
hemipenaeus carpenteri,hemipenaeus carpenteri,ITS-96051,NA
hepomadus tener,hepomadus tener,ITS-181145,NA
parahepomadus vaubani,parahepomadus vaubani,ITS-551518,NA
pseudaristeus kathleenae,pseudaristeus kathleenae,ITS-551523,NA
pseudaristeus sibogae,pseudaristeus sibogae,ITS-551525,NA
atelecyclus rotundatus,atelecyclus rotundatus,W-Bch-107273,NA
kraussia rugulosa,kraussia rugulosa,W-Bch-209579,NA
trichopeltarion nobile,trichopeltarion nobile,W-Bch-422036,NA
axiopsis serratifrons,axiopsis serratifrons,ITS-564709,NA
benthodytes sanguinolenta,benthodytes sanguinolenta,W-Hol-241785,NA
calaxius oxypleura,calaxius oxypleurus,ITS-564725,NA
coralaxius nodulosus,coralaxius nodulosus,ITS-564742,NA
eiconaxius agassizi,eiconaxius agassizi,ITS-564745,NA
holothuria dofleinii,holothuria dofleinii,SLB-91447,180388
eiconaxius caribbaeus,eiconaxius caribbaeus,ITS-564752,NA
holothuria lineata,holothuria lineata,SLB-91506,180539
holothuria notabilis,holothuria notabilis,SLB-91535,180340
neaxius acanthus,neaxius acanthus,ITS-564771,NA
myriotrochus eurycyclus,myriotrochus eurycyclus,W-Hol-124443,NA
paraxiopsis gracilimana,paraxiopsis gracilimana,ITS-564784,NA
bathypalaemonella serratipalma,bathypalaemonella serratipalma,ITS-96209,NA
boreogennema borealis,bentheogennema borealis,ITS-96081,NA
bentheogennema burkenroadi,bentheogennema burkenroadi,ITS-96082,NA
bentheogennema intermedia,bentheogennema intermedia,ITS-96083,NA
dalicaris altus,benthesicymus altus,ITS-551530,NA
benthoecetes bartletti,benthesicymus bartletti,ITS-96085,NA
bathicaris brasiliensis,benthesicymus brasiliensis,ITS-96086,NA
benthesicymus crenatus,benthesicymus crenatus,ITS-96089,NA
maorrancaris investigatoris,benthesicymus investigatoris,ITS-551534,NA
bathicaris iridescens,benthesicymus iridescens,ITS-96090,NA
benthoecetes tanneri,benthesicymus tanneri,ITS-551537,NA
benthonectes filipes,benthonectes filipes,ITS-96093,NA
gennadas bouvieri,gennadas bouvieri,ITS-96097,NA
gennadas capensis,gennadas capensis,ITS-96099,NA
gennadas elegans,gennadas elegans,ITS-96100,NA
