spp
stercorarius longicaudus
stercorarius parasiticus
stercorarius pomarinus
sterna bengalensis
sterna bergii
sterna bernsteini
sterna dougallii
sterna elegans
sterna forsteri
sterna hirundinacea
sterna hirundo
sterna maxima
sterna paradisaea
sterna repressa
sterna sandvicensis
sterna striata
sterna sumatrana
sterna trudeaui
sterna virgata
sterna vittata
sternula albifrons
sternula antillarum
sternula balaenarum
sternula lorata
sternula nereis
sternula saundersi
sula dactylatra
sula granti
sula leucogaster
sula nebouxii
sula sula
sula variegata
synthliboramphus antiquus
synthliboramphus craveri
synthliboramphus hypoleucus
synthliboramphus scrippsi
synthliboramphus wumizusume
tachyeres brachypterus
tachyeres leucocephalus
tachyeres patachonicus
tachyeres pteneres
thalassarche bulleri
thalassarche carteri
thalassarche cauta
thalassarche chlororhynchos
thalassarche chrysostoma
thalassarche eremita
thalassarche impavida
thalassarche melanophris
thalassarche salvini
thalassarche steadi
thalassoica antarctica
uria aalge
uria lomvia
xema sabini
phaetusa simplex
