species,adult_mob,wcol,log_l,log_f,age_mat,troph
aaptos aaptos,ses,ben,1.7739970000000003,5.75646,1.75,2
aaptos alphiensis,ses,rf,1.9948460000000001,5.75646,1.75,2
aaptos bergmanni,ses,ben,2.369058,5.75646,1.75,2
aaptos ciliata,ses,ben,1.572505,5.75646,1.75,2
aaptos conferta,ses,rf,2.0418480000000003,5.75646,1.75,2
aaptos duchassaingi,ses,ben,1.6195050000000002,5.75646,1.75,2
aaptos durissima,ses,rf,2.1205670000000003,5.75646,1.75,2
aaptos globosa,ses,rf,2.0130790000000003,5.75646,1.75,2
aaptos glutinans,ses,rf,2.306197,5.75646,1.75,2
aaptos hajdui,ses,rf,2.127021,5.75646,1.75,2
aaptos horrida,ses,rf,2.0641610000000004,5.75646,1.75,2
aaptos kanuux,ses,rf,1.9660790000000001,5.75646,1.75,2
aaptos laxosuberites,ses,ben,1.751681,5.75646,1.75,2
aaptos lobata,ses,ben,1.6547290000000001,5.75646,1.75,2
aaptos nigra,ses,rf,2.1047070000000003,5.75646,1.75,2
aaptos nuda,ses,rf,2.048302,5.75646,1.75,2
aaptos papillata,ses,rf,1.9319860000000002,5.75646,1.75,2
aaptos pernucleata,ses,ben,1.769913,5.75646,1.75,2
aaptos potiguarensis,ses,rf,2.2656520000000002,5.75646,1.75,2
aaptos robustus,ses,rf,2.000169,5.75646,1.75,2
aaptos rosacea,ses,ben,1.554272,5.75646,1.75,2
aaptos simplex,ses,ben,1.5160980000000002,5.75646,1.75,2
aaptos suberitoides,ses,ben,1.792226,5.75646,1.75,2
aaptos tenta,ses,rf,2.098253,5.75646,1.75,2
aaptos vannamei,ses,rf,1.786901,5.75646,1.75,2
abalistes filamentosus,mob,pel,3.51898,11.177178,4.9,3.85
abalistes stellaris,mob,ben,3.94642,11.047666,5.3,3.85
abalistes stellatus,mob,rf,4.09434,10.127139999999999,4.8,3.85
abatus agassizii,mob,ben,2.29348,13.81551,3,2.601
abatus beatriceae,mob,ben,2.075818,13.81551,3,2.6615
abatus cavernosus,mob,ben,1.758483,13.81551,3,2.4285
abatus cordatus,mob,ben,2.289948,13.81551,3,2.5905
abatus curvidens,mob,ben,2.340404,13.81551,3,2.614
abatus ingens,mob,ben,1.753662,13.81551,3,2.7335
abatus kieri,mob,ben,2.458612,13.81551,3,2.3925
abatus koehleri,mob,ben,1.839157,13.81551,3,2.6295
abatus nimrodi,mob,ben,2.375476,13.81551,3,2.698
abatus philippii,mob,ben,2.344033,13.81551,3,2.9695
abatus shackletoni,mob,ben,2.006001,13.81551,3,2.5605
abdopus abaculus,mob,ben,1.19392,9.785985,0.5,3.536280701754385
abdopus aculeatus,mob,rf,3.7612,13.81551,0.5,3.593947368421052
abdopus capricornicus,mob,ben,3.2880920000000002,9.785985,0.5,3.695210526315789
abdopus horridus,mob,ben,2.48491,5.75646,0.5,3.531087719298244
abdopus tenebricus,mob,ben,2.608403,9.785985,0.5,3.602070175438596
abdopus tonganus,mob,ben,2.834476,9.785985,0.5,3.632684210526315
abdopus undulatus,mob,ben,4.060092,13.81551,0.5,3.586547368421052
abertella aberti,mob,ben,3.040362,13.81551,3,2.768
abertella cazonesensis,mob,ben,3.3473479999999998,13.81551,3,2.768
abertella dengleri,mob,ben,3.4222680000000003,13.81551,3,3.164
abertella gualichensis,mob,ben,3.2694840000000003,13.81551,3,3.164
abertella habanensis,mob,ben,3.393212,13.81551,3,2.76
abertella kewi,mob,ben,3.275592,13.81551,3,2.768
abertella miskellyi,mob,ben,3.497962,13.81551,3,3.164
abertella palmeri,mob,ben,3.25192,13.81551,3,3.118
abertella pirabensis,mob,ben,3.045054,13.81551,3,2.976
ablabys binotatus,mob,bp,2.70805,10.93728,3.6666666666666665,3.478407952724337
ablabys gymnothorax,mob,bp,2.0189,10.93728,3.6666666666666665,3.433049028469783
ablabys macracanthus,mob,bp,2.99573,10.93728,3.6666666666666665,3.5966506407077494
ablabys pauciporus,mob,bp,1.65632,10.93728,3.6666666666666665,3.4261218642120186
ablabys taenianotus,mob,bp,2.70805,10.93728,3.6666666666666665,3.5031138885709976
ablennes hians,mob,rf,4.60517,10.361633999999999,1.378894,4.5
abludomelita obtusata,mob,ben,-0.10536,2.841538,3.63368,2
aboma etheostoma,sed,ben,1.22378,7.003984,4.022184,3.450099999046326
abramis brama,mob,bp,3.7013,12.822463333333333,3.83652,3.1500000953674316
abronica abronia,sed,ben,0.26236,11.508884,4.14,2.986
abudefduf abdominalis,mob,rf,2.84491,13.878296,1.7682600000000002,3.02
abudefduf bengalensis,mob,rf,2.83321,14.554524,1.41297,3.08
abudefduf concolor,mob,rf,2.94444,13.649126,4.02355,2.68
abudefduf conformis,mob,rf,2.57261,12.858128,1.1,2.8662499928474428
abudefduf declivifrons,mob,rf,2.89037,14.70405,4.31297,2.8662499928474428
abudefduf hoefleri,sed,rf,1.82455,13.804264,5.7,2.8662499928474428
abudefduf lorenzi,mob,rf,2.83321,14.193124,0.658728,2.68
abudefduf margariteus,sed,rf,2.82138,13.65953,1.7682600000000002,2.72
abudefduf natalensis,mob,rf,2.8622,13.467886,3.87884,2.76
abudefduf nigrimargo,mob,rf,2.21812,14.691426,3.1047100000000003,2.8662499928474428
abudefduf notatus,mob,rf,2.83321,12.934364,3.558728,2.73
abudefduf saxatilis,mob,rf,2.61374,13.97957,1.2682600000000002,2.76
abudefduf septemfasciatus,mob,rf,3.06805,14.246976,0.97884,3.01
abudefduf sexfasciatus,mob,rf,2.80336,14.14848,1.41297,2.7
abudefduf sordidus,sed,rf,3.00072,14.390164,1.62355,3.24
abudefduf sparoides,mob,rf,2.64262,14.404114,4.74471,3.03
abudefduf taurus,sed,rf,3.21888,14.692582,1.47884,2.619999885559082
abudefduf troschelii,mob,rf,2.99573,14.569866,3.92355,2.95
abudefduf vaigiensis,mob,rf,2.87356,14.193104,4.6471,3.24
abudefduf whitleyi,mob,rf,2.74084,14.16783,4.60239,2.64
abyssoberyx levisquamosus,mob,pel,2.82138,12.38221,4.3,3.2114486803519062
abyssobrotula galatheae,sed,pel,2.80336,6.158825,1.75,3.308790603982636
abyssobrotula hadropercularis,sed,bp,4.15498925,6.158825,1.75,3.3376509119502393
abyssocladia annae,ses,rf,1.93731,5.75646,1.75,2
abyssocladia antarctica,ses,ben,2.287966,5.75646,1.75,2
abyssocladia atlantica,ses,rf,2.909428,5.75646,1.75,2
abyssocladia boletiphora,ses,rf,2.002544,5.75646,1.75,2
abyssocladia bruuni,ses,ben,2.2656530000000004,5.75646,1.75,2
abyssocladia carcharias,ses,ben,2.218651,5.75646,1.75,2
abyssocladia claviformis,ses,rf,2.639865,5.75646,1.75,2
abyssocladia corniculiphora,ses,rf,2.240964,5.75646,1.75,2
abyssocladia desmophora,ses,rf,2.0982540000000003,5.75646,1.75,2
abyssocladia diegoramirezensis,ses,rf,2.628086,5.75646,1.75,2
abyssocladia dominalba,ses,ben,1.09861,5.75646,1.75,2
abyssocladia escheri,ses,rf,2.483003,5.75646,1.75,2
abyssocladia faranauti,ses,rf,2.713261,5.75646,1.75,2
abyssocladia flagrum,ses,rf,2.489456,5.75646,1.75,2
abyssocladia fryerae,ses,ben,2.397828,5.75646,1.75,2
abyssocladia gliscofila,ses,rf,2.530004,5.75646,1.75,2
abyssocladia hemiradiata,ses,rf,2.764344,5.75646,1.75,2
abyssocladia huitzilopochtli,ses,rf,2.675087,5.75646,1.75,2
abyssocladia inflata,ses,rf,2.807263,5.75646,1.75,2
abyssocladia kanaconi,ses,rf,2.018403,5.75646,1.75,2
abyssocladia kellyae,ses,ben,2.656855,5.75646,1.75,2
abyssocladia koltuni,ses,rf,2.7995650000000003,5.75646,1.75,2
abyssocladia lakwollii,ses,rf,2.098255,5.75646,1.75,2
abyssocladia leverhulmei,ses,rf,2.770798,5.75646,1.75,2
abyssocladia marianensis,ses,ben,2.248662,5.75646,1.75,2
abyssocladia microstrongylata,ses,rf,2.83603,5.75646,1.75,2
abyssocladia mucronata,ses,rf,1.6888180000000002,5.75646,1.75,2
abyssocladia myojinensis,ses,rf,2.582328,5.75646,1.75,2
abyssocladia natsushimae,ses,rf,2.844194,5.75646,1.75,2
abyssocladia naudur,ses,ben,1.38629,5.75646,1.75,2
abyssocladia oxeata,ses,rf,2.782576,5.75646,1.75,2
abyssocladia oxyasters,ses,rf,2.287966,5.75646,1.75,2
abyssocladia polycephalus,ses,rf,2.6098540000000003,5.75646,1.75,2
abyssocladia stegosaurensis,ses,ben,2.328514,5.75646,1.75,2
abyssocladia symmetrica,ses,ben,2.548234,5.75646,1.75,2
abyssocladia tecta,ses,rf,2.5993180000000002,5.75646,1.75,2
abyssocladia umbellata,ses,rf,2.74203,5.75646,1.75,2
abyssocladia vaceleti,ses,rf,2.197579,5.75646,1.75,2
abyssocladia villosa,ses,ben,2.3179760000000003,5.75646,1.75,2
abyssocucumis abyssorum,sed,ben,2.109503,9.210339999999999,3,3.061111111111111
abyssocucumis albatrossi,sed,ben,2.2349156666666667,9.210339999999999,3,3.1741111111111113
abyssosdiskos pentaeiros,ses,rf,2.679169,5.75646,1.75,2
acaenosquilla brazieri,mob,ben,2.34947,6.78592,1.438,3.3961333333333332
acanthacaris caeca,mig,ben,3.68888,7.22559,3.72355,3.8887
acanthacaris tenuimana,mig,ben,3.70868,7.633332,4.75768,3.7303640000000002
acanthaluteres brownii,mob,rf,4.00733,11.471242,1.606316,2
acanthaluteres spilomelanurus,mob,ben,2.63906,11.038388,1.97884,2
acanthaluteres vittiger,mob,ben,3.55535,13.530086,2.64,2
acanthancora aenigma,ses,rf,5.2068,5.75646,1.75,2
acanthancora coralliophila,ses,rf,4.850823,5.75646,1.75,2
acanthancora cyanocrypta,ses,rf,4.907227,5.75646,1.75,2
acanthancora equiformis,ses,rf,5.121626,5.75646,1.75,2
acanthancora schmidti,ses,rf,4.9647630000000005,5.75646,1.75,2
acanthancora stylifera,ses,rf,4.810275,5.75646,1.75,2
acanthanectes hystrix,sed,ben,1.25276,6.856434,2.2,3.0060000000000002
acanthanectes rufus,sed,rf,1.26695,7.4503319999999995,1.12355,3.1990000000000003
acanthaphritis barbata,mob,ben,2.30259,10.93728,3.6666666666666665,3.7176103867277432
acanthaphritis grandisquamis,mob,ben,2.1889186666666665,10.93728,3.6666666666666665,3.7289833333333333
acanthaphritis ozawai,mob,ben,2.37955,10.93728,3.6666666666666665,3.7160287040851734
acanthaphritis unoorum,mob,ben,1.988777,10.93728,3.6666666666666665,3.737960396645956
acantharctus ornatus,mig,ben,0.33647,9.41793,1.441006,3.3356666666666666
acanthaster brevispinus,mob,ben,1.619314,13.81551,3,3.3
acanthaster planci,mob,rf,3.81771,15.902705,2.133105,3.3
acanthella aculeata,ses,rf,2.854262,5.75646,1.75,2
acanthella acuta,ses,rf,2.737949,5.75646,1.75,2
acanthella annulata,ses,rf,2.921205,5.75646,1.75,2
acanthella branchia,ses,rf,3.1514640000000003,5.75646,1.75,2
acanthella calyx,ses,rf,3.026985,5.75646,1.75,2
acanthella cavernosa,ses,ben,2.30744,5.75646,1.75,2
acanthella costata,ses,ben,2.197578,5.75646,1.75,2
acanthella cubensis,ses,ben,2.358522,5.75646,1.75,2
acanthella danerii,ses,rf,2.96051,5.75646,1.75,2
acanthella dendyi,ses,rf,2.876577,5.75646,1.75,2
acanthella erecta,ses,rf,2.851891,5.75646,1.75,2
acanthella flabellata,ses,rf,3.504492,5.75646,1.75,2
acanthella flagelliformis,ses,rf,3.321234,5.75646,1.75,2
acanthella gorgonoides,ses,rf,2.862426,5.75646,1.75,2
acanthella hispida,ses,ben,2.270976,5.75646,1.75,2
acanthella insignis,ses,rf,2.996973,5.75646,1.75,2
acanthella klethra,ses,ben,2.238125,5.75646,1.75,2
acanthella ligulata,ses,ben,2.906587,5.75646,1.75,2
acanthella mastophora,ses,ben,2.888354,5.75646,1.75,2
acanthella megaspicula,ses,rf,2.8177980000000002,5.75646,1.75,2
acanthella minuta,ses,rf,2.949974,5.75646,1.75,2
acanthella multiformis,ses,ben,2.709178,5.75646,1.75,2
acanthella oviforma,ses,rf,2.9499750000000002,5.75646,1.75,2
acanthella pulcherrima,ses,ben,2.48491,5.75646,1.75,2
acanthella ramosa,ses,rf,2.939438,5.75646,1.75,2
acanthella ramus,ses,rf,2.605773,5.75646,1.75,2
acanthella saladinorum,ses,rf,3.133231,5.75646,1.75,2
acanthella simplex,ses,rf,2.9969740000000002,5.75646,1.75,2
acanthella stanleei,ses,ben,2.427838,5.75646,1.75,2
acanthella styloida,ses,rf,3.186686,5.75646,1.75,2
acanthella tenuispiculata,ses,rf,2.952347,5.75646,1.75,2
acanthella vaceleti,ses,ben,2.358523,5.75646,1.75,2
acanthella vulgata,ses,ben,2.478921,5.75646,1.75,2
acanthella xutha,ses,rf,3.088603,5.75646,1.75,2
acanthemblemaria aspera,mob,rf,1.09861,7.229641999999999,1,3.12
acanthemblemaria atrata,mob,ben,1.16315,7.6576379999999995,0.632834,3.36
acanthemblemaria balanorum,mob,rf,1.64673,6.825603999999999,1.1,3.4
acanthemblemaria betinensis,mob,rf,1.45862,6.132528,2.3,3.36
acanthemblemaria castroi,mob,rf,1.79176,5.456888,1.83024,3.36
acanthemblemaria chaplini,mob,ben,1.41099,5.917406,2,3.36
acanthemblemaria crockeri,mob,rf,1.65918,7.152672,1.314212,3.4
acanthemblemaria exilispinus,mob,rf,1.70475,6.377923999999999,0.423004,3.4
acanthemblemaria greenfieldi,mob,rf,1.28093,8.020128,1.3349739999999999,3.36
acanthemblemaria hancocki,mob,rf,1.50408,6.363181999999999,1.077618,3.4
acanthemblemaria harpeza,mob,ben,1.557578,7.563033999999999,1.5,3.36
acanthemblemaria hastingsi,mob,ben,1.62924,7.548856,0.586178,3.36
acanthemblemaria johnsoni,mob,rf,0.69315,6.630497999999999,2,3.36
acanthemblemaria macrospilus,mob,rf,1.79176,6.345072,2.039328,3.4
acanthemblemaria mangognatha,mob,ben,1.12817,7.246678,1.733926,3.36
acanthemblemaria maria,mob,rf,1.45862,7.628926,0.657618,3.36
acanthemblemaria medusa,sed,rf,1.32176,8.454714,0.88,3.36
acanthemblemaria paula,mob,rf,0.58779,6.469551999999999,1.98,3.36
acanthemblemaria rivasi,mob,rf,1.09861,6.69188,0.5,3.36
acanthemblemaria spinosa,mob,rf,0.90422,5.687139999999999,1.318062,3.36
acanthemblemaria stephensi,mob,rf,1.60944,7.610084,0.488124,3.4
acanthephyra acanthitelsonis,mig,pel,2.16905,9.268546,2.9218100000000002,3.472
acanthephyra acutifrons,mig,pel,-0.286668,6.792162,3.01123,3.32
acanthephyra armata,mig,pel,0.849926,8.2105,3.717454,3.472
acanthephyra brevirostris,mig,pel,-0.13483199999999998,9.218332,3.63413,3.472
acanthephyra carinata,mig,pel,2.48491,8.154442,3.423282,3.472
acanthephyra chacei,mob,pel,-1.839382,8.479196,4.776182,3.472
acanthephyra cucullata,mob,ben,-2.422864,7.418544,4.417188,3.472
acanthephyra curtirostris,mig,pel,0.24519200000000002,8.895834,3.7471,3.54
acanthephyra eximia,mob,pel,1.37902,8.6579,3.417454,3.71
acanthephyra media,mig,pel,-1.141046,7.456506,3.62355,3.472
acanthephyra pelagica,mig,pel,1.02054,8.235974,3.72355,3.472
acanthephyra purpurea,mig,pel,0.17999400000000002,10.307466,3.2515840000000003,3.472
acanthephyra quadrispinosa,mig,pel,-1.642938,7.31487,3.681318,3.472
acanthephyra rostrata,mig,pel,-0.33097200000000004,8.270596,3.01123,3.472
acanthephyra sanguinea,mob,pel,-1.13554,7.465984000000001,4.18768,3.472
acanthephyra sica,mig,pel,0.429282,9.44576,2.946408,3.472
acanthephyra smithi,mig,pel,0.89609,9.914045999999999,4.49181,3.48
acanthephyra stylorostratis,mig,pel,-1.725572,8.356836,3.51123,3.31
acanthephyra trispinosa,mob,pel,-0.036217999999999986,8.510456,3.33413,3.472
acantheurypon pilosella,ses,rf,1.521263,5.75646,1.75,2
acantheurypon spinispinosum,ses,rf,1.492495,5.75646,1.75,2
acanthina monodon,sed,ben,1.12714,7.529216,2.48123,3.1
acanthina unicornis,ses,ben,0.988904,9.597502,2.738998,3.1
acanthistius brasilianus,mob,bp,3.79549,10.93728,3.6666666666666665,4.01
acanthistius cinctus,mob,rf,3.72207,10.93728,3.6666666666666665,4.025
acanthistius fuscus,mob,pel,3.68888,10.93728,3.6666666666666665,4.025
acanthistius joanae,mob,pel,2.63906,10.93728,3.6666666666666665,4.025
acanthistius ocellatus,mob,rf,3.80666,10.93728,3.6666666666666665,4.025
acanthistius pardalotus,mob,rf,3.497716,10.93728,3.6666666666666665,4.025
acanthistius patachonicus,mob,ben,3.43399,10.93728,3.6666666666666665,4.025
acanthistius paxtoni,mob,rf,3.390104,10.93728,3.6666666666666665,4.025
acanthistius pictus,mob,rf,3.79549,10.93728,3.6666666666666665,4.04
acanthistius sebastoides,mob,ben,3.55535,10.93728,3.6666666666666665,4.025
acanthistius serratus,mob,rf,3.91202,10.93728,3.6666666666666665,4.025
acanthobrama centisquama,mig,bp,3.00568,13.932238,4.42355,3.1069999961853028
acanthobrama marmid,mig,bp,3.35341,14.817637999999999,2.74471,3.057
acanthocepola abbreviata,mob,bp,3.21888,12.597033999999999,6.6,3.4
acanthocepola indica,sed,bp,3.55535,13.467027999999999,4.3,3.4
acanthocepola krusensternii,mob,ben,3.68888,12.597033999999999,2.7515840000000003,3.4
acanthocepola limbata,sed,ben,3.91202,12.770926,5.275454,3.4
acanthochaenus luetkenii,mob,bp,2.64617,14.224333999999999,1.83413,3.5
acanthochaetetes horiguchi,ses,ben,2.16663,5.75646,1.75,2
acanthochaetetes japonica,ses,rf,2.891197,5.75646,1.75,2
acanthochaetetes seunesi,ses,rf,2.609856,5.75646,1.75,2
acanthochaetetes wellsi,ses,ben,2.1484,5.75646,1.75,2
acanthochitona fascicularis,sed,ben,0.95551,9.897074,2.70239,2.9
acanthochitona hemphilli,sed,ben,0.93216,10.292318,2.5162459999999998,2.6
acanthochitona pygmaea,sed,ben,-0.22314,8.680508,2.63491,2
acanthochitona rhodea,sed,ben,1.02962,8.680508,2.9303179999999998,2.6
acanthochitona spiculosa,sed,ben,1.33763,10.292318,1.928738,2.3
acanthochromis polyacanthus,sed,rf,2.48491,5.75646,0.5,2.69
acanthoclada prostrata,ses,rf,2.475148,5.75646,1.75,2
acanthoclinus fuscus,sed,ben,3.4012,10.2195,5.134642,3.64
acanthoclinus littoreus,sed,ben,2.5337,11.288222,4.107388,3.37
acanthoclinus marilynae,sed,ben,2.83321,9.677882,4.78,3.69
acanthoclinus matti,sed,rf,2.3093120000000003,8.995125999999999,4.16982,3.566666666666667
acanthoclinus rua,sed,ben,2.44235,8.801458,6.10942,3.566666666666667
acanthocybium solandri,mig,pel,5.01396,15.60727,1.64682,4.420000076293945
acanthocyclus albatrossis,mob,ben,-1.826688,8.66267,3.88768,3.31
acanthodendrilla australis,ses,ben,2.039477,5.75646,1.75,2
acanthodendrilla levii,ses,rf,2.59932,5.75646,1.75,2
acanthodoris brunnea,sed,ben,0.40547,11.508884,4.134608,3.292606153846154
acanthodoris falklandica,sed,ben,0.58779,11.209312,4.37181,3.080806153846154
acanthodoris hudsoni,sed,ben,0.69315,10.292318,3.538158,3.226246153846154
acanthodoris lutea,sed,ben,1.09861,10.59189,5.10239,3.398246153846154
acanthodoris nanaimoensis,sed,ben,0.91629,10.292318,4.762,3.096246153846154
acanthodoris pilosa,sed,ben,0.81093,10.59189,4.26678,3.222246153846154
acanthodoris pina,mob,ben,0.40547,11.904128,4.984389999999999,3.21876
acanthodoris rhodoceras,sed,ben,1.02962,13.120694,5.22,3.25636
acanthodraco dewitti,mob,ben,4.201837666666667,10.93728,3.6666666666666665,3.475297364333075
acanthogobius elongatus,sed,pel,1.349164,7.636498,3.94471,3.313333333333333
acanthogobius flavimanus,sed,ben,3.11352,8.252364,3.94471,3.07
acanthogobius hasta,sed,ben,3.66484,9.195628,3.7,3.86
acanthogobius insularis,sed,pel,0.9935620000000001,8.266904,1,3.313333333333333
acanthogobius lactipes,sed,ben,2.12823,7.948784,0.443414,3.01
acanthogobius luridus,sed,ben,1.79176,6.876532,3.34471,3.313333333333333
acanthogobius stigmothonus,sed,ben,1.309288,9.098711999999999,3.44471,3.313333333333333
acantholabrus palloni,mob,rf,3.18842,12.002066,2.5,3.5
acantholiparis caecus,mob,pel,1.36098,10.93728,3.6666666666666665,3.075647221546703
acantholiparis opercularis,mob,ben,1.93152,10.93728,3.6666666666666665,3.0819550258192434
acantholithodes hispidus,mig,ben,1.60944,7.054082,3.308,2.6986666666666665
acantholobulus schmitti,mob,ben,-0.22314,6.968244,3.910044,3.228666666666667
acantholochus asperatus,mob,pel,0.69813,5.31282,3.43368,3.0047333333333333
acantholochus crevalleus,mob,pel,-1.77196,5.549518,3.16955,3.0233333333333334
acantholochus divaricatus,mob,pel,-2.04022,4.233496,3.16955,3.119464
acantholumpenus mackayi,mob,ben,4.2485,10.93728,3.6666666666666665,3.28
acanthonus armatus,sed,pel,3.62434,6.158825,1.75,3.1841642331948012
acanthopagrus akazakii,mig,ben,2.91777,13.81551,3,3.4055555566151936
acanthopagrus arabicus,mig,pel,3.68261,13.81551,3,3.39
acanthopagrus australis,mig,ben,3.66356,14.547916666666667,4.018486666666667,3.1
acanthopagrus berda,mig,ben,3.64284,13.81551,3,3.5
acanthopagrus bifasciatus,mig,rf,3.4782026666666668,14.030366666666666,3.1999999999999997,3.39
acanthopagrus butcheri,mig,ben,3.98898,14.694398,3.70395,3.47
acanthopagrus catenula,mig,rf,3.59457,13.81551,3,3.4055555566151936
acanthopagrus chinshira,mig,pel,3.01553,13.81551,3,3.4055555566151936
acanthopagrus datnia,mig,ben,3.44681,13.81551,3,3.4055555566151936
acanthopagrus latus,mig,ben,3.65325,14.185410000000001,2.9471,3.84
acanthopagrus longispinnis,mig,rf,3.39891,13.81551,3,3.4055555566151936
acanthopagrus morrisoni,mig,pel,3.80666,14.849575,4.48413,3.4055555566151936
acanthopagrus omanensis,mig,ben,2.67415,13.81551,3,3.4055555566151936
acanthopagrus pacificus,mig,pel,3.62671,13.38648,2.075,3.34
acanthopagrus palmaris,mig,rf,3.68888,13.81551,3,3.4055555566151936
acanthopagrus randalli,mig,bp,3.47197,13.81551,3,3.4055555566151936
acanthopagrus schlegelii,mig,ben,3.86807,13.81551,3,3.240000009536743
acanthopagrus sheim,mig,ben,3.4012,13.81551,3,3.4055555566151936
acanthopagrus sivicolus,mig,ben,3.8712,13.81551,3,3.38
acanthopagrus taiwanensis,mig,ben,2.91235,13.81551,3,3.4055555566151936
acanthopagrus vagus,mig,ben,3.26576,13.81551,3,3.4055555566151936
acanthoplesiops cappuccino,sed,rf,0.4947,9.054848,2.902728,3.55
acanthoplesiops echinatus,sed,pel,1.38629,11.36615,3.86982,3.6
acanthoplesiops hiatti,sed,rf,0.87547,8.816892,3.51297,3.5
acanthoplesiops indicus,sed,ben,1.26695,10.398375999999999,3.20317,3.55
acanthoplesiops jessicae,sed,ben,0.39204,10.038688,3.58091,3.55
acanthoplesiops naka,sed,pel,-0.01005,7.377534,4.220132,3.55
acanthoplesiops psilogaster,sed,ben,0.83291,12.322236,4.18123,3.55
acanthopleura brevispinosa,sed,ben,1.984346,9.597502,1.81297,2
acanthopleura gemmata,sed,ben,1.915829,10.601029,2.16,2
acanthopleura granulata,sed,ben,2.30259,9.992746,1.5023900000000001,2
acanthopleura spinosa,sed,ben,2.19722,8.680508,1.7,2
acanthopleura vaillantii,sed,ben,1.861424,10.292318,2.18,2
acanthopolymastia acanthoxa,ses,rf,0.709006,5.75646,1.75,2
acanthopolymastia bathamae,ses,rf,1.3604770000000002,5.75646,1.75,2
acanthopolymastia pisiformis,ses,ben,1.2218470000000001,5.75646,1.75,2
acanthopsetta nadeshnyi,mob,ben,3.7891925,13.848639,4.5,3.331318181818182
acanthorhabdus fragilis,ses,rf,1.5902910000000001,5.75646,1.75,2
acanthosphex leurynnis,mob,ben,1.1314,10.93728,3.6666666666666665,3.8113095219475883
acanthosquilla derijardi,mob,ben,2.07191,7.63184,0.9256800000000001,3.4001333333333332
acanthosquilla multifasciata,mig,ben,1.95939,6.61979,0.28981,2.9568285714285714
acanthostracion guineense,mob,ben,2.89037,13.718284,0.6,3.56
acanthostracion notacanthus,mob,ben,3.91202,11.491598,2.4,3.56
acanthostracion polygonius,mob,rf,3.43399,12.078873999999999,3.33491,3.35
acanthostracion quadricornis,mob,rf,3.46574,11.77671,6.8,3.77
acanthostrongylophora ashmorica,ses,ben,2.736705,5.75646,1.75,2
acanthostrongylophora ingens,ses,ben,2.888524,5.75646,1.75,2
acanthostylotella cornuta,ses,ben,2.672714,5.75646,1.75,2
acanthotetilla celebensis,ses,ben,1.652355,5.75646,1.75,2
acanthotetilla enigmatica,ses,rf,1.827448,5.75646,1.75,2
acanthotetilla gorgonosclera,ses,rf,2.02894,5.75646,1.75,2
acanthotetilla hemisphaerica,ses,rf,2.000171,5.75646,1.75,2
acanthotetilla rocasensis,ses,rf,1.326386,5.75646,1.75,2
acanthotetilla seychellensis,ses,rf,2.051253,5.75646,1.75,2
acanthotetilla walteri,ses,rf,2.248661,5.75646,1.75,2
acanthotriaena crypta,ses,rf,1.180857,5.75646,1.75,2
acanthotrochus antarcticus,mob,ben,2.205552,11.512926,3,2.785
acanthotrochus mirabilis,mob,ben,2.089706,11.052408,3,2.904
acanthotrochus multispinus,mob,ben,1.6401620000000001,11.052408,3,2.904
acanthotrophon striatoides,sed,ben,0.90826,7.36827,3.32084,3.596046153846154
acanthurus achilles,mob,rf,3.17805,11.202221999999999,3.093638,2
acanthurus albimento,mob,rf,3.22843,11.588476,5.64788,2.3455172413793104
acanthurus albipectoralis,mob,rf,3.49651,12.797248,5.3,3.4
acanthurus auranticavus,mob,rf,3.62434,11.616584,3.93491,2.3455172413793104
acanthurus bahianus,mob,rf,2.54945,12.64167,2.958728,2.3455172413793104
acanthurus bariene,mob,rf,3.80666,10.038383999999999,5.427024,2
acanthurus blochii,mob,rf,3.66356,10.826544,3.27884,2
acanthurus chirurgus,mob,rf,3.41444,13.61118,6.194202,2.74
acanthurus chronixis,mob,rf,3.3322,11.024544,6.1220040000000004,2.3455172413793104
acanthurus coeruleus,mob,rf,3.38439,11.960364,2.686494,2.15
acanthurus dussumieri,mob,rf,3.92691,8.05905,25,2
acanthurus fowleri,mob,rf,3.80666,10.396531999999999,5.824842,2.3455172413793104
acanthurus gahhm,mob,rf,3.68888,12.82399,5.75768,2.76
acanthurus grammoptilus,mob,rf,3.19253,11.512926,4.976694,2.3455172413793104
acanthurus guttatus,mob,rf,3.07269,12.054537999999999,3.641784,2
acanthurus japonicus,mob,rf,3.02042,12.941742,2.399184,2.3455172413793104
acanthurus leucocheilus,mob,rf,3.80666,11.366731999999999,6.964574,2.3455172413793104
acanthurus leucopareius,mob,rf,3.11352,11.625524,6.322184,2
acanthurus leucosternon,mob,rf,2.97041,11.16362,4.411092,2
acanthurus lineatus,mob,rf,3.103335,12.66859,3.556182,2
acanthurus maculiceps,mob,rf,3.68888,10.828007999999999,3.54904,2
acanthurus mata,mob,rf,3.46574,11.290896,6.775914,2.53
acanthurus mindorensis,mob,"NA",NA,NA,NA,2.3455172413793104
acanthurus monroviae,mob,ben,3.73767,10.908532,5.166184,2.5
acanthurus nigricans,mob,rf,3.05164,10.588704,7.098366,2
acanthurus nigricauda,mob,rf,3.22684,10.09357,5.5,2.99
acanthurus nigrofuscus,mob,rf,2.948727,11.899208999999999,4.577092,2
acanthurus nigroris,mob,rf,3.09784,13.261292,3.196294,2
acanthurus nubilus,mob,rf,3.24649,11.061888,6.511656,3.4
acanthurus olivaceus,mob,rf,3.39451,12.940194,3.6,2.26
