species,gf_level,depth_pc1,depth_pc2,log_l,mob_score,repr_pc1,repr_pc2,troph,troph_se,k_group,p_group
phyllaplysia incerta,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.5499387943133687,2,1.0262660139897692,1.1617831585968,2,0,d,d
phyllaplysia inornata,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.5499387943133687,2,1.0262660139897692,1.1617831585968,2,0,d,d
phyllaplysia lafonti,2.7083333333333335,0.43517877743030897,-0.432499454140824,0.5499387943133687,2,1.0262660139897692,1.1617831585968,2,0,d,d
phyllaplysia padinae,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.6532125137753437,2,1.0262660139897692,1.1617831585968,2,0,d,d
phyllaplysia plana,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.5499387943133687,2,1.0262660139897692,1.1617831585968,2,0,d,d
phyllaplysia smaragda,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.3424226808222063,2,1.0262660139897692,1.1617831585968,2,0,d,g
phyllaplysia taylori,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.9030899869919435,2,1.0262660139897692,1.1617831585968,2,0,d,d
phyllaplysia varicolor,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.5499387943133687,2,1.0262660139897692,1.1617831585968,2,0,d,d
phyllaplysia viridis,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.5499387943133687,2,1.0262660139897692,1.1617831585968,2,0,d,d
phyllocoma convoluta,2.8333333333333335,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllocoma platyca,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllocoma scalariformis,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllocoma speciosa,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllonotus eversoni,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.8878374901383852,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllonotus globosus,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.7781512503836436,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllonotus guyanensis,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.8878374901383852,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllonotus margaritensis,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.9822712330395684,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllonotus mexicanus,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.8878374901383852,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllonotus oculatus,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.9030899869919435,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllonotus peratus,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.8878374901383852,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllonotus pomum,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.8878374901383852,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllonotus salutensis,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.8878374901383852,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
phyllonotus whymani,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.8878374901383852,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pinaxia coronata,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.3010299956639812,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pinaxia versicolor,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.3010299956639812,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
plicopurpura columellaris,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.9294189257142927,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
plicopurpura eudeli,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.9294189257142927,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
