species,gf_level,depth_pc1,depth_pc2,log_l,mob_score,repr_pc1,repr_pc2,troph,troph_se,k_group,p_group
abalistes filamentosus,2.283333333333333,-2.4318554962710484,-0.17654880262256087,1.5118833609788744,2,0.5192305254677068,-0.6069658099428729,3.85,0.61,l,l
abalistes stellaris,1.9833333333333334,0.43517877743030897,-0.432499454140824,1.7781512503836436,2,0.4343012383204529,-0.5504237764861604,3.85,0.61,l,n
abalistes stellatus,2.283333333333333,-0.9983383594203699,-0.30452412838169246,1.7781512503836436,2,0.5192305254677068,-0.6069658099428729,3.85,0.61,l,n
aboma etheostoma,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.5314789170422551,1,-0.5480471396021341,-0.9432372576870108,3.2445906397055464,0.3596654054054054,h,h
abudefduf abdominalis,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.4771212547196624,1.25,-1.2839077663781755,-0.4305074433292991,3.02,0.33,h,m
abudefduf bengalensis,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.2304489213782739,1.25,-1.2839077663781755,-0.4305074433292991,3.08,0.46,h,m
abudefduf concolor,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.2787536009528289,1.25,-1.2839077663781755,-0.4305074433292991,2.68,0.3,h,m
abudefduf conformis,2.2333333333333334,-0.9983383594203699,-0.30452412838169246,1.1172712956557642,1.25,-1.2839077663781755,-0.4305074433292991,2.8662499928474428,0.337275,h,m
abudefduf declivifrons,2.2333333333333334,-0.9983383594203699,-0.30452412838169246,1.255272505103306,1.25,-1.2839077663781755,-0.4305074433292991,2.8662499928474428,0.337275,h,m
abudefduf hoefleri,2.2333333333333334,-0.9983383594203699,-0.30452412838169246,1.3010299956639813,1.25,-1.2839077663781755,-0.4305074433292991,2.8662499928474428,0.337275,h,m
abudefduf lorenzi,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.255272505103306,1.25,-1.2839077663781755,-0.4305074433292991,2.68,0.3,h,m
abudefduf luridus,2.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.279524425439246,1.25,-1.1989784792309215,-0.48704947678601157,2.8662499928474428,0.337275,h,m
abudefduf margariteus,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.2041199826559248,1.25,-1.2839077663781755,-0.4305074433292991,2.72,0.31,h,m
abudefduf natalensis,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.2304489213782739,1.25,-1.2839077663781755,-0.4305074433292991,2.76,0.32,h,m
abudefduf notatus,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.2304489213782739,1.25,-1.2839077663781755,-0.4305074433292991,2.73,0.31,h,m
abudefduf saxatilis,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.359835482339888,1.25,-1.2839077663781755,-0.4305074433292991,2.76,0.32,h,m
abudefduf septemfasciatus,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.3617278360175928,1.25,-1.2839077663781755,-0.4305074433292991,3.01,0.38,h,m
abudefduf sexfasciatus,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.2787536009528289,1.25,-1.2839077663781755,-0.4305074433292991,2.7,0.3,h,m
abudefduf sordidus,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.380211241711606,1.25,-1.2839077663781755,-0.4305074433292991,3.24,0.48,h,m
abudefduf sparoides,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.2041199826559248,1.25,-1.2839077663781755,-0.4305074433292991,3.03,0.36,h,m
abudefduf taurus,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.3979400086720377,1.25,-1.2839077663781755,-0.4305074433292991,2.619999885559082,0.2064,h,m
abudefduf troschelii,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.3010299956639813,1.25,-1.2839077663781755,-0.4305074433292991,2.95,0.32,h,m
abudefduf vaigiensis,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.3010299956639813,1.25,-1.2839077663781755,-0.4305074433292991,3.24,0.41,h,m
abudefduf whitleyi,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.146128035678238,1.25,-1.2839077663781755,-0.4305074433292991,2.64,0.29,h,m
acanthaluteres brownii,2.3333333333333335,-0.9983383594203699,-0.30452412838169246,1.7403626894942439,2,0.5823899035544426,-0.3470431029653662,2,0,d,d
acanthaluteres spilomelanurus,2.3333333333333335,0.43517877743030897,-0.432499454140824,1.146128035678238,2,0.5823899035544426,-0.3470431029653662,2,0,d,d
acanthaluteres vittiger,2.0833333333333335,0.43517877743030897,-0.432499454140824,1.5440680443502757,2,0.5823899035544426,-0.3470431029653662,2,0,d,d
acanthanectes hystrix,2.4833333333333334,0.43517877743030897,-0.432499454140824,0.5440680443502757,1,-1.0614234548418444,-2.1279103468724005,3.045,0.2927777777777778,c,c
acanthanectes rufus,2.4833333333333334,-0.9983383594203699,-0.30452412838169246,0.5502283530550941,1,-1.0614234548418444,-2.1279103468724005,3.045,0.2927777777777778,c,c
acanthistius brasilianus,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.7781512503836436,1.75,1.020289342112749,0.5514758614827604,4.01,0.71,l,j
acanthistius cinctus,2.283333333333333,-0.9983383594203699,-0.30452412838169246,1.6989700043360187,1.75,1.1052186292600028,0.4949338280260479,4.025,0.7,l,j
acanthistius fuscus,2.2333333333333334,-2.4318554962710484,-0.17654880262256087,1.6020599913279625,1.75,1.020289342112749,0.5514758614827604,4.025,0.7,l,j
acanthistius joanae,2.283333333333333,-2.4318554962710484,-0.17654880262256087,1.146128035678238,1.75,1.1052186292600028,0.4949338280260479,4.025,0.7,l,l
acanthistius ocellatus,2.2333333333333334,-0.9983383594203699,-0.30452412838169246,1.6532125137753437,1.75,1.020289342112749,0.5514758614827604,4.025,0.7,l,j
acanthistius pardalotus,2.3583333333333334,-0.9983383594203699,-0.30452412838169246,1.58722437732861,1.75,1.020289342112749,0.5514758614827604,4.025,0.7,l,j
acanthistius patachonicus,2.2333333333333334,0.43517877743030897,-0.432499454140824,1.4913616938342726,1.75,1.020289342112749,0.5514758614827604,4.025,0.7,l,l
acanthistius paxtoni,2.3583333333333334,-0.9983383594203699,-0.30452412838169246,1.58722437732861,1.75,1.020289342112749,0.5514758614827604,4.025,0.7,l,j
acanthistius pictus,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.6720978579357175,1.75,1.020289342112749,0.5514758614827604,4.04,0.69,l,j
acanthistius sebastoides,2.2333333333333334,0.43517877743030897,-0.432499454140824,1.5440680443502757,1.75,1.020289342112749,0.5514758614827604,4.025,0.7,l,j
acanthistius serratus,2.2333333333333334,-0.9983383594203699,-0.30452412838169246,1.6989700043360187,1.75,1.020289342112749,0.5514758614827604,4.025,0.7,l,j
acanthochromis polyacanthus,1,0.43517877743030897,-0.432499454140824,1.146128035678238,1,-5.348380489479448,-0.4578338680362583,2.69,0.3,h,m
acanthocybium solandri,1.7833333333333334,-2.4318554962710484,-0.17654880262256087,2.3979400086720375,3,-0.0646080035671924,0.8058881605055948,4.420000076293945,0.92490000000000006,j,j
acanthogobius elongatus,2.408333333333333,-2.4318554962710484,-0.17654880262256087,1.2318425907597559,1,-0.6368726523217699,-0.9065975749564029,3.313333333333333,0.39,h,m
acanthogobius flavimanus,1.9833333333333334,0.43517877743030897,-0.432499454140824,1.4771212547196624,1,-0.7218019394690238,-0.8500555414996905,3.07,0.23,h,m
acanthogobius hasta,2.033333333333333,0.43517877743030897,-0.432499454140824,1.6989700043360187,1,-0.6368726523217699,-0.9065975749564029,3.86,0.6,h,m
acanthogobius insularis,2.408333333333333,-2.4318554962710484,-0.17654880262256087,1.2318425907597559,1,-0.6368726523217699,-0.9065975749564029,3.313333333333333,0.39,h,m
acanthogobius lactipes,2.033333333333333,0.43517877743030897,-0.432499454140824,0.9731278535996987,1,-0.6368726523217699,-0.9065975749564029,3.01,0.34,h,h
acanthogobius luridus,2.283333333333333,0.43517877743030897,-0.432499454140824,0.7781512503836436,1,-0.6368726523217699,-0.9065975749564029,3.313333333333333,0.39,h,h
acanthogobius stigmothonus,2.4916666666666667,-0.5204993138034768,-0.347182570301403,1.2318425907597559,1,-0.6368726523217699,-0.9065975749564029,3.313333333333333,0.39,h,m
acantholabrus palloni,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.3979400086720377,2,0.46123879296909936,-0.4848581491660517,3.5,0.37,l,l
acanthopsetta nadeshnyi,2.1333333333333333,0.43517877743030897,-0.432499454140824,1.662757831681574,2,1.2269567806942874,1.1020321502109578,3.500980769230769,0,l,j
acanthurus achilles,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.380211241711606,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus albimento,1.7916666666666667,-0.9983383594203699,-0.30452412838169246,1.4020893505720966,2,0.5443289989224963,0.5385448056266655,2.3148275862068965,0.11586206896551725,d,d
acanthurus albipectoralis,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.5185139398778875,2,0.4593997117752424,0.595086839083378,3.4,0.45,l,l
acanthurus auranticavus,1.7416666666666667,-0.9983383594203699,-0.30452412838169246,1.6532125137753437,2,0.4593997117752424,0.595086839083378,2.3148275862068965,0.11586206896551725,d,d
acanthurus bahianus,1.9166666666666667,-0.9983383594203699,-0.30452412838169246,1.5180074559817924,2,0.5443289989224963,0.5385448056266655,2.3148275862068965,0.11586206896551725,d,d
acanthurus bariene,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.6989700043360187,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus blochii,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.6532125137753437,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus chirurgus,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.591064607026499,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus chronixis,1.7416666666666667,-0.9983383594203699,-0.30452412838169246,1.4471580313422192,2,0.4593997117752424,0.595086839083378,2.3148275862068965,0.11586206896551725,d,d
acanthurus coeruleus,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.591064607026499,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus dussumieri,1.05,0.43517877743030897,-0.432499454140824,1.7323937598229686,2,1.2314670891325845,1.9429948510297355,2,0,d,d
acanthurus fowleri,1.7416666666666667,-0.9983383594203699,-0.30452412838169246,1.6532125137753437,2,0.4593997117752424,0.595086839083378,2.3148275862068965,0.11586206896551725,d,d
acanthurus gahhm,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.6020599913279625,2,0.4593997117752424,0.595086839083378,2.76,0.28,d,d
acanthurus grammoptilus,1.7416666666666667,-0.9983383594203699,-0.30452412838169246,1.5440680443502757,2,0.4593997117752424,0.595086839083378,2.3148275862068965,0.11586206896551725,d,d
acanthurus guttatus,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.414973347970818,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus japonicus,1.7416666666666667,-0.9983383594203699,-0.30452412838169246,1.3222192947339193,2,0.4593997117752424,0.595086839083378,2.3148275862068965,0.11586206896551725,d,d
acanthurus leucocheilus,1.7416666666666667,-0.9983383594203699,-0.30452412838169246,1.6532125137753437,2,0.4593997117752424,0.595086839083378,2.3148275862068965,0.11586206896551725,d,d
acanthurus leucopareius,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.3979400086720377,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus leucosternon,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.7323937598229686,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus lineatus,1.4416666666666667,-0.9983383594203699,-0.30452412838169246,1.5797835966168101,2,0.36128112940342433,0.6364945990784124,2,0,d,d
acanthurus maculiceps,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.6020599913279625,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus mata,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.6989700043360187,2,0.4593997117752424,0.595086839083378,2.53,0.25,d,d
acanthurus monroviae,1.4916666666666667,0.43517877743030897,-0.432499454140824,1.6532125137753437,2,0.4593997117752424,0.595086839083378,2.5,0.24,d,d
acanthurus nigricans,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.3283796034387378,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus nigricauda,1.4416666666666667,-0.9983383594203699,-0.30452412838169246,1.6020599913279625,2,0.3744704246279884,0.6516288725400906,2.99,0.4,l,d
acanthurus nigrofuscus,1.4416666666666667,-0.9983383594203699,-0.30452412838169246,1.3222192947339193,2,-0.030433366903524297,0.18701536572469707,2,0,d,d
acanthurus nigroris,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.3979400086720377,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus nubilus,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.414973347970818,2,0.4593997117752424,0.595086839083378,3.4,0.45,l,l
acanthurus olivaceus,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.5440680443502757,2,0.4593997117752424,0.595086839083378,2.26,0.17,d,d
acanthurus polyzona,1.7416666666666667,-0.9983383594203699,-0.30452412838169246,1.041392685158225,2,0.4593997117752424,0.595086839083378,2.3148275862068965,0.11586206896551725,d,d
acanthurus pyroferus,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.462397997898956,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus randalli,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.255272505103306,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus reversus,1.7416666666666667,-0.9983383594203699,-0.30452412838169246,1.5314789170422551,2,0.4593997117752424,0.595086839083378,2.3148275862068965,0.11586206896551725,d,d
acanthurus sohal,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.6020599913279625,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus tennentii,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.4913616938342726,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus thompsoni,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.4313637641589874,2,0.4593997117752424,0.595086839083378,3.64,0.41,l,l
acanthurus tractus,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.5809249756756194,2,0.4593997117752424,0.595086839083378,2,0,d,d
acanthurus triostegus,1.4416666666666667,-0.9983383594203699,-0.30452412838169246,1.4313637641589874,2,-0.23429172741503912,-0.046905258759057926,2.78,0.35,d,d
acanthurus tristis,1.7416666666666667,-0.9983383594203699,-0.30452412838169246,1.3979400086720377,2,0.4593997117752424,0.595086839083378,2.3148275862068965,0.11586206896551725,d,d
acanthurus xanthopterus,1.4916666666666667,-0.9983383594203699,-0.30452412838169246,1.845098040014257,2,0.4593997117752424,0.595086839083378,2.87,0.36,l,d
acentrogobius audax,2.283333333333333,0.43517877743030897,-0.432499454140824,1,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius caninus,2.033333333333333,0.43517877743030897,-0.432499454140824,1.1139433523068367,1,-0.7115015845013791,-0.9768002063999824,3.5,0.37,h,h
acentrogobius cenderawasih,2.283333333333333,-0.9983383594203699,-0.30452412838169246,0.6444385894678386,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius chlorostigmatoides,2.283333333333333,0.43517877743030897,-0.432499454140824,1.041392685158225,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius cyanomos,2.283333333333333,-0.9983383594203699,-0.30452412838169246,1.0606978403536118,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,m
acentrogobius dayi,2.283333333333333,0.43517877743030897,-0.432499454140824,1.041392685158225,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius ennorensis,2.283333333333333,0.43517877743030897,-0.432499454140824,0.7634279935629373,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius griseus,2.283333333333333,0.43517877743030897,-0.432499454140824,0.9030899869919435,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius janthinopterus,2.283333333333333,-0.9983383594203699,-0.30452412838169246,1.0969100130080565,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,m
acentrogobius limarius,2.283333333333333,0.43517877743030897,-0.432499454140824,0.5289167002776547,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius masoni,2.408333333333333,0.43517877743030897,-0.432499454140824,0.9097325859909869,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius moloanus,2.033333333333333,0.43517877743030897,-0.432499454140824,0.9030899869919435,1,-0.7115015845013791,-0.9768002063999824,4.2,0.73,h,h
acentrogobius multifasciatus,2.408333333333333,0.43517877743030897,-0.432499454140824,0.9097325859909869,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius nebulosus,2.283333333333333,-0.9983383594203699,-0.30452412838169246,1.255272505103306,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,m
acentrogobius pflaumii,1.9833333333333334,0.43517877743030897,-0.432499454140824,1.0791812460476249,1,-0.796430871648633,-0.92025817294327,2.93,0.3,h,h
acentrogobius simplex,2.283333333333333,0.43517877743030897,-0.432499454140824,1,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius suluensis,2.283333333333333,0.43517877743030897,-0.432499454140824,0.5185139398778874,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius vanderloosi,2.283333333333333,0.43517877743030897,-0.432499454140824,0.6785183790401139,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius viganensis,2.408333333333333,0.43517877743030897,-0.432499454140824,0.9097325859909869,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius violarisi,2.283333333333333,0.43517877743030897,-0.432499454140824,0.5289167002776547,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,h
acentrogobius viridipunctatus,2.283333333333333,0.43517877743030897,-0.432499454140824,1.2174839442139063,1,-0.7115015845013791,-0.9768002063999824,3.5433333333333334,0.4666666666666667,h,m
acentronura breviperula,2.283333333333333,-0.9983383594203699,-0.30452412838169246,0.6989700043360189,1,-2.652993348912025,-0.8418143308298043,3.75,0.5,h,m
acentronura gracilissima,2.1083333333333334,-0.9983383594203699,-0.30452412838169246,0.7491552768948002,1,-2.7379226360592788,-0.7852722973730918,3.75,0.5,h,m
acentronura tentaculata,2.2333333333333334,-0.9983383594203699,-0.30452412838169246,0.7993405494535817,1,-2.7379226360592788,-0.7852722973730918,3.75,0.5,h,m
achoerodus gouldii,1.8833333333333333,-0.9983383594203699,-0.30452412838169246,2.2430380486862944,2,1.5030256216223021,1.4691499692422938,3.78,0.59,l,j
achoerodus viridis,2.1333333333333333,-0.9983383594203699,-0.30452412838169246,1.792391689498254,2,1.077050662509402,0.9803580050564381,3.78,0.59,l,j
acreichthys hajam,2.283333333333333,0.43517877743030897,-0.432499454140824,0.8450980400142568,2,0.5353838786450381,-0.09678485577456704,2.97,0.39,e,l
acreichthys radiatus,2.283333333333333,-0.9983383594203699,-0.30452412838169246,0.8450980400142568,2,0.5353838786450381,-0.09678485577456704,2.97,0.39,e,l
acreichthys tomentosus,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.146128035678238,2,0.4504545914977842,-0.04024282231785461,2.97,0.39,l,l
acromycter alcocki,2.0416666666666665,-0.9983383594203699,-0.30452412838169246,1.403120521175818,2,0.5983734437361123,-0.881228104876141,3.8028,0.5533333333333333,l,l
acromycter atlanticus,2.0416666666666665,0.43517877743030897,-0.432499454140824,1.469822015978163,2,0.5983734437361123,-0.881228104876141,3.8028,0.5533333333333333,l,n
acromycter longipectoralis,2.0416666666666665,-2.4318554962710484,-0.17654880262256087,1.3866772839608377,2,0.5983734437361123,-0.881228104876141,3.8028,0.5533333333333333,l,l
acromycter nezumi,2.0416666666666665,0.43517877743030897,-0.432499454140824,1.6020599913279625,2,0.5983734437361123,-0.881228104876141,3.8028,0.5533333333333333,l,n
acromycter perturbator,1.625,0.43517877743030897,-0.432499454140824,1.4654199531106953,2,0.17372700799984228,-0.5985179375925784,3.8028,0.5533333333333333,l,l
adelosebastes latens,2.5833333333333335,0.43517877743030897,-0.432499454140824,1.4771212547196624,2,0.7356229341783631,-0.01591527882398126,3.7057894736842107,0.5054761904761905,l,l
adelotremus deloachi,2.5833333333333335,-2.4318554962710484,-0.17654880262256087,0.5440680443502757,1.9473684210526316,-0.8137764205085467,-2.106495719264531,2.27177033497386,0.0891336405529954,f,f
adelotremus leptus,2.5833333333333335,-2.4318554962710484,-0.17654880262256087,0.5987905067631151,1.9473684210526316,-0.8137764205085467,-2.106495719264531,2.27177033497386,0.0891336405529954,f,f
aethaloperca rogaa,1.9833333333333334,-0.9983383594203699,-0.30452412838169246,1.7781512503836436,1.75,1.020289342112749,0.5514758614827604,4.2,0.71,l,j
aethotaxis mitopteryx,3,-0.5655784690503536,-0.34315818898822276,1.5142715102899418,3,1.665875999897386,0.12400891682950148,3.4362068991825496,0.4697793103448276,l,l
afurcagobius suppositus,2.5833333333333335,-0.9983383594203699,-0.30452412838169246,1.041392685158225,1,-0.5480471396021341,-0.9432372576870108,3.2445906397055464,0.3596654054054054,h,m
afurcagobius tamarensis,2.5833333333333335,0.43517877743030897,-0.432499454140824,1.041392685158225,1,-0.5480471396021341,-0.9432372576870108,3.2445906397055464,0.3596654054054054,h,h
ahlia egmontis,2.4833333333333334,-1.2123190706027158,0.5621170697036233,1.6364878963533653,2,1.6593854614741281,-0.5694996569933481,3.937083327770233,0.5512666666666667,l,n
aidablennius sphynx,1.9833333333333334,0.43517877743030897,-0.432499454140824,0.9030899869919435,1.9473684210526316,-0.9836349948030545,-1.9934116523511056,2.7,0.24,f,f
akko brevis,2.4583333333333335,0.43517877743030897,-0.432499454140824,0.9300191949035967,1,-0.5480471396021341,-0.9432372576870108,3,0,h,h
akko dionaea,2.0833333333333335,0.43517877743030897,-0.432499454140824,0.9057958803678685,1,-0.5480471396021341,-0.9432372576870108,3,0,h,h
akko rossi,2.3333333333333335,0.43517877743030897,-0.432499454140824,0.9542425094393249,1,-0.5480471396021341,-0.9432372576870108,3,0,h,h
allips concolor,2.7333333333333334,0.22119806624796298,0.43414174394449173,1.6961757099652734,2,1.6593854614741281,-0.5694996569933481,3.937083327770233,0.5512666666666667,l,n
alloblennius anuchalis,2.4833333333333334,0.43517877743030897,-0.432499454140824,0.3783979009481377,1.9473684210526316,-0.9836349948030545,-1.9934116523511056,2.27177033497386,0.0891336405529954,f,f
alloblennius frondiculus,2.4833333333333334,0.43517877743030897,-0.432499454140824,0.37657695705651195,1.9473684210526316,-0.9836349948030545,-1.9934116523511056,2.27177033497386,0.0891336405529954,f,f
alloblennius jugularis,2.4833333333333334,0.43517877743030897,-0.432499454140824,0.6989700043360189,1.9473684210526316,-0.9836349948030545,-1.9934116523511056,2.27177033497386,0.0891336405529954,f,f
alloblennius parvus,2.4833333333333334,0.43517877743030897,-0.432499454140824,0.414973347970818,1.9473684210526316,-0.9836349948030545,-1.9934116523511056,2.27177033497386,0.0891336405529954,f,f
alloblennius pictus,2.4833333333333334,0.43517877743030897,-0.432499454140824,0.414973347970818,1.9473684210526316,-0.9836349948030545,-1.9934116523511056,2.27177033497386,0.0891336405529954,f,f
allothunnus fallai,1.9833333333333334,-2.4318554962710484,-0.17654880262256087,2.0211892990699383,3,0.44404221180924364,0.7953278411623866,3.77,0.67,l,j
alosa aestivalis,1.7833333333333334,-3.5017590521827784,4.156657187804018,1.6020599913279625,2.5,0.3851773990986638,0.9142885395542732,3.42,0.42,n,k
alosa alabamae,1.8333333333333335,-3.5017590521827784,4.156657187804018,1.7075701760979363,2.5,0.3408787807413033,0.7193798742372227,2.66,0.28,n,k
alosa algeriensis,2.1833333333333336,-3.5017590521827784,4.156657187804018,1.6384892569546374,2.5,0.5238645766342782,0.6184267630592162,3.6199999911444527,0.5392714285714286,n,k
alosa alosa,1.7833333333333334,-3.5017590521827784,4.156657187804018,1.8388490907372552,2.5,0.5171028792891466,1.062644253060867,3.62,0.53,n,k
alosa braschnikowi,1.8833333333333333,-3.5017590521827784,4.156657187804018,1.6989700043360187,2.5,0.4389352894870243,0.6749687965159287,3.74,0.58,n,k
alosa caspia,1.8333333333333335,-3.5017590521827784,4.156657187804018,1.505149978319906,2.5,0.3277578960474105,0.7013920092383896,3.47,0.46,n,k
alosa chrysochloris,1.8333333333333335,-3.5017590521827784,4.156657187804018,1.6989700043360187,2.5,0.3524437482707409,0.7300671402461659,3.89,0.63,n,k
alosa curensis,2.1833333333333336,-2.0682419153321,4.028681862044886,1.2787536009528289,2.5,0.5238645766342782,0.6184267630592162,3.6199999911444527,0.5392714285714286,n,k
alosa fallax,1.7833333333333334,-3.5017590521827784,4.156657187804018,1.7781512503836436,2.5,0.25929086549162755,0.785115506726382,3.5899999141693106,0.5961,n,k
alosa immaculata,1.7833333333333334,-3.5017590521827784,4.156657187804018,1.591064607026499,2.5,0.2360221492861958,0.7616614465607096,3.9300000667572017,0.6737000000000001,n,k
alosa kessleri,1.7833333333333334,-3.5017590521827784,4.156657187804018,1.7160033436347992,2.5,0.373934414975464,0.9072563303556189,3.6,0.49,n,k
alosa maeotica,1.8333333333333335,-3.5017590521827784,4.156657187804018,1.505149978319906,2.5,0.2948661449429812,0.6636498291315416,4.05,0.71,n,k
alosa mediocris,1.8833333333333333,-3.5017590521827784,4.156657187804018,1.7781512503836436,2.5,0.4389352894870243,0.6749687965159287,4.12,0.58,n,k
alosa pseudoharengus,1.7833333333333334,-3.5017590521827784,4.156657187804018,1.6020599913279625,2.5,0.1992767766932211,0.7088349365950011,3.29,0.44,n,k
alosa sapidissima,1.7833333333333334,-3.5017590521827784,4.156657187804018,1.8808135922807914,2.5,0.619596874740117,1.1843911100009865,3.6099998950958248,0.56,n,k
alosa saposchnikowii,1.8833333333333333,-3.5017590521827784,4.156657187804018,1.5809249756756194,2.5,0.4389352894870243,0.6749687965159287,3.69,0.6,n,k
alosa sphaerocephala,2.1333333333333333,-3.5017590521827784,4.156657187804018,1.3979400086720377,2.5,0.4389352894870243,0.6749687965159287,3.6199999911444527,0.5392714285714286,n,k
alosa tanaica,2.0833333333333335,-3.5017590521827784,4.156657187804018,1.390935107103379,2.5,-0.06395660025953828,0.2519127758846742,3.6199999911444527,0.5392714285714286,n,k
alosa volgensis,2.1333333333333333,-3.5017590521827784,4.156657187804018,1.5440680443502757,2.5,0.2501109782161567,0.45829923879277906,3.6199999911444527,0.5392714285714286,n,k
alphestes afer,1.8833333333333333,-0.9983383594203699,-0.30452412838169246,1.5185139398778875,1.75,0.740913314958548,0.5633540972207689,4.01,0.62,l,j
alphestes immaculatus,1.9333333333333333,0.43517877743030897,-0.432499454140824,1.4771212547196624,1.75,0.8258426021058018,0.5068120637640564,3.5,0.5,l,l
alphestes multiguttatus,1.9333333333333333,0.43517877743030897,-0.432499454140824,1.4771212547196624,1.75,0.8258426021058018,0.5068120637640564,3.5,0.5,l,l
alticus anjouanae,1.9833333333333334,0.43517877743030897,-0.432499454140824,0.8819549713396004,1.9473684210526316,-0.9836349948030545,-1.9934116523511056,2,0,f,f
