src,iucn_sid,sciname,range_tot_km2,range_cst_km2
iucn,133386,acanthastrea rotundoflora,4438614.001774229,4438614.001774229
am,NA,acanthastrea subechinata,972749.0004530177,972749.0004530177
iucn,132929,acanthastrea subechinata,2747232.0011731237,2747232.0011731237
am,NA,acanthaxius miyazakiensis,1596253.0008990318,1596253.0008990318
am,NA,acanthella cavernosa,2915024.0014435723,2915024.0014435723
am,NA,acanthella costata,2158142.0008549467,2158142.0008549467
am,NA,acanthella cubensis,918886.0001275316,918886.0001275316
am,NA,acanthella klethra,69758.00003223121,69758.00003223121
am,NA,acanthella ligulata,2193763.000676222,2193763.000676222
am,NA,acanthella mastophora,493775.0000413507,493775.0000413507
am,NA,acanthella pulcherrima,2213150.0009208918,2213150.0009208918
am,NA,acanthella vaceleti,921451.000162214,921451.000162214
am,NA,acanthemblemaria aspera,237174.00007620454,237174.00007620454
iucn,46104116,acanthemblemaria aspera,881387.000310421,881387.000310421
iucn,183583,acanthemblemaria atrata,500,500
am,NA,acanthemblemaria balanorum,45438.000011630356,45438.000011630356
iucn,183400,acanthemblemaria balanorum,64667.00003743172,64667.00003743172
iucn,47141289,acanthemblemaria betinensis,44158.00003260374,44158.00003260374
am,NA,acanthemblemaria castroi,14273.000015877187,14273.000015877187
iucn,183873,acanthemblemaria castroi,21046.00001871586,21046.00001871586
am,NA,acanthemblemaria chaplini,644815.0001104921,644815.0001104921
iucn,47141293,acanthemblemaria chaplini,180813.00008893013,180813.00008893013
am,NA,acanthemblemaria crockeri,62025.000034831464,62025.000034831464
iucn,183505,acanthemblemaria crockeri,50837.00003325939,50837.00003325939
am,NA,acanthemblemaria exilispinus,44198.00003133714,44198.00003133714
iucn,183629,acanthemblemaria exilispinus,149892.00003296137,149892.00003296137
iucn,47141351,acanthemblemaria greenfieldi,81514.00000452995,81514.00000452995
am,NA,acanthemblemaria hancocki,106903.0000615865,106903.0000615865
iucn,183841,acanthemblemaria hancocki,134681.00003153086,134681.00003153086
iucn,47141354,acanthemblemaria harpeza,1194.999998807907,1194.999998807907
am,NA,acanthemblemaria hastingsi,39716.00002553314,39716.00002553314
iucn,185143,acanthemblemaria hastingsi,139162.00004518032,72562.00004518032
iucn,47141401,acanthemblemaria johnsoni,53946.00002169609,53946.00002169609
am,NA,acanthemblemaria macrospilus,72473.0000346899,72473.0000346899
iucn,183219,acanthemblemaria macrospilus,68941.000020504,68941.000020504
am,NA,acanthemblemaria mangognatha,852.0000010728836,852.0000010728836
iucn,183525,acanthemblemaria mangognatha,1584.00000333786,1584.00000333786
am,NA,acanthemblemaria maria,168744.00006812066,168744.00006812066
iucn,47141570,acanthemblemaria maria,317137.0001539588,317137.0001539588
iucn,47141697,acanthemblemaria medusa,136510.00006496906,136510.00006496906
am,NA,acanthemblemaria paula,13783.999994955957,13783.999994955957
iucn,47141712,acanthemblemaria paula,7071.000009775162,7071.000009775162
iucn,47141727,acanthemblemaria rivasi,70588.00003677607,70588.00003677607
am,NA,acanthemblemaria spinosa,294038.00010606647,294038.00010606647
iucn,47141736,acanthemblemaria spinosa,453375.00018030405,453375.00018030405
iucn,183968,acanthemblemaria stephensi,393.00000071525574,393.00000071525574
am,NA,acanthephyra acutifrons,11066550.000167452,380836.0000735149
am,NA,acanthephyra armata,15176658.000722155,1610849.000641331
am,NA,acanthephyra brevirostris,48824334.000252,259134.0000493452
am,NA,acanthephyra carinata,8314782.000698149,1224529.0006414056
am,NA,acanthephyra chacei,922400,800
am,NA,acanthephyra cucullata,838271.0007192567,838271.0007192567
am,NA,acanthephyra curtirostris,196811702.00130343,2062459.0010106564
am,NA,acanthephyra eximia,59788682.00195972,4980586.001747288
am,NA,acanthephyra pelagica,68200107.00033121,1076673.0001490563
am,NA,acanthephyra purpurea,6150720.0000057,486022.00000379235
am,NA,acanthephyra quadrispinosa,9141843.000909314,1939194.0008368343
am,NA,acanthephyra sica,353565.0000182912,75690.00002425164
am,NA,acanthephyra smithi,70056778.00109181,1964310.00095997
am,NA,acanthephyra stylorostratis,103425953.00012845,346456.00012559444
am,NA,acanthilia intermedia,1127288.0001798272,1127288.0001798272
am,NA,acanthina monodon,42733.000036515296,42733.000036515296
am,NA,acanthistius brasilianus,642767.0000132173,614367.0000132173
am,NA,acanthistius joanae,19008.000013418496,11208.000013418496
am,NA,acanthistius ocellatus,36477.000046893954,36477.000046893954
am,NA,acanthistius paxtoni,6294.000003114343,6294.000003114343
am,NA,acanthistius sebastoides,33434.00000818074,33434.00000818074
am,NA,acanthistius serratus,109659.00002215058,109659.00002215058
am,NA,acanthocardia aculeata,1195631.0004318133,1195631.0004318133
am,NA,acanthocardia deshayesii,237508.0000206828,237508.0000206828
am,NA,acanthocardia echinata,756677.000185661,756677.000185661
am,NA,acanthocardia paucicostata,527274.0002078936,527274.0002078936
am,NA,acanthocardia spinosa,426347.0002019778,426347.0002019778
am,NA,acanthocardia tuberculata,1105380.000425689,1105380.000425689
am,NA,acanthocarpus alexandri,811765.0001699105,811765.0001699105
am,NA,acanthocarpus bispinosus,101701.9999647513,101701.9999647513
am,NA,acanthocepola abbreviata,5579771.001297422,4274172.001296468
am,NA,acanthocepola krusensternii,381064.0001934022,381064.0001934022
am,NA,acanthocepola limbata,1613222.0006968826,1613222.0006968826
am,NA,acanthochaenus luetkenii,55619351.00025199,249261.0001053661
am,NA,acanthochaetetes wellsi,734292.0002315193,734292.0002315193
am,NA,acanthochitona astrigera,238682.00005218387,238682.00005218387
am,NA,acanthochitona fascicularis,950786.000216566,950786.000216566
am,NA,acanthochitona hemphilli,807330.0001505762,807330.0001505762
am,NA,acanthochitona lineata,863906.0001147911,863906.0001147911
am,NA,acanthochitona pygmaea,1042696.000204049,1042696.000204049
am,NA,acanthochitona rhodea,427195.0001370162,427195.0001370162
am,NA,acanthochitona roseojugum,598652.0000545308,598652.0000545308
am,NA,acanthochitona spiculosa,645978.0002113432,645978.0002113432
am,NA,acanthochitona woodwardi,489319.0001398325,489319.0001398325
am,NA,acanthochromis polyacanthus,2171218.0009163916,2171218.0009163916
am,NA,acanthoclinus fuscus,43662.99998965114,43662.99998965114
am,NA,acanthoclinus marilynae,11206.999975442886,11206.999975442886
am,NA,acanthoclinus rua,91149.00003671646,91149.00003671646
am,NA,acanthocybium solandri,183514302.0031674,12201857.002870552
iucn,170331,acanthocybium solandri,114571156.00157492,4266740.001506731
am,NA,acanthocyclus albatrossis,179709.0000765398,179709.0000765398
am,NA,acanthodasys aculeatus,2633900.0011106953,2633900.0011106953
am,NA,acanthodendrilla australis,74475.99999047816,74475.99999047816
am,NA,acanthodoris nanega,43522.00002633035,43522.00002633035
am,NA,acanthodoris pilosa,1652399.0006437525,1652399.0006437525
am,NA,acanthodraco dewitti,138180.0000976771,138180.0000976771
am,NA,acanthogobius flavimanus,136282.00008813292,136282.00008813292
am,NA,acanthogorgia aspera,828921.0001628846,828921.0001628846
am,NA,acanthogorgia hirsuta,97583.00009872764,97583.00009872764
am,NA,acanthogorgia ramossissima,2618.999993428588,2618.999993428588
am,NA,acanthogorgia spinosa,246703.00002824515,246703.00002824515
am,NA,acanthohaustorius intermedius,794595.0003514066,794595.0003514066
am,NA,acanthohaustorius millsi,126351.00005287677,126351.00005287677
am,NA,acanthohaustorius pansus,423608.00000894815,423608.00000894815
am,NA,acanthohaustorius shoemakeri,1226496.0005389526,1226496.0005389526
am,NA,acanthohaustorius uncinus,783467.0001458377,783467.0001458377
am,NA,acantholabrus palloni,527218.000244163,527218.000244163
iucn,186106,acantholabrus palloni,2827581.0003312305,1429381.0003312305
am,NA,acantholiparis caecus,553200,700
am,NA,acantholiparis opercularis,400,400
am,NA,acantholithodes hispidus,410980.00011853874,410980.00011853874
am,NA,acantholobulus bermudensis,1149389.0002746135,1149389.0002746135
am,NA,acantholobulus caribbaeus,1447819.00030002,1447819.00030002
am,NA,acantholumpenus mackayi,1091163.0002960563,1091163.0002960563
am,NA,acanthomenia arcuata,0,0
am,NA,acanthomunna spinipes,3977.9999878257513,3977.9999878257513
am,NA,acanthomysis longicornis,769611.0001908615,769611.0001908615
am,NA,acanthonotozomoides oatesi,463707.00002703816,463707.00002703816
am,NA,acanthonus armatus,65117441.000350006,719345.0003461912
am,NA,acanthonyx limbatus,913750.000435859,913750.000435859
am,NA,acanthonyx petiverii,1082642.0002149418,1082642.0002149418
iucn,170230,acanthopagrus akazakii,30337.999978661537,30337.999978661537
am,NA,acanthopagrus arabicus,1536096.0003787652,1108796.0003787652
iucn,47166659,acanthopagrus arabicus,750291.0001181066,601491.0001181066
am,NA,acanthopagrus australis,164407.00008235872,164407.00008235872
iucn,170257,acanthopagrus australis,245858.00008941442,245858.00008941442
iucn,170266,acanthopagrus berda,1804556.000650674,1804556.000650674
am,NA,acanthopagrus bifasciatus,426438.00020068884,426438.00020068884
iucn,170239,acanthopagrus bifasciatus,605560.0002478808,605560.0002478808
am,NA,acanthopagrus butcheri,366121.0001450032,366121.0001450032
iucn,170189,acanthopagrus butcheri,369197.00008928776,369197.00008928776
iucn,47136868,acanthopagrus catenula,450260.00024247915,450260.00024247915
am,NA,acanthopagrus chinshira,488738.00018019974,400338.00018019974
iucn,170179,acanthopagrus chinshira,19482.000002264977,16382.000002264977
am,NA,acanthopagrus latus,280340.0000795722,280340.0000795722
iucn,170263,acanthopagrus latus,1047644.0002726391,1047644.0002726391
iucn,170217,acanthopagrus longispinnis,218320.0000198558,142720.0000198558
iucn,47166619,acanthopagrus morrisoni,563239.0000520274,496639.0000520274
iucn,170228,acanthopagrus omanensis,11318.000012636185,11318.000012636185
iucn,47385652,acanthopagrus pacificus,7512382.0011764765,4279505.001172423
am,NA,acanthopagrus palmaris,202301.00006442517,202301.00006442517
iucn,170181,acanthopagrus palmaris,384405.0000641495,384405.0000641495
iucn,170188,acanthopagrus randalli,321251.00009553134,269051.00009553134
am,NA,acanthopagrus schlegelii,422779.0001668036,422779.0001668036
iucn,170153,acanthopagrus schlegelii,1743170.0003603473,1743170.0003603473
iucn,47166662,acanthopagrus sheim,316131.00009672344,267231.00009672344
iucn,170199,acanthopagrus sivicolus,36467.00002551079,36467.00002551079
iucn,170235,acanthopagrus taiwanensis,36967.000007629395,36967.000007629395
iucn,170173,acanthopagrus vagus,109781.00004792213,109781.00004792213
am,NA,acanthophora spicifera,6627387.002783269,6627387.002783269
am,NA,acanthophrys cristimanus,33911.00005302578,33911.00005302578
am,NA,acanthoplesiops echinatus,2259666.0005081445,1479489.0005040914
am,NA,acanthoplesiops hiatti,1719383.0008937046,1719383.0008937046
am,NA,acanthoplesiops indicus,646599.0003332496,646599.0003332496
am,NA,acanthoplesiops psilogaster,921874.0005340427,921874.0005340427
am,NA,acanthopleura gemmata,3459774.0020986646,3459774.0020986646
am,NA,acanthopleura granulata,552119.0001986921,552119.0001986921
am,NA,acanthopleura spinosa,2246063.001144491,2246063.001144491
am,NA,acanthopsetta nadeshnyi,428226.0002633557,428226.0002633557
am,NA,acanthoptilum agassizii,1244465.000239201,1244465.000239201
am,NA,acanthoptilum pourtalesii,626258.000087738,626258.000087738
am,NA,acanthoscina acanthodes,1383774.000092037,557088.0000906065
am,NA,acanthosphex leurynnis,6064278.002298251,6064278.002298251
am,NA,acanthosquilla acanthocarpus,5049757.001842931,5049757.001842931
am,NA,acanthosquilla crosnieri,13241.000018455088,13241.000018455088
am,NA,acanthosquilla derijardi,2826376.001325622,2826376.001325622
am,NA,acanthosquilla multifasciata,3079099.001337588,3079099.001337588
am,NA,acanthosquilla wilsoni,1801306.0004960746,1801306.0004960746
am,NA,acanthostepheia malmgreni,610717.0004062355,610717.0004062355
am,NA,acanthostracion guineense,200714.00002911687,200714.00002911687
am,NA,acanthostracion notacanthus,278313.9999948442,278313.9999948442
am,NA,acanthostracion polygonius,1220364.0003250912,1220364.0003250912
am,NA,acanthostracion quadricornis,2100586.0003773123,2100586.0003773123
am,NA,acanthostrongylophora ingens,894245.0003478676,894245.0003478676
am,NA,acanthostylotella cornuta,1196543.0003425106,1196543.0003425106
am,NA,acanthotrophon striatoides,696922.0001043752,696922.0001043752
am,NA,acanthurus achilles,641119.0004011616,641119.0004011616
iucn,177960,acanthurus achilles,370695.0003683567,370695.0003683567
iucn,114154997,acanthurus albimento,15664.000004529953,3964.000004529953
am,NA,acanthurus albipectoralis,297243.00009571016,297243.00009571016
iucn,178007,acanthurus albipectoralis,388131.0001641512,388131.0001641512
am,NA,acanthurus auranticavus,3257693.001533486,3257693.001533486
iucn,177974,acanthurus auranticavus,3049779.001225345,3049779.001225345
am,NA,acanthurus bahianus,245341.99999719858,245341.99999719858
iucn,177985,acanthurus bahianus,209415.00000953674,209415.00000953674
iucn,177978,acanthurus bariene,4600016.00157246,4600016.00157246
am,NA,acanthurus blochii,3516373.001875356,3516373.001875356
iucn,177971,acanthurus blochii,2807098.0015285313,2807098.0015285313
am,NA,acanthurus chirurgus,1703679.0003892034,1703679.0003892034
iucn,177982,acanthurus chirurgus,1969037.0004596189,1969037.0004596189
iucn,177966,acanthurus chronixis,993.9999997615814,993.9999997615814
am,NA,acanthurus coeruleus,1291630.000240542,1291630.000240542
iucn,177953,acanthurus coeruleus,1596494.0003918484,1596494.0003918484
am,NA,acanthurus dussumieri,5119822.002000362,5119822.002000362
iucn,177981,acanthurus dussumieri,5448786.001969315,5448786.001969315
am,NA,acanthurus fowleri,3276739.00125511,3276739.00125511
iucn,177959,acanthurus fowleri,1477249.0008655936,1477249.0008655936
am,NA,acanthurus gahhm,373097.0001498237,373097.0001498237
iucn,154818,acanthurus gahhm,296966.0001665354,296966.0001665354
am,NA,acanthurus grammoptilus,985321.0002902895,985321.0002902895
iucn,178006,acanthurus grammoptilus,1613156.0002906248,1613156.0002906248
am,NA,acanthurus guttatus,1889237.00105194,1889237.00105194
iucn,177995,acanthurus guttatus,2388708.0015022308,2388708.0015022308
am,NA,acanthurus japonicus,3462041.001676768,3462041.001676768
iucn,177977,acanthurus japonicus,620537.0003059506,620537.0003059506
am,NA,acanthurus leucocheilus,1131639.0004716814,1131639.0004716814
iucn,177994,acanthurus leucocheilus,2151400.001218915,2151400.001218915
am,NA,acanthurus leucopareius,1294004.0006160736,1294004.0006160736
iucn,178011,acanthurus leucopareius,575398.000235483,575398.000235483
am,NA,acanthurus leucosternon,1331498.0006475002,1331498.0006475002
iucn,178000,acanthurus leucosternon,1274536.000634171,1274536.000634171
am,NA,acanthurus lineatus,3776577.00198628,3776577.00198628
iucn,177993,acanthurus lineatus,5443619.0022856,5443619.0022856
am,NA,acanthurus maculiceps,1768009.0011140332,1768009.0011140332
iucn,177957,acanthurus maculiceps,2423937.001343444,2423937.001343444
am,NA,acanthurus mata,5273586.00203488,5273586.00203488
iucn,177967,acanthurus mata,7543566.002514586,7543566.002514586
am,NA,acanthurus monroviae,306939.9999914691,306939.9999914691
iucn,178023,acanthurus monroviae,576963.0000678822,576963.0000678822
am,NA,acanthurus nigricans,4824861.001762748,4824861.001762748
iucn,177969,acanthurus nigricans,4604771.0018845275,4604771.0018845275
am,NA,acanthurus nigricauda,3181598.0015356094,3181598.0015356094
iucn,178017,acanthurus nigricauda,5216588.002123684,5216588.002123684
am,NA,acanthurus nigrofuscus,4423225.002110936,4423225.002110936
iucn,178019,acanthurus nigrofuscus,6889653.002569452,6889653.002569452
am,NA,acanthurus nigroris,2531998.001136817,2531998.001136817
iucn,177999,acanthurus nigroris,32110.000032186508,32110.000032186508
am,NA,acanthurus nubilus,2610554.0012763813,2610554.0012763813
iucn,177961,acanthurus nubilus,1177808.0007959157,1177808.0007959157
am,NA,acanthurus olivaceus,4208099.001674913,4208099.001674913
iucn,177991,acanthurus olivaceus,4220931.001719087,4220931.001719087
am,NA,acanthurus polyzona,106147.0000712201,106147.0000712201
iucn,177984,acanthurus polyzona,169720.00010162592,169720.00010162592
am,NA,acanthurus pyroferus,4520910.001662001,4520910.001662001
iucn,178022,acanthurus pyroferus,4016991.0016482696,4016991.0016482696
am,NA,acanthurus reversus,9381.000016070902,9381.000016070902
iucn,177976,acanthurus reversus,7087.000018358231,7087.000018358231
am,NA,acanthurus sohal,808308.0004034564,808308.0004034564
iucn,177987,acanthurus sohal,605890.0002654642,605890.0002654642
am,NA,acanthurus tennentii,959119.0004935488,959119.0004935488
iucn,177997,acanthurus tennentii,1513021.0006946698,1513021.0006946698
am,NA,acanthurus thompsoni,4660735.001666285,4660735.001666285
iucn,178008,acanthurus thompsoni,4826600.002117269,4826600.002117269
am,NA,acanthurus tractus,224738.00000846386,224738.00000846386
iucn,47139706,acanthurus tractus,1232432.0003457367,1232432.0003457367
am,NA,acanthurus triostegus,5807704.00220491,5807704.00220491
iucn,177965,acanthurus triostegus,6302818.002444319,6302818.002444319
am,NA,acanthurus tristis,514400.000282377,514400.000282377
iucn,177998,acanthurus tristis,745008.0003371462,745008.0003371462
am,NA,acanthurus xanthopterus,5809880.002282746,5809880.002282746
iucn,177989,acanthurus xanthopterus,5426195.00228446,5426195.00228446
iucn,178832,acanthus ebracteatus,2685622.0014475286,2685622.0014475286
iucn,168780,acanthus ilicifolius,218465.99989756942,218465.99989756942
iucn,178837,acanthus volubilis,2310772.001234442,2310772.001234442
am,NA,acar clathrata,281919.00021154433,281919.00021154433
am,NA,acar plicata,5240477.002213523,5240477.002213523
am,NA,acar revelata,8329.000006243587,8329.000006243587
am,NA,acar sandersonae,112540.00003430992,112540.00003430992
am,NA,acarnus bergquistae,3354340.000973083,3354340.000973083
am,NA,acarnus bicladotylotus,946091.0002417862,946091.0002417862
am,NA,acarnus caledoniensis,33064.999993517995,33064.999993517995
am,NA,acarnus erithacus,591233.0003065988,591233.0003065988
am,NA,acarnus innominatus,997715.0001952425,997715.0001952425
am,NA,acarnus nicoleae,607560.0001793355,607560.0001793355
am,NA,acarnus primigenius,2339333.0008203164,2339333.0008203164
am,NA,acarnus wolffgangi,488866.0001806915,488866.0001806915
am,NA,acartia danae,9240277.001184598,7537887.001186982
am,NA,acartia erythraea,2629673.0006245896,1938373.0006245896
am,NA,acartia longiremis,2951162.000767328,2765965.000764467
am,NA,acartia negligens,4020519.0004108474,2920321.00040894
am,NA,acartia spinata,2545696.000256948,1743410.0002555177
am,NA,acartia tonsa,3338023.0004865676,2721726.0004837066
am,NA,acartiella faoensis,1287879.000205174,868879.0002051741
am,NA,acasta conica,3611805.0012156367,3611805.0012156367
am,NA,acasta cyathus,5797854.002110288,5797854.002110288
am,NA,acasta dentifer,3531439.0011176467,3531439.0011176467
am,NA,acasta echinata,4317850.00150837,4317850.00150837
am,NA,acasta fenestrata,5257914.002024941,5257914.002024941
am,NA,acasta japonica,3848518.001493998,3848518.001493998
am,NA,acasta navicula,1799000.0007130206,1799000.0007130206
am,NA,acasta purpurata,877016.0004574805,877016.0004574805
am,NA,acasta spongites,1868904.0006622672,1868904.0006622672
am,NA,acasta squamosa,364073.0002498254,364073.0002498254
am,NA,acasta sulcata,5795379.002309218,5795379.002309218
am,NA,acaudina leucoprocta,1209008.0005265772,1209008.0005265772
am,NA,acaudina molpadioides,5153849.001810141,5153849.001810141
am,NA,acaudina suspecta,263635.0001696497,263635.0001696497
am,NA,acaulis primarius,583569.0001020208,583569.0001020208
am,NA,accalathura crenulata,1198540.0002043694,1198540.0002043694
am,NA,accalathura gigas,211716.0001443699,211716.0001443699
am,NA,accalathura themeda,180775.00000856817,180775.00000856817
am,NA,acentrogobius audax,2957399.001375027,2957399.001375027
am,NA,acentrogobius caninus,4349727.001463249,4349727.001463249
am,NA,acentrogobius cyanomos,4309916.001320444,3130820.0013166294
am,NA,acentrogobius janthinopterus,3172555.001477897,3172555.001477897
am,NA,acentrogobius moloanus,3474093.0015882477,3474093.0015882477
am,NA,acentrogobius multifasciatus,1794279.0009101853,1794279.0009101853
am,NA,acentrogobius nebulosus,3715822.001919709,3715822.001919709
am,NA,acentrogobius suluensis,2189487.0011288673,2189487.0011288673
am,NA,acentrogobius viridipunctatus,5027378.001942113,5027378.001942113
am,NA,acentronura breviperula,4270166.001672298,4270166.001672298
iucn,65363473,acentronura gracilissima,139921.00006341934,139921.00006341934
am,NA,acentronura tentaculata,4121769.0020043403,4121769.0020043403
iucn,46102569,acentronura tentaculata,5210137.001841888,5210137.001841888
am,NA,acentrophryne longidens,210527.00000498444,43127.00000498444
am,NA,aceroides latipes,1998371.0006676614,1998371.0006676614
am,NA,acesta bullisi,137185.0000122562,137185.0000122562
am,NA,acesta colombiana,22112.000020220876,22112.000020220876
am,NA,acesta excavata,15133.99998601526,15133.99998601526
am,NA,acesta maui,898.0000019073486,898.0000019073486
am,NA,acesta patagonica,254578.00013329834,254578.00013329834
am,NA,acesta philippinensis,231101.0001707822,231101.0001707822
am,NA,acesta rathbuni,3913169.0014030784,3913169.0014030784
am,NA,acesta saginata,3660.999995470047,3660.999995470047
am,NA,acesta smithi,165287.0000898838,165287.0000898838
am,NA,acetabularia calyculus,2467463.0010489374,2467463.0010489374
am,NA,acetabularia major,3608899.001235515,2389625.0012286007
am,NA,acetabularia subg,1180462.000223063,770976.0002216324
am,NA,acetes americanus,1699410.0002497435,1464810.0002497435
am,NA,acetes chinensis,812158.0002555624,742558.0002555624
am,NA,acetes erythraeus,4538702.001139335,3593803.0011383817
am,NA,acetes japonicus,6634783.001212776,5237699.001209438
am,NA,acetes vulgaris,1711034.000502713,1468435.0005017594
