spp_gp,rank,name,parent,parent_level
dolichodasys elongatus,phylum,gastrotricha,animalia,kingdom
dolichodasys elongatus,class,not assigned,gastrotricha,phylum
dolichodasys elongatus,order,macrodasyida,not assigned,class
dolichodasys elongatus,family,cephalodasyidae,macrodasyida,order
dolichodasys elongatus,genus,dolichodasys,cephalodasyidae,family
dolichodasys elongatus,species,dolichodasys elongatus,dolichodasys,genus
dolioletta gegenbaueri,phylum,chordata,animalia,kingdom
dolioletta gegenbaueri,class,thaliacea,chordata,phylum
dolioletta gegenbaueri,order,doliolida,thaliacea,class
dolioletta gegenbaueri,family,doliolidae,doliolida,order
dolioletta gegenbaueri,genus,dolioletta,doliolidae,family
dolioletta gegenbaueri,species,dolioletta gegenbaueri,dolioletta,genus
dolomena variabilis,phylum,mollusca,animalia,kingdom
dolomena variabilis,class,gastropoda,mollusca,phylum
dolomena variabilis,order,littorinimorpha,gastropoda,class
dolomena variabilis,family,strombidae,littorinimorpha,order
dolomena variabilis,genus,dolomena,strombidae,family
dolomena variabilis,species,dolomena variabilis,dolomena,genus
donax deltoides,phylum,mollusca,animalia,kingdom
donax deltoides,class,bivalvia,mollusca,phylum
donax deltoides,order,cardiida,bivalvia,class
donax deltoides,family,donacidae,cardiida,order
donax deltoides,genus,donax,donacidae,family
donax deltoides,species,donax deltoides,donax,genus
doridoxa ingolfiana,phylum,mollusca,animalia,kingdom
doridoxa ingolfiana,class,gastropoda,mollusca,phylum
doridoxa ingolfiana,order,nudibranchia,gastropoda,class
doridoxa ingolfiana,family,doridoxidae,nudibranchia,order
doridoxa ingolfiana,genus,doridoxa,doridoxidae,family
doridoxa ingolfiana,species,doridoxa ingolfiana,doridoxa,genus
doriopsilla pharpa,phylum,mollusca,animalia,kingdom
doriopsilla pharpa,class,gastropoda,mollusca,phylum
doriopsilla pharpa,order,nudibranchia,gastropoda,class
doriopsilla pharpa,family,dendrodorididae,nudibranchia,order
doriopsilla pharpa,genus,doriopsilla,dendrodorididae,family
doriopsilla pharpa,species,doriopsilla pharpa,doriopsilla,genus
doriopsis flabellifera,phylum,mollusca,animalia,kingdom
doriopsis flabellifera,class,gastropoda,mollusca,phylum
doriopsis flabellifera,order,nudibranchia,gastropoda,class
doriopsis flabellifera,family,dorididae,nudibranchia,order
doriopsis flabellifera,genus,doriopsis,dorididae,family
doriopsis flabellifera,species,doriopsis flabellifera,doriopsis,genus
dorymenia quincarinata,phylum,mollusca,animalia,kingdom
dorymenia quincarinata,class,solenogastres,mollusca,phylum
dorymenia quincarinata,order,cavibelonia,solenogastres,class
dorymenia quincarinata,family,proneomeniidae,cavibelonia,order
dorymenia quincarinata,genus,dorymenia,proneomeniidae,family
dorymenia quincarinata,species,dorymenia quincarinata,dorymenia,genus
dorymenia sarsii,phylum,mollusca,animalia,kingdom
dorymenia sarsii,class,solenogastres,mollusca,phylum
dorymenia sarsii,order,cavibelonia,solenogastres,class
dorymenia sarsii,family,proneomeniidae,cavibelonia,order
dorymenia sarsii,genus,dorymenia,proneomeniidae,family
dorymenia sarsii,species,dorymenia sarsii,dorymenia,genus
dorymenia tricarinata,phylum,mollusca,animalia,kingdom
dorymenia tricarinata,class,solenogastres,mollusca,phylum
dorymenia tricarinata,order,cavibelonia,solenogastres,class
dorymenia tricarinata,family,proneomeniidae,cavibelonia,order
dorymenia tricarinata,genus,dorymenia,proneomeniidae,family
dorymenia tricarinata,species,dorymenia tricarinata,dorymenia,genus
dorymenia usarpi,phylum,mollusca,animalia,kingdom
dorymenia usarpi,class,solenogastres,mollusca,phylum
dorymenia usarpi,order,cavibelonia,solenogastres,class
dorymenia usarpi,family,proneomeniidae,cavibelonia,order
dorymenia usarpi,genus,dorymenia,proneomeniidae,family
dorymenia usarpi,species,dorymenia usarpi,dorymenia,genus
doryrhamphus excisus,phylum,chordata,animalia,kingdom
doryrhamphus excisus,class,actinopterygii,chordata,phylum
doryrhamphus excisus,order,syngnathiformes,actinopterygii,class
doryrhamphus excisus,family,syngnathidae,syngnathiformes,order
doryrhamphus excisus,genus,doryrhamphus,syngnathidae,family
doryrhamphus excisus,species,doryrhamphus excisus,doryrhamphus,genus
doryteuthis gahi,phylum,mollusca,animalia,kingdom
doryteuthis gahi,class,cephalopoda,mollusca,phylum
doryteuthis gahi,order,myopsida,cephalopoda,class
doryteuthis gahi,family,loliginidae,myopsida,order
doryteuthis gahi,genus,doryteuthis,loliginidae,family
doryteuthis gahi,species,doryteuthis gahi,doryteuthis,genus
doryteuthis ocula,phylum,mollusca,animalia,kingdom
doryteuthis ocula,class,cephalopoda,mollusca,phylum
doryteuthis ocula,order,myopsida,cephalopoda,class
doryteuthis ocula,family,loliginidae,myopsida,order
doryteuthis ocula,genus,doryteuthis,loliginidae,family
doryteuthis ocula,species,doryteuthis ocula,doryteuthis,genus
doryteuthis opalescens,phylum,mollusca,animalia,kingdom
doryteuthis opalescens,class,cephalopoda,mollusca,phylum
doryteuthis opalescens,order,myopsida,cephalopoda,class
doryteuthis opalescens,family,loliginidae,myopsida,order
doryteuthis opalescens,genus,doryteuthis,loliginidae,family
doryteuthis opalescens,species,doryteuthis opalescens,doryteuthis,genus
doryteuthis pealeii,phylum,mollusca,animalia,kingdom
doryteuthis pealeii,class,cephalopoda,mollusca,phylum
doryteuthis pealeii,order,myopsida,cephalopoda,class
doryteuthis pealeii,family,loliginidae,myopsida,order
doryteuthis pealeii,genus,doryteuthis,loliginidae,family
doryteuthis pealeii,species,doryteuthis pealeii,doryteuthis,genus
doryteuthis pleii,phylum,mollusca,animalia,kingdom
doryteuthis pleii,class,cephalopoda,mollusca,phylum
doryteuthis pleii,order,myopsida,cephalopoda,class
doryteuthis pleii,family,loliginidae,myopsida,order
doryteuthis pleii,genus,doryteuthis,loliginidae,family
doryteuthis pleii,species,doryteuthis pleii,doryteuthis,genus
doryteuthis roperi,phylum,mollusca,animalia,kingdom
doryteuthis roperi,class,cephalopoda,mollusca,phylum
doryteuthis roperi,order,myopsida,cephalopoda,class
doryteuthis roperi,family,loliginidae,myopsida,order
doryteuthis roperi,genus,doryteuthis,loliginidae,family
doryteuthis roperi,species,doryteuthis roperi,doryteuthis,genus
dosinia elegans,phylum,mollusca,animalia,kingdom
dosinia elegans,class,bivalvia,mollusca,phylum
dosinia elegans,order,venerida,bivalvia,class
dosinia elegans,family,veneridae,venerida,order
dosinia elegans,genus,dosinia,veneridae,family
dosinia elegans,species,dosinia elegans,dosinia,genus
draculiciteria tesselata,phylum,gastrotricha,animalia,kingdom
draculiciteria tesselata,class,not assigned,gastrotricha,phylum
draculiciteria tesselata,order,chaetonotida,not assigned,class
draculiciteria tesselata,family,xenotrichulidae,chaetonotida,order
draculiciteria tesselata,genus,draculiciteria,xenotrichulidae,family
draculiciteria tesselata,species,draculiciteria tesselata,draculiciteria,genus
drillia bealiana,phylum,mollusca,animalia,kingdom
drillia bealiana,class,gastropoda,mollusca,phylum
drillia bealiana,order,neogastropoda,gastropoda,class
drillia bealiana,family,drilliidae,neogastropoda,order
drillia bealiana,genus,drillia,drilliidae,family
drillia bealiana,species,drillia bealiana,drillia,genus
drillia cydia,phylum,mollusca,animalia,kingdom
drillia cydia,class,gastropoda,mollusca,phylum
drillia cydia,order,neogastropoda,gastropoda,class
drillia cydia,family,drilliidae,neogastropoda,order
drillia cydia,genus,drillia,drilliidae,family
drillia cydia,species,drillia cydia,drillia,genus
drillia enae,phylum,mollusca,animalia,kingdom
drillia enae,class,gastropoda,mollusca,phylum
drillia enae,order,neogastropoda,gastropoda,class
drillia enae,family,drilliidae,neogastropoda,order
drillia enae,genus,drillia,drilliidae,family
drillia enae,species,drillia enae,drillia,genus
drillia wolfei,phylum,mollusca,animalia,kingdom
drillia wolfei,class,gastropoda,mollusca,phylum
drillia wolfei,order,neogastropoda,gastropoda,class
drillia wolfei,family,drilliidae,neogastropoda,order
drillia wolfei,genus,drillia,drilliidae,family
drillia wolfei,species,drillia wolfei,drillia,genus
drilliola pruina,phylum,mollusca,animalia,kingdom
drilliola pruina,class,gastropoda,mollusca,phylum
drilliola pruina,order,neogastropoda,gastropoda,class
drilliola pruina,family,borsoniidae,neogastropoda,order
drilliola pruina,genus,drilliola,borsoniidae,family
drilliola pruina,species,drilliola pruina,drilliola,genus
dromia wilsoni,phylum,arthropoda,animalia,kingdom
dromia wilsoni,class,malacostraca,arthropoda,phylum
dromia wilsoni,order,decapoda,malacostraca,class
dromia wilsoni,family,dromiidae,decapoda,order
dromia wilsoni,genus,dromia,dromiidae,family
dromia wilsoni,species,dromia wilsoni,dromia,genus
drupa grossularia,phylum,mollusca,animalia,kingdom
drupa grossularia,class,gastropoda,mollusca,phylum
drupa grossularia,order,neogastropoda,gastropoda,class
drupa grossularia,family,muricidae,neogastropoda,order
drupa grossularia,genus,drupa,muricidae,family
drupa grossularia,species,drupa grossularia,drupa,genus
drupella ochrostoma,phylum,mollusca,animalia,kingdom
drupella ochrostoma,class,gastropoda,mollusca,phylum
drupella ochrostoma,order,neogastropoda,gastropoda,class
drupella ochrostoma,family,muricidae,neogastropoda,order
drupella ochrostoma,genus,drupella,muricidae,family
drupella ochrostoma,species,drupella ochrostoma,drupella,genus
dudresnaya crassa,phylum,rhodophyta,plantae,kingdom
dudresnaya crassa,class,florideophyceae,rhodophyta,phylum
dudresnaya crassa,order,gigartinales,florideophyceae,class
dudresnaya crassa,family,dumontiaceae,gigartinales,order
dudresnaya crassa,genus,dudresnaya,dumontiaceae,family
dudresnaya crassa,species,dudresnaya crassa,dudresnaya,genus
duplicaria baileyi,phylum,mollusca,animalia,kingdom
duplicaria baileyi,class,gastropoda,mollusca,phylum
duplicaria baileyi,order,neogastropoda,gastropoda,class
duplicaria baileyi,family,terebridae,neogastropoda,order
