k,silh
6,0.19716785847175008
7,0.19745706452142894
8,0.21244004128232785
9,0.21995486312663146
10,0.2302596433262769
11,0.23968488372225072
12,0.2526773258089312
13,0.25995172017497115
14,0.2683205114490355
15,0.2752672947886859
16,0.2829560286666458
17,0.28718731948189635
18,0.2940251878330498
19,0.2995244785560805
20,0.3076487418889318
21,0.31375524739977345
22,0.32250907873898704
23,0.327167772232195
24,0.33190937795607034
25,0.3358726246648042
26,0.33645468467291684
27,0.3436762760335442
28,0.34861888380149453
29,0.35148431671138364
30,0.3390259226392982
31,0.3371396022610621
32,0.33978787241068026
33,0.3485908281453641
34,0.3514875812361567
35,0.3555877316110057
