am_sid,species,trait,trait_value
Fis-30810,etropus crossotus,thermal_tolerance_range,5-7.5C
Fis-31440,chaetodon punctatofasciatus,thermal_tolerance_range,2.5-5C
Fis-25012,symphurus nebulosus,thermal_tolerance_range,>15C
Fis-31434,chaetodon lineolatus,thermal_tolerance_range,2.5-5C
Fis-30920,barbourisia rufa,thermal_tolerance_range,>15C
Fis-25058,istigobius rigilius,thermal_tolerance_range,2.5-5C
Fis-25073,stegastes gascoynei,thermal_tolerance_range,5-7.5C
Fis-25074,stegastes limbatus,thermal_tolerance_range,0-2.5C
Fis-30933,pseudamia gelatinosa,thermal_tolerance_range,2.5-5C
Fis-30940,ptereleotris grammica,thermal_tolerance_range,2.5-5C
Fis-25103,cirripectes vanderbilti,thermal_tolerance_range,0-2.5C
Fis-30968,halimuraena shakai,thermal_tolerance_range,2.5-5C
Fis-25128,siganus spinus,thermal_tolerance_range,2.5-5C
Fis-30995,hexatrygon bickelli,thermal_tolerance_range,>15C
Fis-31004,eurypharynx pelecanoides,thermal_tolerance_range,2.5-5C
Fis-25174,argyrops filamentosus,thermal_tolerance_range,2.5-5C
Fis-31017,raja brachyura,thermal_tolerance_range,7.5-10C
Fis-25181,nemipterus nematophorus,thermal_tolerance_range,0-2.5C
Fis-25216,siganus luridus,thermal_tolerance_range,2.5-5C
Fis-25637,labroides dimidiatus,thermal_tolerance_range,2.5-5C
Fis-31052,amphiprion melanopus,thermal_tolerance_range,2.5-5C
Fis-25632,centropyge bicolor,thermal_tolerance_range,2.5-5C
Fis-31390,fistularia commersonii,thermal_tolerance_range,5-7.5C
Fis-167077,ostorhinchus nigrofasciatus,thermal_tolerance_range,2.5-5C
Fis-25464,labrichthys unilineatus,thermal_tolerance_range,2.5-5C
Fis-31128,labropsis micronesica,thermal_tolerance_range,0-2.5C
Fis-31129,labropsis australis,thermal_tolerance_range,2.5-5C
Fis-31133,anampses meleagrides,thermal_tolerance_range,2.5-5C
Fis-31135,anampses geographicus,thermal_tolerance_range,5-7.5C
Fis-25377,sargocentron violaceum,thermal_tolerance_range,2.5-5C
Fis-25380,pterois antennata,thermal_tolerance_range,2.5-5C
Fis-25381,scorpaenodes parvipinnis,thermal_tolerance_range,2.5-5C
Fis-31146,anampses elegans,thermal_tolerance_range,7.5-10C
Fis-31149,scorpaenopsis diabolus,thermal_tolerance_range,2.5-5C
Fis-31150,epinephelus merra,thermal_tolerance_range,2.5-5C
Fis-25403,gephyroberyx darwinii,thermal_tolerance_range,7.5-10C
Fis-21826,scarus dimidiatus,thermal_tolerance_range,2.5-5C
Fis-25405,scarus spinus,thermal_tolerance_range,2.5-5C
Fis-31172,chromis atripes,thermal_tolerance_range,2.5-5C
Fis-21770,macropharyngodon negrosensis,thermal_tolerance_range,2.5-5C
Fis-25410,malacocephalus laevis,thermal_tolerance_range,10-15C
Fis-25465,dascyllus aruanus,thermal_tolerance_range,2.5-5C
Fis-25466,dascyllus trimaculatus,thermal_tolerance_range,2.5-5C
Fis-25567,engyprosopon macrolepis,thermal_tolerance_range,2.5-5C
Fis-25571,epinephelus cyanopodus,thermal_tolerance_range,5-7.5C
Fis-25596,echidna nebulosa,thermal_tolerance_range,2.5-5C
Fis-25597,echidna polyzona,thermal_tolerance_range,2.5-5C
Fis-25598,gymnothorax flavimarginatus,thermal_tolerance_range,2.5-5C
Fis-31372,gymnothorax zonipectis,thermal_tolerance_range,0-2.5C
Fis-25605,uropterygius marmoratus,thermal_tolerance_range,2.5-5C
Fis-25612,myripristis murdjan,thermal_tolerance_range,2.5-5C
Fis-31392,chromis atripectoralis,thermal_tolerance_range,2.5-5C
Fis-25646,antennarius striatus,thermal_tolerance_range,5-7.5C
Fis-25679,epinephelus chlorostigma,thermal_tolerance_range,2.5-5C
Fis-25689,bolbometopon muricatum,thermal_tolerance_range,2.5-5C
Fis-31422,scarus niger,thermal_tolerance_range,2.5-5C
Fis-25218,siganus sutor,thermal_tolerance_range,5-7.5C
Fis-31446,chaetodon tinkeri,thermal_tolerance_range,0-2.5C
Fis-31451,chaetodon vagabundus,thermal_tolerance_range,2.5-5C
Fis-47531,oxycheilinus arenatus,thermal_tolerance_range,0-2.5C
Fis-146180,iniistius aneitensis,thermal_tolerance_range,2.5-5C
Fis-172580,planiliza melinopterus,thermal_tolerance_range,2.5-5C
Fis-152142,paracentropyge multifasciata,thermal_tolerance_range,2.5-5C
Fis-31484,chromis alpha,thermal_tolerance_range,0-2.5C
Fis-25753,chromis amboinensis,thermal_tolerance_range,2.5-5C
Fis-31487,chromis lepidolepis,thermal_tolerance_range,2.5-5C
Fis-25756,chromis viridis,thermal_tolerance_range,2.5-5C
Fis-25759,lepidozygus tapeinosoma,thermal_tolerance_range,2.5-5C
Fis-25768,chrysiptera biocellata,thermal_tolerance_range,2.5-5C
Fis-25776,chrysiptera traceyi,thermal_tolerance_range,0-2.5C
Fis-57933,plectroglyphidodon leucozonus,thermal_tolerance_range,2.5-5C
Fis-31503,pomacentrus philippinus,thermal_tolerance_range,2.5-5C
Fis-31507,pomachromis guamensis,thermal_tolerance_range,0-2.5C
Fis-25794,apogonichthys ocellatus,thermal_tolerance_range,2.5-5C
Fis-31511,apogonichthys perdix,thermal_tolerance_range,2.5-5C
Fis-25796,fowleria punctulata,thermal_tolerance_range,2.5-5C
Fis-25797,fowleria marmorata,thermal_tolerance_range,2.5-5C
Fis-161348,nectamia bandanensis,thermal_tolerance_range,2.5-5C
Fis-165242,ostorhinchus taeniophorus,thermal_tolerance_range,2.5-5C
Fis-159568,zoramia gilberti,thermal_tolerance_range,0-2.5C
Fis-25811,cheilodipterus macrodon,thermal_tolerance_range,2.5-5C
Fis-31537,gymnapogon urospilotus,thermal_tolerance_range,0-2.5C
Fis-25822,kyphosus cinerascens,thermal_tolerance_range,2.5-5C
Fis-25832,scorpaenodes kelloggi,thermal_tolerance_range,2.5-5C
Fis-31549,scorpaenodes varipinnis,thermal_tolerance_range,2.5-5C
Fis-25834,scorpaenodes guamensis,thermal_tolerance_range,2.5-5C
Fis-31550,scorpaenopsis macrochir,thermal_tolerance_range,2.5-5C
Fis-148338,sufflamen chrysopterum,thermal_tolerance_range,2.5-5C
Fis-166133,scolopsis frenata,thermal_tolerance_range,0-2.5C
Fis-25911,choeroichthys brachysoma,thermal_tolerance_range,2.5-5C
Fis-25914,corythoichthys intestinalis,thermal_tolerance_range,2.5-5C
Fis-31610,corythoichthys nigripectus,thermal_tolerance_range,2.5-5C
Fis-25915,cosmocampus banneri,thermal_tolerance_range,2.5-5C
Fis-150344,doryrhamphus negrosensis,thermal_tolerance_range,0-2.5C
Fis-53099,dunckerocampus dactyliophorus,thermal_tolerance_range,2.5-5C
Fis-25923,micrognathus andersonii,thermal_tolerance_range,2.5-5C
Fis-25924,minyichthys myersi,thermal_tolerance_range,2.5-5C
Fis-25932,parupeneus barberinoides,thermal_tolerance_range,2.5-5C
Fis-25933,parupeneus barberinus,thermal_tolerance_range,2.5-5C
Fis-9674,parupeneus trifasciatus,thermal_tolerance_range,2.5-5C
Fis-25936,parupeneus cyclostomus,thermal_tolerance_range,2.5-5C
Fis-25951,halicampus brocki,thermal_tolerance_range,2.5-5C
Fis-31624,naso tuberosus,thermal_tolerance_range,2.5-5C
Fis-25961,balistapus undulatus,thermal_tolerance_range,2.5-5C
Fis-25963,pseudobalistes flavimarginatus,thermal_tolerance_range,2.5-5C
Fis-130767,alticus saliens,thermal_tolerance_range,2.5-5C
Fis-29858,coregonus sardinella,thermal_tolerance_range,2.5-5C
Fis-57962,aspidontus taeniatus,thermal_tolerance_range,2.5-5C
Fis-25992,meiacanthus atrodorsalis,thermal_tolerance_range,2.5-5C
Fis-25994,plagiotremus laudandus,thermal_tolerance_range,2.5-5C
Fis-26077,plectorhinchus picus,thermal_tolerance_range,2.5-5C
Fis-13931,gymnothorax pictus,thermal_tolerance_range,2.5-5C
Fis-26097,arothron nigropunctatus,thermal_tolerance_range,2.5-5C
