am_sid,species,trait,trait_value
W-Bry-111368,gregarinidra gregaria,thermal_tolerance_range,0-2.5C
W-Bry-535857,pyriporoides precocialis,thermal_tolerance_range,2.5-5C
W-Bry-573192,crassimarginatella calva,thermal_tolerance_range,2.5-5C
W-Bry-469320,crassimarginatella spathulata,thermal_tolerance_range,0-2.5C
W-Bry-469321,crassimarginatella vincularia,thermal_tolerance_range,0-2.5C
W-Bry-471770,marssonopora kermadecensis,thermal_tolerance_range,2.5-5C
W-Por-171902,euplectella jovis,thermal_tolerance_range,10-15C
SLB-67653,lichenopora radiata,thermal_tolerance_range,2.5-5C
SLB-67141,membranipora tenuis,thermal_tolerance_range,2.5-5C
W-Bry-469594,lagenipora crenulata,thermal_tolerance_range,0-2.5C
W-Bry-469595,lagenipora ferocissima,thermal_tolerance_range,7.5-10C
SLB-86842,axociella spinosa,thermal_tolerance_range,2.5-5C
SLB-86425,pellina carbonaria,thermal_tolerance_range,0-2.5C
SLB-86694,coelosphaera fistula,thermal_tolerance_range,2.5-5C
W-Por-165675,dictyonella funicularis,thermal_tolerance_range,0-2.5C
SLB-86303,laxosuberites coerulea,thermal_tolerance_range,0-2.5C
SLB-86633,discodermia amphiaster,thermal_tolerance_range,2.5-5C
W-Bry-469596,lagenipora laevissima,thermal_tolerance_range,0-2.5C
W-Bry-470959,osthimosia imperforata,thermal_tolerance_range,0-2.5C
W-Bry-470960,osthimosia virgula,thermal_tolerance_range,2.5-5C
W-Bry-111207,copidozoum tenuirostre,thermal_tolerance_range,2.5-5C
SLB-171907,tremogasterina mucronata,thermal_tolerance_range,0-2.5C
W-Bry-111426,micropora coriacea,thermal_tolerance_range,0-2.5C
W-Bry-467431,klugerella aragoi,thermal_tolerance_range,2.5-5C
W-Bry-111587,umbonula ovicellata,thermal_tolerance_range,2.5-5C
W-Bry-111525,schizoporella dunkeri,thermal_tolerance_range,2.5-5C
SLB-67391,schizoporella longirostris,thermal_tolerance_range,2.5-5C
SLB-67331,escharina hyndmanni,thermal_tolerance_range,2.5-5C
W-Bry-111569,smittoidea marmorea,thermal_tolerance_range,0-2.5C
W-Bry-111573,smittoidea reticulata,thermal_tolerance_range,2.5-5C
W-Bry-469637,chaperiopsis intermediata,thermal_tolerance_range,0-2.5C
W-Bry-471964,briarachnia robusta,thermal_tolerance_range,2.5-5C
W-Bry-237802,mollia multijuncta,thermal_tolerance_range,0-2.5C
W-Bry-111430,monoporella nodulifera,thermal_tolerance_range,0-2.5C
W-Bry-422413,rhynchozoon spicatum,thermal_tolerance_range,2.5-5C
SLB-174144,celleporina calciformis,thermal_tolerance_range,0-2.5C
W-Asc-251319,rhopalaea circula,thermal_tolerance_range,0-2.5C
W-Bry-471094,cornucopina geniculata,thermal_tolerance_range,2.5-5C
W-Bry-469060,beania cribrimorpha,thermal_tolerance_range,7.5-10C
W-Bry-467443,membraniporella figularioides,thermal_tolerance_range,0-2.5C
W-Bry-111328,puellina gattyae,thermal_tolerance_range,0-2.5C
W-Bry-469676,chorizopora ferocissima,thermal_tolerance_range,0-2.5C
W-Bry-469677,chorizopora spicata,thermal_tolerance_range,0-2.5C
W-Bry-472269,gigantopora proximalis,thermal_tolerance_range,0-2.5C
W-Bry-722999,thrypticocirrus monomorpha,thermal_tolerance_range,0-2.5C
W-Bry-472330,rogicka oceanica,thermal_tolerance_range,0-2.5C
W-Bry-469095,hippomonavella gymnae,thermal_tolerance_range,0-2.5C
W-Bry-470564,smittoidea curtisensis,thermal_tolerance_range,0-2.5C
W-Bry-470565,smittoidea hyalina,thermal_tolerance_range,5-7.5C
W-Bry-472010,hippothyris aganactete,thermal_tolerance_range,2.5-5C
W-Bry-469994,fenestrulina catastictos,thermal_tolerance_range,0-2.5C
W-Bry-470488,smittina spiraminifera,thermal_tolerance_range,0-2.5C
W-Bry-111548,parasmittina tropica,thermal_tolerance_range,0-2.5C
W-Bry-111765,tubulipora plumosa,thermal_tolerance_range,0-2.5C
W-Bry-111206,copidozoum planum,thermal_tolerance_range,2.5-5C
SLB-66955,puellina venusta,thermal_tolerance_range,0-2.5C
W-Asc-103705,ascidia iberica,thermal_tolerance_range,5-7.5C
W-Asc-250018,ascidia ornata,thermal_tolerance_range,0-2.5C
W-Asc-250034,ascidia tapuni,thermal_tolerance_range,2.5-5C
W-Asc-250775,lissoclinum abdominale,thermal_tolerance_range,0-2.5C
W-Asc-250815,lissoclinum tuheiavae,thermal_tolerance_range,0-2.5C
W-Asc-251169,polysyncraton pontoniae,thermal_tolerance_range,2.5-5C
W-Asc-103606,distaplia corolla,thermal_tolerance_range,2.5-5C
W-Asc-250961,octacnemus bythius,thermal_tolerance_range,0-2.5C
W-Asc-251363,situla galeata,thermal_tolerance_range,0-2.5C
W-Asc-250175,ecteinascidia imperfecta,thermal_tolerance_range,2.5-5C
W-Asc-250443,cystodytes solitus,thermal_tolerance_range,2.5-5C
W-Asc-250444,cystodytes violatinctus,thermal_tolerance_range,2.5-5C
W-Asc-251567,eucoelium mariae,thermal_tolerance_range,7.5-10C
W-Asc-250191,eudistoma album,thermal_tolerance_range,2.5-5C
W-Asc-250259,eudistoma tarponense,thermal_tolerance_range,0-2.5C
W-Asc-251112,polyclinum pute,thermal_tolerance_range,0-2.5C
W-Asc-249961,asajirus gulosus,thermal_tolerance_range,>15C
W-Asc-249963,asajirus ovirarus,thermal_tolerance_range,0-2.5C
W-Asc-103892,eusynstyela hartmeyeri,thermal_tolerance_range,2.5-5C
W-Asc-250061,bathypera goreaui,thermal_tolerance_range,7.5-10C
W-Asc-251313,pyura viarecta,thermal_tolerance_range,0-2.5C
W-Asc-250058,bathyoncus lanatus,thermal_tolerance_range,2.5-5C
W-Asc-103856,bathystyeloides dubius,thermal_tolerance_range,0-2.5C
W-Asc-250066,bathystyeloides mexicanus,thermal_tolerance_range,0-2.5C
W-Asc-250987,polyandrocarpa polypora,thermal_tolerance_range,0-2.5C
W-Asc-250988,polyandrocarpa rollandi,thermal_tolerance_range,0-2.5C
W-Asc-251007,polycarpa cartilaginea,thermal_tolerance_range,0-2.5C
W-Asc-251078,polycarpa tumida,thermal_tolerance_range,0-2.5C
W-Pyc-134706,nymphon schimkewitschi,thermal_tolerance_range,0-2.5C
W-Pyc-239433,anoplodactylus bahamensis,thermal_tolerance_range,0-2.5C
W-Pyc-239744,anoplodactylus chamorrus,thermal_tolerance_range,2.5-5C
W-Pyc-134717,anoplodactylus compositus,thermal_tolerance_range,0-2.5C
W-Pyc-239554,anoplodactylus dauphinus,thermal_tolerance_range,0-2.5C
W-Pyc-239948,anoplodactylus imswe,thermal_tolerance_range,0-2.5C
W-Pyc-240342,anoplodactylus iuleus,thermal_tolerance_range,5-7.5C
W-Pyc-240028,anoplodactylus jonesi,thermal_tolerance_range,2.5-5C
W-Pyc-240379,anoplodactylus justi,thermal_tolerance_range,0-2.5C
W-Pyc-239536,anoplodactylus massiliformis,thermal_tolerance_range,0-2.5C
SLB-30237,anoplodactylus multiclavus,thermal_tolerance_range,0-2.5C
W-Pyc-240011,anoplodactylus polignaci,thermal_tolerance_range,2.5-5C
W-Pyc-239818,anoplodactylus simulator,thermal_tolerance_range,2.5-5C
W-Pyc-239694,anoplodactylus versluysi,thermal_tolerance_range,2.5-5C
W-Pyc-239585,pallenopsis childi,thermal_tolerance_range,2.5-5C
W-Pyc-239735,pallenopsis forficifera,thermal_tolerance_range,10-15C
W-Pyc-239877,pallenopsis kempfi,thermal_tolerance_range,2.5-5C
SLB-30337,pallenopsis mollissima,thermal_tolerance_range,0-2.5C
W-Pyc-239616,pentapycnon geayi,thermal_tolerance_range,0-2.5C
SLB-30440,pycnogonum pusillum,thermal_tolerance_range,0-2.5C
W-Pyc-239713,pycnogonum reticulatum,thermal_tolerance_range,0-2.5C
W-Pyc-240173,rhynchothorax crenatus,thermal_tolerance_range,0-2.5C
W-Pyc-240144,achelia gracilis,thermal_tolerance_range,0-2.5C
W-Pyc-134601,achelia langi,thermal_tolerance_range,2.5-5C
W-Pyc-134613,ammothella longioculata,thermal_tolerance_range,0-2.5C
W-Pyc-239516,ammothella marcusi,thermal_tolerance_range,0-2.5C
W-Pyc-239405,ammothella pacifica,thermal_tolerance_range,>15C
W-Pyc-240121,ammothella spinifera,thermal_tolerance_range,0-2.5C
W-Pyc-134617,ammothella uniunguiculata,thermal_tolerance_range,0-2.5C
W-Pyc-240009,ascorhynchus colei,thermal_tolerance_range,2.5-5C
W-Pyc-240149,ascorhynchus fragilis,thermal_tolerance_range,0-2.5C
W-Pyc-266329,ascorhynchus horologius,thermal_tolerance_range,0-2.5C
W-Pyc-239824,ascorhynchus miniscapus,thermal_tolerance_range,0-2.5C
W-Pyc-239875,ascorhynchus okai,thermal_tolerance_range,5-7.5C
W-Pyc-134623,ascorhynchus pudicus,thermal_tolerance_range,0-2.5C
W-Pyc-239691,ascorhynchus serratus,thermal_tolerance_range,2.5-5C
W-Pyc-239711,ascorhynchus seticauda,thermal_tolerance_range,10-15C
W-Pyc-239968,eurycyde unispina,thermal_tolerance_range,2.5-5C
W-Pyc-240198,hedgpethius tridentatus,thermal_tolerance_range,2.5-5C
W-Pyc-239951,nymphopsis anarthra,thermal_tolerance_range,0-2.5C
W-Pyc-172986,sericosura mitrata,thermal_tolerance_range,>15C
W-Pyc-239606,tanystylum acuminatum,thermal_tolerance_range,2.5-5C
W-Pyc-134634,tanystylum conirostre,thermal_tolerance_range,5-7.5C
W-Pyc-239655,austrodecus pentamerum,thermal_tolerance_range,0-2.5C
W-Pyc-134638,pantopipetta armoricana,thermal_tolerance_range,7.5-10C
W-Pyc-239560,anoropallene laysani,thermal_tolerance_range,0-2.5C
W-Pyc-240035,callipallene longicoxa,thermal_tolerance_range,2.5-5C
W-Pyc-134647,callipallene spectrum,thermal_tolerance_range,10-15C
W-Pyc-239898,cheilopallene clavigera,thermal_tolerance_range,0-2.5C
W-Pyc-239687,parapallene bermudensis,thermal_tolerance_range,2.5-5C
W-Pyc-239533,parapallene parviunguicularis,thermal_tolerance_range,2.5-5C
W-Pyc-239783,seguapallene micronesica,thermal_tolerance_range,0-2.5C
W-Pyc-239518,colossendeis gardineri,thermal_tolerance_range,0-2.5C
W-Pyc-239637,colossendeis melancholicus,thermal_tolerance_range,0-2.5C
W-Pyc-239712,pentacolossendeis reticulata,thermal_tolerance_range,0-2.5C
W-Pyc-239997,endeis nodosa,thermal_tolerance_range,10-15C
W-Pyc-239857,nymphon discorsicoxae,thermal_tolerance_range,0-2.5C
SLB-71599,idioteuthis danae,thermal_tolerance_range,2.5-5C
W-Msc-139174,cirrothauma murrayi,thermal_tolerance_range,0-2.5C
W-Msc-342199,rossia tortugaensis,thermal_tolerance_range,>15C
SLB-188230,doryteuthis ocula,thermal_tolerance_range,>15C
W-Msc-141455,sepiola aurantiaca,thermal_tolerance_range,2.5-5C
W-Msc-342054,scaeurgus patagiatus,thermal_tolerance_range,5-7.5C
W-Msc-342011,octopus oliveri,thermal_tolerance_range,5-7.5C
SLB-71002,benthoctopus oregonae,thermal_tolerance_range,2.5-5C
W-Msc-342362,lycoteuthis springeri,thermal_tolerance_range,0-2.5C
W-Msc-410348,cirrothauma magna,thermal_tolerance_range,0-2.5C
W-Gtr-114520,halichaetonotus paradoxus,thermal_tolerance_range,10-15C
W-Msc-386512,acanthochitona roseojugum,thermal_tolerance_range,0-2.5C
W-Msc-387136,ischnochiton niveus,thermal_tolerance_range,2.5-5C
W-Msc-386471,acanthochitona balesae,thermal_tolerance_range,0-2.5C
SLB-80232,lepidopleurus pergranatus,thermal_tolerance_range,10-15C
W-Gtr-114593,mesodasys adenotubulatus,thermal_tolerance_range,2.5-5C
W-Msc-387108,ischnochiton dilatosculptus,thermal_tolerance_range,0-2.5C
W-Msc-387143,ischnochiton pseudovirgatus,thermal_tolerance_range,0-2.5C
W-Msc-386137,callistochiton portobelensis,thermal_tolerance_range,0-2.5C
SLB-80149,chaetopleura janeirensis,thermal_tolerance_range,2.5-5C
SLB-67871,chaetonotus lacunosus,thermal_tolerance_range,7.5-10C
W-Gtr-114567,xenotrichula punctata,thermal_tolerance_range,10-15C
SLB-67776,chaetonotus aegilonensis,thermal_tolerance_range,2.5-5C
SLB-67788,chaetonotus apechochaetus,thermal_tolerance_range,5-7.5C
W-Gtr-247796,halichaetonotus decipiens,thermal_tolerance_range,7.5-10C
W-Gtr-265513,dactylopodola mesotyphle,thermal_tolerance_range,2.5-5C
W-Gtr-114636,pseudostomella etrusca,thermal_tolerance_range,2.5-5C
W-Gtr-114642,ptychostomella tyrrhenica,thermal_tolerance_range,2.5-5C
W-Gtr-114650,tetranchyroderma heterotubulatum,thermal_tolerance_range,2.5-5C
W-Gtr-114659,tetranchyroderma papii,thermal_tolerance_range,5-7.5C
W-Gtr-265587,tetranchyroderma polyprobolostomum,thermal_tolerance_range,0-2.5C
W-Msc-344192,fissidentalium complexum,thermal_tolerance_range,2.5-5C
ITS-154875,lithacrosiphon maldivensis,thermal_tolerance_range,2.5-5C
SLB-88166,nephasoma capilleforme,thermal_tolerance_range,10-15C
SLB-88198,phascolion caupo,thermal_tolerance_range,>15C
SLB-88203,phascolion gerardi,thermal_tolerance_range,0-2.5C
SLB-88205,phascolion hibridum,thermal_tolerance_range,0-2.5C
SLB-88238,phascolosoma lobostomum,thermal_tolerance_range,0-2.5C
W-Msc-344350,gadila iota,thermal_tolerance_range,2.5-5C
W-Msc-344289,cadulus obesus,thermal_tolerance_range,>15C
W-Msc-344362,gadila providensis,thermal_tolerance_range,>15C
W-Msc-344364,gadila rastridens,thermal_tolerance_range,0-2.5C
W-Kin-101115,echinoderes gerardi,thermal_tolerance_range,0-2.5C
W-Kin-265068,echinoderes horni,thermal_tolerance_range,2.5-5C
W-Kin-101122,echinoderes riedli,thermal_tolerance_range,5-7.5C
W-Msc-344451,antalis tubulata,thermal_tolerance_range,0-2.5C
W-Msc-344273,cadulus catharus,thermal_tolerance_range,0-2.5C
W-Msc-344267,cadulus ampullaceus,thermal_tolerance_range,5-7.5C
W-Msc-344277,cadulus cucurbitus,thermal_tolerance_range,0-2.5C
W-Msc-344467,polyschides foweyensis,thermal_tolerance_range,0-2.5C
SLB-88121,aspidosiphon coyi,thermal_tolerance_range,>15C
W-Bra-104063,argyrotheca cistellula,thermal_tolerance_range,10-15C
SLB-30531,platidia davidsoni,thermal_tolerance_range,5-7.5C
W-Cha-266262,sagitta helenae,thermal_tolerance_range,10-15C
W-Cha-266815,paraspadella schizoptera,thermal_tolerance_range,0-2.5C
W-Bra-235436,thecidellina barretti,thermal_tolerance_range,7.5-10C
W-Cha-105442,parasagitta megalophthalma,thermal_tolerance_range,2.5-5C
W-Gtd-265831,agnathiella beckeri,thermal_tolerance_range,2.5-5C
W-Gtd-265618,austrognatharia medusifera,thermal_tolerance_range,0-2.5C
W-Gtd-265623,austrognatharia strunki,thermal_tolerance_range,2.5-5C
W-Gtd-265625,austrognathia christianae,thermal_tolerance_range,2.5-5C
SLB-68497,gnathostomula axi,thermal_tolerance_range,2.5-5C
W-Gtd-265643,gnathostomula peregrina,thermal_tolerance_range,2.5-5C
W-Gtd-114738,labidognathia longicollis,thermal_tolerance_range,2.5-5C
W-Gtd-266026,tenuignathia rikerae,thermal_tolerance_range,2.5-5C
W-Gtd-265963,nanognathia exigua,thermal_tolerance_range,0-2.5C
W-Gtd-265976,onychognathia filifera,thermal_tolerance_range,2.5-5C
W-Gtd-265883,cosmognathia aquila,thermal_tolerance_range,0-2.5C
W-Gtd-265884,cosmognathia arcus,thermal_tolerance_range,2.5-5C
W-Gtd-265654,pterognathia ctenifera,thermal_tolerance_range,0-2.5C
W-Hyd-291216,thermopalia taraxaca,thermal_tolerance_range,0-2.5C
W-Msc-395235,helicoradomenia acredema,thermal_tolerance_range,0-2.5C
W-Msc-449979,lepetodrilus schrolli,thermal_tolerance_range,5-7.5C
SLB-119345,pseudorimula marianae,thermal_tolerance_range,7.5-10C
W-Msc-536902,leptogyra inflata,thermal_tolerance_range,0-2.5C
W-Amp-428676,hirondellea dubia,thermal_tolerance_range,0-2.5C
SLB-119122,eumunida keijii,thermal_tolerance_range,>15C
SLB-119203,raymunida dextralis,thermal_tolerance_range,10-15C
SLB-119205,eumunida treguieri,thermal_tolerance_range,0-2.5C
PBD-275124,munida spinicruris,thermal_tolerance_range,0-2.5C
W-Msc-449999,planorbidella depressa,thermal_tolerance_range,0-2.5C
W-Msc-450000,planorbidella planispira,thermal_tolerance_range,0-2.5C
W-Msc-449957,echinopelta fistulosa,thermal_tolerance_range,0-2.5C
W-Msc-449998,peltospira operculata,thermal_tolerance_range,2.5-5C
SLB-119394,shinkailepas briandi,thermal_tolerance_range,0-2.5C
SLB-119398,eosipho auzendei,thermal_tolerance_range,0-2.5C
W-Msc-449956,desbruyeresia spinosa,thermal_tolerance_range,5-7.5C
W-Msc-450004,provanna ios,thermal_tolerance_range,0-2.5C
W-Msc-450009,provanna nassariaeformis,thermal_tolerance_range,0-2.5C
W-Msc-450011,provanna segonzaci,thermal_tolerance_range,2.5-5C
W-Msc-181098,lurifax vitreus,thermal_tolerance_range,10-15C
W-Msc-181087,phymorhynchus ovatus,thermal_tolerance_range,0-2.5C
W-Msc-505966,bathymodiolus elongatus,thermal_tolerance_range,7.5-10C
W-Msc-505967,bathymodiolus puteoserpentis,thermal_tolerance_range,0-2.5C
W-Msc-396253,gigantidas horikoshii,thermal_tolerance_range,0-2.5C
W-Msc-391001,sinepecten segonzaci,thermal_tolerance_range,7.5-10C
W-Pol-333028,archinome rosacea,thermal_tolerance_range,0-2.5C
W-Pol-328065,galapagomystides aristata,thermal_tolerance_range,0-2.5C
W-Pol-767073,branchinotogluma segonzaci,thermal_tolerance_range,0-2.5C
W-Pol-767074,branchinotogluma trifurcus,thermal_tolerance_range,0-2.5C
W-Pol-327286,branchipolynoe symmytilida,thermal_tolerance_range,2.5-5C
W-Pol-328834,levensteiniella iris,thermal_tolerance_range,0-2.5C
W-Pol-332576,thermiphione fijiensis,thermal_tolerance_range,5-7.5C
W-Pol-332577,thermiphione tufari,thermal_tolerance_range,0-2.5C
W-Pol-332578,thermopolynoe branchiata,thermal_tolerance_range,5-7.5C
W-Pol-329926,protis hydrothermica,thermal_tolerance_range,0-2.5C
SLB-119495,phonospio unilamellata,thermal_tolerance_range,0-2.5C
SLB-119499,amathys lutzi,thermal_tolerance_range,0-2.5C
SLB-119501,copidognathus papillatus,thermal_tolerance_range,5-7.5C
SLB-119502,halacarellus auzendei,thermal_tolerance_range,0-2.5C
W-Cop-135800,aphotopontius atlanteus,thermal_tolerance_range,0-2.5C
W-Cop-348891,aphotopontius baculigerus,thermal_tolerance_range,0-2.5C
W-Cop-348895,aphotopontius limatulus,thermal_tolerance_range,0-2.5C
W-Cop-350037,chasmatopontius thescalus,thermal_tolerance_range,5-7.5C
W-Cop-353789,nilva torifera,thermal_tolerance_range,7.5-10C
W-Cop-355309,rhogobius contractus,thermal_tolerance_range,0-2.5C
W-Cop-361210,rimipontius mediospinifer,thermal_tolerance_range,5-7.5C
W-Cop-355915,stygiopontius brevispina,thermal_tolerance_range,5-7.5C
W-Cop-361212,stygiopontius cladarus,thermal_tolerance_range,0-2.5C
W-Cop-355919,stygiopontius lauensis,thermal_tolerance_range,5-7.5C
W-Cop-135802,stygiopontius pectinatus,thermal_tolerance_range,0-2.5C
W-Cop-351201,ecbathyrion prolixicauda,thermal_tolerance_range,0-2.5C
SLB-119577,oncaea praeclara,thermal_tolerance_range,0-2.5C
SLB-119582,eochionelasmus ohtai,thermal_tolerance_range,5-7.5C
SLB-119589,neobrachylepas relica,thermal_tolerance_range,5-7.5C
SLB-119617,nematocarcinus burukovskyi,thermal_tolerance_range,0-2.5C
SLB-119620,chorocaris chacei,thermal_tolerance_range,0-2.5C
SLB-119622,chorocaris vandoverae,thermal_tolerance_range,0-2.5C
SLB-119624,mirocaris indica,thermal_tolerance_range,0-2.5C
SLB-119627,rimicaris kairei,thermal_tolerance_range,0-2.5C
SLB-119635,munidopsis exuta,thermal_tolerance_range,0-2.5C
W-Bch-395454,austinograea rodriguezensis,thermal_tolerance_range,0-2.5C
SLB-119650,austinograea yunohana,thermal_tolerance_range,0-2.5C
W-Bch-440287,bythograea laubieri,thermal_tolerance_range,0-2.5C
W-Bch-395765,bythograea vrijenhoeki,thermal_tolerance_range,0-2.5C
SLB-119657,cyanagraea preadator,thermal_tolerance_range,0-2.5C
W-Hyd-290000,gonaxia compacta,thermal_tolerance_range,0-2.5C
W-Hyd-290001,gonaxia complexa,thermal_tolerance_range,0-2.5C
W-Hyd-290014,gonaxia persimilis,thermal_tolerance_range,0-2.5C
W-Hyd-290016,gonaxia scalariformis,thermal_tolerance_range,0-2.5C
W-Hyd-290017,gonaxia similis,thermal_tolerance_range,0-2.5C
W-Hyd-284650,eudendrium bermudense,thermal_tolerance_range,2.5-5C
SLB-128680,isognomon anomioides,thermal_tolerance_range,2.5-5C
W-Hyd-285542,sertularella paucicostata,thermal_tolerance_range,0-2.5C
SLB-128217,sertularia ligulata,thermal_tolerance_range,2.5-5C
W-Hyd-285689,symplectoscyphus pedunculatus,thermal_tolerance_range,0-2.5C
SLB-128666,lithophaga lithura,thermal_tolerance_range,5-7.5C
SLB-128750,pachysoma dentatum,thermal_tolerance_range,2.5-5C
W-Msc-596115,cadella mauia,thermal_tolerance_range,5-7.5C
W-Msc-389162,volutomitra ziczac,thermal_tolerance_range,>15C
W-Msc-389146,microvoluta respergens,thermal_tolerance_range,10-15C
SLB-129872,euspira radiata,thermal_tolerance_range,0-2.5C
SLB-130023,gastroptychus paucispina,thermal_tolerance_range,10-15C
SLB-130049,uroptychodes musorstomi,thermal_tolerance_range,>15C
W-Oph-243335,ophiacantha cornuta,thermal_tolerance_range,2.5-5C
W-Oph-243128,asteroschema salix,thermal_tolerance_range,2.5-5C
W-Oph-243119,asteroschema horridum,thermal_tolerance_range,2.5-5C
W-Oph-243446,ophiactis flexuosa,thermal_tolerance_range,5-7.5C
SLB-130155,uroptychus soyomaruae,thermal_tolerance_range,10-15C
SLB-130499,uroptychus jamaicensis,thermal_tolerance_range,10-15C
SLB-130554,uroptychus rugosus,thermal_tolerance_range,0-2.5C
SLB-130766,alpheus coutierei,thermal_tolerance_range,2.5-5C
SLB-130804,alpheus ladronis,thermal_tolerance_range,0-2.5C
W-Msc-221064,melibe pilosa,thermal_tolerance_range,2.5-5C
ITS-Ave-562521,pseudobulweria macgillivrayi,thermal_tolerance_range,0-2.5C
ITS-Ave-723252,pterodroma atrata,thermal_tolerance_range,0-2.5C
SLB-102968,cardium tuberculatum,thermal_tolerance_range,0-2.5C
SLB-102974,cardium aculeatum,thermal_tolerance_range,2.5-5C
SLB-102980,dichelaspis thieli,thermal_tolerance_range,7.5-10C
SLB-103035,altiverruca erecta,thermal_tolerance_range,0-2.5C
SLB-103039,metaverruca aequalis,thermal_tolerance_range,0-2.5C
SLB-103041,metaverruca trisulcata,thermal_tolerance_range,10-15C
W-Por-169674,verongula reiswigi,thermal_tolerance_range,0-2.5C
W-Msc-533249,paradoris mulciber,thermal_tolerance_range,0-2.5C
W-Por-170709,spirastrella hartmani,thermal_tolerance_range,0-2.5C
W-Por-170478,cliona tenuis,thermal_tolerance_range,0-2.5C
W-Hol-242132,chiridota hydrothermica,thermal_tolerance_range,0-2.5C
SLB-91771,ocnus surinamensis,thermal_tolerance_range,2.5-5C
W-Pol-328979,lysarete raquelae,thermal_tolerance_range,0-2.5C
W-Pol-131016,janita fimbriata,thermal_tolerance_range,0-2.5C
SLB-93984,glossodoris symmetricus,thermal_tolerance_range,2.5-5C
W-Msc-599499,halgerda brunneomaculata,thermal_tolerance_range,7.5-10C
W-Kin-101097,antygomonas incomitata,thermal_tolerance_range,0-2.5C
W-Msc-225623,dentalium crosnieri,thermal_tolerance_range,5-7.5C
W-Msc-344278,cadulus curtus,thermal_tolerance_range,10-15C
W-Msc-140859,dorymenia sarsii,thermal_tolerance_range,10-15C
W-Bra-235447,pajaudina atlantica,thermal_tolerance_range,0-2.5C
W-Pyc-239579,cilunculus scaurus,thermal_tolerance_range,2.5-5C
W-Pyc-239800,colossendeis fijigrypos,thermal_tolerance_range,10-15C
W-Msc-344189,fissidentalium amphialum,thermal_tolerance_range,7.5-10C
W-Msc-344568,rhomboxiphus colmani,thermal_tolerance_range,5-7.5C
W-Msc-386511,acanthochitona rhodea,thermal_tolerance_range,0-2.5C
W-Msc-344462,polyschides arnaudi,thermal_tolerance_range,0-2.5C
W-Msc-438911,sepia subplana,thermal_tolerance_range,>15C
W-Msc-344336,gadila bushii,thermal_tolerance_range,0-2.5C
W-Msc-344133,dentalium caledonicum,thermal_tolerance_range,>15C
W-Msc-344194,fissidentalium cornubovis,thermal_tolerance_range,7.5-10C
W-Msc-344141,dentalium deforgesi,thermal_tolerance_range,0-2.5C
SLB-96494,dischides dichelum,thermal_tolerance_range,0-2.5C
W-Msc-344345,gadila elephas,thermal_tolerance_range,>15C
W-Msc-344457,bathycadulus fabrizioi,thermal_tolerance_range,0-2.5C
W-Msc-344437,antalis guillei,thermal_tolerance_range,0-2.5C
W-Msc-344558,costentalina indica,thermal_tolerance_range,0-2.5C
W-Msc-344544,striodentalium kanakorum,thermal_tolerance_range,10-15C
W-Msc-344511,graptacme lactea,thermal_tolerance_range,2.5-5C
W-Msc-344286,cadulus lunulus,thermal_tolerance_range,0-2.5C
W-Scy-423167,atolla tenella,thermal_tolerance_range,0-2.5C
W-Asc-250487,didemnum conchyliatum,thermal_tolerance_range,2.5-5C
W-Asc-250134,diplosoma glandulosum,thermal_tolerance_range,0-2.5C
W-Asc-250698,herdmania pennata,thermal_tolerance_range,0-2.5C
W-Msc-344355,gadila monodonta,thermal_tolerance_range,10-15C
W-Asc-266131,rhopalaea desme,thermal_tolerance_range,0-2.5C
W-Asc-251006,polycarpa carpocincta,thermal_tolerance_range,2.5-5C
W-Msc-196386,gadila strangulata,thermal_tolerance_range,2.5-5C
W-Hyd-290122,hippurella annulata,thermal_tolerance_range,>15C
W-Asc-250679,halocynthia microspinosa,thermal_tolerance_range,0-2.5C
SLB-97776,elysia moebii,thermal_tolerance_range,0-2.5C
W-Msc-494470,elysia rufescens,thermal_tolerance_range,2.5-5C
W-Msc-597112,gymnodoris okinawae,thermal_tolerance_range,2.5-5C
W-Msc-344297,cadulus scarabinoi,thermal_tolerance_range,10-15C
W-Msc-378858,gadila simpsoni,thermal_tolerance_range,0-2.5C
W-Msc-344301,cadulus sofiae,thermal_tolerance_range,0-2.5C
W-Msc-344361,gadila pocula,thermal_tolerance_range,>15C
W-Msc-344423,pulsellum thomassini,thermal_tolerance_range,0-2.5C
W-Msc-344589,compressidens wellsiana,thermal_tolerance_range,0-2.5C
W-Msc-344502,compressidentalium zanzibarense,thermal_tolerance_range,10-15C
W-Asc-103945,asajirus eunuchus,thermal_tolerance_range,>15C
SLB-98206,megabalanus tulipiformis,thermal_tolerance_range,5-7.5C
W-Msc-139805,eulima glabra,thermal_tolerance_range,0-2.5C
W-Msc-385791,leptochiton deforgesi,thermal_tolerance_range,>15C
SLB-98349,barbatia clathrata,thermal_tolerance_range,2.5-5C
W-Msc-225645,manupecten pesfelis,thermal_tolerance_range,0-2.5C
SLB-98409,lima inflata,thermal_tolerance_range,2.5-5C
W-Msc-386317,onithochiton lyellii,thermal_tolerance_range,5-7.5C
W-Hyd-284268,lizzia alvarinoae,thermal_tolerance_range,0-2.5C
W-Hyd-231687,eudendrium simplex,thermal_tolerance_range,0-2.5C
W-Msc-445332,haliotis jacnensis,thermal_tolerance_range,2.5-5C
SLB-98720,stomatia heckeliana,thermal_tolerance_range,7.5-10C
W-Msc-873958,neripteron bensoni,thermal_tolerance_range,5-7.5C
