taxon,spp_gp,stressor,sens_score,adcap_gen_score,adcap_spec_score,vuln_raw,sd_sens,sd_acg,sd_acs,sd_vuln_raw,exposure_mod,vuln,sd_vuln
elasmobranchs,scyliorhinus,entanglement_macroplastic,0.6649866,2.33,0.67,0.312326833499552,0.3350016747445612,0,0,0.1573415348369661,1,0.35675378667943686,0.1797225929200307
elasmobranchs,arhynchobatidae,entanglement_macroplastic,0.6647454,2.33,0.67,0.3122135481608097,0.33500157826406474,0,0,0.15734148952259747,1,0.3566243870594339,0.1797225411599164
elasmobranchs,fontitrygon,entanglement_macroplastic,0.6644573,2.33,0.67,0.312078235117312,0.33500123542307614,0,0,0.15734132849914173,1,0.35646982640220815,0.17972235723166746
elasmobranchs,schroederichthys,entanglement_macroplastic,0.6661189,2.33,0.67,0.3128586452286478,0.3349998064350085,0,0,0.15734065734077798,1,0.35736124600667313,0.17972159060433338
elasmobranchs,torpedinidae,entanglement_macroplastic,0.6635796,2.33,0.67,0.31166600235688857,0.33499866373597226,0,0,0.1573401206448934,1,0.3559989555627528,0.17972097756610358
elasmobranchs,notoraja,entanglement_macroplastic,0.666541,2.33,0.67,0.31305689457144686,0.3349981306760913,0,0,0.15733987028059324,1,0.3575876953416784,0.17972069158871534
elasmobranchs,pastinachus,entanglement_macroplastic,0.6646382,2.66,0.67,0.30674483253756435,0.3350014796395287,0,0,0.15461039219813652,1,0.3503777735840388,0.1766029586976144
elasmobranchs,hypanus,entanglement_macroplastic,0.6647722,2.99,0.67,0.30157214387051645,0.33500159756016634,0,0,0.15197258546050413,1,0.344469295440787,0.1735899369484593
elasmobranchs,brachaeluridae,entanglement_macroplastic,0.6647052,2.99,0.67,0.30154174949837015,0.33500154529988907,0,0,0.151972561752768,1,0.34443457761896096,0.17358990986841452
elasmobranchs,himantura,entanglement_macroplastic,0.6654489,2.99,0.67,0.3018791270291943,0.3350013742479237,0,0,0.15197248415549805,1,0.3448199454412305,0.17358982123331526
elasmobranchs,gymnuridae,entanglement_macroplastic,0.6655829,2.99,0.67,0.3019399157734869,0.335001167886643,0,0,0.1519723905402509,1,0.34488938108488265,0.17358971430176048
elasmobranchs,bathyraja,entanglement_macroplastic,0.6636801,2.99,0.67,0.30107671560453153,0.3349990747864703,0,0,0.15197144101091364,1,0.34390339494502187,0.17358862970655348
elasmobranchs,urogymnus,entanglement_macroplastic,0.6632714,2.99,0.67,0.300891309934439,0.33499721517257686,0,0,0.15197059740200733,1,0.3436916162318828,0.17358766609843682
elasmobranchs,maculabatis,entanglement_macroplastic,0.6629565000000001,2.99,0.67,0.30074845638535136,0.33499544224841815,0,0,0.15196979311966902,1,0.34352844246930025,0.17358674741089872
elasmobranchs,pateobatis,entanglement_macroplastic,0.6676599,2.99,0.67,0.30288214131002267,0.33499111499032513,0,0,0.151967830070522,1,0.3459656335614912,0.1735845051276828
elasmobranchs,dasyatis,entanglement_macroplastic,0.6643032,3.15688,0.67,0.29899613680266557,0.33500095033615546,0.4999927654753168,0,0.15105144322759465,1,0.34152686405994276,0.17253776677153698
elasmobranchs,dipturus,entanglement_macroplastic,0.6661725000000001,3.3200000000000003,0.67,0.2971378173744032,0.3349996231210191,0,0,0.14942234456605055,1,0.33940420784925407,0.170676936852224
elasmobranchs,orbiraja,entanglement_macroplastic,0.6651541,3.33,0.67,0.29653283422336957,0.33500163956938356,0,0,0.14934732515515578,1,0.3387131688258369,0.17059124629976236
elasmobranchs,breviraja,entanglement_macroplastic,0.6653618,3.33,0.67,0.2966254291117844,0.33500147963952887,0,0,0.1493472538567106,1,0.3388189348808986,0.17059116485946466
elasmobranchs,dentiraja,entanglement_macroplastic,0.6655896,3.33,0.67,0.29672698479585236,0.33500115616156656,0,0,0.14934710964676448,1,0.3389349363606437,0.17059100013636425
elasmobranchs,okamejei,entanglement_macroplastic,0.6644104,3.33,0.67,0.2962012847842066,0.33500115616156656,0,0,0.14934710964676448,1,0.33833445811255136,0.17059100013636425
elasmobranchs,spiniraja whitleyi,entanglement_macroplastic,0.6657839,3.33,0.67,0.2968136058204985,0.33500075784372113,0,0,0.14934693207239547,1,0.3390338787992498,0.17059079730291615
elasmobranchs,zearaja,entanglement_macroplastic,0.6657973,3.33,0.67,0.2968195796842672,0.3350007262194751,0,0,0.1493469179739672,1,0.3390407024157054,0.17059078119905596
elasmobranchs,dactylobatus,entanglement_macroplastic,0.6658576,3.33,0.67,0.29684646207122634,0.3350005772772753,0,0,0.14934685157393665,1,0.33907140868975555,0.1705907053539482
elasmobranchs,rostroraja,entanglement_macroplastic,0.6659447000000001,3.33,0.67,0.2968852921857229,0.3350003429762542,0,0,0.14934674712002757,1,0.3391157621967169,0.17059058604198524
elasmobranchs,beringraja,entanglement_macroplastic,0.6636801,3.33,0.67,0.2958757092088124,0.3349990747864703,0,0,0.14934618174741543,1,0.33796257101572147,0.1705899402479047
elasmobranchs,malacoraja,entanglement_macroplastic,0.6636332,3.33,0.67,0.2958548006856219,0.3349988867150174,0,0,0.14934609790314393,1,0.33793868835812685,0.1705898444771987
elasmobranchs,neoraja,entanglement_macroplastic,0.6635863,3.33,0.67,0.2958338921624315,0.3349986920773676,0,0,0.14934601113159138,1,0.3379148057005323,0.17058974536282032
elasmobranchs,hongeo,entanglement_macroplastic,0.666474,3.33,0.67,0.29712125980458665,0.3349984321806531,0,0,0.14934589526684766,1,0.33938529504671294,0.1705896130168877
