taxon,spp_gp,stressor,sens_score,adcap_gen_score,adcap_spec_score,vuln_raw,sd_sens,sd_acg,sd_acs,sd_vuln_raw,exposure_mod,vuln,sd_vuln
elasmobranchs,maculabatis,bycatch,0.385,1.99,1,0.17578206695140314,0.2280030637500643,0,0,0.10410090861620477,1,0.19225648747168458,0.1138573199204414
elasmobranchs,scyliorhinus,bycatch,0.3788,1.33,1,0.1815121121776322,0.21547121749578022,0,0,0.10324877455423716,1,0.1985235566178976,0.11292532324723033
elasmobranchs,schroederichthys,bycatch,0.3786,1.33,1,0.18141627684913292,0.21505182970133405,0,0,0.10304781371899048,1,0.19841873953415007,0.11270552821936447
elasmobranchs,pastinachus,bycatch,0.3804,1.6600000000000001,1,0.17787648926828442,0.21879079935586085,0,0,0.10230741133970069,1,0.1945472005399137,0.11189573480171575
elasmobranchs,dasyatis,bycatch,0.3778,1.33,1,0.1810329355351358,0.2133641601885626,0,0,0.10223912190821713,1,0.19799947119915978,0.11182104523607253
elasmobranchs,notoraja,bycatch,0.377,1.33,1,0.1806495942211387,0.2116600103751259,0,0,0.10142253312230369,1,0.1975802028641695,0.11092792516750553
elasmobranchs,gymnuridae,bycatch,0.3814,1.99,1,0.17413839048120822,0.2208343124578057,0,0,0.10082782311071446,1,0.19045876447194937,0.11027747851003165
elasmobranchs,zapteryx,bycatch,0.38480000000000003,2.65,1,0.16777769888866814,0.22761221730015474,0,0,0.0992418244739279,1,0.1835019443327795,0.10854283895133446
elasmobranchs,hypanus,bycatch,0.3794,1.99,1,0.17322523688665545,0.2167234039202074,0,0,0.09895087765672174,1,0.18946002947209645,0.10822462439118488
elasmobranchs,pateobatis,bycatch,0.3794,1.99,1,0.17322523688665545,0.2167234039202074,0,0,0.09895087765672174,1,0.18946002947209645,0.10822462439118488
elasmobranchs,neoraja,bycatch,0.381,2.33,1,0.16982948727120625,0.22001973033422995,0,0,0.09807306559635522,1,0.1857460277839716,0.10726454315927511
elasmobranchs,fontitrygon,bycatch,0.37360000000000004,1.33,1,0.17902039363665095,0.20422385138934007,0,0,0.09785929942642549,1,0.19579831244046078,0.10703074267163874
elasmobranchs,cephaloscyllium,bycatch,0.38320000000000004,2.66,1,0.16696613762501425,0.22445452984333697,0,0,0.09779829311164004,1,0.1826143229694392,0.10696401880157819
elasmobranchs,dactylobatus,bycatch,0.38,2.33,1,0.16938374058545508,0.21796674494147056,0,0,0.09715795416163708,1,0.18525850540133654,0.10626366682908198
elasmobranchs,somniosidae,bycatch,0.383,2.796136,1,0.1653512099136825,0.22405588634990514,0.16660966736732905,0,0.0966852329095486,1,0.1808480430827249,0.10574664180453909
elasmobranchs,spiniraja whitleyi,bycatch,0.37920000000000004,2.33,1,0.1690271432368541,0.21630699883163448,0,0,0.0964181278339892,1,0.18486848749522844,0.10545450345104536
elasmobranchs,zearaja,bycatch,0.379,2.33,1,0.16893799389970388,0.215889605271613,0,0,0.09623207603795575,1,0.18477098301870143,0.10525101474816716
elasmobranchs,hemigaleidae,bycatch,0.381,2.66,1,0.166007563765998,0.22001973033422995,0,0,0.09586598271190909,1,0.18156591088558546,0.1048506108948434
elasmobranchs,arhynchobatidae,bycatch,0.381,1.33,2,0.16596512106177963,0.22001973033422995,0,0,0.09584147291574954,1,0.18151949042089674,0.10482380402313
elasmobranchs,himantura,bycatch,0.376,1.99,1,0.1716728757759158,0.20950603465225326,0,0,0.09565559431159834,1,0.18776217997234654,0.10462050474380062
elasmobranchs,taeniurops,bycatch,0.376,1.99,1,0.1716728757759158,0.20950603465225326,0,0,0.09565559431159834,1,0.18776217997234654,0.10462050474380062
elasmobranchs,rhynchorhina,bycatch,0.38180000000000003,2.82306,1,0.1645577970318254,0.2216451788716899,0.16998945756468745,0,0.0956046943535093,1,0.1799802709804501,0.10456483440538458
elasmobranchs,dipturus,bycatch,0.37820000000000004,2.3200000000000003,1,0.1686990901694299,0.21421003054814564,0,0,0.09555007207466407,1,0.18450968906066045,0.10450509288765976
elasmobranchs,breviraja,bycatch,0.3778,2.33,1,0.16840309787680244,0.2133641601885626,0,0,0.09510636726213936,1,0.1841859561595393,0.10401980374406433
elasmobranchs,malacoraja,bycatch,0.3774,2.33,1,0.16822479920250197,0.21251417000871003,0,0,0.09472748695654902,1,0.1839909472064853,0.10360541450636618
elasmobranchs,urogymnus,bycatch,0.3748,1.99,1,0.17112498361918416,0.20688528295666858,0,0,0.09445901989597166,1,0.18716293897243477,0.10331178652164848
elasmobranchs,pseudotriakidae,bycatch,0.378,2.494208,1,0.16662433978073005,0.21378760728397156,0.16501460147435426,0,0.09436644754965272,1,0.1822404915877338,0.10321053822909533
elasmobranchs,triakidae,bycatch,0.3806,2.820136,1,0.16403100263352993,0.21920139107672196,0.1700169481449757,0,0.09432559487733186,1,0.1794041050359226,0.10316585681522612
elasmobranchs,brachaeluridae,bycatch,0.37460000000000004,1.99,1,0.17103366825972888,0.20644457821113774,0,0,0.0942578043347127,1,0.1870630654724495,0.10309171289466704
elasmobranchs,torpedinidae,bycatch,0.37920000000000004,1.33,2,0.165181033875661,0.21630699883163448,0,0,0.09422419225092502,1,0.18066191802520748,0.10305495066244563
elasmobranchs,hongeo,bycatch,0.3768,2.33,1,0.16795735119105124,0.21123135121649758,0,0,0.09415567473150098,1,0.1836984337769042,0.1029800116322977
elasmobranchs,beringraja,bycatch,0.37660000000000005,2.33,1,0.167868201853901,0.2108016306044455,0,0,0.09396412819287979,1,0.1836009293003772,0.10277051321564265
