.imp,.id,log_l,log_f,troph,age_mat,wcol,adult_mob,species
3,1052,4.15104,0.34657,4.17,3,bp,mob,phalacrocorax capensis
3,1053,4.15104,0.34657,4.17,3,bp,mig,phalacrocorax capensis
3,1054,4.15104,1.15129,4.17,3,bp,mob,phalacrocorax capensis
3,1055,4.15104,1.15129,4.17,3,bp,mig,phalacrocorax capensis
3,1056,4.38203,0.34657,4.14,3,bp,mob,phalacrocorax nigrogularis
3,1057,4.38203,0.34657,4.14,3,bp,mig,phalacrocorax nigrogularis
3,1058,4.38203,1.15129,4.14,3,bp,mob,phalacrocorax nigrogularis
3,1059,4.38203,1.15129,4.14,3,bp,mig,phalacrocorax nigrogularis
3,1060,3.91202,0.34657,4.18,3,bp,mob,phalacrocorax africanus
3,1061,3.91202,0.34657,4.18,3,bp,mig,phalacrocorax africanus
3,1062,3.91202,0.34657,4.17,3,bp,mob,phalacrocorax africanus
3,1063,3.91202,0.34657,4.17,3,bp,mig,phalacrocorax africanus
3,1064,3.91202,1.15129,4.18,3,bp,mob,phalacrocorax africanus
3,1065,3.91202,1.15129,4.18,3,bp,mig,phalacrocorax africanus
3,1066,3.91202,1.15129,4.17,3,bp,mob,phalacrocorax africanus
3,1067,3.91202,1.15129,4.17,3,bp,mig,phalacrocorax africanus
3,1068,4.27667,0.34657,4.22,3,bp,mob,phalacrocorax atriceps
3,1069,4.27667,0.34657,4.22,3,bp,mig,phalacrocorax atriceps
3,1070,4.27667,0.34657,4.17,3,bp,mob,phalacrocorax atriceps
3,1071,4.27667,0.34657,4.17,3,bp,mig,phalacrocorax atriceps
3,1072,4.27667,1.15129,4.22,3,bp,mob,phalacrocorax atriceps
3,1073,4.27667,1.15129,4.22,3,bp,mig,phalacrocorax atriceps
3,1074,4.27667,1.15129,4.17,3,bp,mob,phalacrocorax atriceps
3,1075,4.27667,1.15129,4.17,3,bp,mig,phalacrocorax atriceps
3,1076,4.17439,0.34657,3.1,3,bp,mob,phalacrocorax verrucosus
3,1077,4.17439,0.34657,3.1,3,bp,mig,phalacrocorax verrucosus
3,1078,4.17439,1.15129,3.1,3,bp,mob,phalacrocorax verrucosus
3,1079,4.17439,1.15129,3.1,3,bp,mig,phalacrocorax verrucosus
3,1080,5.02388,0.34657,4.2,3,bp,mob,pelecanus thagus
3,1081,5.02388,0.34657,4.2,3,bp,mig,pelecanus thagus
3,1082,5.02388,1.15129,4.2,3,bp,mob,pelecanus thagus
3,1083,5.02388,1.15129,4.2,3,bp,mig,pelecanus thagus
3,1084,2.70805,-1.15129,4.09,3,pel,mob,oceanodroma microsoma
3,1085,2.70805,-1.15129,4.09,3,pel,mig,oceanodroma microsoma
3,1086,3.95124,0.34657,4.15,3,bp,mob,larus audouinii
3,1087,3.95124,0.34657,4.15,3,bp,mig,larus audouinii
3,1088,3.95124,1.15129,4.15,3,bp,mob,larus audouinii
3,1089,3.95124,1.15129,4.15,3,bp,mig,larus audouinii
3,1090,3.68888,-1.15129,4.55,3,pel,mig,puffinus mauretanicus
3,1091,3.68888,-1.15129,4.55,7.5,pel,mig,puffinus mauretanicus
3,1092,3.68888,-1.15129,4.55,15,pel,mig,puffinus mauretanicus
