.imp,.id,log_l,log_f,troph,age_mat,wcol,adult_mob,species
1,82,1.50408,NA,3.5,NA,ben,NA,deshayesiella bidentata
1,83,0,NA,2,NA,ben,NA,leptochiton thalattius
1,84,-0.57982,NA,2,NA,ben,NA,leptochiton geronensis
1,85,-0.4943,NA,2,NA,ben,NA,leptochiton darioi
1,86,0.83291,NA,2,NA,ben,NA,leptochiton sykesi
1,87,0.26236,NA,2,NA,ben,NA,leptochiton chariessa
1,88,0,NA,2,NA,ben,NA,leptochiton medinae
1,89,-0.0202,NA,2,NA,ben,NA,leptochiton albemarlensis
1,90,0.40547,NA,2,NA,ben,NA,leptochiton americanus
1,91,0.33647,NA,2,NA,ben,NA,leptochiton fuliginatus
1,92,0.74194,NA,2,NA,ben,NA,leptochiton hakodatensis
1,93,-0.10536,NA,2,NA,ben,NA,deshayesiella curvata
1,94,0.40547,NA,2,NA,ben,NA,nierstraszella lineata
1,95,-0.79851,NA,2,NA,ben,NA,leptochiton hirasei
1,96,0.91629,NA,3.5,NA,ben,NA,leptochiton batialis
1,97,0.91629,NA,3.5,NA,ben,NA,leptochiton rissoi
1,98,0.53063,NA,2,NA,ben,NA,nierstraszella lineata
1,99,0.78846,NA,3.5,NA,ben,NA,chaetopleura isabellei
1,100,0.40547,NA,2,NA,ben,NA,ischnochiton viridulus
1,101,1.74047,NA,2,NA,ben,NA,nuttallochiton hyadesi
1,102,0.74194,NA,2,NA,ben,NA,nuttallochiton martiali
1,103,0.64185,NA,2,NA,ben,NA,ischnochiton stramineus
1,104,1.94591,NA,3.5,NA,ben,NA,tonicia atrata
1,105,2.15176,NA,2,NA,ben,NA,plaxiphora aurata
1,106,3.29584,NA,2,NA,ben,NA,chaetopleura angulata
1,107,0.18232,NA,2,NA,ben,NA,leptochiton pergranatus
1,108,-0.75502,NA,2,NA,ben,NA,lepidochitona rosea
1,109,1.60944,NA,3.5,NA,ben,NA,tonicia smithi
1,110,1.335,NA,3.5,NA,ben,NA,tonicia lebruni
1,111,1.36098,NA,3.5,NA,ben,NA,tonicia lebruni
