.imp,.id,log_l,log_f,troph,age_mat,wcol,adult_mob,species
1,84,5.70378,-1.15129,4.48,9.40615,pel,mob,lissodelphis peronii
1,85,5.94017,-1.15129,4.36,7.5,pel,mob,grampus griseus
1,86,5.6143,-1.15129,4.5,7.5,pel,mob,peponocephala electra
1,87,5.57973,-1.15129,4.35,8,pel,mob,feresa attenuata
1,88,6.30445,-1.15129,4.51,7.5,pel,mob,pseudorca crassidens
1,89,6.17653,-1.15129,4.5,7.5,pel,mig,globicephala macrorhynchus
1,90,6.88262,-1.15129,4.65,15,pel,mob,orcinus orca
1,91,5.61677,-1.15129,4.25,7.5,pel,mob,orcaella brevirostris
1,92,5.04343,-1.15129,4.5,7.76182,pel,mob,phocoena phocoena
1,93,4.97673,-1.15129,4.285,3,pel,mob,phocoena sinus
1,94,5.43808,-1.15129,4.07,5.17455,pel,mob,phocoena dioptrica
1,95,5.29832,-1.15129,4.285,3,pel,mob,phocoena spinipinnis
1,96,5.16192,-1.15129,4.44,7.5,pel,mob,neophocaena phocaenoides
1,97,5.43808,-1.15129,4.5,5.17455,pel,mob,phocoenoides dalli
1,98,6.12468,-1.15129,4.25,7.5,pel,mig,delphinapterus leucas
1,99,6.12468,-1.15129,4.25,7.5,pel,mob,delphinapterus leucas
1,100,6.15273,-1.15129,4.18,7.5,pel,mig,monodon monoceros
1,101,5.79909,-1.15129,4.42,3,ben,mob,phocarctos hookeri
1,102,5.48064,-1.15129,4.5,3,ben,mob,otaria byronia
1,103,5.48064,-1.15129,4.51,3,ben,mob,zalophus californianus
1,104,5.52146,-1.15129,4.34,3,ben,mob,neophoca cinerea
1,105,5.79909,-1.15129,4.38,3,ben,mob,eumetopias jubatus
1,106,4.91998,-1.15129,4.5,3,ben,mob,callorhinus ursinus
1,107,5.63479,-1.15129,3.69,3,ben,mob,monachus monachus
1,108,5.63479,-1.15129,3.69,3,ben,mig,monachus monachus
1,109,5.48064,-1.15129,4.1049999999999995,3,ben,mob,monachus tropicalis
1,110,5.48064,-1.15129,4.1049999999999995,3,ben,mig,monachus tropicalis
1,111,5.48064,-1.15129,4.52,3,ben,mob,monachus schauinslandi
1,112,5.48064,-1.15129,4.52,3,ben,mig,monachus schauinslandi
1,113,5.48064,-1.15129,4.5,3,ben,mob,ommatophoca rossii
1,114,5.48064,-1.15129,4.5,3,ben,mig,ommatophoca rossii
1,115,5.70378,-1.15129,4.5,3,ben,mob,hydrurga leptonyx
1,116,5.70378,-1.15129,4.5,3,ben,mig,hydrurga leptonyx
1,117,5.66988,-1.15129,4.01,3,ben,mob,leptonychotes weddellii
1,118,5.66988,-1.15129,4.01,3,ben,mig,leptonychotes weddellii
1,119,5.84932,-1.15129,4.17,3,pel,mob,mirounga leonina
1,120,5.84932,-1.15129,4.17,3,pel,mig,mirounga leonina
1,121,6.21461,-1.15129,4.5,3,pel,mob,mirounga angustirostris
1,122,6.21461,-1.15129,4.5,3,pel,mig,mirounga angustirostris
1,123,5.68867,-1.15129,2.03,7.5,bp,mob,dugong dugon
1,124,5.96615,-1.15129,2.98,3,ben,mob,trichechus manatus
1,125,5.99146,-1.15129,2.98,3,ben,mob,trichechus senegalensis
1,126,5.43372,-1.15129,4.5,7.5,pel,mob,stenella frontalis
1,127,5.43372,-1.15129,4.5,15,pel,mob,stenella frontalis
1,128,6.50728,-1.15129,4.51,7.5,pel,mig,globicephala melas
1,129,7.46737,-1.15129,3,7.5,pel,mob,eubalaena australis
1,130,5.9135,-1.15129,4.47,7.5,pel,mob,mesoplodon peruvianus
1,131,7.47307,-1.15129,3,15,pel,mob,eubalaena japonica
1,132,6.7334,-1.15129,3.89,7.5,pel,mob,balaenoptera bonaerensis
1,133,5.53733,-1.15129,4.5,9.40615,pel,mob,tursiops aduncus
1,134,7.25841,-1.15129,4.03,15,pel,mob,balaenoptera brydei
1,135,6.88755,-1.15129,4.22,3,pel,mob,lutra lutra
1,136,5.10595,-1.15129,4.01,3,ben,mob,pusa hispida
1,137,5.10595,-1.15129,4.01,3,ben,mig,pusa hispida
1,138,4.75789,-1.15129,4.01,3,ben,mob,pusa caspica
1,139,4.75789,-1.15129,4.01,3,ben,mig,pusa caspica
1,140,5.19296,-1.15129,4.14,3,ben,mob,histriophoca fasciata
1,141,5.19296,-1.15129,4.14,3,ben,mig,histriophoca fasciata
1,142,5.24702,-1.15129,4.3,3,ben,mob,pagophilus groenlandicus
1,143,5.24702,-1.15129,4.3,3,ben,mig,pagophilus groenlandicus
1,144,5.57595,-1.15129,4.5,3,pel,mob,lobodon carcinophagus
1,145,5.57595,-1.15129,4.5,3,pel,mig,lobodon carcinophagus
1,146,5.59842,-1.15129,4.25,15,pel,mob,orcaella heinsohni
1,147,4.60517,-1.15129,3.87,3,ben,mob,lutra felina
1,148,6.21461,-1.15129,4.5,7.5,pel,mob,cephalorhynchus hectori
1,149,7.46737,-1.15129,4.5,7.5,pel,mob,indopacetus pacificus
1,150,5.57973,0.34657,4.5,15,pel,mob,delphinus capensis
1,151,5.43808,-1.15129,4.5,3,ben,mob,zalophus japonicus
1,152,5.48064,-1.15129,4.5,3,ben,mob,zalophus wollebaeki
1,153,5.48064,-1.15129,4.12,3,bp,mob,cystophora botryocystis
1,154,5.04343,-1.15129,4.12,3,bp,mig,cystophora botryocystis
1,155,5.43808,-1.15129,4.12,3,bp,mob,cystophora brownii
1,156,5.48064,-1.15129,4.12,3,bp,mig,cystophora brownii
1,157,5.09375,-1.15129,4.12,3,bp,mob,cystophora cuspidata
1,158,5.48064,-1.15129,4.12,3,bp,mig,cystophora cuspidata
1,159,5.04343,-1.15129,4.12,3,bp,mob,cystophora cymodocea
1,160,5.48064,-1.15129,4.12,3,bp,mig,cystophora cymodocea
1,161,5.16192,-1.15129,4.12,3,bp,mob,cystophora dumosa
1,162,5.43808,-1.15129,4.12,3,bp,mig,cystophora dumosa
1,163,5.04343,-1.15129,4.12,3,bp,mob,cystophora expansa
1,164,5.09375,-1.15129,4.12,3,bp,mig,cystophora expansa
1,165,5.43808,-1.15129,4.12,3,bp,mob,cystophora fibrosa
1,166,5.09375,-1.15129,4.12,3,bp,mig,cystophora fibrosa
1,167,5.43808,-1.15129,4.12,3,bp,mob,cystophora flaccida
1,168,5.48064,-1.15129,4.12,3,bp,mig,cystophora flaccida
1,169,5.16192,-1.15129,4.12,3,bp,mob,cystophora gracilis
1,170,5.43808,-1.15129,4.12,3,bp,mig,cystophora gracilis
1,171,5.09375,-1.15129,4.12,3,bp,mob,cystophora grevillei
1,172,5.48064,-1.15129,4.12,3,bp,mig,cystophora grevillei
1,173,5.48064,-1.15129,4.12,3,bp,mob,cystophora harveyi
1,174,5.43808,-1.15129,4.12,3,bp,mig,cystophora harveyi
1,175,5.48064,-1.15129,4.12,3,bp,mob,cystophora intermedia
1,176,5.48064,-1.15129,4.12,3,bp,mig,cystophora intermedia
1,177,5.48064,-1.15129,4.12,3,bp,mob,cystophora monilifera
1,178,5.04343,-1.15129,4.12,3,bp,mig,cystophora monilifera
1,179,5.48064,-1.15129,4.12,3,bp,mob,cystophora moniliformis
1,180,5.43808,-1.15129,4.12,3,bp,mig,cystophora moniliformis
1,181,5.04343,-1.15129,4.12,3,bp,mob,cystophora pectinata
1,182,5.16192,-1.15129,4.12,3,bp,mig,cystophora pectinata
1,183,5.16192,-1.15129,4.12,3,bp,mob,cystophora platylobium
1,184,5.04343,-1.15129,4.12,3,bp,mig,cystophora platylobium
1,185,5.16192,-1.15129,4.12,3,bp,mob,cystophora polycystidea
1,186,5.43808,-1.15129,4.12,3,bp,mig,cystophora polycystidea
1,187,5.16192,-1.15129,4.12,3,bp,mob,cystophora racemosa
1,188,5.16192,-1.15129,4.12,3,bp,mig,cystophora racemosa
1,189,5.16192,-1.15129,4.12,3,bp,mob,cystophora retorta
1,190,5.04343,-1.15129,4.12,3,bp,mig,cystophora retorta
1,191,5.07517,-1.15129,4.12,3,ben,mob,cystophora retroflexa
1,192,5.36129,-1.15129,4.12,3,ben,mig,cystophora retroflexa
1,193,5.07517,-1.15129,4.12,3,ben,mob,cystophora scalaris
1,194,5.36129,-1.15129,4.12,3,ben,mig,cystophora scalaris
1,195,5.04343,-1.15129,4.12,3,bp,mob,cystophora siliquosa
1,196,5.16192,-1.15129,4.12,3,bp,mig,cystophora siliquosa
1,197,5.48064,-1.15129,4.12,3,bp,mob,cystophora subfarcinata
1,198,5.48064,-1.15129,4.12,3,bp,mig,cystophora subfarcinata
1,199,5.48064,-1.15129,4.12,3,bp,mob,cystophora tenuis
1,200,5.04343,-1.15129,4.12,3,bp,mig,cystophora tenuis
1,201,5.07517,-1.15129,4.12,3,ben,mob,cystophora torulosa
1,202,5.1358,-1.15129,4.12,3,ben,mig,cystophora torulosa
1,203,5.16192,-1.15129,4.12,3,bp,mob,cystophora xiphocarpa
1,204,5.09375,-1.15129,4.12,3,bp,mig,cystophora xiphocarpa
1,205,6.79682,-1.15129,3.34,20,pel,mob,balaena mysticetus
1,206,7.26193,-1.15129,3.34,14.47101,pel,mob,balaena mysticetus
