iucn_sid,sciname,worms_name,in_am,in_am_valid,in_vuln,mapped
4161,cephalorhynchus heavisidii,cephalorhynchus heavisidii,TRUE,TRUE,TRUE,TRUE
4162,cephalorhynchus hectori,cephalorhynchus hectori,TRUE,TRUE,TRUE,TRUE
4292,cetorhinus maximus,cetorhinus maximus,TRUE,TRUE,TRUE,TRUE
4360,chaetodon flavocoronatus,chaetodon flavocoronatus,FALSE,FALSE,TRUE,TRUE
4361,chaetodon litus,chaetodon litus,FALSE,FALSE,TRUE,TRUE
4362,chaetodon marleyi,chaetodon marleyi,TRUE,TRUE,TRUE,TRUE
4363,prognathodes obliquus,prognathodes obliquus,FALSE,FALSE,TRUE,TRUE
4364,chaetodon robustus,chaetodon robustus,TRUE,TRUE,TRUE,TRUE
4592,cheilinus undulatus,cheilinus undulatus,TRUE,TRUE,TRUE,FALSE
4615,chelonia mydas,chelonia mydas,TRUE,TRUE,TRUE,TRUE
4805,chromis sanctaehelenae,chromis sanctaehelenae,FALSE,FALSE,TRUE,FALSE
4982,clinus spatulatus,clinus spatulatus,FALSE,FALSE,TRUE,TRUE
5119,collisella edmitchelli,lottia edmitchelli,FALSE,FALSE,TRUE,FALSE
5216,conacmella vagans,conacmella vagans,FALSE,FALSE,FALSE,FALSE
5269,conus africanus,conus africanus,FALSE,FALSE,TRUE,TRUE
5270,conus cepasi,conus cepasi,FALSE,FALSE,TRUE,TRUE
5271,conus kohni,conasprella kohni,FALSE,FALSE,TRUE,FALSE
5272,conus nobrei,conus nobrei,FALSE,FALSE,TRUE,TRUE
5273,conus zebroides,conus zebroides,FALSE,FALSE,TRUE,TRUE
5325,emblemariopsis tayrona,emblemariopsis tayrona,FALSE,FALSE,TRUE,TRUE
5362,coregonus artedi,coregonus artedi,FALSE,FALSE,TRUE,FALSE
5486,crassispira sacerdotalis,crassispira sacerdotalis,FALSE,FALSE,TRUE,FALSE
5659,crocodylus acutus,crocodylus acutus,TRUE,TRUE,TRUE,TRUE
5668,crocodylus porosus,crocodylus porosus,TRUE,TRUE,TRUE,TRUE
5675,croilia mossambica,croilia mossambica,TRUE,TRUE,TRUE,FALSE
6069,cymatium parthenopaeum,monoplex parthenopeus,FALSE,FALSE,TRUE,FALSE
6202,cysticus gutta,plesiocystiscus gutta,FALSE,FALSE,TRUE,FALSE
6203,cysticus josephinae,plesiocystiscus josephinae,FALSE,FALSE,TRUE,FALSE
6204,cystophora cristata,cystophora cristata,TRUE,TRUE,TRUE,TRUE
6229,dalatias licha,dalatias licha,TRUE,TRUE,TRUE,TRUE
6335,delphinapterus leucas,delphinapterus leucas,TRUE,TRUE,TRUE,TRUE
6494,dermochelys coriacea,dermochelys coriacea,TRUE,TRUE,TRUE,TRUE
6814,dunckerocampus dactyliophorus,dunckerocampus dactyliophorus,TRUE,TRUE,TRUE,TRUE
6909,dugong dugon,dugong dugon,TRUE,TRUE,TRUE,TRUE
7011,echinus esculentus,echinus esculentus,TRUE,TRUE,TRUE,FALSE
7035,edwardsia ivelli,edwardsia ivelli,FALSE,FALSE,TRUE,FALSE
