cell_id,chi,n_strs,iucn_sid,rank
3375979,0.23304,2,133322,high
3425334,0.0285,2,133322,low
3460415,0.02331,2,133322,low
3516557,0.03026,2,133322,low
3664010,0.00324,2,133322,low
3671050,4.1e-4,2,133322,low
2421179,0.22801,5,133323,high
3119672,0.27519,2,133323,high
3375979,0.23574,2,133323,high
2421179,0.22541,5,133324,high
3119672,0.27205,2,133324,high
3375979,0.23304,2,133324,high
3425334,0.0285,2,133324,low
3460415,0.02331,2,133324,low
3516557,0.03026,2,133324,low
3664010,0.00324,2,133324,low
3671050,4.1e-4,2,133324,low
2421179,0.22801,5,133325,high
3119672,0.27519,2,133325,high
3375979,0.23574,2,133325,high
3425334,0.02883,2,133325,low
3460415,0.02359,2,133325,low
3516557,0.03061,2,133325,low
3664010,0.00328,2,133325,low
3671050,4.2e-4,2,133325,low
3425334,0.0285,2,133327,low
3460415,0.02331,2,133327,low
3516557,0.03026,2,133327,low
3664010,0.00324,2,133327,low
3671050,4.1e-4,2,133327,low
2421179,0.23159,5,133329,high
3119672,0.27949,2,133329,high
3375979,0.23942999999999998,2,133329,high
3425334,0.02929,2,133329,low
3460415,0.02396,2,133329,low
3516557,0.0311,2,133329,low
3664010,0.00333,2,133329,low
3671050,4.3e-4,2,133329,low
2421179,0.22801,5,133330,high
3119672,0.27519,2,133330,high
3375979,0.23574,2,133330,high
2421179,0.22541,5,133332,high
3119672,0.27205,2,133332,high
3375979,0.23304,2,133332,high
3425334,0.0285,2,133332,low
3460415,0.02331,2,133332,low
3516557,0.03026,2,133332,low
3664010,0.00324,2,133332,low
3671050,4.1e-4,2,133332,low
2421179,0.22801,5,133333,high
3119672,0.27519,2,133333,high
3375979,0.23574,2,133333,high
3425334,0.02883,2,133333,low
3460415,0.02359,2,133333,low
3516557,0.03061,2,133333,low
3664010,0.00328,2,133333,low
3671050,4.2e-4,2,133333,low
3119672,0.27519,2,133335,high
3375979,0.23574,2,133335,high
2421179,0.22801,5,133337,high
3119672,0.27519,2,133337,high
3375979,0.23574,2,133337,high
3425334,0.02883,2,133337,low
3460415,0.02359,2,133337,low
3516557,0.03061,2,133337,low
3664010,0.00328,2,133337,low
3671050,4.2e-4,2,133337,low
3119672,0.27205,2,133338,high
3375979,0.23304,2,133338,high
2421179,0.22541,5,133341,high
3119672,0.27205,2,133341,high
3375979,0.23304,2,133341,high
2421179,0.22541,5,133345,high
3119672,0.27205,2,133345,high
3375979,0.23304,2,133345,high
3425334,0.0285,2,133345,low
3460415,0.02331,2,133345,low
3516557,0.03026,2,133345,low
3664010,0.00324,2,133345,low
3671050,4.1e-4,2,133345,low
2421179,0.22801,5,133351,high
3119672,0.27519,2,133351,high
3375979,0.23574,2,133351,high
3425334,0.02883,2,133351,low
3460415,0.02359,2,133351,low
3516557,0.03061,2,133351,low
3664010,0.00328,2,133351,low
3671050,4.2e-4,2,133351,low
3119672,0.27205,2,133352,high
3375979,0.23304,2,133352,high
2421179,0.22801,5,133354,high
3119672,0.27519,2,133354,high
3375979,0.23574,2,133354,high
3425334,0.02883,2,133354,low
3460415,0.02359,2,133354,low
3516557,0.03061,2,133354,low
3664010,0.00328,2,133354,low
3671050,4.2e-4,2,133354,low
2421179,0.23159,5,133357,high
3119672,0.27949,2,133357,high
3375979,0.23942999999999998,2,133357,high
2421179,0.23159,5,133358,high
3119672,0.27949,2,133358,high
3375979,0.23942999999999998,2,133358,high
2421179,0.22541,5,133359,high
3119672,0.27205,2,133359,high
3375979,0.23304,2,133359,high
3425334,0.0285,2,133359,low
3460415,0.02331,2,133359,low
3516557,0.03026,2,133359,low
3664010,0.00324,2,133359,low
3671050,4.1e-4,2,133359,low
2421179,0.22801,5,133360,high
3119672,0.27519,2,133360,high
3375979,0.23574,2,133360,high
3119672,0.27205,2,133361,high
3375979,0.23304,2,133361,high
3119672,0.27949,2,133364,high
3375979,0.23942999999999998,2,133364,high
2421179,0.22801,5,133365,high
3119672,0.27519,2,133365,high
3375979,0.23574,2,133365,high
3425334,0.02883,2,133365,low
3460415,0.02359,2,133365,low
3516557,0.03061,2,133365,low
3664010,0.00328,2,133365,low
3671050,4.2e-4,2,133365,low
2421179,0.22541,5,133367,high
3119672,0.27205,2,133367,high
3375979,0.23304,2,133367,high
3119672,0.27949,2,133368,high
3375979,0.23942999999999998,2,133368,high
3119672,0.27205,2,133375,high
3375979,0.23304,2,133375,high
2421179,0.23159,5,133378,high
3119672,0.27949,2,133378,high
3375979,0.23942999999999998,2,133378,high
3425334,0.02929,2,133378,low
3460415,0.02396,2,133378,low
3516557,0.0311,2,133378,low
3664010,0.00333,2,133378,low
3671050,4.3e-4,2,133378,low
2421179,0.23159,5,133380,high
3119672,0.27949,2,133380,high
3375979,0.23942999999999998,2,133380,high
2421179,0.22801,5,133382,high
3119672,0.27519,2,133382,high
3375979,0.23574,2,133382,high
3425334,0.02883,2,133382,low
3460415,0.02359,2,133382,low
3516557,0.03061,2,133382,low
3664010,0.00328,2,133382,low
3671050,4.2e-4,2,133382,low
2421179,0.22801,5,133386,high
3119672,0.27519,2,133386,high
3375979,0.23574,2,133386,high
3119672,0.27205,2,133387,high
3375979,0.23304,2,133387,high
2421179,0.23159,5,133390,high
3119672,0.27949,2,133390,high
3375979,0.23942999999999998,2,133390,high
3425334,0.02929,2,133390,low
3460415,0.02396,2,133390,low
3516557,0.0311,2,133390,low
3664010,0.00333,2,133390,low
3671050,4.3e-4,2,133390,low
3119672,0.27949,2,133391,high
3375979,0.23942999999999998,2,133391,high
3119672,0.27205,2,133394,high
3375979,0.23304,2,133394,high
2644637,0.21406999999999998,2,133395,high
2813296,0.12945,5,133395,high
3119672,0.27205,2,133396,high
3375979,0.23304,2,133396,high
2421179,0.22801,5,133398,high
3119672,0.27519,2,133398,high
3375979,0.23574,2,133398,high
3425334,0.02883,2,133398,low
3460415,0.02359,2,133398,low
3516557,0.03061,2,133398,low
3664010,0.00328,2,133398,low
3671050,4.2e-4,2,133398,low
3119672,0.27205,2,133401,high
3375979,0.23304,2,133401,high
2421179,0.22801,5,133403,high
3119672,0.27519,2,133403,high
3375979,0.23574,2,133403,high
3425334,0.02883,2,133403,low
3460415,0.02359,2,133403,low
3516557,0.03061,2,133403,low
3664010,0.00328,2,133403,low
3671050,4.2e-4,2,133403,low
3119672,0.27205,2,133404,high
3375979,0.23304,2,133404,high
2421179,0.22801,5,133413,high
3119672,0.27519,2,133413,high
3375979,0.23574,2,133413,high
3425334,0.02883,2,133413,low
3460415,0.02359,2,133413,low
3516557,0.03061,2,133413,low
3664010,0.00328,2,133413,low
3671050,4.2e-4,2,133413,low
2421179,0.22801,5,133414,high
3119672,0.27519,2,133414,high
3375979,0.23574,2,133414,high
3425334,0.02883,2,133414,low
3460415,0.02359,2,133414,low
3516557,0.03061,2,133414,low
3664010,0.00328,2,133414,low
3671050,4.2e-4,2,133414,low
3119672,0.27205,2,133415,high
3375979,0.23304,2,133415,high
2421179,0.22801,5,133419,high
3119672,0.27519,2,133419,high
3375979,0.23574,2,133419,high
3425334,0.02883,2,133419,low
3460415,0.02359,2,133419,low
