cell_id,chi,n_strs,iucn_sid,rank
3460415,0.02331,2,133599,low
3516557,0.03026,2,133599,low
3664010,0.00324,2,133599,low
3671050,4.1e-4,2,133599,low
3119672,0.27205,2,133600,high
3375979,0.23304,2,133600,high
2421179,0.22801,5,133609,high
3119672,0.27519,2,133609,high
3375979,0.23574,2,133609,high
3425334,0.02883,2,133609,low
3460415,0.02359,2,133609,low
3516557,0.03061,2,133609,low
3664010,0.00328,2,133609,low
3671050,4.2e-4,2,133609,low
2421179,0.23159,5,133613,high
3119672,0.27949,2,133613,high
3375979,0.23942999999999998,2,133613,high
3425334,0.02929,2,133613,low
3460415,0.02396,2,133613,low
3516557,0.0311,2,133613,low
3664010,0.00333,2,133613,low
3671050,4.3e-4,2,133613,low
3119672,0.27205,2,133617,high
3375979,0.23304,2,133617,high
2421179,0.22801,5,133619,high
3425334,0.02883,2,133619,low
3460415,0.02359,2,133619,low
