orig_sciname,valid_name,aphia_id
didemnum dorotubu,didemnum psammatodes,252853
didemnum gelatinosum,diplosoma listerianum,103579
didemnum leopardus,didemnum leopardum,251701
didemnum magnilarvum,polysyncraton magnilarvum,251153
didemnum milleporae,polysyncraton milleporae,221022
didemnum niveum,trididemnum cereum,103594
didemnum pele,didemnum granulatum,212503
didemnum plebium,didemnum plebeium,251694
didemnum spongoides,didemnum spongioides,252870
didemnum trivolutum,polysyncraton trivolutum,173250
didemnum vestum,didemnum vexillum,250126
diogenes defrectomanus,diogenes deflectomanus,367659
diogenes gardineri,diogenes pallescens,367661
diomedea amsterdamensis,diomedea amsterdamensis,405082
diomedea gibsoni,diomedea gibsoni,405117
diploria strigosa,pseudodiploria strigosa,718718
diplosoma ferrugeum,diplosoma versicolor,250421
diplosoma hiatti,diplosoma hitatti,250136
diplosoma macdonaldi,diplosoma listerianum,103579
diplosoma mitsukuri,diplosoma listerianum,103579
didemnum asteropum,no match,NA
didemnum bisyncraton,no match,NA
didemnum braueri,no match,NA
diogenes diogenes,no match,NA
diplosoma pavonina,diplosoma virens,250422
diplosoma pizoni,diplosoma listerianum,103579
dipturus chilensis,dipturus chilensis,271542
disasterina odontocantha,disasterina odontacantha,377351
discoplax hirtipes,tuerkayana hirtipes,1329348
discoplax rotunda,tuerkayana rotundum,1329347
distaplia domuncula,distaplia skoogi,215972
distaplia imaii,distaplia dubia,250140
distaplia tokioka,distaplia tokiokai,251561
ditrema temminckii pacificum,ditrema temminckii pacificum,398706
ditrema temminckii temminckii,ditrema temminckii temminckii,712926
dolichiscus acanthaspidus,dolichiscus hiemalis,174596
dolichiscus pinosesetosus,dolichiscus spinosetosus,257970
dorippe japonica,heikeopsis japonica,440423
dromia dehaani,lauridromia dehaani,440092
dromia wilsoni,metadromia wilsoni,440094
dulichiella anosochir,dulichiella anisochir,536758
dumus dumosus,euherdmania dumosa,250657
dynamene angulata,dynamene angulata,291365
dynamene benedicti,dynamene benedicti,291366
dynamene dilatata,dynamene dilatata,291367
dynamene glabra,dynamene glabra,291368
dynamene torelliae,dynamene bicolor,118938
disparella funalis,no match,NA
disparella neomana,no match,NA
dynamenella hirsuta,ischyromene hirsuta,257049
dynoides conchicola,dynoides dentisinus,258209
dynoides harrisoni,dynoides harrisoni,258212
dynoides hoonsooi,dynoides hoonsooi,258213
dynoides saldani,dynoides saldanai,258216
ebalia cranchi,ebalia cranchii,107294
ebalia stimpsonii,ebalia stimpsoni,441151
echinaster aculeata,echinaster (othilia) aculeata,369092
echinaster brasiliensis,echinaster (othilia) brasiliensis,178747
echinaster echinophorus,echinaster (othilia) echinophorus,178748
echinaster modestus,echinaster (echinaster) modestus,178740
echinaster modestus,echinaster (othilia) spinulosus,178754
echinaster sentus,echinaster (othilia) sentus,178752
echinaster sepositus,echinaster (echinaster) sepositus,125161
echinaster serpentarius,echinaster (othilia) serpentarius,178753
echinaster spinulosus,echinaster (othilia) spinulosus,178754
echinoecus scultpus,echinoecus sculptus,442368
echinothambema argentinensis,vemathambema argentinensis,263990
echinozone aries,epikopais aries,819362
echinozone magnifica,notopais magnifica,345000
echinozone perarmata,ilyarachna perarmata,294782
echinozone quadrispinosa,notopais quadrispinosa,261579
echinozone spinosa,notopais spinosa,345001
ecteinascidia jacarens,ecteinascidia jacerens,250176
ecteinascidia moorei,ecteinascidia turbinata,103756
dynamenella huttoni,no match,NA
ecteinascidia tokaraensis,ecteinascidia nexa,250182
elasmopus hawaiiensis,elasmopus hawaiensis,531490
eleotris aquadulcis,eleotris aquadulcis,1383973
endeis charybdea,endeis charybdaea,134672
endeis ghaziei,endeis ghaziei,239747
endeis laevis,endeis spinosa,134674
enteromius ablabes,enteromius ablabes,1420090
enteromius brevipinnis,enteromius brevipinnis,1524559
enteromius candens,enteromius candens,1525755
enteromius fasciolatus,enteromius fasciolatus,1421200
enteromius jae,enteromius jae,1470229
enteromius miolepis,enteromius miolepis,1470214
enteromius motebensis,enteromius motebensis,1467888
enteromius toppini,enteromius toppini,1525781
enteromius treurensis,enteromius treurensis,1524871
enteromius viviparus,enteromius viviparus,1468429
entoniscus braziliensis,NA,NA
entoniscus creplini,entoniscus creplinii,260257
entophilus mirabiledictu,axiophilus mirabiledictu,851932
entosphenus macrostoma,entosphenus macrostoma,1012282
entosphenus minimus,entosphenus minimus,1524387
epimeria cornigera,epimeria (epimeria) cornigera,1053398
epimeria georgiana,epimeria (hoplepimeria) georgiana,1053437
epimeria grandirostris,epimeria (pseudepimeria) grandirostris,878614
epimeria inermis,epimeria (hoplepimeria) inermis,1053438
epimeria loricata,epimeria (epimeria) loricata,1053399
epimeria macrodonta,epimeria (drakepimeria) macrodonta,1053391
epimeria monodon,epimeria (urepimeria) monodon,1053354
epimeria pulchra,epimeria (pseudepimeria) pulchra,1053010
epimeria puncticulata,epimeria (subepimeria) puncticulata,1053351
episesarma chengtongense,episesarma chentongense,444511
eriopisella propagatio,cephalopisella propagatio,874159
eriphia pilumnoides,eriphia scabricula,207601
erythrops africana,erythrops africanus,852965
erythrops erythrophthalma,erythrops erythrophthalmus,852968
erythrops minuta,erythrops minutus,852970
erythrops neapolitana,erythrops neapolitanus,446451
erythrops serrata,erythrops serratus,852974
esomus malayensis,esomus malayensis,1536316
etlastenasellus mixtecus,etlastenasellus mixtecus,260292
etropus delsmani delsmani,etropus delsmani delsmani,275705
etropus delsmani pacificus,etropus delsmani pacificus,293597
eualus herdmani,heptacarpus herdmani,515253
eualus macropthalmus,eualus macrophthalmus,515232
eualus stoneyi,eualus macilentus,158359
eucalathis costellata,eucalathis murrayi,235551
eucalathis rotundata,eucalathis murrayi,235551
eucalliax aequimana,eucalliaxiopsis aequimana,1398830
eucallisoma barnardi,tayabasa barnardi,852213
eucoelium coronaria,eucoelium coronarium,251562
eucoelium pallida,eucoelium pallidus,251566
eucoelium stellifera,eucoelium stelliferum,251563
eucrate costata,trissoplax dentata,557609
eucrate laevis,platyozius laevis,550536
eudistoma arcnosum,eudistoma arenosum,250195
eudistoma digitatum,sigillina digitata,251354
eudistoma miniacum,eudistoma miniaceus,251657
eudistoma mobiusi,sigillina moebiusi,251358
eudistoma parva,eudistoma laysani,250226
eudistoma rubra,eudistoma tokiokai,250263
eudistoma toealense,eudistoma toealensis,252531
eudistoma tokarac,eudistoma tokarae,250262
eudorella truncata,eudorella truncatula,110535
eudyptes filholi,eudyptes filholi,1348499
eudyptula albosignata,eudyptula minor,225932
eugerda gigantea,desmosoma gigantea,255684
eugerda latipes,desmosoma latipes,295715
eugerda tetarta,desmosoma tetarta,118560
eugerdella lateralis,prochelator lateralis,118586
eugerdella zenkevitschi,eugerda zenkevitschi,423369
eugerres mexicanus,eugerres mexicanus,1021088
eugyra macrenteron,pareugyrioides macrentera,250978
eugyra pilularis,bostrichobranchus pilularis,157861
euherdmania gigantea,stomozoa gigantea,488025
eudistoma fusca,no match,NA
eukrohnia geptneri,eukrohnia geptneri,266227
euonyx mytilus,stephonyx mytilus,557626
euphyllia divisa,fimbriaphyllia divisa,1048074
eurycope caribbea,vanhoeffenura caribbea,263962
eurycope crassa,munneurycope crassa,175199
eurycope frigida,coperonus frigida,175120
eurycope latifrons,belonectes latifrons,255723
eurycope madseni,disconectes madseni,255727
eurycope mutica,baeonectes muticus,118601
eurycope ovata,microcope ovata,477186
eurycope pygmaea,baeonectes pygmaea,606988
eurycope sarsi,eurycope sarsii,255758
eusynstyela caudata,polycarpa caudata,103898
eusynstyela discoidea,polycarpa discoidea,103900
eusynstyela errans,polycarpa errans,103901
eusynstyela transversalis,tibitin transversalis,266202
eutropiichthys goongwaree,eutropiichthys goongwaree,1022514
eutropiichthys murius,eutropiichthys murius,1022779
evasterias troscheli,evasterias troschelii,255040
exiliniscus chandravoli,NA,NA
exosphaeroma alba,exosphaeroma alba,257011
exosphaeroma antillense,exosphaeroma antillense,257016
exosphaeroma chilensis,exosphaeroma chilense,1264164
exosphaeroma laevisculum,exosphaeroma laeviusculum,257028
eurydice lusitanica,no match,NA
exosphaeroma pulchellum,lekanesphaera hookeri,118953
expanathura cryptobia,heptanthura cryptobia,293411
favia favus,dipsastraea favus,718748
favia lizardensis,dipsastraea lizardensis,758225
favia matthaii,dipsastraea matthaii,758240
favia rotumana,dipsastraea rotumana,758237
favia stelligera,goniastrea stelligera,763067
favia veroni,dipsastraea veroni,758232
favites russelli,paragoniastrea russelli,817179
ferosagitta cristallina,ferosagitta cristallina,266246
ferosagitta paulula,ferosagitta paulula,105433
fissarcturus scelerosus,fissarcturus sclerosus,257996
floridichthys polyommus,floridichthys polyommus,1015175
folifer yunnanensis,folifer yunnanensis,1524183
fontitrygon garouaensis,fontitrygon garouaensis,1524748
forestiana depressa,forestiana granulata,881735
freyella mortenseni,freyastera mortenseni,291607
fromia elegans,fromia indica,368952
fromia millepora,fromia milleporella,213299
fundulus albolineatus,fundulus albolineatus,1019579
fundulus chrysotus,fundulus chrysotus,422553
fundulus cingulatus,fundulus cingulatus,1019839
fundulus julisia,fundulus julisia,1012239
fundulus lima,fundulus lima,1018197
fundulus lineolatus,fundulus lineolatus,1021623
allotoca catarinae,allotoca catarinae,1014717
allotoca maculata,allotoca maculata,1012438
allotoca meeki,allotoca meeki,1013868
allotoca regalis,allotoca regalis,1013870
alosa agone,alosa agone,416357
alosa killarnensis,alosa killarnensis,1525818
alosa macedonica,alosa macedonica,1016838
alpheopsis trigonus,alpheopsis trigona,421726
alpheopsis trispinosus,alpheopsis trispinosa,240844
alpheus barbara,alpheus clamator,514851
alpheus beanii,alpheus packardii,421738
alpheus dissodontonotus,alpheus bidens,514835
alpheus fascinatus,alpheus fasciatus,210505
alpheus hoplites,alpheus hoplites,514891
alpheus ridleyi,alpheus websteri,421745
alpheus soela,alpheus soelae,514968
alpheus sublucanus,alpheus lottini,210544
alvinocaris leurokolos,shinkaicaris leurokolos,378104
ambassis agassizii,ambassis agassizii,991181
ambassis elongata,ambassis elongata,1020159
ameiurus melas,ameiurus melas,154205
ameiurus natalis,ameiurus natalis,154201
ameiurus nebulosus,ameiurus nebulosus,154370
ammothea gibbosa,ammothea carolinensis,172906
ammothea sexarticulata,ammothea sextarticulata,172935
fundulus relictus,fundulus relictus,1383930
fundulus waccamensis,fundulus waccamensis,1014366
galaxias divergens,galaxias divergens,1013839
galaxias fontanus,galaxias fontanus,991210
galaxias globiceps,galaxias globiceps,1016032
galaxias gracilis,galaxias gracilis,1013352
galaxias johnstoni,galaxias johnstoni,404141
galaxias occidentalis,galaxias occidentalis,1019000
galaxias olidus,galaxias olidus,991212
galaxias parvus,galaxias parvus,991213
galaxias pedderensis,galaxias pedderensis,991215
galaxias rostratus,galaxias rostratus,1018435
galaxias tanycephalus,galaxias tanycephalus,991216
galaxias vulgaris,galaxias vulgaris,1014254
galaxias zebratus,galaxias zebratus,1017092
galaxiella munda,galaxiella munda,1012572
galaxiella nigrostriata,galaxiella nigrostriata,1049483
galaxiella pusilla,galaxiella pusilla,991217
gambusia alvarezi,gambusia alvarezi,1013948
gambusia amistadensis,gambusia amistadensis,1012961
gambusia atrora,gambusia atrora,1013602
gambusia aurata,gambusia aurata,1013184
gambusia baracoana,gambusia baracoana,1014520
gambusia beebei,gambusia beebei,1015260
gambusia bucheri,gambusia bucheri,1014521
gambusia clarkhubbsi,gambusia clarkhubbsi,1009643
gambusia echeagarayi,gambusia echeagarayi,1524985
gambusia eurystoma,gambusia eurystoma,1383654
gambusia gaigei,gambusia gaigei,1015951
gambusia geiseri,gambusia geiseri,1013951
gambusia georgei,gambusia georgei,1013251
gambusia hispaniolae,gambusia hispaniolae,1013127
gambusia hurtadoi,gambusia hurtadoi,1013947
gambusia krumholzi,gambusia krumholzi,1013601
gambusia longispinis,gambusia longispinis,1013677
gambusia melapleura,gambusia melapleura,1026892
gambusia monticola,gambusia monticola,1524462
gambusia myersi,gambusia myersi,1016311
gambusia nobilis,gambusia nobilis,1021672
gambusia panuco,gambusia panuco,1016237
gambusia pseudopunctata,gambusia pseudopunctata,1013221
gambusia punctata,gambusia punctata,1013995
gambusia regani,gambusia regani,1016236
gambusia senilis,gambusia senilis,1021264
gambusia speciosa,gambusia speciosa,1021261
gambusia vittata,gambusia vittata,1016238
gambusia yucatana,gambusia yucatana,422559
gammaropsis blaisus,gammaropsis (segamphopus) blaisus,237355
gammaropsis dentifera,gammaropsis (paranaenia) dentifera,237352
gammaropsis exsertipes,gammaropsis (gammaropsis) exsertipes,237034
gammaropsis kergueleni,gammaropsis (gammaropsis) kergueleni,237295
gammaropsis longicornis,megamphopus longicornis,102378
gammaropsis purpurescens,gammaropsis (gammaropsis) purpurescens,236948
gammaropsis sublitoralis,gammaropsis (pseudeurystheus) sublitoralis,237288
gammaropsis togoensis,latigammaropsis togoensis,548613
gammarus acherondytes,gammarus acherondytes,490150
