spec_code,species,db,length_max,in_spp_table,table
12418,chromis flavomaculata,fb,17,TRUE,popchar
12418,chromis flavomaculata,fb,16,TRUE,popchar
10842,chromis fumea,fb,13,TRUE,popchar
10842,chromis fumea,fb,10,TRUE,popchar
69005,chromis gunting,fb,6.769999980926514,TRUE,popchar
69005,chromis gunting,fb,7.739999771118164,TRUE,popchar
69006,chromis hangganan,fb,5.78000020980835,TRUE,popchar
8126,chromis iomelas,fb,8.5,TRUE,popchar
8126,chromis iomelas,fb,8,TRUE,popchar
5674,chromis lepidolepis,fb,8,TRUE,popchar
5674,chromis lepidolepis,fb,9,TRUE,popchar
6599,chromis leucura,fb,8.5,TRUE,popchar
6599,chromis leucura,fb,7,TRUE,popchar
5128,chromis lineata,fb,5.5,TRUE,popchar
5128,chromis lineata,fb,7,TRUE,popchar
5675,chromis margaritifer,fb,9,TRUE,popchar
5675,chromis margaritifer,fb,6,TRUE,popchar
64210,chromis monochroma,fb,6.5,TRUE,popchar
64210,chromis monochroma,fb,5.099999904632568,TRUE,popchar
12423,chromis nigroanalis,fb,12,TRUE,popchar
12424,chromis nigrura,fb,5.5,TRUE,popchar
12424,chromis nigrura,fb,6,TRUE,popchar
12425,chromis notata,fb,7,TRUE,popchar
12427,chromis opercularis,fb,17,TRUE,popchar
12427,chromis opercularis,fb,16,TRUE,popchar
6927,chromis ovatiformes,fb,10,TRUE,popchar
12428,chromis pelloura,fb,10.899999618530273,TRUE,popchar
64212,chromis pura,fb,12,TRUE,popchar
64212,chromis pura,fb,7.599999904632568,TRUE,popchar
5676,chromis retrofasciata,fb,6,TRUE,popchar
5676,chromis retrofasciata,fb,4,TRUE,popchar
12431,chromis scotochiloptera,fb,15,TRUE,popchar
12431,chromis scotochiloptera,fb,16,TRUE,popchar
5677,chromis ternatensis,fb,10.5,TRUE,popchar
5677,chromis ternatensis,fb,10,TRUE,popchar
65214,chromis unipa,fb,8,TRUE,popchar
65214,chromis unipa,fb,5,TRUE,popchar
5679,chromis viridis,fb,10,TRUE,popchar
5679,chromis viridis,fb,8,TRUE,popchar
5679,chromis viridis,fb,11.399999618530273,TRUE,popchar
5680,chromis weberi,fb,13.5,TRUE,popchar
5681,chromis xanthochira,fb,14,TRUE,popchar
5682,chromis xanthura,fb,17,TRUE,popchar
5682,chromis xanthura,fb,15,TRUE,popchar
63874,chromis xouthos,fb,13.5,TRUE,popchar
63874,chromis xouthos,fb,9.199999809265137,TRUE,popchar
67940,chromis yamakawai,fb,7.940000057220459,TRUE,popchar
67940,chromis yamakawai,fb,13.079999923706055,TRUE,popchar
10897,chromobotia macracanthus,fb,30,TRUE,popchar
10897,chromobotia macracanthus,fb,30.5,TRUE,popchar
2443,chrysichthys auratus,fb,57,TRUE,popchar
2443,chrysichthys auratus,fb,35,TRUE,popchar
2440,chrysichthys nigrodigitatus,fb,30.200000762939453,TRUE,popchar
2440,chrysichthys nigrodigitatus,fb,29.700000762939453,TRUE,popchar
65465,chrysiptera arnazae,fb,5,TRUE,popchar
65465,chrysiptera arnazae,fb,3.9000000953674316,TRUE,popchar
5693,chrysiptera biocellata,fb,11,TRUE,popchar
5693,chrysiptera biocellata,fb,12.5,TRUE,popchar
12521,chrysiptera bleekeri,fb,7.300000190734863,TRUE,popchar
12521,chrysiptera bleekeri,fb,8,TRUE,popchar
5697,chrysiptera brownriggii,fb,8,TRUE,popchar
5697,chrysiptera brownriggii,fb,7.5,TRUE,popchar
68639,chrysiptera burtjonesi,fb,4.820000171661377,TRUE,popchar
5694,chrysiptera caeruleolineata,fb,5.199999809265137,TRUE,popchar
5694,chrysiptera caeruleolineata,fb,6,TRUE,popchar
5695,chrysiptera cyanea,fb,7.400000095367432,TRUE,popchar
5695,chrysiptera cyanea,fb,8.5,TRUE,popchar
60765,chrysiptera cymatilis,fb,5.5,TRUE,popchar
60765,chrysiptera cymatilis,fb,3.5999999046325684,TRUE,popchar
11966,chrysiptera flavipinnis,fb,7.5,TRUE,popchar
11966,chrysiptera flavipinnis,fb,8,TRUE,popchar
63703,chrysiptera giti,fb,11.5,TRUE,popchar
63703,chrysiptera giti,fb,3.5999999046325684,TRUE,popchar
5696,chrysiptera glauca,fb,11.5,TRUE,popchar
5696,chrysiptera glauca,fb,10,TRUE,popchar
6919,chrysiptera hemicyanea,fb,5,TRUE,popchar
6919,chrysiptera hemicyanea,fb,7,TRUE,popchar
61078,chrysiptera kuiteri,fb,5.5,TRUE,popchar
61078,chrysiptera kuiteri,fb,7.5,TRUE,popchar
11968,chrysiptera niger,fb,6,TRUE,popchar
11968,chrysiptera niger,fb,7,TRUE,popchar
5698,chrysiptera oxycephala,fb,8,TRUE,popchar
5698,chrysiptera oxycephala,fb,9,TRUE,popchar
12448,chrysiptera parasema,fb,5,TRUE,popchar
12448,chrysiptera parasema,fb,7,TRUE,popchar
61072,chrysiptera pricei,fb,5,TRUE,popchar
5699,chrysiptera rex,fb,7,TRUE,popchar
5486,chrysiptera rollandi,fb,5.5,TRUE,popchar
5486,chrysiptera rollandi,fb,7.5,TRUE,popchar
12449,chrysiptera sinclairi,fb,6,TRUE,popchar
12449,chrysiptera sinclairi,fb,5,TRUE,popchar
12450,chrysiptera springeri,fb,5,TRUE,popchar
12450,chrysiptera springeri,fb,5.5,TRUE,popchar
5700,chrysiptera talboti,fb,6,TRUE,popchar
5702,chrysiptera unimaculata,fb,8,TRUE,popchar
5702,chrysiptera unimaculata,fb,10,TRUE,popchar
5528,chrysoblephus anglicus,fb,80,TRUE,popchar
5529,chrysoblephus laticeps,fb,50,TRUE,popchar
5530,chrysoblephus puniceus,fb,60,TRUE,popchar
55421,chuanchia labiosa,fb,18.399999618530273,TRUE,popchar
62991,cichla kelberi,fb,40.099998474121094,TRUE,popchar
13270,cichla monoculus,fb,70,TRUE,popchar
13270,cichla monoculus,fb,38,TRUE,popchar
457,cichla ocellaris,fb,39,TRUE,popchar
46792,cichlasoma paranaense,fb,17.100000381469727,TRUE,popchar
1290,ciliata mustela,fb,25,TRUE,popchar
1873,ciliata septentrionalis,fb,10,TRUE,popchar
1873,ciliata septentrionalis,fb,12.199999809265137,TRUE,popchar
707,cirrhigaleus asper,fb,115,TRUE,popchar
63505,cirrhigaleus australis,fb,123,TRUE,popchar
668,cirrhigaleus barbifer,fb,126,TRUE,popchar
56636,cirrhilabrus adornatus,fb,6.5,TRUE,popchar
56636,cirrhilabrus adornatus,fb,6.300000190734863,TRUE,popchar
59628,cirrhilabrus aurantidorsalis,fb,10,TRUE,popchar
59628,cirrhilabrus aurantidorsalis,fb,9,TRUE,popchar
64182,cirrhilabrus beauperryi,fb,12,TRUE,popchar
64182,cirrhilabrus beauperryi,fb,8.5,TRUE,popchar
63981,cirrhilabrus brunneus,fb,7,TRUE,popchar
63981,cirrhilabrus brunneus,fb,4.400000095367432,TRUE,popchar
63948,cirrhilabrus cenderawasih,fb,8.5,TRUE,popchar
63948,cirrhilabrus cenderawasih,fb,6.510000228881836,TRUE,popchar
63948,cirrhilabrus cenderawasih,fb,4.699999809265137,TRUE,popchar
54179,cirrhilabrus condei,fb,8,TRUE,popchar
68701,cirrhilabrus cyanogularis,fb,5.480000019073486,TRUE,popchar
68701,cirrhilabrus cyanogularis,fb,6.159999847412109,TRUE,popchar
5106,cirrhilabrus cyanopleura,fb,11,TRUE,popchar
5106,cirrhilabrus cyanopleura,fb,15,TRUE,popchar
5614,cirrhilabrus exquisitus,fb,11,TRUE,popchar
5614,cirrhilabrus exquisitus,fb,12,TRUE,popchar
10615,cirrhilabrus filamentosus,fb,8,TRUE,popchar
46517,cirrhilabrus flavidorsalis,fb,6.5,TRUE,popchar
66867,cirrhilabrus humanni,fb,5.449999809265137,TRUE,popchar
66867,cirrhilabrus humanni,fb,7,TRUE,popchar
68197,cirrhilabrus isosceles,fb,5.670000076293945,TRUE,popchar
68197,cirrhilabrus isosceles,fb,3.0999999046325684,TRUE,popchar
68197,cirrhilabrus isosceles,fb,5.53000020980835,TRUE,popchar
60740,cirrhilabrus joanallenae,fb,6,TRUE,popchar
60740,cirrhilabrus joanallenae,fb,8.5,TRUE,popchar
60740,cirrhilabrus joanallenae,fb,4.619999885559082,TRUE,popchar
13041,cirrhilabrus lubbocki,fb,8,TRUE,popchar
7584,cirrhilabrus lunatus,fb,8.5,TRUE,popchar
7584,cirrhilabrus lunatus,fb,6.769999980926514,TRUE,popchar
68704,cirrhilabrus marinda,fb,4.590000152587891,TRUE,popchar
68704,cirrhilabrus marinda,fb,4.300000190734863,TRUE,popchar
68704,cirrhilabrus marinda,fb,6.699999809265137,TRUE,popchar
68704,cirrhilabrus marinda,fb,5.929999828338623,TRUE,popchar
7585,cirrhilabrus melanomarginatus,fb,12,TRUE,popchar
7585,cirrhilabrus melanomarginatus,fb,13,TRUE,popchar
66424,cirrhilabrus nahackyi,fb,5.559999942779541,TRUE,popchar
66424,cirrhilabrus nahackyi,fb,3.180000066757202,TRUE,popchar
66424,cirrhilabrus nahackyi,fb,6.5,TRUE,popchar
64878,cirrhilabrus naokoae,fb,7,TRUE,popchar
64878,cirrhilabrus naokoae,fb,6,TRUE,popchar
13028,cirrhilabrus punctatus,fb,13,TRUE,popchar
54185,cirrhilabrus pylei,fb,13,TRUE,popchar
54185,cirrhilabrus pylei,fb,9,TRUE,popchar
54185,cirrhilabrus pylei,fb,6.199999809265137,TRUE,popchar
25026,cirrhilabrus roseafascia,fb,10,TRUE,popchar
68711,cirrhilabrus rubeus,fb,5.03000020980835,TRUE,popchar
7586,cirrhilabrus rubrimarginatus,fb,15,TRUE,popchar
7586,cirrhilabrus rubrimarginatus,fb,12.199999809265137,TRUE,popchar
13042,cirrhilabrus rubripinnis,fb,9,TRUE,popchar
13042,cirrhilabrus rubripinnis,fb,6,TRUE,popchar
68699,cirrhilabrus shutmani,fb,5.570000171661377,TRUE,popchar
60815,cirrhilabrus solorensis,fb,11,TRUE,popchar
68714,cirrhilabrus squirei,fb,5.630000114440918,TRUE,popchar
68714,cirrhilabrus squirei,fb,3.619999885559082,TRUE,popchar
5484,cirrhilabrus temminckii,fb,10,TRUE,popchar
5484,cirrhilabrus temminckii,fb,9.899999618530273,TRUE,popchar
59640,cirrhilabrus tonozukai,fb,7.5,TRUE,popchar
54193,cirrhilabrus walindi,fb,8.5,TRUE,popchar
54193,cirrhilabrus walindi,fb,7,TRUE,popchar
27405,cirrhimuraena chinensis,fb,23.5,TRUE,popchar
4494,cirrhinus cirrhosus,fb,91,TRUE,popchar
4494,cirrhinus cirrhosus,fb,92,TRUE,popchar
4494,cirrhinus cirrhosus,fb,75,TRUE,popchar
4494,cirrhinus cirrhosus,fb,91.4000015258789,TRUE,popchar
4494,cirrhinus cirrhosus,fb,61,TRUE,popchar
4494,cirrhinus cirrhosus,fb,100,TRUE,popchar
13161,cirrhinus macrops,fb,35,TRUE,popchar
49051,cirrhinus molitorella,fb,32.5,TRUE,popchar
66743,cirrhinus mrigala,fb,94.30000305175781,TRUE,popchar
55310,cirrhinus rubirostris,fb,30,TRUE,popchar
6604,cirrhitichthys aprinus,fb,12.5,TRUE,popchar
6604,cirrhitichthys aprinus,fb,9,TRUE,popchar
10473,cirrhitichthys aureus,fb,14,TRUE,popchar
5445,cirrhitichthys falco,fb,7,TRUE,popchar
5445,cirrhitichthys falco,fb,5.5,TRUE,popchar
25806,cirrhitichthys guichenoti,fb,12,TRUE,popchar
5830,cirrhitichthys oxycephalus,fb,10,TRUE,popchar
5830,cirrhitichthys oxycephalus,fb,8.5,TRUE,popchar
5831,cirrhitus pinnulatus,fb,30,TRUE,popchar
5831,cirrhitus pinnulatus,fb,28,TRUE,popchar
4385,cirripectes alboapicalis,fb,12.300000190734863,TRUE,popchar
59271,cirripectes alleni,fb,6.400000095367432,TRUE,popchar
4386,cirripectes auritus,fb,9,TRUE,popchar
4386,cirripectes auritus,fb,8,TRUE,popchar
4386,cirripectes auritus,fb,7.099999904632568,TRUE,popchar
4387,cirripectes castaneus,fb,11.5,TRUE,popchar
4387,cirripectes castaneus,fb,12.5,TRUE,popchar
4387,cirripectes castaneus,fb,9.199999809265137,TRUE,popchar
4388,cirripectes chelomatus,fb,12.300000190734863,TRUE,popchar
4388,cirripectes chelomatus,fb,12,TRUE,popchar
4388,cirripectes chelomatus,fb,9.399999618530273,TRUE,popchar
4389,cirripectes filamentosus,fb,9,TRUE,popchar
4389,cirripectes filamentosus,fb,7.5,TRUE,popchar
4390,cirripectes fuscoguttatus,fb,10.600000381469727,TRUE,popchar
4390,cirripectes fuscoguttatus,fb,15,TRUE,popchar
4391,cirripectes gilberti,fb,12.600000381469727,TRUE,popchar
4391,cirripectes gilberti,fb,10.199999809265137,TRUE,popchar
4392,cirripectes hutchinsi,fb,10.600000381469727,TRUE,popchar
4393,cirripectes imitator,fb,11.300000190734863,TRUE,popchar
4393,cirripectes imitator,fb,12,TRUE,popchar
4393,cirripectes imitator,fb,9.300000190734863,TRUE,popchar
4395,cirripectes kuwamurai,fb,5.590000152587891,TRUE,popchar
4396,cirripectes obscurus,fb,13.399999618530273,TRUE,popchar
4396,cirripectes obscurus,fb,20,TRUE,popchar
4397,cirripectes perustus,fb,12.899999618530273,TRUE,popchar
4397,cirripectes perustus,fb,12,TRUE,popchar
4397,cirripectes perustus,fb,8.199999809265137,TRUE,popchar
4398,cirripectes polyzona,fb,8.5,TRUE,popchar
4398,cirripectes polyzona,fb,13,TRUE,popchar
4398,cirripectes polyzona,fb,6.900000095367432,TRUE,popchar
4399,cirripectes quagga,fb,6.800000190734863,TRUE,popchar
4399,cirripectes quagga,fb,10,TRUE,popchar
4400,cirripectes randalli,fb,10.699999809265137,TRUE,popchar
4401,cirripectes springeri,fb,7,TRUE,popchar
4402,cirripectes stigmaticus,fb,12,TRUE,popchar
4402,cirripectes stigmaticus,fb,13,TRUE,popchar
4402,cirripectes stigmaticus,fb,10,TRUE,popchar
4403,cirripectes vanderbilti,fb,10,TRUE,popchar
4404,cirripectes variolosus,fb,8.899999618530273,TRUE,popchar
4404,cirripectes variolosus,fb,10,TRUE,popchar
4405,cirripectes viriosus,fb,14.600000381469727,TRUE,popchar
4405,cirripectes viriosus,fb,11.5,TRUE,popchar
53820,cirrisalarias bunares,fb,3.5,TRUE,popchar
4216,citharichthys spilopterus,fb,20,TRUE,popchar
4216,citharichthys spilopterus,fb,21,TRUE,popchar
4942,citharichthys stampflii,fb,16,TRUE,popchar
5267,citharinops distichodoides,fb,44.20000076293945,TRUE,popchar
