orig_sciname,valid_name,aphia_id
craterocephalus stercusmuscarum,craterocephalus stercusmuscarum,991207
craterocephalus stramineus,craterocephalus stramineus,1524999
cronia margariticola,drupella margariticola,576817
crossocheilus cobitis,crossocheilus cobitis,1014421
crossocheilus oblongus,crossocheilus oblongus,1014423
crossocheilus reticulatus,crossocheilus reticulatus,1015369
cubanichthys pengelleyi,cubanichthys pengelleyi,1525262
cultellus pellucidus,phaxas pellucidus,140737
cuthona albocrusta,trinchesia albocrusta,1037416
cuthona viridis,diaphoreolis viridis,1036948
cyanea lamarcki,cyanea lamarckii,135302
cyerce nigricans,cyerce nigricans,494516
cymatium muricinum,gutturnium muricinum,220950
cymatium nicobaricum,monoplex nicobaricus,476529
cymatium pileare,monoplex macrodon,476527
cymatium pileare,monoplex pilearis,476533
cynodonichthys hildebrandi,cynodonichthys hildebrandi,1015001
crassostrea rufa,no match,NA
cynodonichthys isthmensis,cynodonichthys isthmensis,1018321
cynodonichthys siegfriedi,cynodonichthys siegfriedi,1524231
cynodonichthys uroflammeus,cynodonichthys uroflammeus,1012449
cynoglossus feldmanni,cynoglossus feldmanni,1026886
cynoglossus microlepis,cynoglossus microlepis,1020152
cypraea spadicea,neobernaya spadicea,580674
cyprinodon beltrani,cyprinodon beltrani,1014261
cyprinus ilishaestomus,cyprinus ilishaestomus,1012657
cyprinus megalophthalmus,cyprinus megalophthalmus,1013627
cyprinus pellegrini,cyprinus pellegrini,1015593
cyprinus yilongensis,cyprinus yilongensis,1012651
cyprinus yunnanensis,cyprinus yunnanensis,1015590
daector gerringi,daector gerringi,1014787
datnioides microlepis,datnioides microlepis,1021577
dawkinsia singhala,dawkinsia singhala,1017562
dawkinsia tambraparniei,dawkinsia tambraparniei,1524924
deania calceus,deania calcea,105903
dichotomyctere ocellatus,dichotomyctere ocellatus,994327
diomedea amsterdamensis,diomedea amsterdamensis,405082
diomedea gibsoni,diomedea gibsoni,405117
dipturus chilensis,dipturus chilensis,271542
ditrema temminckii temminckii,ditrema temminckii temminckii,712926
dorosoma anale,dorosoma anale,405354
dorosoma chavesi,dorosoma chavesi,1018282
dorosoma smithi,dorosoma smithi,1014760
doryteuthis gahi,doryteuthis (amerigo) gahi,410351
doryteuthis opalescens,doryteuthis (amerigo) opalescens,410353
doryteuthis pealeii,doryteuthis (amerigo) pealeii,410354
doryteuthis pleii,doryteuthis (doryteuthis) pleii,410356
edenttellina typica,berthelinia typica,492596
elysia patagonica,elysia patagonica,494466
elysia tuca,elysia velutinus,883309
