am_sid,area_km2,mean_chi
Chn-9e100c7f-ed38-4571-9d2a-678f6d9068c8,NA,NA
Fis-112285,NA,NA
Fis-112294,NA,NA
Fis-112299,NA,NA
Fis-112306,NA,NA
Fis-112355,NA,NA
Fis-112385,NA,NA
Fis-112388,NA,NA
Fis-112455,NA,NA
Fis-112457,NA,NA
Fis-112507,NA,NA
Fis-112772,NA,NA
Fis-112796,NA,NA
Fis-112797,NA,NA
Fis-112801,NA,NA
Fis-112804,NA,NA
Fis-112843,NA,NA
Fis-112900,NA,NA
Fis-112946,NA,NA
Fis-112980,NA,NA
Fis-113003,NA,NA
Fis-113005,NA,NA
Fis-113007,NA,NA
Fis-113074,NA,NA
Fis-113082,NA,NA
Fis-113108,NA,NA
Fis-113146,NA,NA
Fis-113168,NA,NA
Fis-113184,NA,NA
Fis-113245,NA,NA
Fis-113258,NA,NA
Fis-113283,NA,NA
Fis-113287,NA,NA
Fis-113290,NA,NA
Fis-113302,NA,NA
Fis-113320,NA,NA
Fis-113380,NA,NA
Fis-113394,NA,NA
Fis-113435,NA,NA
Fis-113449,NA,NA
Fis-113466,NA,NA
Fis-113469,NA,NA
Fis-113542,NA,NA
Fis-113599,NA,NA
Fis-113623,NA,NA
Fis-113736,NA,NA
Fis-113740,NA,NA
Fis-113802,NA,NA
Fis-113842,NA,NA
Fis-114100,NA,NA
Fis-114103,NA,NA
Fis-114108,NA,NA
Fis-114113,NA,NA
Fis-114172,NA,NA
Fis-114213,NA,NA
Fis-114245,NA,NA
Fis-114246,NA,NA
Fis-114576,NA,NA
Fis-114756,NA,NA
Fis-115419,NA,NA
Fis-115790,NA,NA
Fis-115864,NA,NA
Fis-116714,NA,NA
Fis-118283,NA,NA
Fis-121619,NA,NA
Fis-121644,NA,NA
Fis-123146,NA,NA
Fis-123164,NA,NA
Fis-123220,NA,NA
Fis-123376,NA,NA
Fis-123550,NA,NA
Fis-124120,NA,NA
Fis-124148,NA,NA
Fis-124366,NA,NA
Fis-125742,NA,NA
Fis-125747,NA,NA
Fis-125760,NA,NA
Fis-125762,NA,NA
Fis-125770,NA,NA
Fis-125773,NA,NA
Fis-125783,NA,NA
Fis-125785,NA,NA
Fis-125786,NA,NA
Fis-125906,NA,NA
Fis-125968,NA,NA
Fis-125999,NA,NA
Fis-126144,NA,NA
Fis-126268,NA,NA
Fis-126275,NA,NA
Fis-127081,NA,NA
Fis-127099,NA,NA
Fis-127123,NA,NA
Fis-127124,NA,NA
Fis-127130,NA,NA
Fis-127216,NA,NA
Fis-127218,NA,NA
Fis-127258,NA,NA
Fis-127278,NA,NA
Fis-127558,NA,NA
Fis-127563,NA,NA
Fis-128494,NA,NA
Fis-130618,NA,NA
Fis-130671,NA,NA
Fis-130737,NA,NA
Fis-130762,NA,NA
Fis-130769,NA,NA
Fis-130775,NA,NA
Fis-130806,NA,NA
Fis-130825,NA,NA
Fis-130841,NA,NA
Fis-130905,NA,NA
Fis-130963,NA,NA
Fis-131008,NA,NA
Fis-131072,NA,NA
Fis-131080,NA,NA
Fis-131083,NA,NA
Fis-131089,NA,NA
Fis-131124,NA,NA
Fis-131178,NA,NA
Fis-131185,NA,NA
Fis-131191,NA,NA
Fis-131196,NA,NA
Fis-131237,NA,NA
Fis-131278,NA,NA
Fis-131311,NA,NA
Fis-131316,NA,NA
Fis-131319,NA,NA
Fis-131323,NA,NA
Fis-131358,NA,NA
Fis-131360,NA,NA
Fis-131441,NA,NA
Fis-131459,NA,NA
Fis-131465,NA,NA
Fis-131556,NA,NA
Fis-131597,NA,NA
Fis-131598,NA,NA
Fis-131602,NA,NA
Fis-131604,NA,NA
Fis-131607,NA,NA
Fis-131608,NA,NA
Fis-131619,NA,NA
Fis-131621,NA,NA
Fis-131622,NA,NA
Fis-131624,NA,NA
Fis-131626,NA,NA
Fis-131668,NA,NA
Fis-131701,NA,NA
Fis-131710,NA,NA
Fis-131715,NA,NA
Fis-131804,NA,NA
Fis-131838,NA,NA
Fis-131844,NA,NA
Fis-131892,NA,NA
Fis-131906,NA,NA
Fis-131920,NA,NA
Fis-131922,NA,NA
Fis-131992,NA,NA
Fis-131994,NA,NA
Fis-131995,NA,NA
Fis-131996,NA,NA
Fis-131998,NA,NA
Fis-132003,NA,NA
Fis-132091,NA,NA
Fis-132105,NA,NA
Fis-132106,NA,NA
Fis-132130,NA,NA
Fis-132339,NA,NA
Fis-132340,NA,NA
Fis-132342,NA,NA
Fis-132344,NA,NA
Fis-132415,NA,NA
Fis-132464,NA,NA
Fis-132482,NA,NA
Fis-132518,NA,NA
Fis-132526,NA,NA
Fis-132528,NA,NA
Fis-132545,NA,NA
Fis-132552,NA,NA
Fis-132557,NA,NA
Fis-132699,NA,NA
Fis-132700,NA,NA
Fis-132711,NA,NA
Fis-132866,NA,NA
Fis-132902,NA,NA
Fis-132930,NA,NA
Fis-133274,NA,NA
Fis-133276,NA,NA
Fis-133346,NA,NA
Fis-133486,NA,NA
Fis-133510,NA,NA
Fis-133516,NA,NA
Fis-133592,NA,NA
Fis-133789,NA,NA
Fis-133825,NA,NA
Fis-134030,NA,NA
Fis-134033,NA,NA
Fis-134057,NA,NA
Fis-134070,NA,NA
Fis-134118,NA,NA
Fis-134214,NA,NA
Fis-134259,NA,NA
Fis-134304,NA,NA
Fis-134402,NA,NA
Fis-134599,NA,NA
Fis-134710,NA,NA
Fis-134783,NA,NA
Fis-134785,NA,NA
Fis-135071,NA,NA
Fis-135703,NA,NA
Fis-135708,NA,NA
Fis-137489,NA,NA
Fis-137493,NA,NA
Fis-137494,NA,NA
Fis-137502,NA,NA
Fis-137577,NA,NA
Fis-137591,NA,NA
Fis-137821,NA,NA
Fis-137841,NA,NA
Fis-137886,NA,NA
Fis-137933,NA,NA
Fis-138012,NA,NA
Fis-138013,NA,NA
Fis-138284,NA,NA
Fis-138288,NA,NA
Fis-138298,NA,NA
Fis-138329,NA,NA
Fis-138331,NA,NA
Fis-138332,NA,NA
Fis-138523,NA,NA
Fis-138700,NA,NA
Fis-138701,NA,NA
Fis-138726,NA,NA
Fis-138728,NA,NA
Fis-138798,NA,NA
Fis-138822,NA,NA
Fis-138830,NA,NA
Fis-138848,NA,NA
Fis-138852,NA,NA
Fis-138856,NA,NA
Fis-138937,NA,NA
Fis-139634,NA,NA
Fis-140413,NA,NA
Fis-140478,NA,NA
Fis-140479,NA,NA
Fis-140522,NA,NA
Fis-140707,NA,NA
Fis-140711,NA,NA
Fis-140752,NA,NA
Fis-141086,NA,NA
Fis-141090,NA,NA
Fis-141265,NA,NA
Fis-141266,NA,NA
Fis-141267,NA,NA
Fis-141445,NA,NA
Fis-141483,NA,NA
Fis-141484,NA,NA
Fis-141547,NA,NA
Fis-142115,NA,NA
Fis-142137,NA,NA
Fis-142162,NA,NA
Fis-142171,NA,NA
Fis-142173,NA,NA
Fis-142239,NA,NA
Fis-142240,NA,NA
Fis-142344,NA,NA
Fis-142346,NA,NA
Fis-142442,NA,NA
Fis-142509,NA,NA
Fis-142523,NA,NA
Fis-142532,NA,NA
Fis-142748,NA,NA
Fis-143312,NA,NA
Fis-143314,NA,NA
Fis-143320,NA,NA
Fis-143323,NA,NA
Fis-143324,NA,NA
Fis-143329,NA,NA
Fis-143334,NA,NA
Fis-143335,NA,NA
Fis-143343,NA,NA
Fis-143355,NA,NA
Fis-143380,NA,NA
Fis-143407,NA,NA
Fis-143415,NA,NA
Fis-143432,NA,NA
Fis-143436,NA,NA
Fis-143446,NA,NA
Fis-143459,NA,NA
Fis-143520,NA,NA
Fis-143521,NA,NA
Fis-143569,NA,NA
Fis-143570,NA,NA
Fis-143572,NA,NA
Fis-143684,NA,NA
Fis-143694,NA,NA
Fis-143699,NA,NA
Fis-143711,NA,NA
Fis-143725,NA,NA
Fis-143727,NA,NA
Fis-143734,NA,NA
