taxon_name,common_name,fleet_gear_name,bycatch,type,destruction
epinephelus guttatus,red hind,lines non-tuna,low,pelagic,non-destructive
epinephelus morio,red grouper,lines non-tuna,low,pelagic,non-destructive
epinephelus striatus,nassau grouper,lines non-tuna,low,pelagic,non-destructive
argentina sphyraena,argentine,trawl,high,demersal,destructive
clupea harengus,atlantic herring,lines non-tuna,low,pelagic,non-destructive
clupea harengus,atlantic herring,seine,high,pelagic,non-destructive
clupea harengus,atlantic herring,purse seine non-tuna,low,pelagic,non-destructive
clupea harengus,atlantic herring,gillnet,high,pelagic,non-destructive
glyptocephalus cynoglossus,witch,trawl,high,demersal,destructive
glyptocephalus cynoglossus,witch,seine,high,pelagic,non-destructive
lepidorhombus boscii,fourspotted megrim,trawl,high,demersal,destructive
lepidorhombus whiffiagonis,megrim,trawl,high,demersal,destructive
lepidorhombus whiffiagonis,megrim,gillnet,high,demersal,non-destructive
merlangius merlangus,whiting,trawl,high,demersal,destructive
merlangius merlangus,whiting,seine,high,pelagic,non-destructive
merluccius merluccius,european hake,lines non-tuna,low,demersal,non-destructive
merluccius merluccius,european hake,trawl,high,demersal,destructive
merluccius merluccius,european hake,seine,high,pelagic,non-destructive
merluccius merluccius,european hake,gillnet,high,demersal,non-destructive
micromesistius poutassou,blue whiting,trawl midwater,high,pelagic,non-destructive
microchirus variegatus,thickback sole,trawl,high,demersal,destructive
molva molva,ling,lines non-tuna,low,demersal,non-destructive
pollachius pollachius,pollack,lines non-tuna,low,pelagic,non-destructive
pollachius pollachius,pollack,trawl,high,demersal,destructive
arnoglossus laterna,scaldfish,lines non-tuna,low,demersal,non-destructive
arnoglossus laterna,scaldfish,longline non-tuna,high,demersal,non-destructive
arnoglossus laterna,scaldfish,trawl,high,demersal,destructive
arnoglossus laterna,scaldfish,gillnet,high,demersal,non-destructive
aspitrigla cuculus,east atlantic red gurnard,lines non-tuna,low,demersal,non-destructive
aspitrigla cuculus,east atlantic red gurnard,trawl,high,demersal,destructive
aspitrigla cuculus,east atlantic red gurnard,trawl midwater,high,pelagic,non-destructive
aspitrigla cuculus,east atlantic red gurnard,gillnet,high,demersal,non-destructive
atherina presbyter,sand smelt,lines non-tuna,low,pelagic,non-destructive
atherina presbyter,sand smelt,trawl,high,demersal,destructive
atherina presbyter,sand smelt,trawl midwater,high,pelagic,non-destructive
atherina presbyter,sand smelt,purse seine non-tuna,low,pelagic,non-destructive
atherina presbyter,sand smelt,gillnet,high,pelagic,non-destructive
belone belone,garpike,lines non-tuna,low,pelagic,non-destructive
brosme brosme,tusk,lines non-tuna,low,demersal,non-destructive
brosme brosme,tusk,seine,high,pelagic,non-destructive
capros aper,boarfish,seine,high,pelagic,non-destructive
cepola macrophthalma,red bandfish,lines non-tuna,low,demersal,non-destructive
cepola macrophthalma,red bandfish,trawl,high,demersal,destructive
cepola macrophthalma,red bandfish,trawl midwater,high,pelagic,non-destructive
cepola macrophthalma,red bandfish,gillnet,high,demersal,non-destructive
symphodus melops,corkwing wrasse,seine,high,pelagic,non-destructive
ctenolabrus rupestris,goldsinny-wrasse,seine,high,pelagic,non-destructive
cyclopterus lumpus,lumpsucker,seine,high,pelagic,non-destructive
cyclopterus lumpus,lumpsucker,gillnet,high,pelagic,non-destructive
dicentrarchus labrax,european seabass,lines non-tuna,low,demersal,non-destructive
dicentrarchus labrax,european seabass,trawl,high,demersal,destructive
dicentrarchus labrax,european seabass,trawl midwater,high,pelagic,non-destructive
dicentrarchus labrax,european seabass,gillnet,high,demersal,non-destructive
engraulis encrasicolus,european anchovy,trawl midwater,high,pelagic,non-destructive
engraulis encrasicolus,european anchovy,seine,high,pelagic,non-destructive
engraulis encrasicolus,european anchovy,purse seine non-tuna,low,pelagic,non-destructive
eutrigla gurnardus,grey gurnard,trawl,high,demersal,destructive
gadus morhua,atlantic cod,longline non-tuna,high,pelagic,non-destructive
gadus morhua,atlantic cod,trawl midwater,high,pelagic,non-destructive
gadus morhua,atlantic cod,gillnet,high,pelagic,non-destructive
caranx hippos,crevalle jack,lines non-tuna,low,pelagic,non-destructive
caranx hippos,crevalle jack,gillnet,high,pelagic,non-destructive
gobius niger,black goby,gillnet,high,demersal,non-destructive
helicolenus dactylopterus dactylopterus,blackbelly rosefish,lines non-tuna,low,demersal,non-destructive
helicolenus dactylopterus dactylopterus,blackbelly rosefish,trawl,high,demersal,destructive
helicolenus dactylopterus dactylopterus,blackbelly rosefish,gillnet,high,demersal,non-destructive
istiophorus platypterus,indo-pacific sailfish,lines non-tuna,low,pelagic,non-destructive
istiophorus albicans,atlantic sailfish,lines non-tuna,low,pelagic,non-destructive
istiophorus albicans,atlantic sailfish,gillnet,high,pelagic,non-destructive
istiophorus albicans,atlantic sailfish,longlinetuna,high,pelagic,non-destructive
istiophorus albicans,atlantic sailfish,purse seine tuna,low,pelagic,non-destructive
aphareus rutilans,rusty jobfish,lines non-tuna,low,pelagic,non-destructive
aprion virescens,green jobfish,other,low,pelagic,non-destructive
aprion virescens,green jobfish,lines non-tuna,low,pelagic,non-destructive
aprion virescens,green jobfish,trap,high,demersal,non-destructive
aprion virescens,green jobfish,trawl,high,demersal,destructive
aprion virescens,green jobfish,gillnet,high,pelagic,non-destructive
lamna nasus,porbeagle,lines non-tuna,low,pelagic,non-destructive
lamna nasus,porbeagle,seine,high,pelagic,non-destructive
acanthocybium solandri,wahoo,seine,high,pelagic,non-destructive
cetorhinus maximus,basking shark,gillnet,high,pelagic,non-destructive
auxis rochei rochei,bullet tuna,purse seine non-tuna,low,pelagic,non-destructive
auxis thazard thazard,frigate tuna,seine,high,pelagic,non-destructive
euthynnus affinis,kawakawa,lines non-tuna,low,pelagic,non-destructive
euthynnus affinis,kawakawa,gillnet,high,pelagic,non-destructive
euthynnus affinis,kawakawa,pole and line tuna,low,pelagic,non-destructive
euthynnus affinis,kawakawa,longlinetuna,high,pelagic,non-destructive
euthynnus alletteratus,little tunny,seine,high,pelagic,non-destructive
euthynnus lineatus,black skipjack,seine,high,pelagic,non-destructive
alosa alosa,allis shad,gillnet,high,pelagic,non-destructive
alosa immaculata,pontic shad,gillnet,high,pelagic,non-destructive
gymnosarda unicolor,dogtooth tuna,lines non-tuna,low,pelagic,non-destructive
katsuwonus pelamis,skipjack tuna,lines non-tuna,low,pelagic,non-destructive
katsuwonus pelamis,skipjack tuna,gillnet,high,pelagic,non-destructive
katsuwonus pelamis,skipjack tuna,pole and line tuna,low,pelagic,non-destructive
katsuwonus pelamis,skipjack tuna,longlinetuna,high,pelagic,non-destructive
katsuwonus pelamis,skipjack tuna,purse seine tuna,low,pelagic,non-destructive
orcynopsis unicolor,plain bonito,lines non-tuna,low,pelagic,non-destructive
rastrelliger brachysoma,short mackerel,other,low,pelagic,non-destructive
rastrelliger brachysoma,short mackerel,seine,high,pelagic,non-destructive
rastrelliger brachysoma,short mackerel,purse seine non-tuna,low,pelagic,non-destructive
rastrelliger brachysoma,short mackerel,gillnet,high,pelagic,non-destructive
rastrelliger kanagurta,indian mackerel,other,low,pelagic,non-destructive
rastrelliger kanagurta,indian mackerel,seine,high,pelagic,non-destructive
rastrelliger kanagurta,indian mackerel,purse seine non-tuna,low,pelagic,non-destructive
rastrelliger kanagurta,indian mackerel,gillnet,high,pelagic,non-destructive
sarda chiliensis chiliensis,eastern pacific bonito,lines non-tuna,low,pelagic,non-destructive
sarda chiliensis chiliensis,eastern pacific bonito,purse seine non-tuna,low,pelagic,non-destructive
sarda chiliensis chiliensis,eastern pacific bonito,gillnet,high,pelagic,non-destructive
sarda orientalis,striped bonito,lines non-tuna,low,pelagic,non-destructive
sarda orientalis,striped bonito,trawl midwater,high,pelagic,non-destructive
sarda orientalis,striped bonito,purse seine non-tuna,low,pelagic,non-destructive
sarda orientalis,striped bonito,gillnet,high,pelagic,non-destructive
sarda orientalis,striped bonito,pole and line tuna,low,pelagic,non-destructive
sarda orientalis,striped bonito,longlinetuna,high,pelagic,non-destructive
sarda orientalis,striped bonito,purse seine tuna,low,pelagic,non-destructive
sarda sarda,atlantic bonito,lines non-tuna,low,pelagic,non-destructive
sarda sarda,atlantic bonito,seine,high,pelagic,non-destructive
sarda sarda,atlantic bonito,purse seine non-tuna,low,pelagic,non-destructive
sarda sarda,atlantic bonito,gillnet,high,pelagic,non-destructive
scomber australasicus,blue mackerel,seine,high,pelagic,non-destructive
scomber japonicus,chub mackerel,purse seine non-tuna,low,pelagic,non-destructive
scomber scombrus,atlantic mackerel,lines non-tuna,low,pelagic,non-destructive
scomber scombrus,atlantic mackerel,trap,high,demersal,non-destructive
scomber scombrus,atlantic mackerel,seine,high,pelagic,non-destructive
scomber scombrus,atlantic mackerel,purse seine non-tuna,low,pelagic,non-destructive
scomber scombrus,atlantic mackerel,gillnet,high,pelagic,non-destructive
scomberomorus brasiliensis,serra spanish mackerel,gillnet,high,pelagic,non-destructive
scomberomorus cavalla,king mackerel,lines non-tuna,low,pelagic,non-destructive
scomberomorus commerson,narrow-barred spanish mackerel,lines non-tuna,low,pelagic,non-destructive
scomberomorus guttatus,indo-pacific king mackerel,trap,high,demersal,non-destructive
scomberomorus guttatus,indo-pacific king mackerel,trawl midwater,high,pelagic,non-destructive
scomberomorus guttatus,indo-pacific king mackerel,purse seine non-tuna,low,pelagic,non-destructive
scomberomorus lineolatus,streaked seerfish,trap,high,demersal,non-destructive
scomberomorus lineolatus,streaked seerfish,trawl midwater,high,pelagic,non-destructive
scomberomorus lineolatus,streaked seerfish,seine,high,pelagic,non-destructive
scomberomorus lineolatus,streaked seerfish,purse seine non-tuna,low,pelagic,non-destructive
scomberomorus lineolatus,streaked seerfish,gillnet,high,pelagic,non-destructive
scomberomorus maculatus,spanish mackerel,trap,high,demersal,non-destructive
scomberomorus maculatus,spanish mackerel,gillnet,high,pelagic,non-destructive
scomberomorus niphonius,japanese spanish mackerel,lines non-tuna,low,pelagic,non-destructive
scomberomorus niphonius,japanese spanish mackerel,trawl midwater,high,pelagic,non-destructive
scomberomorus niphonius,japanese spanish mackerel,gillnet,high,pelagic,non-destructive
scomberomorus niphonius,japanese spanish mackerel,longlinetuna,high,pelagic,non-destructive
scomberomorus regalis,cero,gillnet,high,pelagic,non-destructive
scomberomorus sierra,pacific sierra,lines non-tuna,low,pelagic,non-destructive
scomberomorus sierra,pacific sierra,trawl midwater,high,pelagic,non-destructive
scomberomorus sierra,pacific sierra,purse seine non-tuna,low,pelagic,non-destructive
scomberomorus sierra,pacific sierra,gillnet,high,pelagic,non-destructive
scomberomorus sierra,pacific sierra,pole and line tuna,low,pelagic,non-destructive
scomberomorus sierra,pacific sierra,longlinetuna,high,pelagic,non-destructive
scomberomorus sierra,pacific sierra,purse seine tuna,low,pelagic,non-destructive
somniosus microcephalus,greenland shark,lines non-tuna,low,pelagic,non-destructive
squalus acanthias,piked dogfish,trawl,high,demersal,destructive
rhinobatos percellens,chola guitarfish,other,low,pelagic,non-destructive
scomberomorus tritor,west african spanish mackerel,seine,high,pelagic,non-destructive
thunnus alalunga,albacore,lines non-tuna,low,pelagic,non-destructive
thunnus alalunga,albacore,trawl midwater,high,pelagic,non-destructive
thunnus alalunga,albacore,gillnet,high,pelagic,non-destructive
thunnus alalunga,albacore,pole and line tuna,low,pelagic,non-destructive
thunnus alalunga,albacore,longlinetuna,high,pelagic,non-destructive
thunnus alalunga,albacore,purse seine tuna,low,pelagic,non-destructive
thunnus albacares,yellowfin tuna,lines non-tuna,low,pelagic,non-destructive
thunnus albacares,yellowfin tuna,gillnet,high,pelagic,non-destructive
thunnus albacares,yellowfin tuna,pole and line tuna,low,pelagic,non-destructive
thunnus albacares,yellowfin tuna,longlinetuna,high,pelagic,non-destructive
thunnus albacares,yellowfin tuna,purse seine tuna,low,pelagic,non-destructive
thunnus atlanticus,blackfin tuna,lines non-tuna,low,pelagic,non-destructive
thunnus atlanticus,blackfin tuna,gillnet,high,pelagic,non-destructive
thunnus maccoyii,southern bluefin tuna,gillnet,high,pelagic,non-destructive
thunnus maccoyii,southern bluefin tuna,pole and line tuna,low,pelagic,non-destructive
thunnus maccoyii,southern bluefin tuna,longlinetuna,high,pelagic,non-destructive
thunnus obesus,bigeye tuna,lines non-tuna,low,pelagic,non-destructive
thunnus obesus,bigeye tuna,gillnet,high,pelagic,non-destructive
thunnus obesus,bigeye tuna,pole and line tuna,low,pelagic,non-destructive
thunnus obesus,bigeye tuna,longlinetuna,high,pelagic,non-destructive
thunnus obesus,bigeye tuna,purse seine tuna,low,pelagic,non-destructive
thunnus thynnus,atlantic bluefin tuna,lines non-tuna,low,pelagic,non-destructive
thunnus thynnus,atlantic bluefin tuna,trap,high,demersal,non-destructive
thunnus thynnus,atlantic bluefin tuna,pole and line tuna,low,pelagic,non-destructive
thunnus thynnus,atlantic bluefin tuna,longlinetuna,high,pelagic,non-destructive
thunnus thynnus,atlantic bluefin tuna,purse seine tuna,low,pelagic,non-destructive
thunnus tonggol,longtail tuna,lines non-tuna,low,pelagic,non-destructive
thunnus tonggol,longtail tuna,trawl midwater,high,pelagic,non-destructive
thunnus tonggol,longtail tuna,gillnet,high,pelagic,non-destructive
thunnus tonggol,longtail tuna,pole and line tuna,low,pelagic,non-destructive
rhinobatos planiceps,pacific guitarfish,trawl,high,demersal,destructive
lutjanus guttatus,spotted rose snapper,other,low,pelagic,non-destructive
lutjanus guttatus,spotted rose snapper,lines non-tuna,low,pelagic,non-destructive
lutjanus kasmira,common bluestripe snapper,other,low,pelagic,non-destructive
lutjanus kasmira,common bluestripe snapper,trap,high,demersal,non-destructive
lutjanus kasmira,common bluestripe snapper,gillnet,high,pelagic,non-destructive
lutjanus malabaricus,malabar blood snapper,lines non-tuna,low,pelagic,non-destructive
callorhinchus capensis,cape elephantfish,seine,high,pelagic,non-destructive
lutjanus purpureus,southern red snapper,lines non-tuna,low,demersal,non-destructive
lutjanus quinquelineatus,five-lined snapper,other,low,pelagic,non-destructive
lutjanus quinquelineatus,five-lined snapper,trap,high,demersal,non-destructive
lutjanus quinquelineatus,five-lined snapper,gillnet,high,pelagic,non-destructive
elops saurus,ladyfish,seine,high,pelagic,non-destructive
lutjanus synagris,lane snapper,lines non-tuna,low,pelagic,non-destructive
lutjanus vivanus,silk snapper,trap,high,demersal,non-destructive
lutjanus vivanus,silk snapper,trawl,high,demersal,destructive
lutjanus vivanus,silk snapper,trawl midwater,high,pelagic,non-destructive
lutjanus vivanus,silk snapper,seine,high,pelagic,non-destructive
lutjanus vivanus,silk snapper,gillnet,high,demersal,non-destructive
ocyurus chrysurus,yellowtail snapper,lines non-tuna,low,pelagic,non-destructive
boops boops,bogue,trawl,high,demersal,destructive
sarpa salpa,salema,lines non-tuna,low,pelagic,non-destructive
sarpa salpa,salema,trawl,high,demersal,destructive
sarpa salpa,salema,trawl midwater,high,pelagic,non-destructive
pristipomoides macrophthalmus,cardinal snapper,lines non-tuna,low,pelagic,non-destructive
rhomboplites aurorubens,vermilion snapper,lines non-tuna,low,demersal,non-destructive
rhomboplites aurorubens,vermilion snapper,trawl midwater,high,pelagic,non-destructive
makaira nigricans,atlantic blue marlin,lines non-tuna,low,pelagic,non-destructive
makaira nigricans,atlantic blue marlin,gillnet,high,pelagic,non-destructive
makaira nigricans,atlantic blue marlin,pole and line tuna,low,pelagic,non-destructive
makaira nigricans,atlantic blue marlin,longlinetuna,high,pelagic,non-destructive
makaira nigricans,atlantic blue marlin,purse seine tuna,low,pelagic,non-destructive
makaira indica,black marlin,longlinetuna,high,pelagic,non-destructive
makaira mazara,indo-pacific blue marlin,lines non-tuna,low,pelagic,non-destructive
tetrapturus albidus,atlantic white marlin,lines non-tuna,low,pelagic,non-destructive
tetrapturus albidus,atlantic white marlin,pole and line tuna,low,pelagic,non-destructive
tetrapturus albidus,atlantic white marlin,longlinetuna,high,pelagic,non-destructive
tetrapturus albidus,atlantic white marlin,purse seine tuna,low,pelagic,non-destructive
tetrapturus pfluegeri,longbill spearfish,lines non-tuna,low,pelagic,non-destructive
tetrapturus audax,striped marlin,longlinetuna,high,pelagic,non-destructive
xiphias gladius,swordfish,other,low,pelagic,non-destructive
xiphias gladius,swordfish,lines non-tuna,low,pelagic,non-destructive
xiphias gladius,swordfish,gillnet,high,pelagic,non-destructive
xiphias gladius,swordfish,pole and line tuna,low,pelagic,non-destructive
xiphias gladius,swordfish,longlinetuna,high,pelagic,non-destructive
xiphias gladius,swordfish,purse seine tuna,low,pelagic,non-destructive
megalops cyprinoides,indo-pacific tarpon,lines non-tuna,low,pelagic,non-destructive
megalops cyprinoides,indo-pacific tarpon,trawl midwater,high,pelagic,non-destructive
megalops cyprinoides,indo-pacific tarpon,purse seine non-tuna,low,pelagic,non-destructive
megalops cyprinoides,indo-pacific tarpon,gillnet,high,pelagic,non-destructive
megalops cyprinoides,indo-pacific tarpon,longlinetuna,high,pelagic,non-destructive
albula vulpes,bonefish,seine,high,pelagic,non-destructive
alepocephalus bairdii,bairds smooth-head,lines non-tuna,low,demersal,non-destructive
alepocephalus bairdii,bairds smooth-head,trap,high,demersal,non-destructive
alepocephalus bairdii,bairds smooth-head,trawl,high,demersal,destructive
alepocephalus bairdii,bairds smooth-head,gillnet,high,demersal,non-destructive
coregonus albula,vendace,lines non-tuna,low,pelagic,non-destructive
coregonus albula,vendace,trap,high,demersal,non-destructive
coregonus albula,vendace,trawl midwater,high,pelagic,non-destructive
coregonus albula,vendace,seine,high,pelagic,non-destructive
coregonus albula,vendace,purse seine non-tuna,low,pelagic,non-destructive
coregonus albula,vendace,gillnet,high,pelagic,non-destructive
coregonus lavaretus,common whitefish,other,low,demersal,non-destructive
coregonus lavaretus,common whitefish,lines non-tuna,low,demersal,non-destructive
coregonus lavaretus,common whitefish,trawl,high,demersal,destructive
coregonus lavaretus,common whitefish,trawl midwater,high,pelagic,non-destructive
coregonus lavaretus,common whitefish,gillnet,high,demersal,non-destructive
salmo salar,atlantic salmon,lines non-tuna,low,pelagic,non-destructive
salmo salar,atlantic salmon,trap,high,demersal,non-destructive
salmo salar,atlantic salmon,gillnet,high,pelagic,non-destructive
salmo trutta trutta,sea trout,gillnet,high,pelagic,non-destructive
oncorhynchus gorbuscha,pink salmon,trawl midwater,high,pelagic,non-destructive
oncorhynchus gorbuscha,pink salmon,purse seine non-tuna,low,pelagic,non-destructive
oncorhynchus gorbuscha,pink salmon,gillnet,high,demersal,non-destructive
oncorhynchus keta,chum salmon,trawl midwater,high,pelagic,non-destructive
oncorhynchus keta,chum salmon,purse seine non-tuna,low,pelagic,non-destructive
oncorhynchus keta,chum salmon,gillnet,high,pelagic,non-destructive
oncorhynchus masou masou,cherry salmon,lines non-tuna,low,pelagic,non-destructive
oncorhynchus masou masou,cherry salmon,trawl,high,demersal,destructive
oncorhynchus masou masou,cherry salmon,trawl midwater,high,pelagic,non-destructive
oncorhynchus masou masou,cherry salmon,purse seine non-tuna,low,pelagic,non-destructive
oncorhynchus masou masou,cherry salmon,gillnet,high,pelagic,non-destructive
oncorhynchus nerka,sockeye salmon,trawl midwater,high,pelagic,non-destructive
oncorhynchus nerka,sockeye salmon,purse seine non-tuna,low,pelagic,non-destructive
oncorhynchus nerka,sockeye salmon,gillnet,high,pelagic,non-destructive
oncorhynchus tshawytscha,chinook salmon,trawl midwater,high,pelagic,non-destructive
oncorhynchus tshawytscha,chinook salmon,purse seine non-tuna,low,pelagic,non-destructive
oncorhynchus tshawytscha,chinook salmon,gillnet,high,pelagic,non-destructive
oncorhynchus kisutch,coho salmon,trawl midwater,high,pelagic,non-destructive
oncorhynchus kisutch,coho salmon,purse seine non-tuna,low,pelagic,non-destructive
oncorhynchus kisutch,coho salmon,gillnet,high,demersal,non-destructive
centrolophus niger,blackfish,trawl,high,demersal,destructive
mallotus villosus,capelin,purse seine non-tuna,low,pelagic,non-destructive
osmerus mordax mordax,atlantic rainbow smelt,purse seine non-tuna,low,pelagic,non-destructive
thaleichthys pacificus,eulachon,purse seine non-tuna,low,pelagic,non-destructive
lampanyctodes hectoris,hectors lanternfish,trawl,high,demersal,destructive
lampanyctodes hectoris,hectors lanternfish,trawl midwater,high,pelagic,non-destructive
lampanyctodes hectoris,hectors lanternfish,purse seine non-tuna,low,pelagic,non-destructive
lampanyctodes hectoris,hectors lanternfish,gillnet,high,pelagic,non-destructive
harpadon nehereus,bombay duck,trap,high,demersal,non-destructive
harpadon nehereus,bombay duck,seine,high,pelagic,non-destructive
harpadon nehereus,bombay duck,gillnet,high,pelagic,non-destructive
lutjanus johnii,johns snapper,lines non-tuna,low,pelagic,non-destructive
lutjanus gibbus,humpback red snapper,other,low,pelagic,non-destructive
lutjanus gibbus,humpback red snapper,trap,high,demersal,non-destructive
lutjanus gibbus,humpback red snapper,gillnet,high,pelagic,non-destructive
lutjanus griseus,grey snapper,other,low,pelagic,non-destructive
lutjanus griseus,grey snapper,lines non-tuna,low,pelagic,non-destructive
lutjanus griseus,grey snapper,trap,high,demersal,non-destructive
lutjanus griseus,grey snapper,trawl,high,demersal,destructive
lutjanus griseus,grey snapper,trawl midwater,high,pelagic,non-destructive
lutjanus griseus,grey snapper,gillnet,high,pelagic,non-destructive
muraenesox cinereus,daggertooth pike conger,lines non-tuna,low,demersal,non-destructive
muraenesox cinereus,daggertooth pike conger,trap,high,demersal,non-destructive
muraenesox cinereus,daggertooth pike conger,trawl,high,demersal,destructive
conger orbignianus,argentine conger,lines non-tuna,low,demersal,non-destructive
conger oceanicus,american conger,lines non-tuna,low,demersal,non-destructive
conger conger,european conger,lines non-tuna,low,demersal,non-destructive
conger myriaster,whitespotted conger,lines non-tuna,low,demersal,non-destructive
cololabis saira,pacific saury,seine,high,pelagic,non-destructive
cololabis saira,pacific saury,gillnet,high,pelagic,non-destructive
hyporhamphus sajori,japanese halfbeak,trap,high,demersal,non-destructive
hyporhamphus sajori,japanese halfbeak,trawl midwater,high,pelagic,non-destructive
hyporhamphus sajori,japanese halfbeak,purse seine non-tuna,low,pelagic,non-destructive
salilota australis,tadpole codling,trawl,high,demersal,destructive
gadus macrocephalus,pacific cod,lines non-tuna,low,demersal,non-destructive
gadus macrocephalus,pacific cod,trawl,high,demersal,destructive
gadus macrocephalus,pacific cod,trawl midwater,high,pelagic,non-destructive
gadus ogac,greenland cod,lines non-tuna,low,demersal,non-destructive
gadus ogac,greenland cod,trap,high,demersal,non-destructive
gadus ogac,greenland cod,trawl,high,demersal,destructive
gadus ogac,greenland cod,gillnet,high,demersal,non-destructive
urophycis brasiliensis,brazilian codling,trawl,high,demersal,destructive
urophycis chuss,red hake,trawl,high,demersal,destructive
urophycis tenuis,white hake,trawl,high,demersal,destructive
eleginus nawaga,navaga,trawl,high,demersal,destructive
eleginus gracilis,saffron cod,lines non-tuna,low,demersal,non-destructive
eleginus gracilis,saffron cod,trawl,high,demersal,destructive
eleginus gracilis,saffron cod,gillnet,high,demersal,non-destructive
microgadus tomcod,atlantic tomcod,trawl,high,demersal,destructive
microgadus tomcod,atlantic tomcod,trawl midwater,high,pelagic,non-destructive
microgadus tomcod,atlantic tomcod,purse seine non-tuna,low,pelagic,non-destructive
microgadus tomcod,atlantic tomcod,gillnet,high,demersal,non-destructive
theragra chalcogramma,alaska pollack,trawl midwater,high,pelagic,non-destructive
boreogadus saida,polar cod,trawl,high,demersal,destructive
boreogadus saida,polar cod,trawl midwater,high,pelagic,non-destructive
boreogadus saida,polar cod,purse seine non-tuna,low,pelagic,non-destructive
micromesistius australis,southern blue whiting,trawl,high,demersal,destructive
merluccius senegalensis,senegalese hake,trawl,high,demersal,destructive
merluccius australis,southern hake,trawl,high,demersal,destructive
merluccius bilinearis,silver hake,trawl,high,demersal,destructive
merluccius gayi gayi,south pacific hake,lines non-tuna,low,demersal,non-destructive
merluccius gayi gayi,south pacific hake,trawl,high,demersal,destructive
merluccius gayi gayi,south pacific hake,seine,high,pelagic,non-destructive
merluccius hubbsi,argentine hake,lines non-tuna,low,pelagic,non-destructive
merluccius hubbsi,argentine hake,trawl,high,demersal,destructive
merluccius hubbsi,argentine hake,trawl midwater,high,pelagic,non-destructive
merluccius productus,north pacific hake,trawl midwater,high,pelagic,non-destructive
merluccius polli,benguela hake,trawl,high,demersal,destructive
macruronus magellanicus,patagonian grenadier,trawl midwater,high,pelagic,non-destructive
macrourus berglax,onion-eye grenadier,lines non-tuna,low,pelagic,non-destructive
macrourus berglax,onion-eye grenadier,trawl,high,demersal,destructive
coryphaenoides rupestris,roundnose grenadier,trawl,high,demersal,destructive
macroramphosus scolopax,longspine snipefish,trawl,high,demersal,destructive
hoplostethus atlanticus,orange roughy,trawl,high,demersal,destructive
zenopsis conchifer,silvery john dory,trawl,high,demersal,destructive
joturus pichardi,bobo mullet,trawl,high,demersal,destructive
joturus pichardi,bobo mullet,trawl midwater,high,pelagic,non-destructive
joturus pichardi,bobo mullet,seine,high,pelagic,non-destructive
joturus pichardi,bobo mullet,purse seine non-tuna,low,pelagic,non-destructive
joturus pichardi,bobo mullet,gillnet,high,pelagic,non-destructive
menidia menidia,atlantic silverside,trawl midwater,high,pelagic,non-destructive
menidia menidia,atlantic silverside,seine,high,pelagic,non-destructive
menidia menidia,atlantic silverside,purse seine non-tuna,low,pelagic,non-destructive
menidia menidia,atlantic silverside,gillnet,high,pelagic,non-destructive
eleutheronema tetradactylum,fourfinger threadfin,lines non-tuna,low,demersal,non-destructive
eleutheronema tetradactylum,fourfinger threadfin,trawl,high,demersal,destructive
eleutheronema tetradactylum,fourfinger threadfin,seine,high,pelagic,non-destructive
eleutheronema tetradactylum,fourfinger threadfin,gillnet,high,demersal,non-destructive
galeoides decadactylus,lesser african threadfin,lines non-tuna,low,demersal,non-destructive
galeoides decadactylus,lesser african threadfin,trawl,high,demersal,destructive
galeoides decadactylus,lesser african threadfin,trawl midwater,high,pelagic,non-destructive
galeoides decadactylus,lesser african threadfin,gillnet,high,demersal,non-destructive
pentanemus quinquarius,royal threadfin,lines non-tuna,low,demersal,non-destructive
pentanemus quinquarius,royal threadfin,trawl,high,demersal,destructive
pentanemus quinquarius,royal threadfin,trawl midwater,high,pelagic,non-destructive
centropomus undecimalis,common snook,other,low,demersal,non-destructive
centropomus undecimalis,common snook,lines non-tuna,low,demersal,non-destructive
centropomus undecimalis,common snook,trawl,high,demersal,destructive
centropomus undecimalis,common snook,trawl midwater,high,pelagic,non-destructive
centropomus undecimalis,common snook,gillnet,high,demersal,non-destructive
lates calcarifer,barramundi,gillnet,high,demersal,non-destructive
epinephelus analogus,spotted grouper,lines non-tuna,low,pelagic,non-destructive
polyprion americanus,wreckfish,lines non-tuna,low,demersal,non-destructive
polyprion americanus,wreckfish,trawl,high,demersal,destructive
polyprion oxygeneios,hapuka,longline non-tuna,high,demersal,non-destructive
acanthistius brasilianus,sea bass,trawl,high,demersal,destructive
paralabrax humeralis,peruvian rock seabass,lines non-tuna,low,pelagic,non-destructive
paralabrax humeralis,peruvian rock seabass,gillnet,high,pelagic,non-destructive
morone saxatilis,striped sea-bass,lines non-tuna,low,demersal,non-destructive
morone saxatilis,striped sea-bass,trap,high,demersal,non-destructive
morone saxatilis,striped sea-bass,gillnet,high,demersal,non-destructive
morone americana,white perch,lines non-tuna,low,demersal,non-destructive
morone americana,white perch,trap,high,demersal,non-destructive
morone americana,white perch,seine,high,pelagic,non-destructive
morone americana,white perch,purse seine non-tuna,low,pelagic,non-destructive
morone americana,white perch,gillnet,high,demersal,non-destructive
priacanthus macracanthus,red bigeye,trawl,high,demersal,destructive
centropristis striata,black seabass,lines non-tuna,low,pelagic,non-destructive
lopholatilus chamaeleonticeps,great northern tilefish,lines non-tuna,low,demersal,non-destructive
lactarius lactarius,false trevally,seine,high,pelagic,non-destructive
pomatomus saltatrix,bluefish,lines non-tuna,low,pelagic,non-destructive
pomatomus saltatrix,bluefish,seine,high,pelagic,non-destructive
