spec_code,species,db,length_max,in_spp_table,table
8508,helcogramma fuscopinna,fb,4.900000095367432,TRUE,popll
61889,helcogramma nesion,fb,4.599999904632568,FALSE,popll
8046,helcogramma obtusirostris,fb,4.599999904632568,TRUE,popll
8046,helcogramma obtusirostris,fb,3.5,TRUE,popll
26343,helcogramma steinitzi,fb,4,TRUE,popll
26343,helcogramma steinitzi,fb,3.900000095367432,TRUE,popll
8514,helcogramma striata,fb,3.799999952316284,TRUE,popll
76,helicolenus dactylopterus,fb,44,TRUE,popll
13062,helicolenus hilgendorfii,fb,17.799999237060547,TRUE,popll
13062,helicolenus hilgendorfii,fb,17.100000381469727,TRUE,popll
52976,hemibagrus macropterus,fb,54.20000076293945,TRUE,popll
2389,hemichromis bimaculatus,fb,9,TRUE,popll
2390,hemichromis fasciatus,fb,21.5,TRUE,popll
4755,hemiculter leucisculus,fb,13,TRUE,popll
5487,hemiglyphidodon plagiometopon,fb,13.199999809265137,TRUE,popll
26446,hemigrammus levis,fb,5.900000095367432,TRUE,popll
10645,hemigrammus ocellifer,fb,4.900000095367432,TRUE,popll
5635,hemigymnus fasciatus,fb,22.899999618530273,TRUE,popll
5635,hemigymnus fasciatus,fb,33,TRUE,popll
5635,hemigymnus fasciatus,fb,23.799999237060547,TRUE,popll
5636,hemigymnus melapterus,fb,6.5,TRUE,popll
5636,hemigymnus melapterus,fb,28.399999618530273,TRUE,popll
5636,hemigymnus melapterus,fb,22.100000381469727,TRUE,popll
55704,hemiodus orthonops,fb,34.20000076293945,TRUE,popll
55704,hemiodus orthonops,fb,31,TRUE,popll
5404,hemiramphus far,fb,25.200000762939453,TRUE,popll
5404,hemiramphus far,fb,36.79999923706055,TRUE,popll
7709,hemiramphus lutkei,fb,35,TRUE,popll
25435,hemitaurichthys multispinosus,fb,18.299999237060547,TRUE,popll
5586,hemitaurichthys polylepis,fb,13.5,TRUE,popll
5586,hemitaurichthys polylepis,fb,10.899999618530272,TRUE,popll
7795,hemitaurichthys zoster,fb,10.199999809265137,TRUE,popll
5588,heniochus acuminatus,fb,15.5,TRUE,popll
5588,heniochus acuminatus,fb,18.299999237060547,TRUE,popll
5589,heniochus chrysostomus,fb,16.799999237060547,TRUE,popll
5589,heniochus chrysostomus,fb,14,TRUE,popll
7769,heniochus diphreutes,fb,9.800000190734863,TRUE,popll
12309,heniochus intermedius,fb,17.799999237060547,TRUE,popll
12309,heniochus intermedius,fb,18.200000762939453,TRUE,popll
5590,heniochus monoceros,fb,21.600000381469727,TRUE,popll
5590,heniochus monoceros,fb,20.5,TRUE,popll
12528,heniochus pleurotaenia,fb,17.799999237060547,TRUE,popll
5591,heniochus singularius,fb,18.799999237060547,TRUE,popll
5591,heniochus singularius,fb,20.200000762939453,TRUE,popll
5592,heniochus varius,fb,16.5,TRUE,popll
5592,heniochus varius,fb,15.600000381469728,TRUE,popll
4530,hepsetus odoe,fb,36,TRUE,popll
1492,herklotsichthys lossei,fb,9.300000190734863,TRUE,popll
8037,hetereleotris zonata,fb,3.700000047683716,TRUE,popll
1150,heteropriacanthus cruentatus,fb,22.700000762939453,TRUE,popll
2388,heterotis niloticus,fb,90,TRUE,popll
2388,heterotis niloticus,fb,38.70000076293945,TRUE,popll
6598,hexagrammos otakii,fb,33.79999923706055,TRUE,popll
7400,hime japonica,fb,19.5,TRUE,popll
7729,hippichthys penicillus,fb,10.600000381469728,TRUE,popll
7495,hippichthys spicifer,fb,12.899999618530272,TRUE,popll
7906,hipposcarus harid,fb,45.599998474121094,TRUE,popll
7906,hipposcarus harid,fb,47.599998474121094,TRUE,popll
5539,hipposcarus longiceps,fb,55.70000076293945,TRUE,popll
16944,hirculops cornifer,fb,6.400000095367432,TRUE,popll
3089,histrio histrio,fb,9.100000381469728,TRUE,popll
8294,holacanthus passer,fb,21.100000381469727,TRUE,popll
46447,holapogon maximus,fb,23,TRUE,popll
5637,hologymnosus annulatus,fb,39.599998474121094,TRUE,popll
5637,hologymnosus annulatus,fb,28.700000762939453,TRUE,popll
5637,hologymnosus annulatus,fb,11.399999618530272,TRUE,popll
5638,hologymnosus doliatus,fb,26.899999618530273,TRUE,popll
5638,hologymnosus doliatus,fb,3.900000095367432,TRUE,popll
5638,hologymnosus doliatus,fb,28.5,TRUE,popll
4757,hoplias malabaricus,fb,27.959999084472656,TRUE,popll
