map_f,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
am_spp_mol_acanthastrea_pachysepta.csv,4877600,4759700,4603000,4427100,4285700,4124200,3942500,3729500,3462900,3106300,2497200
am_spp_mol_acanthastrea_rotundoflora.csv,5593600,5475600,5342500,5169100,5071300,4961800,4807300,4615500,4445300,4169000,3572000
am_spp_mol_acanthella_cavernosa.csv,4199500,4075300,3910400,3785700,3578900,3394800,3208200,2934800,2576300,2156900,1523200
am_spp_mol_acanthella_costata.csv,3195200,3083500,2935300,2734600,2575700,2400300,2187900,1972900,1758200,1510900,1155900
am_spp_mol_acanthella_cubensis.csv,1136100,1128000,1108300,1086500,1053500,1012700,957600,910200,799400,522600,296000
am_spp_mol_acanthella_mastophora.csv,778300,734500,678700,642600,589100,536700,458700,374100,309900,193000,118800
am_spp_mol_acanthella_pulcherrima.csv,4252800,3982600,3670000,3206600,2742700,2491200,2223600,2016000,1741600,1534200,1222500
am_spp_mol_acanthemblemaria_aspera.csv,297600,288900,284000,279800,276300,276000,271900,269200,267500,262500,223000
am_spp_mol_acanthemblemaria_balanorum.csv,66200,65000,62300,62300,61300,59400,57000,54200,50000,41000,33300
am_spp_mol_acanthemblemaria_castroi.csv,26600,22800,19600,19100,18800,18800,18800,18000,18000,17800,17800
am_spp_mol_acanthemblemaria_chaplini.csv,924500,877100,821000,779500,740100,711900,682400,643900,554100,442400,250100
am_spp_mol_acanthemblemaria_crockeri.csv,112800,108000,96900,91300,89700,81800,75700,68200,61700,55200,41400
am_spp_mol_acanthemblemaria_exilispinus.csv,62800,62800,60700,60200,60200,58400,55500,53400,52200,49600,43400
am_spp_mol_acanthemblemaria_hancocki.csv,153400,150100,150100,148700,144500,141600,139500,137500,133900,111700,80200
am_spp_mol_acanthemblemaria_hastingsi.csv,105500,85200,77900,64800,57800,51700,44400,40600,35700,27500,18200
am_spp_mol_acanthemblemaria_macrospilus.csv,132300,129000,122200,114100,100300,96100,89200,86500,83700,74000,53000
am_spp_mol_acanthemblemaria_maria.csv,212400,204400,199400,198600,198500,186300,179200,168600,142200,131400,35000
am_spp_mol_acanthemblemaria_spinosa.csv,416500,399300,385700,369500,357800,343200,328800,319200,299900,273600,219500
am_spp_mol_acanthephyra_acutifrons.csv,59609100,44727100,33498500,25064300,17836800,11102400,6264500,4326400,3446200,2597200,1790300
am_spp_mol_acanthephyra_armata.csv,35810800,29863900,24833800,21213300,18200200,15348300,12335400,9678600,7300600,5482800,3691600
am_spp_mol_acanthephyra_brevirostris.csv,69535700,66097200,63465400,58586000,54567700,48860600,31828200,22554000,19514700,18612600,13076900
am_spp_mol_acanthephyra_carinata.csv,14425000,12693900,11500500,10438000,9374900,8458500,7565000,6698100,5834900,5061500,4404900
am_spp_mol_acanthephyra_cucullata.csv,1255100,1198200,1157800,1109400,1038300,971100,893700,816100,730400,636100,518800
am_spp_mol_acanthephyra_curtirostris.csv,202418300,200260100,199278300,198590500,198060300,197043100,196455500,194359500,186257900,152629700,67549400
am_spp_mol_acanthephyra_eximia.csv,180029600,150005000,121714100,97115700,76302400,60282400,47551000,37072100,28347600,19431000,12403900
