spec_code,species,db,length_max,in_spp_table,table
19472,geryon longipes,slb,6.8100000000000005,TRUE,poplw
19472,geryon longipes,slb,6.43,TRUE,poplw
19473,geryon trispinosus,slb,5.72,TRUE,poplw
47691,geukensia demissa,slb,10.5,TRUE,poplw
3114,gibbula cineraria,slb,1.1,FALSE,poplw
26782,glebocarcinus oregonensis,slb,2.7,TRUE,poplw
39932,glycera rouxi,slb,0.44,FALSE,poplw
27126,goneplax rhomboides,slb,4.73,TRUE,poplw
27126,goneplax rhomboides,slb,2.075,TRUE,poplw
39947,goniada maculata,slb,0.273,FALSE,poplw
49995,gracilechinus acutus,slb,7.866,FALSE,poplw
21498,grapsus albolineatus,slb,5.047,TRUE,poplw
83743,haliotis discus,slb,10.94,FALSE,poplw
2570,haliotis rufescens,slb,19.85,TRUE,poplw
2570,haliotis rufescens,slb,20,TRUE,poplw
25488,haliporoides triarthrus,slb,4.23,TRUE,poplw
25488,haliporoides triarthrus,slb,5.24,TRUE,poplw
25488,haliporoides triarthrus,slb,4.17,TRUE,poplw
25488,haliporoides triarthrus,slb,5.42,TRUE,poplw
9265,hapalocarcinus marsupialis,slb,0.59,FALSE,poplw
83460,harpiosquilla raphidea,slb,20.7,TRUE,poplw
83460,harpiosquilla raphidea,slb,22.2,TRUE,poplw
83460,harpiosquilla raphidea,slb,35.4,TRUE,poplw
83460,harpiosquilla raphidea,slb,34.8,TRUE,poplw
48937,henricia oculata,slb,4.76,FALSE,poplw
49524,henricia sanguinolenta,slb,12.7,TRUE,poplw
25925,heterocarpus laevigatus,slb,5.909,TRUE,poplw
25925,heterocarpus laevigatus,slb,4.922,TRUE,poplw
25926,heterocarpus reedi,slb,3.8,TRUE,poplw
49099,hiatella arctica,slb,2.01,TRUE,poplw
49297,hippasteria phrygiana,slb,14.5,FALSE,poplw
23931,hippomedon denticulatus,slb,1.472,FALSE,poplw
26022,homarus gammarus,slb,36.9,TRUE,poplw
58127,histioteuthis bonnellii,slb,15.5,TRUE,poplw
58121,histioteuthis reversa,slb,12,TRUE,poplw
49863,holothuria arenicola,slb,41.6,TRUE,poplw
49863,holothuria arenicola,slb,37.6,TRUE,poplw
50229,holothuria atra,slb,34,TRUE,poplw
83485,holothuria coluber,slb,60,TRUE,poplw
83486,holothuria edulis,slb,32,TRUE,poplw
85020,holothuria flavomaculata,slb,48,TRUE,poplw
83489,holothuria fuscogilva,slb,9,TRUE,poplw
83489,holothuria fuscogilva,slb,57.5,TRUE,poplw
83490,holothuria fuscopunctata,slb,70,TRUE,poplw
86823,holothuria hilla,slb,34,TRUE,poplw
83487,holothuria leucospilota,slb,48,TRUE,poplw
50239,holothuria nobilis,slb,55,TRUE,poplw
50234,holothuria scabra,slb,37,TRUE,poplw
26932,hyas coarctatus,slb,4.889,FALSE,poplw
83937,hydrophis caerulescens,slb,93.4,TRUE,poplw
83937,hydrophis caerulescens,slb,94.7,TRUE,poplw
83937,hydrophis caerulescens,slb,84,TRUE,poplw
83941,hydrophis elegans,slb,193,TRUE,poplw
83941,hydrophis elegans,slb,218,TRUE,poplw
83941,hydrophis elegans,slb,201,TRUE,poplw
83941,hydrophis elegans,slb,192,TRUE,poplw
83941,hydrophis elegans,slb,1935,TRUE,poplw
83941,hydrophis elegans,slb,170,TRUE,poplw
83941,hydrophis elegans,slb,234,TRUE,poplw
83941,hydrophis elegans,slb,210,TRUE,poplw
83941,hydrophis elegans,slb,153,TRUE,poplw
