orig_sciname,valid_name,aphia_id
caranx bartholomaei,carangoides bartholomaei,159630
catostomus macrocheilus,catostomus macrocheilus,567524
catostomus platyrhynchus,catostomus platyrhynchus,592848
catostomus snyderi,catostomus snyderi,1019152
channa argus,channa argus,594763
channa gachua,channa gachua,743378
channa marulius,channa marulius,1026844
charybdis bimaculata,charybdis (gonioneptunus) bimaculata,442874
charybdis hellerii,charybdis (charybdis) hellerii,107382
charybdis natator,charybdis (charybdis) natator,208817
chiloglanis bifurcus,chiloglanis bifurcus,1013241
chiloglanis emarginatus,chiloglanis emarginatus,1013224
chlamydogobius eremius,chlamydogobius eremius,1019285
chondrostoma kubanicum,chondrostoma kubanicum,1525860
chondrostoma nasus,chondrostoma nasus,154585
chondrostoma regium,chondrostoma regium,1418527
chrysichthys nigrodigitatus,chrysichthys nigrodigitatus,581699
cichla monoculus,cichla monoculus,1014783
cirrhinus molitorella,cirrhinus molitorella,1026709
clarias agboyiensis,clarias agboyiensis,1012443
clarias anguillaris,clarias anguillaris,581700
clarias cavernicola,clarias cavernicola,1015147
clarias jaensis,clarias jaensis,1012373
clupea pallasii pallasii,clupea pallasii pallasii,293568
cnesterodon carnegiei,cnesterodon carnegiei,1017684
cobitis paludica,cobitis paludica,1014050
cobitis simplicispina,cobitis simplicispina,1016306
cobitis taenia,cobitis taenia,154373
cobitis turcica,cobitis turcica,1016356
coptodon discolor,coptodon discolor,1470226
coregonus chadary,coregonus chadary,1020664
coregonus hoyi,coregonus hoyi,1049459
coregonus nelsonii,coregonus nelsonii,567526
cottus bairdii,cottus bairdii,578660
cottus beldingii,cottus beldingii,1019570
cottus confusus,cottus confusus,592852
cottus klamathensis,cottus klamathensis,1018051
cottus paulus,cottus paulus,1010216
cottus perplexus,cottus perplexus,1019368
cottus pollux,cottus pollux,1020436
cottus rhotheus,cottus rhotheus,592854
datnioides microlepis,datnioides microlepis,1021577
deania calceus,deania calcea,105903
emmelichthys nitidus nitidus,emmelichthys nitidus nitidus,293589
enteromius ablabes,enteromius ablabes,1420090
enteromius paludinosus,enteromius paludinosus,1214761
enteromius treurensis,enteromius treurensis,1524871
enteromius venustus,enteromius venustus,1524243
entosphenus minimus,entosphenus minimus,1524387
esomus malayensis,esomus malayensis,1536316
fundulus notatus,fundulus notatus,1020951
fundulus rathbuni,fundulus rathbuni,1019684
fundulus waccamensis,fundulus waccamensis,1014366
galaxias auratus,galaxias auratus,1019889
galaxias divergens,galaxias divergens,1013839
galaxias johnstoni,galaxias johnstoni,404141
galaxias occidentalis,galaxias occidentalis,1019000
galaxias pedderensis,galaxias pedderensis,991215
galaxias vulgaris,galaxias vulgaris,1014254
galaxias zebratus,galaxias zebratus,1017092
galaxiella munda,galaxiella munda,1012572
galaxiella nigrostriata,galaxiella nigrostriata,1049483
galaxiella pusilla,galaxiella pusilla,991217
gambusia yucatana,gambusia yucatana,422559
geophagus surinamensis,geophagus surinamensis,935001
glossogobius matanensis,glossogobius matanensis,1017385
gobio soldatovi,gobio soldatovi,1016070
haliotis pustulata,haliotis rugosa pustulata,730609
hemibagrus wyckii,hemibagrus wyckii,1021363
hemichromis elongatus,hemichromis elongatus,1021151
hemichromis fasciatus,hemichromis fasciatus,581701
hippocampus fuscus,hippocampus kuda,212237
holothuria fuscogilva,holothuria (microthele) fuscogilva,210874
holothuria fuscopunctata,holothuria (microthele) fuscopunctata,210854
holothuria fuscopunctata,holothuria (mertensiothuria) hilla,529402
holothuria nobilis,holothuria (microthele) nobilis,210835
