orig_sciname,valid_name,aphia_id
jaera wakishiana,jaera (jaera) wakishiana,264189
janirella diplospinosa,janirella (parjanirella) diplospinosa,264190
janirella hexaspinosa,janirella (parjanirella) hexaspinosa,264191
janirella quadrituberculata,janirella (parjanirella) quadrituberculata,817735
janirella sedecimtuberculata,janirella (parjanirella) sedecimtuberculata,817736
janirella verrucosa,janirella (parjanirella) verrucosa,264192
janolus barbarensis,antiopella barbarensis,575288
jactellina lauta,no match,NA
acanthonchus cobbi,acanthonchus (acanthonchus) cobbi,870662
acanthopleura japonica,liolophura japonica,386278
acanthoptilum agassizi,acanthoptilum agassizii,289321
acanthoptilum scalpelifolium,acanthoptilum scalpellifolium,289328
acanthosquilla sirindhorn,acanthosquilla derijardi,220299
acantopsis dialuzona,acantopsis dialuzona,1022744
acantopsis dinema,acantopsis dinema,1385235
acantopsis ioa,acantopsis ioa,1385236
acantopsis multistigmatus,acantopsis multistigmatus,1009127
acantopsis octoactinotos,acantopsis octoactinotos,1011288
acantopsis rungthipae,acantopsis rungthipae,1385234
acantopsis spectabilis,acantopsis spectabilis,1420021
acantopsis thiemmedhi,acantopsis thiemmedhi,1010262
acar congenitum,acar congenita,504281
acar congenitus,acar congenita,504281
acar domingensis,barbatia domingensis,582484
acartia bifilosa,acartia (acanthacartia) bifilosa,345919
acartia clausi,acartia (acartiura) clausi,149755
acartia danae,acartia (acartia) danae,346026
acanthopleura magellanica,no match,NA
acanthopleura tenuispinosa,no match,NA
acanthosquilla acanthocarpus,no match,NA
acar albidum,no match,NA
acar cometa,no match,NA
acar revelata,no match,NA
janolus capensis,antiopella capensis,1340033
janolus cristatus,antiopella cristata,162687
janolus fuscus,antiopella fusca,1340034
janolus longidentatus,antiopella longidentata,1340035
janthina courcellei,janthina exigua,140154
janthina exigua,janthina exigua,140154
janthina pallida,janthina pallida,140157
janthina prolongata,janthina globosa,214493
janua brasiliensis,neodexiospira brasiliensis,131209
janua kayi,neodexiospira kayi,606825
janua marioni,spirorbis (spirorbis) marioni,747461
janua pagenstecheri,janua heterostropha,884193
janua preacuta,neodexiospira turrita,605981
