orig_sciname,valid_name,aphia_id
cobitis paludica,cobitis paludica,1014050
cobitis taenia,cobitis taenia,154373
corallium secundum,pleurocorallium secundum,1311288
coregonus atterensis,coregonus atterensis,1010629
coregonus candidus,coregonus candidus,1019885
coregonus danneri,coregonus danneri,1526074
coregonus fontanae,coregonus fontanae,1009607
coregonus hoyi,coregonus hoyi,1049459
coregonus kiletz,coregonus kiletz,1470240
coregonus lucinensis,coregonus lucinensis,1460155
coregonus lutokka,coregonus lutokka,1009110
coregonus migratorius,coregonus migratorius,274340
coregonus nelsonii,coregonus nelsonii,567526
coregonus palaea,coregonus palaea,1022671
coregonus pollan,coregonus pollan,1022580
coregonus renke,coregonus renke,1023012
coregonus tugun,coregonus tugun,1022904
coregonus vandesius,coregonus vandesius,1022569
coregonus wartmanni,coregonus wartmanni,1023011
coregonus widegreni,coregonus widegreni,404077
cottus metae,cottus metae,1054267
cottus perifretum,cottus perifretum,1009257
cottus petiti,cottus petiti,1013530
cottus pollux,cottus pollux,1020436
cottus rhenanus,cottus rhenanus,1009258
cottus scaturigo,cottus scaturigo,1009253
deania calceus,deania calcea,105903
dipturus chilensis,dipturus chilensis,271542
doryteuthis pleii,doryteuthis (doryteuthis) pleii,410356
emmelichthys nitidus nitidus,emmelichthys nitidus nitidus,293589
enteromius apleurogramma,enteromius pleurogramma,1470215
enteromius liberiensis,enteromius liberiensis,1467898
enteromius paludinosus,enteromius paludinosus,1214761
entosphenus minimus,entosphenus minimus,1524387
galaxias auratus,galaxias auratus,1019889
galaxias johnstoni,galaxias johnstoni,404141
galaxias occidentalis,galaxias occidentalis,1019000
galaxiella munda,galaxiella munda,1012572
galaxiella nigrostriata,galaxiella nigrostriata,1049483
galaxiella pusilla,galaxiella pusilla,991217
gobio soldatovi,gobio soldatovi,1016070
gobiobotia pappenheimi,gobiobotia pappenheimi,1017683
gobiomorphus breviceps,gobiomorphus breviceps,1014935
gymnocephalus acerina,gymnocephalus acerina,723433
gymnocephalus baloni,gymnocephalus baloni,1012846
gymnocephalus schraetser,gymnocephalus schraetser,367606
hippocampus fuscus,hippocampus kuda,212237
hucho hucho,hucho hucho,1023062
hybognathus hankinsoni,hybognathus hankinsoni,592843
hybognathus regius,hybognathus regius,1020606
ictalurus punctatus,ictalurus punctatus,465537
lampetra planeri,lampetra planeri,148719
