am_sid,comname,occur_cells,am_k,am_p,am_c,am_o,am_f,am_g,species.x,subspp,phylum,class,order,family,genus,species.y,d
w-oct-125420,NA,9,animalia,cnidaria,anthozoa,alcyonacea,paralcyoniidae,maasella,maasella edwardsi,NA,cnidaria,anthozoa,alcyonacea,paralcyoniidae,maasella,maasella edwardsii,1
slb-17074,NA,4,animalia,arthropoda,malacostraca,isopoda,eurycopidae,eurycope,eurycope sarsi,NA,arthropoda,malacostraca,isopoda,munnopsidae,eurycope,eurycope sarsii,1
w-bch-208997,NA,5,animalia,arthropoda,malacostraca,decapoda,xanthidae,neoliomera,neoliomera richtersi,NA,arthropoda,malacostraca,decapoda,xanthidae,neoliomera,neoliomera richtersii,1
w-bch-209083,NA,9,animalia,arthropoda,malacostraca,decapoda,xanthidae,macromedaeus,macromedaeus voeltzkowi,NA,arthropoda,malacostraca,decapoda,xanthidae,macromedaeus,macromedaeus voeltzkowii,1
w-cop-221309,NA,7,animalia,arthropoda,maxillopoda,calanoida,augaptilidae,euaugaptilus,euaugaptilus palumboi,NA,arthropoda,hexanauplia,calanoida,augaptilidae,euaugaptilus,euaugaptilus palumboii,1
slb-29429,NA,6,animalia,arthropoda,pycnogonida,pantopoda,ammotheidae,bathyzetes,bathyzetes setiger,NA,arthropoda,pycnogonida,pantopoda,ascorhynchidae,bathyzetes,bathyzetes setigera,1
w-pyc-134648,NA,7,animalia,arthropoda,pycnogonida,pantopoda,callipallenidae,callipallene,callipallene tiberi,NA,arthropoda,pycnogonida,pantopoda,callipallenidae,callipallene,callipallene tiberii,1
w-oct-289321,NA,5,animalia,cnidaria,anthozoa,pennatulacea,virgulariidae,acanthoptilum,acanthoptilum agassizi,NA,cnidaria,anthozoa,pennatulacea,virgulariidae,acanthoptilum,acanthoptilum agassizii,1
slb-130968,NA,3,animalia,arthropoda,malacostraca,decapoda,alpheidae,alpheus,alpheus soela,NA,arthropoda,malacostraca,decapoda,alpheidae,alpheus,alpheus soelae,1
slb-166146,Cuming's worm shell,4,animalia,mollusca,gastropoda,neotaenioglossa,siliquariidae,tenagodus,tenagodus cumingi,NA,mollusca,gastropoda,[unassigned] caenogastropoda,siliquariidae,tenagodus,tenagodus cumingii,1
slb-169922,brown worm cucumber,5,animalia,echinodermata,holothuroidea,apodida,synaptidae,polyplectana,polyplectana kefersteini,NA,echinodermata,holothuroidea,apodida,synaptidae,polyplectana,polyplectana kefersteinii,1
slb-169737,NA,3,animalia,echinodermata,holothuroidea,dendrochirotida,sclerodactylidae,ohshimella,ohshimella ehrenbergi,NA,echinodermata,holothuroidea,dendrochirotida,sclerodactylidae,ohshimella,ohshimella ehrenbergii,1
slb-101069,NA,6,animalia,mollusca,bivalvia,ostreoida,spondylidae,spondylus,spondylus gussoni,NA,mollusca,bivalvia,pectinida,spondylidae,spondylus,spondylus gussonii,1
slb-67444,NA,3,animalia,bryozoa,gymnolaemata,cheilostomata,scrupocellariidae,scrupocellaria,scrupocellaria bertholetti,NA,bryozoa,gymnolaemata,cheilostomatida,candidae,scrupocellaria,scrupocellaria bertholettii,1
slb-92489,NA,4,animalia,cnidaria,hydrozoa,anthoathecata,corymorphidae,corymorpha,corymorpha forbesi,NA,cnidaria,hydrozoa,anthoathecata,corymorphidae,corymorpha,corymorpha forbesii,1
