orig_sciname,valid_name,aphia_id
cerithiopsis docata,cerithiopsis docata,532256
cerithiopsis dominguezi,cerithiopsis dominguezi,419870
cerithiopsis elima,cerithiopsis elima,532579
cerithiopsis eliza,cerithiopsis eliza,532580
cerithiopsis elsa,cerithiopsis elsa,532581
cerithiopsis emersonii,retilaskeya emersonii,579233
cerithiopsis familiarum,cerithiopsis familiarum,419871
cerithiopsis fuscoflava,cerithiopsis fuscoflava,419874
cerithiopsis georgiana,cerithiopsis georgiana,532582
cerithiopsis guitarti,cerithiopsis guitarti,419877
cerithiopsis hero,cerithiopsis flava,419872
cerithiopsis honora,cerithiopsis honora,532584
cerithiopsis iontha,cerithiopsis iontha,532585
cerithiopsis krisbergi,cerithiopsis krisbergi,458215
cerithiopsis leipha,cerithiopsis leipha,532586
cerithiopsis magellanica,cerithiopsis magellanica,532587
cerithiopsis martensii,cerithiella martensii,419863
cerithiopsis matara,cerithiopsis matara,532588
cerithiopsis merida,cerithiopsis merida,532285
cerithiopsis movilla,cerithiopsis movilla,532286
cerithiopsis pesa,cerithiopsis pesa,532589
cerithiopsis petala,cerithiopsis petala,532287
cerithiopsis portoi,cerithiopsis portoi,419881
cerithiopsis guaraniana,no match,NA
cerithiopsis pupa,horologica pupa,419888
cerithiopsis serina,cerithiopsis serina,532590
cerithiopsis sigsbeana,cerithiella sigsbeana,848949
cerithiopsis vanhyningi,cerithiopsis vanhyningi,419885
cerithiopsis vinca,cerithiopsis vinca,419887
cerithiopsis virginica,cerithiopsis virginica,160163
cerithiopsis vitrea,eumetula vitrea,848952
cerithiopsis warmkae,cerithiopsis warmkae,532591
cerithium bayeri,cerithium bayeri,473073
cerithium kobelti,cerithium dialeucum,216682
cerithium lindae,cerithium lindae,473074
cerithium planum,cerithium planum,473644
cerodrillia hannyae,bellaspira hannyae,871896
cerodrillia schroederi,lissodrillia schroederi,872135
cerodrillia simpsoni,lissodrillia simpsoni,872137
cerodrillia verrillii,lissodrillia verrillii,872141
chaenogobius annularis,chaenogobius annularis,1020086
chaetonotus aegilonensis,chaetonotus (chaetonotus) aegilonensis,114473
chaetonotus apechochaetus,chaetonotus (chaetonotus) apechochaetus,114477
chaetonotus apolemmus,chaetonotus (marinochaetus) apolemmus,265252
chaetonotus atrox,chaetonotus (schizochaetonotus) atrox,114479
chaetonotus dispar,chaetonotus (schizochaetonotus) dispar,114483
chaetonotus lacunosus,chaetonotus (hystricochaetonotus) lacunosus,114487
chaetonotus magnificus,chaetonotus (chaetonotus) magnificus,247832
chaetonotus mariae,chaetonotus (marinochaetus) mariae,114489
chaetonotus mediterraneus,no match,-9999
chaetonotus napoleonicus,no match,-9999
chaetonotus neptuni,no match,-9999
chaetonotus siciliensis,no match,-9999
chaetonotus triacanthus,no match,-9999
chaetonotus variosquamatus,no match,-9999
chama inezae,no match,-9999
chama radians,no match,-9999
channa amphibeus,no match,-9999
channa argus,no match,-9999
channa asiatica,no match,-9999
channa aurantimaculata,no match,-9999
channa bankanensis,no match,-9999
channa barca,no match,-9999
channa bleheri,no match,-9999
channa burmanica,no match,-9999
channa cyanospilos,no match,-9999
channa gachua,no match,-9999
channa harcourtbutleri,no match,-9999
channa hoaluensis,no match,-9999
channa longistomata,no match,-9999
channa lucius,no match,-9999
channa maculata,no match,-9999
channa marulioides,no match,-9999
channa marulius,no match,-9999
channa melanoptera,channa melanoptera,1021522
channa melanostigma,channa melanostigma,1007781
channa melasoma,channa melasoma,1021783
channa micropeltes,channa micropeltes,743381
channa ninhbinhensis,channa ninhbinhensis,1007730
channa nox,channa nox,1009837
channa ornatipinnis,channa ornatipinnis,1008462
channa panaw,channa panaw,1010430
channa pardalis,channa pardalis,1385029
channa pleurophthalma,channa pleurophthalma,1018597
channa pomanensis,channa pomanensis,1385042
channa pseudomarulius,channa pseudomarulius,1461214
channa pulchra,channa pulchra,1008636
channa shingon,channa shingon,1524375
channa stewartii,channa stewartii,1020816
charonia nodifera,charonia lampas,141101
charybdis affinis,charybdis (charybdis) affinis,442836
charybdis annulata,charybdis (charybdis) annulata,208826
charybdis bimaculata,charybdis (gonioneptunus) bimaculata,442874
charybdis hellerii,charybdis (charybdis) hellerii,107382
charybdis japonica,charybdis (charybdis) japonica,208836
charybdis lucifera,charybdis (charybdis) lucifera,208832
charybdis miles,charybdis (charybdis) miles,442854
charybdis natator,charybdis (charybdis) natator,208817
charybdis feriatus,no match,NA
charybdis truncata,charybdis (goniohellenus) truncata,208825
cheilopogon pinnatibarbatus californicus,cheilopogon pinnatibarbatus californicus,295851
cheilopogon pinnatibarbatus japonicus,cheilopogon pinnatibarbatus japonicus,293564
cheilopogon pinnatibarbatus pinnatibarbatus,cheilopogon pinnatibarbatus pinnatibarbatus,293562
cheirodonta apexcrassum,nanaphora apexcrassum,853025
cheirodonta decollata,nanaphora decollata,853027
cheirodonta miskitorum,nanaphora miskitorum,853026
cheirodonta verbernei,nanaphora verbernei,853020
chela macrolepis,chela macrolepis,1007099
chelidonura flavolabata,chelidonura flavolobata,213151
chelidonura fulvipunctata,biuve fulvipunctata,1055233
chelidonura inornata,mariaglaja inornata,1055243
chelidonura petra,spinoaglaja petra,605844
chelidonura sabina,camachoaglaja sabina,1055240
chelidonura sandrana,mariaglaja tsurugensis,1251040
chelidonura tsurugensis,mariaglaja tsurugensis,1251040
chelon caeruleus,chelon caeruleus,1509456
chetia brevicauda,chetia brevicauda,1009763
chetia brevis,chetia brevis,1013297
chetia gracilis,chetia gracilis,1012110
chetia mola,chetia mola,1012161
chetia welwitschi,chetia welwitschi,1026861
chicoreus artemis,chicoreus aculeatus,558799
chauvetia helenae,no match,NA
chicoreus alabaster,no match,NA
