orig_sciname,valid_name,aphia_id,taxonkey,taxon_name,common_name,descript,tax_level,worms_name,comments
king crabs,no match,NA,100044,King crabs squat-lobsters,Craylets squat lobsters,lobsters crab,1,NA,
miscellaneous marine,no match,NA,100047,Miscellaneous marine crustaceans,Marine crustaceans,lobsters crab,1,NA,
miscellaneous marine,no match,NA,100058,Miscellaneous marine molluscs,Marine molluscs,demersal mollusc,1,NA,
clams cockles,no match,NA,100056,Clams cockles arkshells,Clams cockles arkshells,demersal mollusc,1,NA,
starfish and,no match,NA,100176,Starfish and other echinoderms,Starfishes,demersal mollusc,1,NA,
sea-urchins and,no match,NA,100276,Sea-urchins and other echinoderms,Sea urchins,demersal mollusc,1,NA,
shrimps prawns,no match,NA,100345,Shrimps prawns,Natantian decapods,shrimp,1,NA,
macroramphosidae,no match,NA,400595,Macroramphosidae,Snipefishes,benthopelagic <30 cm,4,NA,
rhinobatos planiceps,pseudobatos planiceps,1043480,600149,Rhinobatos planiceps,Pacific guitarfish,rays <90 cm,6,pseudobatos planiceps,
pseudopentaceros richardsoni,pentaceros richardsoni,313240,603611,Pseudopentaceros richardsoni,Pelagic armorhead,pelagic 30 - 90 cm,6,pentaceros richardsoni,
dasyatis centroura,bathytoshia centroura,1017389,602572,Dasyatis centroura,Roughtail stingray,rays >=90 cm,6,bathytoshia centroura,
alectis alexandrinus,alectis alexandrina,401555,601888,Alectis alexandrinus,African threadfish,pelagic 30 - 90 cm,6,alectis alexandrina,
liza saliens,chelon saliens,1042832,601736,Liza saliens,Leaping mullet,demersal 30 - 90 cm,6,chelon saliens,
liza aurata,chelon auratus,1044127,601735,Liza aurata,Golden grey mullet,pelagic 30 - 90 cm,6,chelon auratus,
psetta maxima,scophthalmus maximus,127149,601348,Psetta maxima,Turbot,flatfish >=90 cm,6,scophthalmus maximus,
epinephelus niveatus,hyporthodus niveatus,475101,601208,Epinephelus niveatus,Snowy grouper,demersal >=90 cm,6,hyporthodus niveatus,
epinephelus nigritus,hyporthodus nigritus,475100,601207,Epinephelus nigritus,Warsaw grouper,demersal >=90 cm,6,hyporthodus nigritus,
epinephelus mystacinus,hyporthodus mystacinus,475099,601206,Epinephelus mystacinus,Misty grouper,bathydemersal >=90 cm,6,hyporthodus mystacinus,
epinephelus flavolimbatus,hyporthodus flavolimbatus,475077,601205,Epinephelus flavolimbatus,Yellowedge grouper,demersal >=90 cm,6,hyporthodus flavolimbatus,
dasyatis akajei,hemitrygon akajei,1042845,600940,Dasyatis akajei,Red stingray,rays >=90 cm,6,hemitrygon akajei,
centroselachus crepidater,centroscymnus crepidater,105908,600663,Centroselachus crepidater,Longnose velvet dogfish,shark >=90 cm,6,centroscymnus crepidater,
sebastes marinus,sebastes norvegicus,151324,600501,Sebastes marinus,Ocean perch,benthopelagic >=90 cm,6,sebastes norvegicus,
pleuragramma antarcticum,pleuragramma antarctica,712788,600472,Pleuragramma antarcticum,Antarctic silverfish,pelagic <30 cm,6,pleuragramma antarctica,
theragra chalcogramma,gadus chalcogrammus,300735,600318,Theragra chalcogramma,Alaska pollack,benthopelagic >=90 cm,6,gadus chalcogrammus,
gadus ogac,gadus macrocephalus,254538,600309,Gadus ogac,Greenland cod,demersal 30 - 90 cm,6,gadus macrocephalus,
pterothrissus belloci,nemoossis belloci,1043474,600229,Pterothrissus belloci,Longfin bonefish,bathydemersal 30 - 90 cm,6,nemoossis belloci,
tetrapturus audax,kajikia audax,712907,600223,Tetrapturus audax,Striped marlin,pelagic >=90 cm,6,kajikia audax,
tetrapturus albidus,kajikia albida,712906,600219,Tetrapturus albidus,Atlantic white marlin,pelagic >=90 cm,6,kajikia albida,
makaira indica,istiompax indica,712905,600217,Makaira indica,Black marlin,pelagic >=90 cm,6,istiompax indica,
cardium edule,cerastoderma edule,138998,690087,Cardium edule,Common edible cockle,demersal mollusc,6,cerastoderma edule,
aulacomya ater,aulacomya atra,505963,690081,Aulacomya ater,Cholga mussel,demersal mollusc,6,aulacomya atra,
melicertus kerathurus,penaeus kerathurus,246388,690070,Melicertus kerathurus,Caramote prawn,shrimp,6,penaeus kerathurus,
litopenaeus stylirostris,penaeus stylirostris,584982,690054,Litopenaeus stylirostris,Blue shrimp,shrimp,6,penaeus stylirostris,
anadara granosa,tegillarca granosa,504471,690050,Anadara granosa,Blood cockle,demersal mollusc,6,tegillarca granosa,
fenneropenaeus merguiensis,penaeus merguiensis,210377,690042,Fenneropenaeus merguiensis,Banana prawn,shrimp,6,penaeus merguiensis,
chelon haematocheilus,planiliza haematocheilus,1509599,657506,Chelon haematocheilus,So-iny (redlip) mullet,demersal 30 - 90 cm,6,planiliza haematocheilus,
liza klunzingeri,planiliza klunzingeri,1509598,646376,Liza klunzingeri,Klunzingers mullet,demersal <30 cm,6,planiliza klunzingeri,
himantura gerrardi,maculabatis gerrardi,1042867,615483,Himantura gerrardi,Sharpnose stingray,rays >=90 cm,6,maculabatis gerrardi,
abudefduf luridus,similiparma lurida,889885,611820,Abudefduf luridus,Canary damsel,reef-associated <30 cm,6,similiparma lurida,
arius thalassinus,netuma thalassina,281745,610220,Arius thalassinus,Giant seacatfish,demersal >=90 cm,6,netuma thalassina,
lepidonotothen larseni,nototheniops larseni,313400,607048,Lepidonotothen larseni,Lepidonotothen larseni,benthopelagic <30 cm,6,nototheniops larseni,
lepidonotothen nudifrons,lindbergichthys nudifrons,318861,607047,Lepidonotothen nudifrons,Gaudy notothen,demersal <30 cm,6,lindbergichthys nudifrons,
lepidonotothen mizops,lindbergichthys mizops,318860,607046,Lepidonotothen mizops,Toad notothen,benthopelagic <30 cm,6,lindbergichthys mizops,
dipturus linteus,rajella lintea,1019159,606422,Dipturus linteus,Sailray,rays >=90 cm,6,rajella lintea,
scolopsis taeniatus,scolopsis taeniata,712735,605889,Scolopsis taeniatus,Black-streaked monocle bream,reef-associated <30 cm,6,scolopsis taeniata,
valamugil seheli,crenimugil seheli,1043477,605659,Valamugil seheli,Bluespot mullet,reef-associated 30 - 90 cm,6,crenimugil seheli,
trigloporus lastoviza,chelidonichthys lastoviza,127261,605081,Trigloporus lastoviza,Streaked gurnard,demersal 30 - 90 cm,6,chelidonichthys lastoviza,
mugil soiuy,planiliza haematocheilus,1509599,604791,Mugil soiuy,So-iuy mullet,demersal 30 - 90 cm,6,planiliza haematocheilus,
triglopsis quadricornis,myoxocephalus quadricornis,254529,604122,Triglopsis quadricornis,Fourhorn sculpin,demersal 30 - 90 cm,6,myoxocephalus quadricornis,
loligo gahi,no match,-9999,690296,Loligo gahi,Patagonian squid,cephalopods,6,no match,
protothaca staminea,no match,-9999,690285,Protothaca staminea,Pacific littleneck clam,demersal mollusc,6,no match,
crassostrea gigas,no match,-9999,690283,Crassostrea gigas,Pacific cupped oyster,demersal mollusc,6,no match,
litopenaeus setiferus,no match,-9999,690272,Litopenaeus setiferus,Northern white shrimp,shrimp,6,no match,
farfantepenaeus duorarum,no match,-9999,690268,Farfantepenaeus duorarum,Northern pink shrimp,shrimp,6,no match,
farfantepenaeus aztecus,no match,-9999,690265,Farfantepenaeus aztecus,Northern brown shrimp,shrimp,6,no match,
ostrea lutaria,no match,-9999,690256,Ostrea lutaria,New Zealand dredge oyster,demersal mollusc,6,no match,
loligo pealeii,no match,-9999,690227,Loligo pealeii,Longfin squid,cephalopods,6,no match,
