taxonkey,taxon_name,common_name,descript,tax_level,worms_name
600107,Katsuwonus pelamis,Skipjack tuna,pelagic >=90 cm,6,katsuwonus pelamis
600108,Orcynopsis unicolor,Plain bonito,pelagic >=90 cm,6,orcynopsis unicolor
600109,Rastrelliger brachysoma,Short mackerel,pelagic 30 - 90 cm,6,rastrelliger brachysoma
600111,Rastrelliger kanagurta,Indian mackerel,pelagic 30 - 90 cm,6,rastrelliger kanagurta
600113,Sarda chiliensis chiliensis,Eastern Pacific bonito,pelagic >=90 cm,6,sarda chiliensis
600114,Sarda orientalis,Striped bonito,pelagic >=90 cm,6,sarda orientalis
600115,Sarda sarda,Atlantic bonito,pelagic >=90 cm,6,sarda sarda
600116,Scomber australasicus,Blue mackerel,pelagic 30 - 90 cm,6,scomber australasicus
600117,Scomber japonicus,Chub mackerel,pelagic 30 - 90 cm,6,scomber japonicus
600118,Scomber scombrus,Atlantic mackerel,pelagic 30 - 90 cm,6,scomber scombrus
600119,Scomberomorus brasiliensis,Serra Spanish mackerel,pelagic >=90 cm,6,scomberomorus brasiliensis
600120,Scomberomorus cavalla,King mackerel,reef-associated >=90 cm,6,scomberomorus cavalla
600121,Scomberomorus commerson,Narrow-barred Spanish mackerel,pelagic >=90 cm,6,scomberomorus commerson
600123,Scomberomorus guttatus,Indo-Pacific king mackerel,pelagic 30 - 90 cm,6,scomberomorus guttatus
600125,Scomberomorus lineolatus,Streaked seerfish,pelagic 30 - 90 cm,6,scomberomorus lineolatus
600126,Scomberomorus maculatus,Spanish mackerel,pelagic 30 - 90 cm,6,scomberomorus maculatus
600131,Scomberomorus niphonius,Japanese Spanish mackerel,pelagic >=90 cm,6,scomberomorus niphonius
600134,Scomberomorus regalis,Cero,reef-associated >=90 cm,6,scomberomorus regalis
600136,Scomberomorus sierra,Pacific sierra,pelagic >=90 cm,6,scomberomorus sierra
600138,Somniosus microcephalus,Greenland shark,shark >=90 cm,6,somniosus microcephalus
600139,Squalus acanthias,Piked dogfish,shark >=90 cm,6,squalus acanthias
600140,Rhinobatos percellens,Chola guitarfish,rays >=90 cm,6,pseudobatos percellens
600141,Scomberomorus tritor,West African Spanish mackerel,pelagic >=90 cm,6,scomberomorus tritor
600142,Thunnus alalunga,Albacore,pelagic >=90 cm,6,thunnus alalunga
600143,Thunnus albacares,Yellowfin tuna,pelagic >=90 cm,6,thunnus albacares
600144,Thunnus atlanticus,Blackfin tuna,pelagic >=90 cm,6,thunnus atlanticus
600145,Thunnus maccoyii,Southern bluefin tuna,pelagic >=90 cm,6,thunnus maccoyii
600146,Thunnus obesus,Bigeye tuna,pelagic >=90 cm,6,thunnus obesus
600147,Thunnus thynnus,Atlantic bluefin tuna,pelagic >=90 cm,6,thunnus thynnus
600148,Thunnus tonggol,Longtail tuna,pelagic >=90 cm,6,thunnus tonggol
600149,Rhinobatos planiceps,Pacific guitarfish,rays <90 cm,6,pseudobatos planiceps
600152,Lutjanus guttatus,Spotted rose snapper,reef-associated 30 - 90 cm,6,lutjanus guttatus
600156,Lutjanus kasmira,Common bluestripe snapper,reef-associated 30 - 90 cm,6,lutjanus kasmira
600162,Lutjanus malabaricus,Malabar blood snapper,reef-associated >=90 cm,6,lutjanus malabaricus
600167,Callorhinchus capensis,Cape elephantfish,rays >=90 cm,6,callorhinchus capensis
600171,Lutjanus purpureus,Southern red snapper,demersal >=90 cm,6,lutjanus purpureus
600172,Lutjanus quinquelineatus,Five-lined snapper,reef-associated 30 - 90 cm,6,lutjanus quinquelineatus
600175,Elops saurus,Ladyfish,pelagic 30 - 90 cm,6,elops saurus
600181,Lutjanus synagris,Lane snapper,reef-associated 30 - 90 cm,6,lutjanus synagris
600185,Lutjanus vivanus,Silk snapper,demersal 30 - 90 cm,6,lutjanus vivanus
600188,Ocyurus chrysurus,Yellowtail snapper,reef-associated 30 - 90 cm,6,ocyurus chrysurus
600203,Boops boops,Bogue,demersal 30 - 90 cm,6,boops boops
600204,Sarpa salpa,Salema,benthopelagic 30 - 90 cm,6,sarpa salpa
600206,Pristipomoides macrophthalmus,Cardinal snapper,benthopelagic 30 - 90 cm,6,pristipomoides macrophthalmus
600213,Rhomboplites aurorubens,Vermilion snapper,demersal 30 - 90 cm,6,rhomboplites aurorubens
600216,Makaira nigricans,Atlantic blue marlin,pelagic >=90 cm,6,makaira nigricans
600217,Makaira indica,Black marlin,pelagic >=90 cm,6,istiompax indica
600218,Makaira mazara,Indo-Pacific blue marlin,pelagic >=90 cm,6,makaira mazara
600219,Tetrapturus albidus,Atlantic white marlin,pelagic >=90 cm,6,kajikia albida
600220,Tetrapturus pfluegeri,Longbill spearfish,pelagic >=90 cm,6,tetrapturus pfluegeri
600223,Tetrapturus audax,Striped marlin,pelagic >=90 cm,6,kajikia audax
600226,Xiphias gladius,Swordfish,pelagic >=90 cm,6,xiphias gladius
600227,Megalops cyprinoides,Indo-Pacific tarpon,pelagic >=90 cm,6,megalops cyprinoides
600228,Albula vulpes,Bonefish,reef-associated >=90 cm,6,albula vulpes
600229,Pterothrissus belloci,Longfin bonefish,bathydemersal 30 - 90 cm,6,nemoossis belloci
600230,Alepocephalus bairdii,Bairds smooth-head,bathydemersal >=90 cm,6,alepocephalus bairdii
600231,Coregonus albula,Vendace,pelagic 30 - 90 cm,6,coregonus albula
600232,Coregonus lavaretus,Common whitefish,demersal 30 - 90 cm,6,coregonus lavaretus
600233,Coregonus oxyrinchus,Houting,demersal 30 - 90 cm,6,coregonus oxyrinchus
600236,Salmo salar,Atlantic salmon,benthopelagic >=90 cm,6,salmo salar
600238,Salmo trutta trutta,Sea trout,pelagic 30 - 90 cm,6,salmo trutta
600239,Oncorhynchus mykiss,Rainbow trout,benthopelagic >=90 cm,6,oncorhynchus mykiss
600240,Oncorhynchus gorbuscha,Pink salmon,demersal 30 - 90 cm,6,oncorhynchus gorbuscha
600241,Oncorhynchus keta,Chum salmon,benthopelagic >=90 cm,6,oncorhynchus keta
600242,Oncorhynchus masou masou,Cherry salmon,benthopelagic 30 - 90 cm,6,oncorhynchus masou
600243,Oncorhynchus nerka,Sockeye salmon,pelagic 30 - 90 cm,6,oncorhynchus nerka
600244,Oncorhynchus tshawytscha,Chinook salmon,benthopelagic >=90 cm,6,oncorhynchus tshawytscha
600245,Oncorhynchus kisutch,Coho salmon,demersal >=90 cm,6,oncorhynchus kisutch
600247,Salvelinus alpinus alpinus,Charr,benthopelagic >=90 cm,6,salvelinus alpinus
600249,Centrolophus niger,Blackfish,bathypelagic >=90 cm,6,centrolophus niger
600250,Schedophilus ovalis,Imperial blackfish,demersal >=90 cm,6,schedophilus ovalis
600252,Mallotus villosus,Capelin,pelagic <30 cm,6,mallotus villosus
600253,Osmerus mordax mordax,Atlantic rainbow smelt,pelagic 30 - 90 cm,6,osmerus mordax
600255,Hypomesus pretiosus,Surf smelt,pelagic <30 cm,6,hypomesus pretiosus
600256,Thaleichthys pacificus,Eulachon,pelagic 30 - 90 cm,6,thaleichthys pacificus
600259,Lampanyctodes hectoris,Hectors lanternfish,pelagic <30 cm,6,lampanyctodes hectoris
600260,Harpadon nehereus,Bombay duck,benthopelagic 30 - 90 cm,6,harpadon nehereus
600264,Lutjanus johnii,Johns snapper,reef-associated 30 - 90 cm,6,lutjanus johnii
600265,Lutjanus gibbus,Humpback red snapper,reef-associated 30 - 90 cm,6,lutjanus gibbus
600266,Lutjanus griseus,Grey snapper,reef-associated 30 - 90 cm,6,lutjanus griseus
600288,Galeichthys feliceps,White baggar,demersal 30 - 90 cm,6,galeichthys feliceps
600298,Muraenesox cinereus,Daggertooth pike conger,demersal >=90 cm,6,muraenesox cinereus
600299,Conger orbignianus,Argentine conger,demersal >=90 cm,6,conger orbignianus
600300,Conger oceanicus,American conger,demersal >=90 cm,6,conger oceanicus
600301,Conger conger,European conger,demersal >=90 cm,6,conger conger
600302,Conger myriaster,Whitespotted conger,demersal >=90 cm,6,conger myriaster
600303,Cololabis saira,Pacific saury,pelagic 30 - 90 cm,6,cololabis saira
600305,Hyporhamphus sajori,Japanese halfbeak,pelagic 30 - 90 cm,6,hyporhamphus sajori
600306,Salilota australis,Tadpole codling,demersal 30 - 90 cm,6,salilota australis
600308,Gadus macrocephalus,Pacific cod,demersal >=90 cm,6,gadus macrocephalus
600309,Gadus ogac,Greenland cod,demersal 30 - 90 cm,6,gadus macrocephalus
600311,Urophycis brasiliensis,Brazilian codling,demersal 30 - 90 cm,6,urophycis brasiliensis
600312,Urophycis chuss,Red hake,demersal 30 - 90 cm,6,urophycis chuss
600313,Urophycis tenuis,White hake,demersal >=90 cm,6,urophycis tenuis
600314,Eleginus nawaga,Navaga,demersal 30 - 90 cm,6,eleginus nawaga
600315,Eleginus gracilis,Saffron cod,demersal 30 - 90 cm,6,eleginus gracilis
600316,Microgadus tomcod,Atlantic tomcod,demersal 30 - 90 cm,6,microgadus tomcod
600318,Theragra chalcogramma,Alaska pollack,benthopelagic >=90 cm,6,gadus chalcogrammus
600319,Boreogadus saida,Polar cod,demersal 30 - 90 cm,6,boreogadus saida
600320,Micromesistius australis,Southern blue whiting,benthopelagic >=90 cm,6,micromesistius australis
600321,Merluccius senegalensis,Senegalese hake,demersal 30 - 90 cm,6,merluccius senegalensis
600322,Merluccius australis,Southern hake,benthopelagic >=90 cm,6,merluccius australis
600323,Merluccius bilinearis,Silver hake,demersal 30 - 90 cm,6,merluccius bilinearis
600324,Merluccius gayi gayi,South Pacific hake,bathydemersal 30 - 90 cm,6,merluccius gayi
600325,Merluccius hubbsi,Argentine hake,benthopelagic >=90 cm,6,merluccius hubbsi
600326,Merluccius productus,North Pacific hake,benthopelagic >=90 cm,6,merluccius productus
600327,Merluccius polli,Benguela hake,bathydemersal 30 - 90 cm,6,merluccius polli
600329,Macruronus magellanicus,Patagonian grenadier,benthopelagic >=90 cm,6,macruronus magellanicus
600331,Macrourus berglax,Onion-eye grenadier,benthopelagic >=90 cm,6,macrourus berglax
600332,Coryphaenoides rupestris,Roundnose grenadier,bathypelagic 30 - 90 cm,6,coryphaenoides rupestris
600333,Macroramphosus scolopax,Longspine snipefish,demersal <30 cm,6,macroramphosus scolopax
600334,Hoplostethus atlanticus,Orange roughy,bathypelagic 30 - 90 cm,6,hoplostethus atlanticus
600336,Zenopsis conchifer,Silvery John dory,benthopelagic 30 - 90 cm,6,zenopsis conchifer
600338,Joturus pichardi,Bobo mullet,pelagic 30 - 90 cm,6,joturus pichardi
600339,Menidia menidia,Atlantic silverside,pelagic <30 cm,6,menidia menidia
600340,Eleutheronema tetradactylum,Fourfinger threadfin,demersal >=90 cm,6,eleutheronema tetradactylum
600341,Galeoides decadactylus,Lesser African threadfin,demersal 30 - 90 cm,6,galeoides decadactylus
600342,Pentanemus quinquarius,Royal threadfin,demersal 30 - 90 cm,6,pentanemus quinquarius
600345,Centropomus undecimalis,Common snook,demersal >=90 cm,6,centropomus undecimalis
600346,Lates calcarifer,Barramundi,demersal >=90 cm,6,lates calcarifer
600348,Epinephelus analogus,Spotted grouper,reef-associated 30 - 90 cm,6,epinephelus analogus
600349,Polyprion americanus,Wreckfish,bathydemersal >=90 cm,6,polyprion americanus
600350,Polyprion oxygeneios,Hapuka,demersal >=90 cm,6,polyprion oxygeneios
600351,Acanthistius brasilianus,Sea bass,benthopelagic 30 - 90 cm,6,acanthistius brasilianus
600352,Paralabrax humeralis,Peruvian rock seabass,benthopelagic 30 - 90 cm,6,paralabrax humeralis
600353,Morone saxatilis,Striped sea-bass,demersal >=90 cm,6,morone saxatilis
600355,Morone americana,White perch,demersal 30 - 90 cm,6,morone americana
600356,Priacanthus macracanthus,Red bigeye,reef-associated <30 cm,6,priacanthus macracanthus
600357,Synagrops japonicus,Japanese splitfin,bathydemersal 30 - 90 cm,6,synagrops japonicus
600361,Centropristis striata,Black seabass,reef-associated 30 - 90 cm,6,centropristis striata
600362,Lopholatilus chamaeleonticeps,Great northern tilefish,demersal >=90 cm,6,lopholatilus chamaeleonticeps
600363,Lactarius lactarius,False trevally,pelagic 30 - 90 cm,6,lactarius lactarius
600364,Pomatomus saltatrix,Bluefish,pelagic >=90 cm,6,pomatomus saltatrix
600366,Trachurus japonicus,Japanese jack mackerel,demersal 30 - 90 cm,6,trachurus japonicus
600367,Trachurus murphyi,Inca scad,pelagic 30 - 90 cm,6,trachurus murphyi
600368,Trachurus symmetricus,Pacific jack mackerel,pelagic 30 - 90 cm,6,trachurus symmetricus
600369,Trachurus lathami,Rough scad,benthopelagic 30 - 90 cm,6,trachurus lathami
600371,Trachurus trecae,Cunene horse mackerel,benthopelagic 30 - 90 cm,6,trachurus trecae
600372,Trachurus declivis,Greenback horse mackerel,benthopelagic 30 - 90 cm,6,trachurus declivis
600374,Decapterus russelli,Indian scad,pelagic 30 - 90 cm,6,decapterus russelli
600378,Selene setapinnis,Atlantic moonfish,demersal 30 - 90 cm,6,selene setapinnis
600379,Selene dorsalis,African moonfish,demersal 30 - 90 cm,6,selene dorsalis
600380,Trachinotus carolinus,Florida pompano,benthopelagic 30 - 90 cm,6,trachinotus carolinus
600382,Seriola lalandi,Yellowtail amberjack,benthopelagic >=90 cm,6,seriola lalandi
600384,Megalaspis cordyla,Torpedo scad,pelagic 30 - 90 cm,6,megalaspis cordyla
600385,Chloroscombrus chrysurus,Atlantic bumper,pelagic 30 - 90 cm,6,chloroscombrus chrysurus
600386,Parona signata,Parona leatherjacket,demersal 30 - 90 cm,6,parona signata
600387,Selar crumenophthalmus,Bigeye scad,pelagic 30 - 90 cm,6,selar crumenophthalmus
600388,Selaroides leptolepis,Yellowstripe scad,pelagic <30 cm,6,selaroides leptolepis
600390,Mene maculata,Moonfish,reef-associated 30 - 90 cm,6,mene maculata
600391,Brama brama,Atlantic pomfret,bathypelagic 30 - 90 cm,6,brama brama
600392,Arripis georgianus,Australian ruff,pelagic 30 - 90 cm,6,arripis georgianus
600394,Dicentrarchus punctatus,Spotted seabass,pelagic 30 - 90 cm,6,dicentrarchus punctatus
600395,Emmelichthys nitidus nitidus,Redbait,bathydemersal 30 - 90 cm,6,emmelichthys nitidus
600396,Nemipterus virgatus,Golden threadfin bream,demersal 30 - 90 cm,6,nemipterus virgatus
600397,Isacia conceptionis,Cabinza grunt,benthopelagic 30 - 90 cm,6,isacia conceptionis
600398,Plectorhinchus mediterraneus,Rubberlip grunt,demersal 30 - 90 cm,6,plectorhinchus mediterraneus
600399,Pomadasys argenteus,Silver grunt,demersal 30 - 90 cm,6,pomadasys argenteus
600400,Brachydeuterus auritus,Bigeye grunt,demersal <30 cm,6,brachydeuterus auritus
600401,Conodon nobilis,Barred grunt,demersal 30 - 90 cm,6,conodon nobilis
600403,Cynoscion analis,Peruvian weakfish,demersal 30 - 90 cm,6,cynoscion analis
600405,Cynoscion nebulosus,Spotted weakfish,demersal >=90 cm,6,cynoscion nebulosus
600406,Cynoscion regalis,Gray weakfish,demersal >=90 cm,6,cynoscion regalis
600407,Cynoscion striatus,South American striped weakfish,demersal 30 - 90 cm,6,cynoscion striatus
600408,Micropogonias undulatus,Atlantic croaker,demersal 30 - 90 cm,6,micropogonias undulatus
600410,Menticirrhus saxatilis,Northern kingcroaker,demersal 30 - 90 cm,6,menticirrhus saxatilis
600411,Menticirrhus littoralis,Gulf kingcroaker,demersal 30 - 90 cm,6,menticirrhus littoralis
600412,Elagatis bipinnulata,Rainbow runner,pelagic >=90 cm,6,elagatis bipinnulata
600413,Umbrina canosai,Argentine croaker,demersal 30 - 90 cm,6,umbrina canosai
600416,Larimichthys polyactis,Yellow croaker,benthopelagic 30 - 90 cm,6,larimichthys polyactis
600417,Macrodon ancylodon,King weakfish,demersal 30 - 90 cm,6,macrodon ancylodon
600418,Argyrosomus regius,Meagre,benthopelagic >=90 cm,6,argyrosomus regius
600419,Argyrosomus hololepidotus,Southern meagre,demersal >=90 cm,6,argyrosomus hololepidotus
600420,Atractoscion aequidens,Geelbeck croaker,benthopelagic >=90 cm,6,atractoscion aequidens
600422,Genyonemus lineatus,White croaker,benthopelagic 30 - 90 cm,6,genyonemus lineatus
600423,Pteroscion peli,Boe drum,benthopelagic 30 - 90 cm,6,pteroscion peli
600424,Paralonchurus peruanus,Peruvian banded croaker,demersal 30 - 90 cm,6,paralonchurus peruanus
600425,Pogonias cromis,Black drum,demersal >=90 cm,6,pogonias cromis
600426,Epinephelus aeneus,White grouper,demersal >=90 cm,6,epinephelus aeneus
600427,Nibea mitsukurii,Nibe croaker,benthopelagic 30 - 90 cm,6,nibea mitsukurii
600428,Larimichthys crocea,Large yellow croaker,benthopelagic 30 - 90 cm,6,larimichthys crocea
600429,Leiostomus xanthurus,Spot croaker,demersal 30 - 90 cm,6,leiostomus xanthurus
600432,Pseudotolithus senegalensis,Cassava croaker,demersal >=90 cm,6,pseudotolithus senegalensis
600433,Pseudotolithus elongatus,Bobo croaker,demersal 30 - 90 cm,6,pseudotolithus elongatus
600434,Pennahia argentata,White croaker,benthopelagic <30 cm,6,pennahia argentata
600436,Pagellus bellottii,Red pandora,demersal 30 - 90 cm,6,pagellus bellottii
600438,Dentex macrophthalmus,Large-eye dentex,benthopelagic 30 - 90 cm,6,dentex macrophthalmus
600439,Dentex dentex,Common dentex,benthopelagic >=90 cm,6,dentex dentex
600440,Dentex angolensis,Angola dentex,demersal 30 - 90 cm,6,dentex angolensis
600441,Archosargus probatocephalus,Sheepshead seabream,demersal >=90 cm,6,archosargus probatocephalus
600442,Argyrops spinifer,King soldierbream,demersal 30 - 90 cm,6,argyrops spinifer
600443,Argyrozona argyrozona,Carpenter seabream,benthopelagic >=90 cm,6,argyrozona argyrozona
600444,Cheimerius nufar,Santer seabream,reef-associated 30 - 90 cm,6,cheimerius nufar
600447,Petrus rupestris,Red steenbras,demersal >=90 cm,6,petrus rupestris
600448,Pterogymnus laniarius,Panga seabream,benthopelagic 30 - 90 cm,6,pterogymnus laniarius
600449,Rhabdosargus globiceps,White stumpnose,benthopelagic 30 - 90 cm,6,rhabdosargus globiceps
600450,Lithognathus lithognathus,White steenbras,benthopelagic >=90 cm,6,lithognathus lithognathus
600452,Stenotomus chrysops,Scup,demersal 30 - 90 cm,6,stenotomus chrysops
600453,Pseudupeneus prayensis,West African goatfish,demersal 30 - 90 cm,6,pseudupeneus prayensis
600458,Tautoga onitis,Tautog,reef-associated >=90 cm,6,tautoga onitis
600460,Nemadactylus bergi,White morwong,demersal 30 - 90 cm,6,nemadactylus bergi
600461,Cheilodactylus variegatus,Peruvian morwong,benthopelagic 30 - 90 cm,6,cheilodactylus variegatus
600463,Arctoscopus japonicus,Sailfin sandfish,bathydemersal <30 cm,6,arctoscopus japonicus
600464,Parapercis colias,Blue cod,demersal 30 - 90 cm,6,parapercis colias
600465,Percophis brasiliensis,Brazilian flathead,demersal 30 - 90 cm,6,percophis brasiliensis
600466,Eleginops maclovinus,Patagonian blennie,benthopelagic 30 - 90 cm,6,eleginops maclovinus
600467,Dissostichus eleginoides,Patagonian toothfish,bathydemersal >=90 cm,6,dissostichus eleginoides
600468,Notothenia rossii,Marbled rockcod,benthopelagic >=90 cm,6,notothenia rossii
600472,Pleuragramma antarcticum,Antarctic silverfish,pelagic <30 cm,6,pleuragramma antarctica
600473,Chaenocephalus aceratus,Blackfin icefish,demersal 30 - 90 cm,6,chaenocephalus aceratus
600474,Champsocephalus gunnari,Mackerel icefish,pelagic 30 - 90 cm,6,champsocephalus gunnari
600475,Pseudochaenichthys georgianus,South Georgia icefish,demersal 30 - 90 cm,6,pseudochaenichthys georgianus
600476,Chionodraco rastrospinosus,Ocellated icefish,benthopelagic 30 - 90 cm,6,chionodraco rastrospinosus
600477,Channichthys rhinoceratus,Unicorn icefish,demersal 30 - 90 cm,6,channichthys rhinoceratus
600478,Chaenodraco wilsoni,Spiny icefish,benthopelagic 30 - 90 cm,6,chaenodraco wilsoni
600479,Zoarces viviparus,Viviparous blenny,demersal 30 - 90 cm,6,zoarces viviparus
600480,Zoarces americanus,Ocean pout,demersal >=90 cm,6,zoarces americanus
600481,Trisopterus minutus,Poor cod,benthopelagic 30 - 90 cm,6,trisopterus minutus
600482,Genypterus blacodes,Pink cusk-eel,bathydemersal >=90 cm,6,genypterus blacodes
600483,Genypterus chilensis,Red cusk-eel,bathydemersal >=90 cm,6,genypterus chilensis
600484,Genypterus maculatus,Black cusk-eel,demersal 30 - 90 cm,6,genypterus maculatus
600485,Genypterus capensis,Kingklip,bathydemersal >=90 cm,6,genypterus capensis
600486,Brotula barbata,Bearded brotula,benthopelagic >=90 cm,6,brotula barbata
600487,Ammodytes personatus,Pacific sandeel,demersal <30 cm,6,ammodytes personatus
600488,Hypoptychus dybowskii,Korean sandeel,benthopelagic <30 cm,6,hypoptychus dybowskii
600489,Thyrsites atun,Snoek,benthopelagic >=90 cm,6,thyrsites atun
600490,Thyrsitops lepidopoides,White snake mackerel,benthopelagic 30 - 90 cm,6,thyrsitops lepidopoides
600491,Pampus argenteus,Silver pomfret,benthopelagic 30 - 90 cm,6,pampus argenteus
600492,Peprilus triacanthus,American butterfish,benthopelagic <30 cm,6,peprilus triacanthus
600493,Peprilus simillimus,Pacific pompano,benthopelagic <30 cm,6,peprilus simillimus
600496,Hyperoglyphe antarctica,Antarctic butterfish,bathydemersal >=90 cm,6,hyperoglyphe antarctica
600497,Psenopsis anomala,Melon seed,benthopelagic <30 cm,6,psenopsis anomala
600501,Sebastes marinus,Ocean perch,benthopelagic >=90 cm,6,sebastes norvegicus
600502,Sebastes entomelas,Widow rockfish,pelagic 30 - 90 cm,6,sebastes entomelas
600503,Sebastes flavidus,Yellowtail rockfish,reef-associated 30 - 90 cm,6,sebastes flavidus
600504,Sebastes alutus,Pacific ocean perch,demersal 30 - 90 cm,6,sebastes alutus
600505,Sebastes mentella,Deepwater redfish,bathypelagic 30 - 90 cm,6,sebastes mentella
600507,Chelidonichthys kumu,Bluefin gurnard,demersal 30 - 90 cm,6,chelidonichthys kumu
600508,Pterygotrigla polyommata,Latchet,demersal 30 - 90 cm,6,pterygotrigla polyommata
600509,Ophiodon elongatus,Lingcod,demersal >=90 cm,6,ophiodon elongatus
600510,Pleurogrammus azonus,Okhostk atka mackerel,demersal 30 - 90 cm,6,pleurogrammus azonus
600512,Anoplopoma fimbria,Sablefish,bathydemersal >=90 cm,6,anoplopoma fimbria
600513,Psettodes erumei,Indian spiny turbot,flatfish <90 cm,6,psettodes erumei
600514,Hippoglossus stenolepis,Pacific halibut,flatfish >=90 cm,6,hippoglossus stenolepis
600516,Reinhardtius hippoglossoides,Greenland halibut,flatfish <90 cm,6,reinhardtius hippoglossoides
600517,Atheresthes stomias,Arrowtooth flounder,flatfish <90 cm,6,atheresthes stomias
600518,Atheresthes evermanni,Kamchatka flounder,flatfish >=90 cm,6,atheresthes evermanni
600519,Hippoglossoides elassodon,Flathead sole,flatfish <90 cm,6,hippoglossoides elassodon
600520,Limanda aspera,Yellowfin sole,flatfish <90 cm,6,limanda aspera
600521,Limanda ferruginea,Yellowtail flounder,flatfish <90 cm,6,limanda ferruginea
600524,Pseudopleuronectes americanus,Winter flounder,flatfish <90 cm,6,pseudopleuronectes americanus
600525,Solea solea,Common sole,flatfish <90 cm,6,solea solea
600526,Dicologlossa cuneata,Wedge sole,flatfish <90 cm,6,dicologlossa cuneata
600527,Austroglossus microlepis,West coast sole,flatfish <90 cm,6,austroglossus microlepis
600528,Austroglossus pectoralis,Mud sole,flatfish <90 cm,6,austroglossus pectoralis
600529,Scophthalmus rhombus,Brill,flatfish <90 cm,6,scophthalmus rhombus
600530,Scophthalmus aquosus,Windowpane,flatfish <90 cm,6,scophthalmus aquosus
600531,Stephanolepis cirrhifer,Thread-sail filefish,demersal <30 cm,6,stephanolepis cirrhifer
600532,Lophius americanus,American angler,demersal >=90 cm,6,lophius americanus
600545,Anchoa mitchilli,Bay anchovy,pelagic <30 cm,6,anchoa mitchilli
600547,Cetengraulis edentulus,Atlantic anchoveta,pelagic <30 cm,6,cetengraulis edentulus
600548,Cetengraulis mysticetus,Pacific anchoveta,pelagic <30 cm,6,cetengraulis mysticetus
600572,Labrus bergylta,Ballan wrasse,reef-associated 30 - 90 cm,6,labrus bergylta
600636,Heptranchias perlo,Sharpnose sevengill shark,shark >=90 cm,6,heptranchias perlo
600637,Hexanchus griseus,Bluntnose sixgill shark,shark >=90 cm,6,hexanchus griseus
600641,Echinorhinus brucus,Bramble shark,shark >=90 cm,6,echinorhinus brucus
600645,Lepidopus caudatus,Silver scabbardfish,bathydemersal >=90 cm,6,lepidopus caudatus
600646,Aphanopus carbo,Black scabbardfish,benthopelagic >=90 cm,6,aphanopus carbo
600648,Centrophorus granulosus,Gulper shark,shark >=90 cm,6,centrophorus granulosus
600650,Centrophorus lusitanicus,Lowfin gulper shark,shark >=90 cm,6,centrophorus lusitanicus
600653,Centrophorus squamosus,Leafscale gulper shark,shark >=90 cm,6,centrophorus squamosus
600656,Centroscyllium fabricii,Black dogfish,shark <90 cm,6,centroscyllium fabricii
600662,Centroscymnus coelolepis,Portuguese dogfish,shark >=90 cm,6,centroscymnus coelolepis
600663,Centroselachus crepidater,Longnose velvet dogfish,shark >=90 cm,6,centroscymnus crepidater
600669,Dalatias licha,Kitefin shark,shark >=90 cm,6,dalatias licha
600670,Deania calcea,Birdbeak dogfish,shark >=90 cm,6,deania calcea
600679,Etmopterus granulosus,Southern lanternshark,shark <90 cm,6,etmopterus granulosus
600687,Etmopterus spinax,Velvet belly lantern shark,shark <90 cm,6,etmopterus spinax
600692,Lichia amia,Leerfish,pelagic >=90 cm,6,lichia amia
600695,Limanda limanda,Dab,flatfish <90 cm,6,limanda limanda
600700,Scymnodon ringens,Knifetooth dogfish,shark >=90 cm,6,scymnodon ringens
600704,Somniosus rostratus,Little sleeper shark,shark >=90 cm,6,somniosus rostratus
600706,Lithognathus mormyrus,Striped seabream,benthopelagic 30 - 90 cm,6,lithognathus mormyrus
600716,Lophius piscatorius,Angler,bathydemersal >=90 cm,6,lophius piscatorius
600718,Oxynotus centrina,Angular roughshark,shark >=90 cm,6,oxynotus centrina
600719,Oxynotus paradoxus,Sailfin roughshark,shark >=90 cm,6,oxynotus paradoxus
600727,Squatina argentina,Argentine angelshark,shark >=90 cm,6,squatina argentina
600736,Squatina squatina,Angelshark,shark >=90 cm,6,squatina squatina
600747,Carcharias taurus,Sand tiger shark,shark >=90 cm,6,carcharias taurus
600751,Carcharodon carcharias,Great white shark,shark >=90 cm,6,carcharodon carcharias
600752,Isurus oxyrinchus,Shortfin mako,shark >=90 cm,6,isurus oxyrinchus
600753,Isurus paucus,Longfin mako,shark >=90 cm,6,isurus paucus
600754,Maurolicus muelleri,Pearlsides,bathypelagic <30 cm,6,maurolicus muelleri
600785,Mugil cephalus,Flathead mullet,benthopelagic >=90 cm,6,mugil cephalus
600790,Mullus barbatus barbatus,Red mullet,demersal 30 - 90 cm,6,mullus barbatus
600807,Galeus melastomus,Blackmouth catshark,shark <90 cm,6,galeus melastomus
600845,Scyliorhinus canicula,Smallspotted catshark,shark >=90 cm,6,scyliorhinus canicula
600850,Oblada melanura,Saddled seabream,benthopelagic <30 cm,6,oblada melanura
600854,Scyliorhinus stellaris,Nursehound,shark >=90 cm,6,scyliorhinus stellaris
600864,Carcharhinus brachyurus,Copper shark,shark >=90 cm,6,carcharhinus brachyurus
600868,Carcharhinus falciformis,Silky shark,shark >=90 cm,6,carcharhinus falciformis
600874,Carcharhinus limbatus,Blacktip shark,shark >=90 cm,6,carcharhinus limbatus
600875,Carcharhinus longimanus,Oceanic whitetip shark,shark >=90 cm,6,carcharhinus longimanus
600878,Carcharhinus obscurus,Dusky shark,shark >=90 cm,6,carcharhinus obscurus
600880,Carcharhinus plumbeus,Sandbar shark,shark >=90 cm,6,carcharhinus plumbeus
