taxonkey,taxon_name,common_name,descript,tax_level,worms_name
400273,Platycephalidae,Flatheads,demersal 30 - 90 cm,4,platycephalidae
400277,Cottidae,Sculpins,demersal <30 cm,4,cottidae
400289,Serranidae,Sea basses groupers fairy basslets,reef-associated <30 cm,4,serranidae
400304,Apogonidae,Cardinalfishes,reef-associated <30 cm,4,apogonidae
400307,Sillaginidae,Smelt-whitings,demersal 30 - 90 cm,4,sillaginidae
400308,Malacanthidae,Tilefishes,demersal 30 - 90 cm,4,malacanthidae
400313,Echeneidae,Remoras,pelagic 30 - 90 cm,4,echeneidae
400314,Carangidae,Jacks and pompanos,pelagic 30 - 90 cm,4,carangidae
400318,Leiognathidae,Slimys slipmouths or ponyfishes,demersal <30 cm,4,leiognathidae
400319,Bramidae,Pomfrets,pelagic 30 - 90 cm,4,bramidae
400323,Lutjanidae,Snappers,reef-associated 30 - 90 cm,4,lutjanidae
400324,Nemipteridae,Threadfin breams Whiptail breams,demersal <30 cm,4,nemipteridae
400326,Gerreidae,Mojarras,demersal <30 cm,4,gerreidae
400327,Haemulidae,Grunts,reef-associated 30 - 90 cm,4,haemulidae
400328,Lethrinidae,Emperors or scavengers,reef-associated 30 - 90 cm,4,lethrinidae
400330,Sparidae,Porgies,demersal 30 - 90 cm,4,sparidae
400331,Sciaenidae,Drums or croakers,demersal 30 - 90 cm,4,sciaenidae
400332,Mullidae,Goatfishes,reef-associated 30 - 90 cm,4,mullidae
400340,Ephippidae,Spadefishes batfishes and scats,reef-associated 30 - 90 cm,4,ephippidae
400356,Latridae,Trumpeters,demersal 30 - 90 cm,4,latridae
400359,Mugilidae,Mullets,demersal 30 - 90 cm,4,mugilidae
400361,Polynemidae,Threadfins,demersal 30 - 90 cm,4,polynemidae
400362,Labridae,Wrasses,reef-associated <30 cm,4,labridae
400364,Scaridae,Parrotfishes,reef-associated 30 - 90 cm,4,scaridae
400377,Trachinidae,Weeverfishes,demersal <30 cm,4,trachinidae
400382,Nototheniidae,Cod icefishes,demersal 30 - 90 cm,4,nototheniidae
400383,Bathydraconidae,Antarctic dragonfishes,bathydemersal <30 cm,4,bathydraconidae
400384,Channichthyidae,Crocodile icefishes,demersal 30 - 90 cm,4,channichthyidae
400402,Ammodytidae,Sand lances,demersal <30 cm,4,ammodytidae
400405,Gobiidae,Gobies,demersal <30 cm,4,gobiidae
400412,Acanthuridae,Surgeonfishes tangs unicornfishes,reef-associated 30 - 90 cm,4,acanthuridae
400414,Gempylidae,Snake mackerels,benthopelagic 30 - 90 cm,4,gempylidae
400415,Trichiuridae,Cutlassfishes,benthopelagic >=90 cm,4,trichiuridae
400416,Scombridae,Mackerels tunas bonitos,pelagic >=90 cm,4,scombridae
400419,Istiophoridae,Billfishes,pelagic >=90 cm,4,istiophoridae
400421,Centrolophidae,Medusafishes,pelagic 30 - 90 cm,4,centrolophidae
400425,Stromateidae,Butterfishes,benthopelagic 30 - 90 cm,4,stromateidae
400439,Bothidae,Lefteye flounders,flatfish <90 cm,4,bothidae
400440,Pleuronectidae,Righteye flounders,flatfish <90 cm,4,pleuronectidae
400441,Soleidae,Soles,flatfish <90 cm,4,soleidae
400442,Cynoglossidae,Tonguefishes,flatfish <90 cm,4,cynoglossidae
400445,Balistidae,Triggerfishes,reef-associated 30 - 90 cm,4,balistidae
400446,Ostraciidae,Boxfishes (cowfish and trunkfish),reef-associated 30 - 90 cm,4,ostraciidae
400448,Tetraodontidae,Puffers,demersal 30 - 90 cm,4,tetraodontidae
400454,Engraulidae,Anchovies,pelagic <30 cm,4,engraulidae
400459,Caesionidae,Fusiliers,reef-associated 30 - 90 cm,4,caesionidae
400460,Pomacanthidae,Angelfishes,reef-associated <30 cm,4,pomacanthidae
400475,Hemiramphidae,Halfbeaks,pelagic <30 cm,4,hemiramphidae
400479,Inermiidae,Bonnetmouths,pelagic <30 cm,4,haemulidae
400488,Triakidae,Houndsharks,shark >=90 cm,4,triakidae
400509,Ambassidae,Asiatic glassfishes,demersal <30 cm,4,ambassidae
400515,Scophthalmidae,Turbots,flatfish <90 cm,4,scophthalmidae
400517,Monacanthidae,Filefishes,reef-associated <30 cm,4,monacanthidae
400581,Peristediidae,Armored searobins or armored gurnards,bathydemersal <30 cm,4,peristediidae
400591,Artedidraconidae,Barbled plunderfishes,demersal <30 cm,4,artedidraconidae
400595,Macroramphosidae,Snipefishes,benthopelagic <30 cm,4,centriscidae
490004,Ommastrephidae,Arrow squids,cephalopods,4,ommastrephidae
490011,Sepiidae,Cuttlefishes,cephalopods,4,sepiidae
490012,Octopodidae,Octopuses,cephalopods,4,octopodidae
490021,Buccinidae,Buccinidae,demersal mollusc,4,buccinidae
490030,Palaemonidae,Palaemonid shrimps,lobsters crab,4,palaemonidae
490031,Portunidae,Swimming crabs,lobsters crab,4,portunidae
490036,Lithodidae,King crabs,lobsters crab,4,lithodidae
490039,Palinuridae,Spiny lobsters,lobsters crab,4,palinuridae
