iucn_sid,T_min_a,T_min_p,T_max_p,T_max_a,n_cells,warning
907,13.8738174438477,13.9938726425171,15.3007431030273,15.5624914169312,11,no worries
908,22.9714393615723,23.258018493652383,25.330221748352077,29.530221748352076,92,no worries
1086,22.8343372344971,23.307809257507312,24.95898609161376,26.0000686645508,20,no worries
2055,4.97493982315063,6.433721542358402,15.165004158020002,20.573802947998,965,no worries
2057,22.4915637969971,22.92573432922366,25.595256042480443,29.795256042480442,49,no worries
2058,-1.74528896808624,-1.045925724506376,4.322272968292232,10.3229560852051,10564,no worries
2059,10.5711822509766,12.75146045684813,19.61735191345213,27.7878723144531,1544,no worries
2060,13.5445623397827,15.01269397735593,21.303619766235347,24.2124652862549,588,no worries
2061,14.1069660186768,16.948905944824197,25.146345138549798,29.346345138549797,546,no worries
2062,-0.12533999979496,3.155159950256348,15.68494815826414,20.3920288085938,6605,no worries
2467,-1.35063600540161,-0.953974986076355,1.6750964999198916,3.99745583534241,2558,no worries
2468,-1.38875699043274,-0.7527316987514494,4.7889098167419455,5.51623487472534,2358,no worries
2469,2.39077091217041,2.955061292648318,4.632785987854006,6.40623092651367,449,no worries
2472,-1.67965495586395,-1.597020554542543,5.441058349609378,7.70146512985229,4830,no worries
2474,-1.79390799999237,-0.3860642015933993,28.22923240661622,32.42923240661622,150587,no worries
2475,-1.7854779958725,2.206202411651608,28.14845504760742,32.34845504760742,131225,no worries
2476,6.51056480407715,18.2001342773438,28.8761463165283,33.0761463165283,80331,no worries
2477,-1.79390799999237,-0.6289098083972928,28.250976943969775,32.45097694396978,147574,no worries
2478,-1.79390799999237,-1.215836465358735,23.11930179595945,28.2042274475098,102446,no worries
2480,-1.79390799999237,-1.4444804787635799,25.96071338653565,30.16071338653565,81736,no worries
2636,0.655403971672058,1.171302556991576,5.311450242996216,13.2322149276733,1012,no worries
2762,-1.79390799999237,-1.58632695674896,17.6311874389648,25.1827774047852,57581,no worries
2763,0.899975001811981,4.1770281791687,18.6180152893066,26.772123336792,11281,no worries
3590,0.979134976863861,4.28828382492065,15.1686611175537,21.825008392334,8751,no worries
3764,22.4195938110352,22.42438125610356,25.03831214904782,29.238312149047818,5,no worries
3778,-0.319752007722855,3.5747646808624283,19.34565658569334,25.3061923980713,33747,no worries
3851,11.3765726089478,20.10612869262696,29.11949958801272,33.31949958801272,6755,no worries
3852,11.3728084564209,17.98891544342041,28.19416408538814,32.39416408538814,7118,no worries
3853,11.3728084564209,18.884594154357888,28.66157779693608,32.86157779693608,5424,no worries
3854,8.15161037445068,14.60491685867307,28.51203155517581,32.71203155517581,4710,no worries
3855,0.68799501657486,12.613311862945551,28.68796691894533,32.88796691894533,102800,no worries
3897,-1.79274499416351,-0.3035730004310604,27.930385589599595,32.1303855895996,55005,no worries
3898,27.5900344848633,27.640563583374043,28.14144725799561,32.34144725799561,52,preference temp range too small!
4131,26.0346794128418,26.04424877166748,26.12080364227292,30.32080364227292,2,preference temp range too small!
4159,3.15648603439331,6.563091945648193,11.677232742309606,13.6311235427856,297,no worries
4161,14.0415992736816,14.569675922393799,19.669554710388198,22.6797065734863,96,no worries
4162,10.3056945800781,11.7696800231934,16.8001804351807,17.5342750549316,101,no worries
4292,1.10498595237732,8.22392177581787,28.0055313110352,32.2055313110352,87881,no worries
4360,28.4971618652344,28.5848522186279,28.9671306610107,33.1671306610107,11,preference temp range too small!
4361,22.4706783294678,22.476473426818867,22.522834205627433,22.5286293029785,2,preference temp range too small!
4362,14.8621845245361,15.91495304107665,24.5833896636963,25.4701709747314,118,no worries
4364,23.2991333007813,24.94750423431393,27.95448818206784,32.154488182067844,250,no worries
4615,4.72335004806519,14.47288608551022,27.112776184082062,31.31277618408206,29265,no worries
4982,16.8527660369873,16.956752777099602,18.5821924209595,18.657096862793,6,no worries
5269,18.052318572998,19.001569938659678,24.54250583648682,24.9558658599854,18,no worries
5270,22.0290699005127,22.28932456970214,23.219413375854458,23.2205944061279,5,preference temp range too small!
5272,23.2205944061279,23.29790344238278,23.814601135253902,23.8664665222168,3,preference temp range too small!
5273,22.0290699005127,22.689175796508778,24.27490615844728,24.5246696472168,9,no worries
5325,27.4897632598877,27.49946060180664,27.57703933715816,31.777039337158158,2,preference temp range too small!
5659,20.1257457733154,25.9696956634521,28.7385292053223,32.938529205322304,423,no worries
5668,23.0281772613525,27.4072515487671,29.447644615173317,33.64764461517332,844,no worries
6204,-1.62716400623322,-0.6925538182258606,9.004798316955569,15.9951972961426,7165,no worries
6229,9.64333820343018,11.9197845458984,26.032115554809536,30.232115554809535,3505,no worries
6335,-1.69485902786255,-1.4464033007621782,3.428098773956301,7.89083862304688,11674,no worries
6494,7.79778099060059,13.673492050170879,27.37446823120114,31.574468231201138,12323,no worries
6814,22.7336273193359,26.268753433227563,29.36192092895506,33.56192092895506,3573,no worries
6909,22.5346126556396,26.38445835113523,29.42937145233157,33.62937145233157,3010,no worries
7750,3.90485310554504,4.99325408935547,8.711947441101074,16.6979389190674,1299,no worries
7778,23.2991333007813,24.682767868042014,27.957416534423842,32.157416534423845,200,no worries
7854,21.0093898773193,23.29768829345706,27.120922088623058,31.320922088623057,339,no worries
7855,20.6540470123291,23.45209808349612,29.07355270385746,33.27355270385746,233,no worries
7858,17.0345134735107,25.572440338134783,29.315056228637715,33.51505622863772,4968,no worries
7859,9.21997737884521,14.56858978271481,26.436527633666962,30.63652763366696,1842,no worries
7860,14.3831834793091,21.40059566497804,27.76058578491215,31.960585784912148,732,no worries
7861,9.21997737884521,14.86160230636601,28.13826942443851,32.33826942443851,1332,no worries
7862,21.9971179962158,26.311499023437477,28.27482681274412,32.47482681274412,797,no worries
8005,-1.72365200519562,-0.951201975345612,7.91434717178345,29.4918346405029,14951,no worries
8010,-1.64542400836945,-1.404134607315062,4.652255439758299,10.4752759933472,15517,no worries
8097,-0.722778022289276,0.28660349547863,19.5019435882568,27.5322761535645,1766,no worries
8099,1.4311009645462,3.290026330947874,20.76412734985348,25.9606876373291,1573,no worries
8153,-1.7422239780426,-0.5610007882118222,18.56268768310549,28.0386142730713,43812,no worries
8239,0.979134976863861,2.861897945404052,9.713403511047368,16.3577632904053,4128,no worries
8407,17.7779560089111,23.80267410278322,29.405969619750998,33.605969619751,2947,no worries
8408,24.0094413757324,25.070136070251458,25.53530139923096,29.73530139923096,54,preference temp range too small!
8551,14.0415992736816,20.826926803588858,28.93091659545902,33.13091659545902,72789,no worries
9249,4.75980997085571,19.08094558715824,28.876924514770533,33.07692451477053,80930,no worries
9250,-1.74528896808624,0.07489760220050831,20.66629333496094,25.9738922119141,64173,no worries
9461,1.80367004871368,13.499495506286598,28.825453758239753,33.025453758239756,87850,no worries
9660,2.47119307518005,5.462776851654054,12.88529434204104,17.6565208435059,2237,no worries
10030,-0.714605987071991,3.103625369071964,26.492399406433144,30.692399406433143,6680,no worries
10056,18.1782608032227,18.1925596237183,18.3069501876831,18.3212490081787,2,preference temp range too small!
10057,9.64333820343018,12.435538864135781,18.250628662109367,21.4505767822266,600,no worries
10060,17.7203006744385,23.81740474700926,29.38257827758791,33.58257827758791,2044,no worries
10063,13.113917350769,14.8450894355774,21.117603302001953,22.9924659729004,386,no worries
10064,16.8527660369873,18.34798507690428,27.452687454223657,31.652687454223656,185,no worries
10065,16.6328773498535,17.79406127929686,23.18834991455082,25.0519580841064,210,no worries
10066,10.1688680648804,21.97565994262692,28.24342613220212,32.44342613220212,1609,no worries
10069,9.7500057220459,10.73825168609622,22.103712463378898,27.4857940673828,1465,no worries
10070,5.19141483306885,17.08068046569823,29.30184764862061,33.50184764862061,4348,no worries
10072,13.2334022521973,17.79836959838866,28.78481216430666,32.98481216430666,459,no worries
10074,22.7336273193359,25.97074737548828,29.7857105255127,33.9857105255127,227,no worries
10077,15.4527435302734,15.526022434234582,19.83593101501466,20.573413848877,40,no worries
10082,20.3425445556641,23.64912014007571,28.2321714401245,32.4321714401245,1072,no worries
10083,19.5270385742188,19.89399089813233,20.811857986450182,20.9614448547363,14,preference temp range too small!
10087,3.6894359588623,15.6736974716187,29.2271709442139,33.4271709442139,4501,no worries
10088,20.3722381591797,21.00765228271482,24.20468444824216,24.8603496551514,49,no worries
10089,22.5931034088135,23.60931320190432,27.17023010253908,31.37023010253908,319,no worries
10340,-1.79390799999237,-1.74967221021652,-0.345742294192314,2.61126399040222,17438,no worries
10707,-0.903796017169952,3.46148109436035,23.5664825439453,25.9190444946289,12771,no worries
10708,-1.79390799999237,-1.61486864089966,16.68719520568846,26.8350868225098,52179,no worries
10939,26.0798244476318,26.68538570404054,27.89002170562748,32.09002170562748,90,no worries
11047,3.06043696403503,15.36863403320314,28.76895065307615,32.96895065307615,93142,no worries
11048,8.16611003875732,18.03398971557622,28.842604064941398,33.0426040649414,85687,no worries
11130,21.3976173400879,24.6403112411499,28.2822265625,32.4822265625,1146,no worries
11140,14.0415992736816,22.54193420410155,29.030383110046408,33.23038311004641,61320,no worries
11141,-0.903796017169952,2.692591547966,13.15506649017335,18.4695625305176,7116,no worries
11142,-1.4743584394455,1.03417003154755,13.4217376708984,17.5282287597656,9521,no worries
11143,5.39210891723633,6.772251605987551,13.50964603424076,15.3857107162476,717,no worries
11144,-1.69798195362091,-0.7546039104461669,12.126403427123982,20.9691867828369,34470,no worries
11145,3.90485310554504,5.784306526184082,18.51514091491698,26.772123336792,7595,no worries
11146,4.84846210479736,7.1089591503143295,18.52796287536625,22.1467685699463,2742,no worries
11150,10.6318502426147,24.515979003906256,29.434144973754883,33.634144973754886,2929,no worries
11200,-1.13242495059967,2.953280067443848,19.875112533569357,26.5822772979736,45235,no worries
11533,6.42961883544922,13.328881072998069,25.862755584716798,30.062755584716797,5978,no worries
11534,3.63393998146057,18.93199195861816,29.239594650268522,33.439594650268525,29813,no worries
11696,-1.79390799999237,-1.74967221021652,-0.345742294192314,2.61126399040222,17438,no worries
12125,3.90485310554504,6.76031923294067,16.4119281768799,21.825008392334,4651,no worries
12126,-1.05766201019287,0.6663732051849367,18.12862091064454,25.0144844055176,41527,no worries
