orig_sciname,valid_name,aphia_id
ranella parthenopaeum,monoplex parthenopeus,476531
rehderiella parva,rehderiella parva,1325561
rhizoclonium robustum,rhizoclonium robustum,404159
rhizophora apiculata,rhizophora apiculata,235093
rhizophora mangle,rhizophora mangle,235094
rhizophora mangle,rhizophora racemosa,235096
rhizophora mucronata,rhizophora mucronata,235095
rhizophora racemosa,rhizophora racemosa,235096
pterodroma gouldi,no match,NA
puccinellia iberica,no match,NA
puffinus bailloni,no match,NA
puffinus bannermani,no match,NA
puffinus bryani,no match,NA
puffinus myrtae,no match,NA
puffinus subalaris,no match,NA
rhizophora samoensis,rhizophora samoensis,235097
rhizophora stylosa,rhizophora stylosa,235098
rhodymenia decumbens,rhodymenia decumbens,374130
roa modestus,roa modesta,475052
robsonella fontanianus,robsonella fontaniana,342384
roeboides dientonito,roeboides dientonito,1525139
ruppia cirrhosa,ruppia cirrhosa,416218
ruppia maritima,ruppia maritima,234031
ruppia megacarpa,ruppia megacarpa,495093
salinator solida,phallomedusa solida,549365
salmo coruhensis,salmo coruhensis,834890
sardinella dayi,sardinella jussieu,272272
sargassum albemarlense,sargassum albemarlense,375500
sargassum galapagense,sargassum galapagense,495137
sargassum setifolium,sargassum setifolium,404138
sargassum templetonii,sargassum templetonii,495138
rhonciscus crocro,no match,NA
rostroraja ackleyi,no match,NA
rostroraja bahamensis,no match,NA
rostroraja cervigoni,no match,NA
rostroraja equatorialis,no match,NA
rostroraja texana,no match,NA
rostroraja velezi,no match,NA
ruppia filifolia,no match,NA
sarcocornia mossambicensis,no match,NA
sargocentron suborbitalis,sargocentron suborbitale,1021098
saurida grandisquamis,saurida undosquamis,126371
saurida parri,saurida brasiliensis,158756
scaergus patagiatus,scaeurgus patagiatus,342054
scaergus unicirrhus,scaeurgus unicirrhus,140607
scaevatula amancicoi,scaevatula amancioi,434880
scaphula pinna,scaphula pinna,504462
scapophyllia cylindrica,merulina cylindrica,1465792
scarus pyrrostethus,scarus ghobban,219127
schismatogobius bruynisi,schismatogobius bruynisi,1017548
schismatogobius marmoratus,schismatogobius marmoratus,1421144
schizymenia ecuadoreana,schizymenia ecuadoreana,372966
scolymia australis,homophyllia australis,550314
scolymia vitiensis,lobophyllia vitiensis,888126
scolymia wellsi,scolymia wellsii,287854
scymnodon plunketi,centroscymnus plunketi,299090
scyphiphora hydrophylacea,scyphiphora hydrophyllacea,235104
sebastes paucispinus,sebastes paucispinis,274833
sebdenia rubra,sebdenia rubra,376417
sepia appellofi,sepia appelloefi,438905
sepia bartletti,NA,NA
sepia baxteri,NA,NA
sepia ramani,sepia pharaonis,181376
saundersilarus saundersi,no match,NA
sebastapistes pascuensis,no match,NA
sepiadarium kochi,sepiadarium kochii,342391
sepietta petersi,sepietta oweniana,141452
sepiola aurantiaca,adinaefiola aurantiaca,1437788
sepiola birostrata,lusepiola birostrata,1437797
sepiola knudseni,boletzkyola knudseni,1437791
sepiola ligulata,adinaefiola ligulata,1437787
sepiola parva,eumandya parva,1437794
sepiola pfefferi,adinaefiola pfefferi,1437789
sepiola rondeleti,sepiola rondeletii,141459
sepiola trirostrata,lusepiola trirostrata,1437798
septaria borbonica,septaria porcellana borbonica,1478147
seriatopora dendritica,seriatopora dentritica,288066
seriatopora guttatus,seriatopora guttata,763800
seriola aureovittata,seriola lalandi,218436
seriola dorsalis,seriola lalandi,218436
sermyla riqueti,sermyla riquetii,757054
serranus dewegeri,paralabrax dewegeri,282055
sicydium brevifile,sicydium brevifile,1019857
sicydium plumieri,sicydium plumieri,282779
sicydium punctatum,sicydium punctatum,282780
sicyopterus cynocephalus,sicyopterus cynocephalus,1022565
sicyopterus longifilis,sicyopterus longifilis,1017537
sicyopterus microcephalus,sicyopterus microcephalus,1016381
sicyopterus ouwensi,sicyopterus ouwensi,1017356
sicyopterus parvei,sicyopterus parvei,1460876
sicyopus discordipinnis,sicyopus discordipinnis,1010820
sicyopus multisquamatus,sicyopus multisquamatus,1017508
siderastrea glynni,siderastrea siderea,207516
silhouettea nuchipunctatus,silhouettea nuchipunctata,273475
sirembo amaculata,sirembo imberbis,282810
smilosicyopus leprurus,smilosicyopus leprurus,712901
solea triophthalma,pegusa triophthalma,274308
sonneratia alba,sonneratia alba,235107
sonneratia apetala,sonneratia apetala,235108
sonneratia caseolaris,sonneratia caseolaris,235109
sonneratia griffithii,sonneratia griffithii,235110
sonneratia griffithii,sonneratia alba,235107
sonneratia lanceolata,sonneratia lanceolata,235305
sonneratia ovata,sonneratia ovata,235111
spartina alterniflora,spartina alterniflora,234072
spatoglossum ecuadoreanum,spatoglossum ecuadoreanum,375486
spatoglossum schmittii,spatoglossum schmittii,375487
speculator cariosus,speculator cariosus,458591
spergularia marina,spergularia salina,395048
sporochnus rostratus,sporochnus rostratus,375492
spratelloides atrofasciatus,spratelloides gracilis,212263
squalus acutipinnis,squalus megalops,105925
starksia y-lineata,starksia y-lineata,276389
stegostoma tigrinum,stegostoma fasciatum,220032
soleichthys multifasciatus,no match,NA
soleichthys nigrostriolatus,no match,NA
stenogobius keletaona,stenogobius keletaona,1008839
stenogobius lachneri,stenogobius lachneri,1011267
stenogobius laterisquamatus,stenogobius laterisquamatus,1018353
stenogobius psilosinionus,stenogobius psilosinionus,1011216
stenogobius watsoni,stenogobius watsoni,1384322
stephanolepis auratus,stephanolepis aurata,220077
stichopus mollis,australostichopus mollis,529443
stichopus paradoxus,stichopus paradoxus,242059
stiphodon carisa,stiphodon carisa,1008535
stiphodon maculidorsalis,stiphodon maculidorsalis,835073
stiphodon ornatus,stiphodon ornatus,1012910
stiphodon rutilaureus,stiphodon rutilaureus,1010748
stiphodon semoni,stiphodon semoni,1019316
stiphodon zebrinus,stiphodon zebrinus,1010440
stolephorus bataviensis,stolephorus waitei,212282
stolephorus baweanensis,stolephorus insularis,212284
stolephorus bengalensis,stolephorus baganensis,275318
stonogobiops xanthorhinica,stonogobiops xanthorhinicus,279109
stylocoeniella muscosus,NA,NA
suriana maritima,suriana maritima,418703
symphodus melanocercus,centrolabrus melanocercus,1022907
symphurus civitatium,symphurus civitatum,305637
stenothyra perdives,no match,NA
stolephorus oceanicus,no match,NA
stomias pacificus,no match,NA
symphurus holothuriae,symphurus microrhynchus,219861
symphurus septemstriata,symphurus septemstriatus,274274
symphyllia agaricia,lobophyllia agaricia,888135
symphyllia erythraea,lobophyllia erythraea,888142
symphyllia hassi,lobophyllia hassi,888143
symphyllia radians,lobophyllia radians,888141
symphyllia recta,lobophyllia recta,888140
symphyllia valenciennesii,lobophyllia valenciennesii,888145
symphyllia wilsoni,australophyllia wilsoni,886935
synagrops microlepis,kaperangus microlepis,1486838
synagrops spinosus,parascombrops spinosus,1486846
synagrops trispinosus,caraibops trispinosus,1486847
synallactes angustus,bathyplotes angustus,848290
synallactes crebrapapilla,bathyplotes crebrapapilla,848291
synallactes pellucidus,bathyplotes pellucidus,848292
synallactes triplax,bathyplotes triplax,848294
synchiropus dagmarae,foetorepus dagmarae,276342
syngnathus caspius,syngnathus abaster,127386
synodus houlti,synodus variegatus,217670
synodus pacificus,synodus pacificus,1524544
syringodium filiforme,syringodium filiforme,374715
syringodium isoetifolium,syringodium isoetifolium,374716
taeniurops grabatus,taeniura grabata,105855
takifugu orbimaculatus,takifugu orbimaculatus,1012021
tabebuia palustris,no match,NA
tarletonbeania tenua,tarletonbeania crenularis,282927
tenarea erecta,tenarea erecta,375522
tetracheledone spinicirrus,tetracheledone spinicirrhus,342400
tetraodon fluviatilis,dichotomyctere fluviatilis,1013871
thaanumella angulosa,thaanumella angulosa,405095
thaanumella cookei,thaanumella cookei,405097
thalasseus bengalensis,sterna bengalensis,137158
thalasseus bergii,sterna bergii,212606
thalasseus bernsteini,sterna bernsteini,343928
thalasseus elegans,sterna elegans,225959
thalasseus maximus,sterna maxima,137163
thalasseus sandvicensis,sterna sandvicensis,137166
thalassia hemprichii,thalassia hemprichii,208931
thalassia testudinum,thalassia testudinum,374720
thalassodendron ciliatum,thalassodendron ciliatum,220228
thalassodendron leptocaule,thalassodendron leptocaule,1356626
thalassodendron pachyrhizum,thalassodendron pachyrizum,374717
thaumastocheles dochmiodon,thaumastocheles japonicus,382870
thaumeledone rotunda,bentheledone rotunda,342284
thymichthys politus,sympterichthys politus,321715
trachinocephalus trachinus,trachinocephalus myops,158884
trachipterus arawatae,trachipterus jacksonensis,272534
tridentiger kuroiwae,tridentiger kuroiwae,298283
thiara paludomoidea,no match,NA
trigla macrodactylus,no match,NA
arcos poecilophthalmus,arcos poecilophthalmos,279684
arctocephalus forsteri,arctocephalus australis forsteri,477318
arctocephalus townsendi,arctocephalus philippii townsendi,477319
ardenna bulleri,puffinus bulleri,225986
ardenna gravis,puffinus gravis,137201
ardenna grisea,puffinus griseus,137202
ardenna pacifica,puffinus pacificus,212634
ardenna tenuirostris,puffinus tenuirostris,225770
argiodia maculata,holothuria (microthele) maculata,529814
argonauta boettgeri,argonauta hians,215276
argonauta nodosa,argonauta nodosus,1530663
ariomma melanum,ariomma melana,403239
ariopsis assimilis,ariopsis assimilis,308392
ariopsis seemanni,ariopsis seemanni,293653
ariosoma major,ariosoma majus,1524875
asparagopsis svedelii,asparagopsis svedelii,375507
asperoteuthis nesisi,asperoteuthis lui,410336
assiminea beddomeana,austropilula beddomeana,1308264
assiminea hungerfordiana,assiminea hungerfordiana,1452411
assiminea infirma,angustassiminea infima,845920
assiminea latericea,pseudomphala latericea,765249
arctoraja sexoculata,no match,NA
ardenna carneipes,no match,NA
ardenna creatopus,no match,NA
ariosoma kapala,no match,NA
trigloporus lastoviza,chelidonichthys lastoviza,127261
trimma omanensis,trimma omanense,278509
trimma unisquamis,trimma unisquame,1486864
triphoturus microchir,triphoturus nigrescens,217721
trypauchenopsis intermedia,trypauchenopsis intermedia,1018734
turbinaria peltata,duncanopsammia peltata,1469809
tylochromis praecox,tylochromis praecox,1316445
tympanotonos fuscatus,tympanotonos fuscatus,527570
typhlatya iliffei,typhlatya iliffei,246477
umbrina robinsoni,umbrina ronchus,127013
upeneus guttatus,upeneus guttatus,1013371
uroteuthis duvauceli,uroteuthis (photololigo) duvaucelii,574517
uroteuthis pickfordi,uroteuthis pickfordae,410412
valamugil buchanani,crenimugil buchanani,1042834
valamugil robustus,osteomugil robustus,1042880
vanderhorstia phaeostictus,vanderhorstia phaeosticta,1008780
vanvoorstia bennettiana,vanvoorstia bennettiana,374962
varicus imswe,paedovaricus imswe,1043483
ventsia tricarinata,ventsia tricarinata,536892
vetulonia phalcata,vetulonia phalcata,758202
vieja fenestrata,vieja fenestrata,1018518
villorita cornucopia,villorita cyprinoides,987300
urile pelagicus,no match,NA
urile penicillatus,no match,NA
urile urile,no match,NA
wrayanna soluta,wrayanna soluta,405102
xenojulis margaritaceus,xenojulis margaritacea,283185
xenomugil thoburni,mugil thoburni,293658
xylocarpus granatum,xylocarpus granatum,235064
xylocarpus moluccensis,xylocarpus moluccensis,235066
xylodiscula analoga,xylodiscula analoga,181095
xylodiscula major,xylodiscula major,536907
xyrichtys koteamea,novaculops koteamea,1009528
xyrichtys sciistius,novaculops sciistius,1017252
xyrichtys trivittatus,iniistius trivittatus,475094
xyrichtys woodi,novaculops woodi,319690
yongeichthys nebulosus,acentrogobius nebulosus,312542
zebrasoma veliferum,zebrasoma velifer,712902
zenarchopterus caudovittatus,zenarchopterus caudovittatus,1018328
zenarchopterus novaeguineae,zenarchopterus novaeguineae,991308
zostera asiatica,zostera asiatica,374699
zostera caespitosa,zostera caespitosa,495076
zostera capensis,zostera subg. zosterella capensis,220229
zostera caulescens,zostera caulescens,495083
zostera chilensis,zostera chilensis,593701
zostera japonica,zostera japonica,495080
zostera marina,zostera subg. zostera marina,145795
zostera muelleri,zostera muelleri,495081
zebrias annularis,no match,NA
zostera geojeensis,no match,NA
zostera nigricaulis,zostera nigricaulis,593702
zostera noltii,zostera noltei,495082
zostera polychlamys,zostera polychlamys,593703
zostera tasmanica,zostera tasmanica,555296
zosterocarpus abyssicola,zosterocarpus abyssicola,375482
zostera pacifica,no match,NA
assiminea pecos,assiminea pecos,404991
astreopora eliptica,astreopora myriophthalma,207128
astronesthes formosana,astronesthes formosanus,390128
astroscopus y-graecum,astroscopus ygraecum,159252
atherinella crystallina,atherinella crystallina,1467911
auriglobus modestus,auriglobus modestus,1021823
australomussa rowleyensis,lobophyllia rowleyensis,888123
austrofolium equatorianum,austrofolium equatorianum,375722
austrofolium howellii,austrofolium howellii,375723
avicennia alba,avicennia alba,235034
avicennia bicolor,avicennia bicolor,235035
avicennia germinans,avicennia germinans,235037
avicennia integra,avicennia integra,235038
avicennia marina,avicennia marina,235040
avicennia officinalis,avicennia officinalis,235041
avicennia rumphiana,avicennia marina subsp. rumphiana,709275
avicennia schaueriana,avicennia schaueriana,235043
awaous acritosus,awaous acritosus,1010924
awaous personatus,awaous personatus,1021866
ayarnangra estuarius,ayarnangra estuarius,1009916
barabattoia amicorum,dipsastraea amicorum,762753
barabattoia laddi,dipsastraea laddi,762754
assiminea obtusa,no match,NA
aulopareia ocellata,no match,NA
azygopus flemingi,no match,NA
batagur baska,batagur baska,1457593
bathophilus longipes,bathophilus digitatus,127330
bathophilus metallicus,bathophilus vaillanti,127333
bathyplotes crenulata,bathyplotes crenulatus,528940
bathyplotes golden-hindi,bathyplotes goldenhindi,848011
bathyplotes pourtalesii,bathyplotes pourtalesii,124553
bathyplotes spuma,benthodytes spuma,529275
bathyplotes tizardi,bathyplotes natans,124549
bathyraja kincaidii,bathyraja interrupta,271515
bathyraja microtrachys,bathyraja trachura,271538
batillaria mutata,batillaria mutata,574895
batissa similis,batissa laevigata,992011
batrachoides goldmani,batrachoides goldmani,1018770
bembrops greyi,bembrops greyae,309697
benthophilus macrocephalus,benthophilus macrocephalus,298195
benthothuria cristata,benthothuria cristata,528941
benthothuria distorta,benthothuria distorta,528943
benthothuria funebris,benthothuria funebris,124556
benthothuria fusiformis,benthothuria fusiformis,529446
bifurcaria galapagensis,bifurcaria galapagensis,374785
batagur affinis,no match,NA
batagur borneoensis,no match,NA
berardius minimus,no match,NA
bidenichthys paxtoni,no match,NA
bidenichthys slartibartfasti,no match,NA
blennodon dorsale,blennodon dorsalis,313909
bohadschia similis,bohadschia vitiensis,210759
bohadschia tenuissima,bohadschia vitiensis,210759
bollmannia longpinnus,bollmannia ocellata,279936
bothus thompsoni,bothus myriaster,219794
botryocladia darwinii,botryocladia darwinii,375089
bruguiera cylindrica,bruguiera cylindrica,234496
bruguiera exaristata,bruguiera exaristata,235081
bruguiera gymnorhiza,bruguiera gymnorrhiza,235082
bruguiera hainesii,bruguiera ×hainesii,235083
bruguiera parviflora,bruguiera parviflora,235084
bruguiera sexangula,bruguiera sexangula,235085
bryconalestes longipinnis,brycinus longipinnis,280002
bucephala clangula,bucephala clangula,159197
calathiscus tantillus,goniopora tantillus,764222
callimachus rancureli,walvisteuthis rancureli,850553
callimachus youngorum,walvisteuthis youngorum,850554
callionymus sanctaehelenae,callionymus bairdi,159626
callistoctopus kermadecensis,pinnoctopus kermadecensis,724068
callithamnion ecuadoreanum,callithamnion ecuadoreanum,376425
callithamnion epiphyticum,callithamnion epiphyticum,376426
calyptogena magnifica,turneroconcha magnifica,1445254
camptostemon philippinensis,camptostemon philippinensis,344743
brownlowia argentata,no match,NA
brownlowia tersa,no match,NA
camptostemon schultzii,camptostemon schultzii,235047
cantherhines multilineatus,thamnaconus multilineatus,713842
caranx bartholomaei,carangoides bartholomaei,159630
carettochelys insculpta,carettochelys insculpta,1389958
carex paleacea,carex paleacea,577503
caspia gmelinii,clathrocaspia gmelinii,1332957
catathyridium grandirivi,catathyridium grandirivi,1525509
catharacta antarctica,stercorarius antarcticus,567471
catharacta chilensis,stercorarius chilensis,567472
catharacta maccormicki,stercorarius maccormicki,422607
catharacta skua,stercorarius skua,137174
cathorops arenatus,cathorops arenatus,1022317
cathorops taylori,cathorops taylori,314016
caulastrea connata,astraeosmilia connata,762424
caulastrea curvata,astraeosmilia curvata,1487790
caulastrea echinulata,caulastraea echinulata,289576
caulastrea furcata,caulastraea furcata,289577
caulastrea tumida,astraeosmilia tumida,1487797
centropyge interruptus,centropyge interrupta,712745
centropyge loricula,centropyge loriculus,402161
centroselachus crepidater,centroscymnus crepidater,105908
cephaloscyllium formosanum,cephaloscyllium umbratile,277104
carex lyngbyei,no match,NA
carex pluriflora,no match,NA
carex subspathacea,no match,NA
cephaloscyllium sarawakensis,cephaloscyllium sarawakense,398246
ceramium hoodii,ceramium hoodii,376448
ceramium howellii,ceramium howellii,375547
ceramium prostratum,ceramium prostratum,377025
ceramium templetonii,ceramium templetonii,377051
ceriops australis,ceriops australis,344707
ceriops decandra,ceriops decandra,235087
ceriops tagal,ceriops tagal,235088
ceriops zippeliana,ceriops zippeliana,742488
cerithidea pliculosa,cerithideopsis pliculosa,758582
cheimarrichthys fosteri,cheimarrichthys fosterae,280138
cheimerius matsubarai,amamiichthys matsubarai,1524746
chelon melinopterus,planiliza melinoptera,1509596
chiasmodon lavenbergi,chiasmodon pluriradiatus,712796
chilina patagonica,chilina patagonica,767433
chiloscyllium burmensis,chiloscyllium burmense,277828
chiloscyllium hasselti,chiloscyllium hasseltii,277830
chimaera ogilbyi,hydrolagus ogilbyi,271416
chinchaysuyoa ortegai,chinchaysuyoa ortegai,1493345
chiroteuthis veranyi,chiroteuthis veranii,139125
chlorophthalmus productus,chlorophthalmus agassizi,126336
chondria flexicaulis,chondria flexicaulis,376459
chondrus albemarlensis,chondrus albemarlensis,376422
chondrus hancockii,chondrus hancockii,376421
cerberus australis,no match,NA
acropora efflorescens,acropora cytherea,207095
acropora elegantula,acropora elegantula,430643
acropora formosa,acropora muricata,207007
acropora forskali,acropora forskali,207121
acropora haimei,NA,NA
acropora inermis,acropora microphthalma,207046
acropora insignis,acropora selago,207040
acropora irregularis,acropora abrotanoides,207083
acropora khayranensis,NA,NA
acropora lianae,acropora loripes,207074
acropora macrostoma,acropora tenuis,207105
acropora maryae,acropora squarrosa,207053
acropora massawensis,acropora polystoma,207050
acropora meridiana,isopora brueggemanni,730688
acropora minuta,acropora palmerae,207049
acropora navini,acropora longicyathus,207114
acropora nobilis,acropora robusta,207000
acropora ocellata,acropora humilis,207094
acropora orbicularis,acropora clathrata,207075
acropora pagoensis,acropora eurystoma,207108
acropora paragemmifera,NA,NA
acropora parahemprichii,acropora austera,207052
acropora parapharaonis,acropora valida,207072
acropora parilis,acropora horrida,207006
acropora pectinatus,acropora pectinata,763782
chriolepis minutillus,chriolepis minutilla,280171
chrysichthys furcatus,chrysichthys nigrodigitatus,581699
chrysichthys maurus,chrysichthys maurus,581698
cichlasoma orinocense,cichlasoma orinocense,1012137
cirroctopus antarctica,cirroctopus antarcticus,342258
citharichthys uhleri,citharichthys uhleri,422563
clithon faba,clithon faba,737540
cociella crocodila,cociella crocodilus,398453
collisella edmitchelli,lottia edmitchelli,594478
conacmella vagans,conacmella vagans,404998
congriscus megastomus,congriscus megastoma,280374
conocarpus erectus,conocarpus erectus,418734
conus aculeiformis,conasprella aculeiformis,835351
conus acutimarginatus,conasprella acutimarginata,1350017
conus alisi,conasprella alisi,834380
conus anaglypticus,conasprella anaglyptica,836199
conus aphrodite,conasprella aphrodite,580165
conus archetypus,conus ziczac archetypus,754882
conus arcuatus,conasprella arcuata,835890
conus arcuatus,conasprella emarginata,835894
conus armiger,conasprella armiger,835306
conus articulatus,conasprella articulata,580166
conus atlanticoselvagem,conus trochulus,225076
conus baccatus,conasprella baccata,836464
conus baileyi,conasprella baileyi,580167
clenchiella microscopica,no match,NA
conus bajanensis,conasprella bajanensis,835308
conus biancae,conus archiepiscopus,215515
conus biraghii,lilliconus biraghii,580586
conus boholensis,conasprella boholensis,834365
conus bonfiglioli,conus bonfigliolii,723808
conus boschorum,pseudolilliconus boschorum,574728
conus boucheti,conasprella boucheti,834367
conus bozzettii,conasprella bozzettii,580168
conus branhamae,conasprella branhamae,1350022
conus cacao,conus mercator,224287
conus caillaudi,conus caillaudii,426438
conus cakobaui,profundiconus cakobaui,581029
conus californicus,californiconus californicus,581058
conus centurio,conasprella centurio,835892
conus claudiae,conus galeao,1053693
conus comatosa,conasprella comatosa,835353
conus coromandelicus,conasprella coromandelica,835980
conus crioulus,conus maioensis,224956
conus damasoi,conasprella damasoi,836468
conus delessertii,conasprella delessertii,835976
conus delucai,conasprella delucai,1350063
conus derrubado,conus damottai,224826
conus dictator,conasprella dictator,835361
conus dieteri,conasprella dieteri,751385
conus dondani,profundiconus dondani,751666
conus eduardi,conus milneedwardsi eduardi,758035
conus elegans,conus taurinensis,1466409
conus elegans,conasprella elegans,835364
conus elegans,conasprella saecularis,835418
conus emarginatus,conasprella emarginata,835894
conus emersoni,profundiconus emersoni,581031
conus eucoronatus,conasprella eucoronata,580169
conus eugrammatus,conasprella eugrammata,580170
conus evorai,conus crotchii,224817
conus exquisitus,conus cardinalis,426444
conus fantasmalis,conus fuscoflavus,224879
conus fijiensis,conasprella fijiensis,835371
conus fontonae,conus cuneolus,224821
conus frausseni,profundiconus frausseni,581032
conus gabrielae,conus negroides,429428
conus gabryae,conus australis,430463
conus gordyi,conasprella gordyi,580171
conus guidopoppei,conasprella guidopoppei,835373
conus henckesi,conasprella henckesi,836474
conus hivanus,conasprella hivana,1291293
conus hopwoodi,conasprella hopwoodi,835378
conus howelli,conasprella howelli,835333
conus hybridus,conus franciscanus,429965
