phylum,class,order,family,genus,species
loricifera,not assigned,nanaloricida,pliciloricidae,rugiloricus,rugiloricus cauliculus
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosomella,loxosomella similis
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosomella,loxosomella fauveli
kamptozoa,not assigned,loxosomatida,loxosomatidae,loxosoma,loxosoma agile
platyhelminthes,turbellaria,acoela,childiidae,childia,childia vivipara
nemertea,enopla,hoplonemertea,tetrastemmatidae,tetrastemma,quasitetrastemma bicolor
mollusca,aplacophora,pholidoskepia,lepidomeniidae,tegulaherpia,tegulaherpia myodoryata
mollusca,gastropoda,neotaenioglossa,cerithiidae,cerithiella,cerithiella amblytera
arthropoda,maxillopoda,pedunculata,calanticidae,euscalpellum,euscalpellum renei
arthropoda,malacostraca,isopoda,stenetriidae,hansenium,stenetriidae incertae sedis expansum
arthropoda,ostracoda,podocopida,trachyleberididae,venericythere,venericythere darwini
echinodermata,ophiuroidea,ophiurida,ophiuridae,ophiomastus,ophiomastus tegulitius
