phylum,class,order,family,genus,species
arthropoda,maxillopoda,pedunculata,scalpellidae,scalpellum,scalpellum gibbum
arthropoda,maxillopoda,pedunculata,scalpellidae,smilium,smilium scorpio
arthropoda,maxillopoda,pedunculata,scalpellidae,tarasovium,weltnerium cornutum
arthropoda,maxillopoda,sessilia,archaeobalanidae,conopea,solidobalanus merrilli
arthropoda,maxillopoda,sessilia,chthamalidae,chthamalus,chthamalus angustitergum
arthropoda,pycnogonida,pantopoda,ammotheidae,achelia,achelia segmentata
arthropoda,pycnogonida,pantopoda,callipallenidae,pseudopallene,pseudopallene zamboangae
kinorhyncha,not assigned,homalorhagida,pycnophyidae,kinorhynchus,leiocanthus mainensis
priapulida,priapulomorpha,not assigned,priapulidae,halicryptus,halicryptus higginsi
phoronida,not assigned,not assigned,phoronidae,phoronopsis,phoronopsis albomaculata
annelida,polychaeta,canalipalpata,magelonidae,magelona,magelona cornuta
annelida,polychaeta,canalipalpata,magelonidae,magelona,magelona phyllisae
annelida,polychaeta,not assigned,capitellidae,leiochrides,leiochrides pallidior
annelida,polychaeta,not assigned,capitellidae,mastobranchus,mastobranchus trinchesii
placozoa,not assigned,not assigned,trichoplacidae,trichoplax,trichoplax adhaerens
annelida,polychaeta,not assigned,cossuridae,cossura,cossura laeviseta
annelida,polychaeta,not assigned,opheliidae,ophelina,ophelina breviata
chordata,cephalochordata,not assigned,branchiostomidae,branchiostoma,branchiostoma bennetti
chordata,cephalochordata,not assigned,branchiostomidae,epigonichthys,epigonichthys bassanus
chordata,cephalochordata,not assigned,branchiostomidae,epigonichthys,epigonichthys maldivensis
arthropoda,malacostraca,amphipoda,corophiidae,americorophium,americorophium ellisi
cnidaria,hydrozoa,anthoathecata,eudendriidae,eudendrium,eudendrium gracile
cnidaria,hydrozoa,anthoathecata,pennariidae,pennaria,pennaria vitrea
bryozoa,gymnolaemata,cheilostomata,calwelliidae,calwellia,no match
bryozoa,gymnolaemata,cyclostomata,lichenoporidae,lichenopora,lichenopora radiata
gastrotricha,not assigned,chaetonotoidea,chaetonotidae,halichaetonotus,halichaetonotus paradoxus
gastrotricha,not assigned,macrodasyida,cephalodasyidae,dolichodasys,dolichodasys elongatus
gnathostomulida,not assigned,bursovaginoidea,austrognathiidae,austrognatharia,austrognatharia pecten
gnathostomulida,not assigned,bursovaginoidea,austrognathiidae,austrognatharia,austrognatharia strunki
gnathostomulida,not assigned,bursovaginoidea,austrognathiidae,austrognathia,austrognathia nannulifera
gnathostomulida,not assigned,bursovaginoidea,gnathostomulidae,gnathostomula,gnathostomula mediterranea
gnathostomulida,not assigned,bursovaginoidea,gnathostomulidae,gnathostomula,gnathostomula peregrina
gnathostomulida,not assigned,bursovaginoidea,gnathostomulidae,semaeognathia,semaeognathia sterreri
gnathostomulida,not assigned,bursovaginoidea,mesognathariidae,labidognathia,labidognathia longicollis
gnathostomulida,not assigned,bursovaginoidea,mesognathariidae,tenuignathia,tenuignathia rikerae
gnathostomulida,not assigned,bursovaginoidea,onychognathiidae,onychognathia,onychognathia rhombocephala
gnathostomulida,not assigned,filospermoidea,pterognathiidae,cosmognathia,cosmognathia aquila
gnathostomulida,not assigned,filospermoidea,pterognathiidae,cosmognathia,cosmognathia arcus
gnathostomulida,not assigned,filospermoidea,pterognathiidae,cosmognathia,cosmognathia manubrium
gnathostomulida,not assigned,filospermoidea,pterognathiidae,pterognathia,pterognathia ugera
hemichordata,enteropneusta,not assigned,ptychoderidae,balanoglossus,balanoglossus clavigerus
mollusca,bivalvia,nuculoida,nuculidae,nucula,nucula turgida
mollusca,bivalvia,ostreoida,pectinidae,aequipecten,no match
mollusca,bivalvia,ostreoida,pectinidae,pecten,no match
mollusca,bivalvia,pholadomyoida,lyonsiidae,lyonsia,lyonsia bracteata
mollusca,bivalvia,pholadomyoida,pandoridae,pandora,heteroclidus punctatus
mollusca,bivalvia,pholadomyoida,poromyidae,poromya,cetomya elongata
mollusca,bivalvia,pholadomyoida,thraciidae,thracia,thracia morrisoni
mollusca,bivalvia,veneroida,lasaeidae,mysella,spheniopsis triquetra
mollusca,bivalvia,veneroida,veneridae,circomphalus,globivenus strigillina
mollusca,bivalvia,veneroida,veneridae,tivela,tivela trigonella
mollusca,bivalvia,veneroida,vesicomyidae,vesicomya,kelliella pilula
mollusca,bivalvia,veneroida,vesicomyidae,vesicomya,veneriglossa vesica
arthropoda,malacostraca,amphipoda,lysianassidae,ambasiopsis,ambasiopsis tumicornis
mollusca,gastropoda,acochlidiacea,microhedylidae,hedylopsis,asperspina riseri
mollusca,gastropoda,archaeogastropoda,scissurellidae,scissurella,scissurella coronata
mollusca,gastropoda,archaeogastropoda,trochidae,solariella,lamellitrochus pourtalesi
mollusca,gastropoda,cephalaspidea,bullinidae,bullina,bullina exquisita
mollusca,gastropoda,cephalaspidea,cylichnidae,tornatina,tornatinidae incertae sedis inconspicua
mollusca,gastropoda,cephalaspidea,philinidae,philine,praephiline finmarchica
mollusca,gastropoda,heterostropha,acteonidae,acteon,acteon danaida
mollusca,gastropoda,heterostropha,acteonidae,acteon,acteon incisus
mollusca,gastropoda,heterostropha,acteonidae,acteon,acteon perforatus
mollusca,gastropoda,heterostropha,architectonicidae,pseudotorinia,pseudotorinia bullisi
mollusca,gastropoda,heterostropha,mathildidae,mathilda,mathilda scitula
mollusca,gastropoda,heterostropha,mathildidae,mathilda,mathilda yucatecana
mollusca,gastropoda,heterostropha,pyramidellidae,chrysallida,chrysallida cancellata
mollusca,gastropoda,heterostropha,pyramidellidae,houbricka,houbricka incisa
mollusca,gastropoda,heterostropha,pyramidellidae,liostomia,liostomia eburnea
mollusca,gastropoda,heterostropha,pyramidellidae,menestho,menestho albula
mollusca,gastropoda,heterostropha,pyramidellidae,miralda,miralda scopulorum
mollusca,gastropoda,heterostropha,pyramidellidae,odostomia,odostomia acutidens
mollusca,gastropoda,heterostropha,pyramidellidae,petitilla,petitilla crosseana
mollusca,gastropoda,heterostropha,pyramidellidae,rissopsetia,rissopsetia hummelincki
mollusca,gastropoda,heterostropha,pyramidellidae,turbonilla,turbonilla belotheca
mollusca,gastropoda,heterostropha,pyramidellidae,turbonilla,turbonilla exilis
mollusca,gastropoda,heterostropha,pyramidellidae,turbonilla,turbonilla levis
mollusca,gastropoda,heterostropha,pyramidellidae,turbonilla,turbonilla punicea
mollusca,gastropoda,heterostropha,pyramidellidae,turbonilla,turbonilla corgani
mollusca,gastropoda,heterostropha,pyramidellidae,turbonilla,turbonilla stimpsoni
mollusca,gastropoda,heterostropha,pyramidellidae,turbonilla,turbonilla virga
mollusca,gastropoda,neogastropoda,buccinidae,ptychosalpinx,ptychosalpinx globulus
mollusca,gastropoda,neogastropoda,conidae,pleurotomella,azorilla lottae
mollusca,gastropoda,neotaenioglossa,cerithiopsidae,cerithiopsis,prolixodens ara
mollusca,gastropoda,neotaenioglossa,cerithiopsidae,cerithiopsis,cerithiopsis io
mollusca,gastropoda,neotaenioglossa,cerithiopsidae,cerithiopsis,cerithiopsis vicola
mollusca,gastropoda,neotaenioglossa,cerithiopsidae,horologica,horologica pupa
mollusca,gastropoda,neotaenioglossa,cypraeidae,talparia,no match
mollusca,gastropoda,neotaenioglossa,epitoniidae,alexania,alexania floridana
mollusca,gastropoda,neotaenioglossa,epitoniidae,cirsotrema,cirsotrema pilsbryi
mollusca,gastropoda,neotaenioglossa,epitoniidae,depressiscala,epitonium nautlae
mollusca,gastropoda,neotaenioglossa,epitoniidae,epitonium,epitonium babylonia
mollusca,gastropoda,neotaenioglossa,epitoniidae,epitonium,epitonium matthewsae
mollusca,gastropoda,neotaenioglossa,epitoniidae,epitonium,epitonium phymanthi
mollusca,gastropoda,neotaenioglossa,epitoniidae,opalia,opalia abbotti
mollusca,gastropoda,neotaenioglossa,epitoniidae,opalia,no match
mollusca,gastropoda,neotaenioglossa,lamellariidae,lamellaria,lamellaria leucosphaera
mollusca,gastropoda,neotaenioglossa,naticidae,haliotinella,haliotinella patinaria
mollusca,gastropoda,neotaenioglossa,planaxidae,fossarus,fossarus elegans
mollusca,gastropoda,neotaenioglossa,planaxidae,hinea,hinea lineata
mollusca,gastropoda,neotaenioglossa,rissoidae,alvania,alexania moerchi
mollusca,gastropoda,neotaenioglossa,rissoidae,schwartziella,schwartziella bouryi
mollusca,gastropoda,neotaenioglossa,triphoridae,metaxia,metaxia taeniolata
mollusca,gastropoda,neotaenioglossa,triphoridae,triphora,triphora calva
mollusca,gastropoda,neotaenioglossa,triphoridae,triphora,triphora longissima
mollusca,gastropoda,neotaenioglossa,triphoridae,triphora,inella longissima
mollusca,gastropoda,neotaenioglossa,triphoridae,triphora,inella triserialis
mollusca,gastropoda,neotaenioglossa,turritellidae,turritella,turritella hookeri
mollusca,gastropoda,rhodopemorpha,rhodopidae,helminthope,helminthope psammobionta
mollusca,gastropoda,sacoglossa,elysiidae,bosellia,elysia marcusi
mollusca,gastropoda,sacoglossa,elysiidae,elysia,elysia serca
