am_sciname,valid_name,aphia_id
clathria aceratoobtusa,clathria (microciona) aceratoobtusa,167606
clathria armata,clathria (microciona) armata,167614
clathria australiensis,clathria (wilsonella) australiensis,167791
clathria basilana,clathria (clathria) basilana,167499
clathria cervicornis,clathria (thalysias) cervicornis,167718
clathria chelifera,clathria (clathria) chelifera,167507
clathria chelifera,clathria (microciona) tunisiae,167700
clathria claudei,clathria (microciona) claudei,167627
clathria claviformis,clathria (wilsonella) claviformis,167794
clathria coppingeri,clathria (thalysias) coppingeri,167719
clathria coralliophila,clathria (thalysias) coralliophila,167720
clathria corneolia,clathria (thalysias) corneolia,167722
clathria cratitia,clathria (thalysias) cratitia,167724
clathria distincta,clathria (thalysias) distincta,167728
clathria eccentrica,clathria (isociella) eccentrica,167599
clathria echinata,clathria (microciona) echinata,167636
clathria eurypa,clathria (thalysias) eurypa,167732
clathria fasciculata,clathria (thalysias) fasciculata,167734
clathria filifera,clathria (thalysias) filifera,167735
clathria flabellifera,clathria (thalysias) flabellifera,167736
clathria foraminifera,clathria (wilsonella) foraminifera,167796
clathria gorgonioides,clathria (clathria) gorgonioides,394643
clathria hirsuta,clathria (thalysias) hirsuta,167742
clathria kylista,clathria (clathria) kylista,167536
clathria lendenfeldi,clathria (thalysias) lendenfeldi,167750
clathria lindgreni,clathria (wilsonella) lindgreni,167798
clathria longitoxa,clathria (thalysias) longitoxa,167753
clathria major,clathria (thalysias) major,167754
clathria microchela,clathria (clathria) microchela,167546
clathria mixta,clathria (wilsonella) mixta,167800
clathria mutabilis,clathria (thalysias) mutabilis,167760
clathria nuda,clathria (thalysias) nuda,412619
clathria procera,clathria (thalysias) procera,167770
clathria prolifera,clathria (clathria) prolifera,167563
clathria prolifera,clathria (clathria) burtoni,167503
clathria ramosa,clathria (thalysias) ramosa,167771
clathria ramosa,clathria (wilsonella) lindgreni,167798
clathria reinwardti,clathria (thalysias) reinwardti,167774
clathria rhopalophora,clathria (microciona) rhopalophora,167568
clathria ridleyi,clathria (thalysias) ridleyi,167775
clathria rugosa,clathria (wilsonella) rugosa,167804
clathria schoenus,clathria (thalysias) curacaoensis,765193
clathria spinifera,clathria (thalysias) spinifera,181111
clathria spinifera,clathria (clathria) saraspinifera,244676
clathria spinosa,clathria (microciona) spinosa,167686
clathria spongodes,clathria (clathria) spongodes,167575
clathria tetrastyla,clathria (microciona) tetrastyla,167692
clathria thielei,clathria (microciona) thielei,167693
clathria topsenti,clathria (thalysias) topsenti,234220
clathria toxifera,clathria (thalysias) toxifera,167783
