species,trait,value,source,val_num
breviraja mouldi,age_mat,5-10yrs,vuln,NA
breviraja nigriventralis,age_mat,5-10yrs,vuln,NA
breviraja spinosa,age_mat,5-10yrs,vuln,NA
brevitrygon heterura,age_mat,NA,vuln,NA
brevitrygon imbricata,age_mat,NA,vuln,NA
brevitrygon javaensis,age_mat,NA,vuln,NA
brevitrygon walga,age_mat,NA,vuln,NA
bythaelurus alcockii,age_mat,NA,vuln,NA
bythaelurus bachi,age_mat,NA,vuln,NA
bythaelurus canescens,age_mat,NA,vuln,NA
bythaelurus clevai,age_mat,NA,vuln,NA
bythaelurus dawsoni,age_mat,NA,vuln,NA
bythaelurus giddingsi,age_mat,NA,vuln,NA
bythaelurus hispidus,age_mat,NA,vuln,NA
bythaelurus immaculatus,age_mat,NA,vuln,NA
bythaelurus incanus,age_mat,NA,vuln,NA
bythaelurus lutarius,age_mat,NA,vuln,NA
bythaelurus naylori,age_mat,NA,vuln,NA
bythaelurus stewarti,age_mat,NA,vuln,NA
bythaelurus tenuicephalus,age_mat,NA,vuln,NA
bythaelurus vivaldii,age_mat,NA,vuln,NA
cephaloscyllium albipinnum,age_mat,NA,vuln,NA
cephaloscyllium cooki,age_mat,NA,vuln,NA
cephaloscyllium fasciatum,age_mat,NA,vuln,NA
cephaloscyllium hiscosellum,age_mat,NA,vuln,NA
cephaloscyllium isabellum,age_mat,NA,vuln,NA
cephaloscyllium laticeps,age_mat,NA,vuln,NA
cephaloscyllium pictum,age_mat,NA,vuln,NA
cephaloscyllium sarawakense,age_mat,NA,vuln,NA
cephaloscyllium signourum,age_mat,NA,vuln,NA
cephaloscyllium silasi,age_mat,NA,vuln,NA
cephaloscyllium speccum,age_mat,NA,vuln,NA
cephaloscyllium stevensi,age_mat,NA,vuln,NA
cephaloscyllium sufflans,age_mat,NA,vuln,NA
cephaloscyllium umbratile,age_mat,NA,vuln,NA
cephaloscyllium variegatum,age_mat,NA,vuln,NA
cephaloscyllium ventriosum,age_mat,NA,vuln,NA
cephaloscyllium zebrum,age_mat,NA,vuln,NA
cruriraja andamanica,age_mat,NA,vuln,NA
cruriraja atlantis,age_mat,NA,vuln,NA
cruriraja cadenati,age_mat,NA,vuln,NA
cruriraja durbanensis,age_mat,NA,vuln,NA
cruriraja hulleyi,age_mat,NA,vuln,NA
cruriraja parcomaculata,age_mat,NA,vuln,NA
cruriraja poeyi,age_mat,NA,vuln,NA
cruriraja rugosa,age_mat,NA,vuln,NA
dactylobatus armatus,age_mat,5-10yrs,vuln,NA
dactylobatus clarkii,age_mat,5-10yrs,vuln,NA
dasyatis brevis,age_mat,NA,vuln,NA
dasyatis chrysonota,age_mat,NA,vuln,NA
dasyatis gigantea,age_mat,NA,vuln,NA
dasyatis hastata,age_mat,NA,vuln,NA
dasyatis hypostigma,age_mat,NA,vuln,NA
dasyatis marmorata,age_mat,NA,vuln,NA
dasyatis matsubarai,age_mat,NA,vuln,NA
dasyatis multispinosa,age_mat,NA,vuln,NA
dasyatis pastinaca,age_mat,NA,vuln,NA
dasyatis thetidis,age_mat,NA,vuln,NA
dasyatis tortonesei,age_mat,NA,vuln,NA
dasyatis ushiei,age_mat,NA,vuln,NA
dentiraja australis,age_mat,5-10yrs,vuln,NA
dentiraja cerva,age_mat,5-10yrs,vuln,NA
dentiraja confusa,age_mat,5-10yrs,vuln,NA
dentiraja endeavouri,age_mat,5-10yrs,vuln,NA
dentiraja falloargus,age_mat,5-10yrs,vuln,NA
dentiraja flindersi,age_mat,5-10yrs,vuln,NA
dentiraja healdi,age_mat,5-10yrs,vuln,NA
dentiraja lemprieri,age_mat,5-10yrs,vuln,NA
dentiraja oculus,age_mat,5-10yrs,vuln,NA
dentiraja polyommata,age_mat,5-10yrs,vuln,NA
dipturus acrobelus,age_mat,10-20yrs,vuln,NA
dipturus amphispinus,age_mat,10-20yrs,vuln,NA
dipturus apricus,age_mat,10-20yrs,vuln,NA
dipturus argentinensis,age_mat,10-20yrs,vuln,NA
dipturus batis,age_mat,10-20yrs,vuln,NA
dipturus brevicaudatus,age_mat,10-20yrs,vuln,NA
dipturus bullisi,age_mat,10-20yrs,vuln,NA
dipturus campbelli,age_mat,10-20yrs,vuln,NA
dipturus canutus,age_mat,10-20yrs,vuln,NA
dipturus cerva,age_mat,10-20yrs,vuln,NA
dipturus chinensis,age_mat,10-20yrs,vuln,NA
dipturus crosnieri,age_mat,10-20yrs,vuln,NA
dipturus diehli,age_mat,10-20yrs,vuln,NA
dipturus doutrei,age_mat,10-20yrs,vuln,NA
dipturus ecuadoriensis,age_mat,10-20yrs,vuln,NA
dipturus endeavouri,age_mat,10-20yrs,vuln,NA
dipturus flavirostris,age_mat,10-20yrs,vuln,NA
dipturus garricki,age_mat,10-20yrs,vuln,NA
dipturus gigas,age_mat,10-20yrs,vuln,NA
dipturus grahami,age_mat,10-20yrs,vuln,NA
dipturus grahamorum,age_mat,10-20yrs,vuln,NA
dipturus gudgeri,age_mat,10-20yrs,vuln,NA
dipturus innominatus,age_mat,10-20yrs,vuln,NA
dipturus intermedius,age_mat,10-20yrs,vuln,NA
dipturus johannisdavisi,age_mat,10-20yrs,vuln,NA
dipturus kwangtungensis,age_mat,10-20yrs,vuln,NA
dipturus laevis,age_mat,10-20yrs,vuln,NA
dipturus lamillai,age_mat,10-20yrs,vuln,NA
dipturus lanceorostratus,age_mat,10-20yrs,vuln,NA
dipturus leptocauda,age_mat,10-20yrs,vuln,NA
dipturus macrocauda,age_mat,10-20yrs,vuln,NA
dipturus melanospilus,age_mat,10-20yrs,vuln,NA
dipturus mennii,age_mat,10-20yrs,vuln,NA
dipturus nidarosiensis,age_mat,10-20yrs,vuln,NA
dipturus olseni,age_mat,10-20yrs,vuln,NA
dipturus oregoni,age_mat,10-20yrs,vuln,NA
dipturus oxyrinchus,age_mat,10-20yrs,vuln,NA
dipturus polyommata,age_mat,10-20yrs,vuln,NA
dipturus pullopunctatus,age_mat,10-20yrs,vuln,NA
dipturus queenslandicus,age_mat,10-20yrs,vuln,NA
dipturus springeri,age_mat,10-20yrs,vuln,NA
dipturus stenorhynchus,age_mat,10-20yrs,vuln,NA
dipturus teevani,age_mat,10-20yrs,vuln,NA
dipturus tengu,age_mat,10-20yrs,vuln,NA
dipturus trachyderma,age_mat,10-20yrs,vuln,NA
dipturus wengi,age_mat,10-20yrs,vuln,NA
dipturus wuhanlingi,age_mat,10-20yrs,vuln,NA
fenestraja atripinna,age_mat,NA,vuln,NA
fenestraja cubensis,age_mat,NA,vuln,NA
fenestraja ishiyamai,age_mat,NA,vuln,NA
fenestraja maceachrani,age_mat,NA,vuln,NA
fenestraja mamillidens,age_mat,NA,vuln,NA
fenestraja plutonia,age_mat,NA,vuln,NA
fenestraja sibogae,age_mat,NA,vuln,NA
fenestraja sinusmexicanus,age_mat,NA,vuln,NA
figaro boardmani,age_mat,NA,vuln,NA
figaro striatus,age_mat,NA,vuln,NA
fontitrygon colarensis,age_mat,NA,vuln,NA
fontitrygon geijskesi,age_mat,NA,vuln,NA
fontitrygon margarita,age_mat,NA,vuln,NA
fontitrygon margaritella,age_mat,NA,vuln,NA
fontitrygon ukpam,age_mat,NA,vuln,NA
galeus antillensis,age_mat,NA,vuln,NA
galeus arae,age_mat,NA,vuln,NA
galeus atlanticus,age_mat,NA,vuln,NA
galeus cadenati,age_mat,NA,vuln,NA
galeus corriganae,age_mat,NA,vuln,NA
galeus eastmani,age_mat,NA,vuln,NA
galeus gracilis,age_mat,NA,vuln,NA
galeus longirostris,age_mat,NA,vuln,NA
galeus melastomus,age_mat,NA,vuln,NA
galeus mincaronei,age_mat,NA,vuln,NA
galeus murinus,age_mat,NA,vuln,NA
galeus nipponensis,age_mat,NA,vuln,NA
galeus piperatus,age_mat,NA,vuln,NA
galeus polli,age_mat,NA,vuln,NA
galeus priapus,age_mat,NA,vuln,NA
galeus sauteri,age_mat,NA,vuln,NA
galeus schultzi,age_mat,NA,vuln,NA
galeus springeri,age_mat,NA,vuln,NA
gurgesiella atlantica,age_mat,NA,vuln,NA
gurgesiella dorsalifera,age_mat,NA,vuln,NA
gurgesiella furvescens,age_mat,NA,vuln,NA
halaelurus boesemani,age_mat,NA,vuln,NA
halaelurus buergeri,age_mat,NA,vuln,NA
halaelurus lineatus,age_mat,NA,vuln,NA
halaelurus maculosus,age_mat,NA,vuln,NA
halaelurus natalensis,age_mat,NA,vuln,NA
halaelurus quagga,age_mat,NA,vuln,NA
halaelurus sellus,age_mat,NA,vuln,NA
haploblepharus edwardsii,age_mat,NA,vuln,NA
haploblepharus fuscus,age_mat,NA,vuln,NA
haploblepharus kistnasamyi,age_mat,NA,vuln,NA
haploblepharus pictus,age_mat,NA,vuln,NA
hemitrygon akajei,age_mat,NA,vuln,NA
hemitrygon bennettii,age_mat,NA,vuln,NA
hemitrygon fluviorum,age_mat,NA,vuln,NA
hemitrygon izuensis,age_mat,NA,vuln,NA
hemitrygon laevigata,age_mat,NA,vuln,NA
hemitrygon longicauda,age_mat,NA,vuln,NA
hemitrygon navarrae,age_mat,NA,vuln,NA
hemitrygon parvonigra,age_mat,NA,vuln,NA
hemitrygon sinensis,age_mat,NA,vuln,NA
hemitrygon yemenensis,age_mat,NA,vuln,NA
himantura alcockii,age_mat,5-10yrs,vuln,NA
himantura australis,age_mat,5-10yrs,vuln,NA
himantura fava,age_mat,5-10yrs,vuln,NA
himantura fluviatilis,age_mat,5-10yrs,vuln,NA
himantura krempfi,age_mat,5-10yrs,vuln,NA
himantura leoparda,age_mat,5-10yrs,vuln,NA
himantura marginata,age_mat,5-10yrs,vuln,NA
himantura microphthalma,age_mat,5-10yrs,vuln,NA
himantura pareh,age_mat,5-10yrs,vuln,NA
himantura signifer,age_mat,5-10yrs,vuln,NA
himantura tutul,age_mat,5-10yrs,vuln,NA
himantura uarnak,age_mat,5-10yrs,vuln,NA
himantura undulata,age_mat,5-10yrs,vuln,NA
holohalaelurus favus,age_mat,NA,vuln,NA
holohalaelurus grennian,age_mat,NA,vuln,NA
holohalaelurus melanostigma,age_mat,NA,vuln,NA
holohalaelurus punctatus,age_mat,NA,vuln,NA
holohalaelurus regani,age_mat,NA,vuln,NA
hongeo koreanus,age_mat,5-10yrs,vuln,NA
hypanus americanus,age_mat,5-10yrs,vuln,NA
hypanus berthalutzae,age_mat,5-10yrs,vuln,NA
hypanus dipterurus,age_mat,5-10yrs,vuln,NA
hypanus guttatus,age_mat,5-10yrs,vuln,NA
hypanus longus,age_mat,5-10yrs,vuln,NA
hypanus marianae,age_mat,5-10yrs,vuln,NA
hypanus rudis,age_mat,5-10yrs,vuln,NA
hypanus sabinus,age_mat,5-10yrs,vuln,NA
hypanus say,age_mat,5-10yrs,vuln,NA
leucoraja caribbaea,age_mat,10-20yrs,vuln,NA
leucoraja circularis,age_mat,10-20yrs,vuln,NA
leucoraja compagnoi,age_mat,10-20yrs,vuln,NA
leucoraja elaineae,age_mat,10-20yrs,vuln,NA
leucoraja erinacea,age_mat,10-20yrs,vuln,NA
leucoraja fullonica,age_mat,10-20yrs,vuln,NA
leucoraja garmani,age_mat,10-20yrs,vuln,NA
leucoraja lentiginosa,age_mat,10-20yrs,vuln,NA
leucoraja leucosticta,age_mat,10-20yrs,vuln,NA
leucoraja melitensis,age_mat,10-20yrs,vuln,NA
leucoraja naevus,age_mat,10-20yrs,vuln,NA
leucoraja ocellata,age_mat,10-20yrs,vuln,NA
leucoraja pristispina,age_mat,10-20yrs,vuln,NA
leucoraja virginica,age_mat,10-20yrs,vuln,NA
leucoraja wallacei,age_mat,10-20yrs,vuln,NA
leucoraja yucatanensis,age_mat,10-20yrs,vuln,NA
maculabatis ambigua,age_mat,5-10yrs,vuln,NA
maculabatis arabica,age_mat,5-10yrs,vuln,NA
maculabatis astra,age_mat,5-10yrs,vuln,NA
maculabatis bineeshi,age_mat,5-10yrs,vuln,NA
maculabatis gerrardi,age_mat,5-10yrs,vuln,NA
maculabatis macrura,age_mat,5-10yrs,vuln,NA
maculabatis pastinacoides,age_mat,5-10yrs,vuln,NA
maculabatis randalli,age_mat,5-10yrs,vuln,NA
maculabatis toshi,age_mat,5-10yrs,vuln,NA
malacoraja kreffti,age_mat,5-10yrs,vuln,NA
malacoraja obscura,age_mat,5-10yrs,vuln,NA
malacoraja senta,age_mat,5-10yrs,vuln,NA
malacoraja spinacidermis,age_mat,5-10yrs,vuln,NA
neoraja africana,age_mat,5-10yrs,vuln,NA
neoraja caerulea,age_mat,5-10yrs,vuln,NA
neoraja carolinensis,age_mat,5-10yrs,vuln,NA
neoraja iberica,age_mat,5-10yrs,vuln,NA
neoraja stehmanni,age_mat,5-10yrs,vuln,NA
okamejei acutispina,age_mat,5-10yrs,vuln,NA
okamejei arafurensis,age_mat,5-10yrs,vuln,NA
okamejei boesemani,age_mat,5-10yrs,vuln,NA
okamejei cairae,age_mat,5-10yrs,vuln,NA
okamejei heemstrai,age_mat,5-10yrs,vuln,NA
okamejei hollandi,age_mat,5-10yrs,vuln,NA
okamejei kenojei,age_mat,5-10yrs,vuln,NA
okamejei leptoura,age_mat,5-10yrs,vuln,NA
okamejei meerdervoortii,age_mat,5-10yrs,vuln,NA
okamejei mengae,age_mat,5-10yrs,vuln,NA
okamejei ornata,age_mat,5-10yrs,vuln,NA
okamejei philipi,age_mat,5-10yrs,vuln,NA
okamejei schmidti,age_mat,5-10yrs,vuln,NA
orbiraja jensenae,age_mat,5-10yrs,vuln,NA
orbiraja powelli,age_mat,5-10yrs,vuln,NA
parmaturus albimarginatus,age_mat,NA,vuln,NA
parmaturus albipenis,age_mat,NA,vuln,NA
parmaturus angelae,age_mat,NA,vuln,NA
parmaturus bigus,age_mat,NA,vuln,NA
parmaturus campechiensis,age_mat,NA,vuln,NA
parmaturus lanatus,age_mat,NA,vuln,NA
parmaturus macmillani,age_mat,NA,vuln,NA
parmaturus melanobranchus,age_mat,NA,vuln,NA
parmaturus nigripalatum,age_mat,NA,vuln,NA
parmaturus pilosus,age_mat,NA,vuln,NA
parmaturus xaniurus,age_mat,NA,vuln,NA
pastinachus ater,age_mat,NA,vuln,NA
pastinachus gracilicaudus,age_mat,NA,vuln,NA
pastinachus sephen,age_mat,NA,vuln,NA
pastinachus solocirostris,age_mat,NA,vuln,NA
pastinachus stellurostris,age_mat,NA,vuln,NA
pateobatis bleekeri,age_mat,5-10yrs,vuln,NA
pateobatis fai,age_mat,5-10yrs,vuln,NA
pateobatis hortlei,age_mat,5-10yrs,vuln,NA
pateobatis jenkinsii,age_mat,5-10yrs,vuln,NA
pateobatis uarnacoides,age_mat,5-10yrs,vuln,NA
pentanchus profundicolus,age_mat,NA,vuln,NA
poroderma africanum,age_mat,10-20yrs,vuln,NA
poroderma pantherinum,age_mat,10-20yrs,vuln,NA
rajella annandalei,age_mat,NA,vuln,NA
rajella barnardi,age_mat,NA,vuln,NA
rajella bathyphila,age_mat,NA,vuln,NA
rajella bigelowi,age_mat,NA,vuln,NA
rajella caudaspinosa,age_mat,NA,vuln,NA
rajella challengeri,age_mat,NA,vuln,NA
rajella dissimilis,age_mat,NA,vuln,NA
rajella eisenhardti,age_mat,NA,vuln,NA
rajella fuliginea,age_mat,NA,vuln,NA
rajella fyllae,age_mat,NA,vuln,NA
rajella kukujevi,age_mat,NA,vuln,NA
rajella leoparda,age_mat,NA,vuln,NA
rajella leopardus,age_mat,NA,vuln,NA
rajella lintea,age_mat,NA,vuln,NA
rajella nigerrima,age_mat,NA,vuln,NA
rajella paucispinosa,age_mat,NA,vuln,NA
rajella purpuriventralis,age_mat,NA,vuln,NA
rajella ravidula,age_mat,NA,vuln,NA
rajella sadowskii,age_mat,NA,vuln,NA
rostroraja alba,age_mat,5-10yrs,vuln,NA
rostroraja eglanteria,age_mat,5-10yrs,vuln,NA
schroederichthys bivius,age_mat,NA,vuln,NA
schroederichthys chilensis,age_mat,NA,vuln,NA
schroederichthys maculatus,age_mat,NA,vuln,NA
schroederichthys saurisqualus,age_mat,NA,vuln,NA
schroederichthys tenuis,age_mat,NA,vuln,NA
scyliorhinus besnardi,age_mat,NA,vuln,NA
scyliorhinus boa,age_mat,NA,vuln,NA
scyliorhinus cabofriensis,age_mat,NA,vuln,NA
scyliorhinus canicula,age_mat,NA,vuln,NA
scyliorhinus capensis,age_mat,NA,vuln,NA
scyliorhinus cervigoni,age_mat,NA,vuln,NA
scyliorhinus comoroensis,age_mat,NA,vuln,NA
scyliorhinus duhamelii,age_mat,NA,vuln,NA
scyliorhinus garmani,age_mat,NA,vuln,NA
scyliorhinus haeckelii,age_mat,NA,vuln,NA
scyliorhinus hesperius,age_mat,NA,vuln,NA
scyliorhinus meadi,age_mat,NA,vuln,NA
scyliorhinus retifer,age_mat,NA,vuln,NA
scyliorhinus stellaris,age_mat,NA,vuln,NA
scyliorhinus tokubee,age_mat,NA,vuln,NA
scyliorhinus torazame,age_mat,NA,vuln,NA
scyliorhinus torrei,age_mat,NA,vuln,NA
scyliorhinus ugoi,age_mat,NA,vuln,NA
telatrygon acutirostra,age_mat,NA,vuln,NA
telatrygon biasa,age_mat,NA,vuln,NA
telatrygon crozieri,age_mat,NA,vuln,NA
telatrygon zugei,age_mat,NA,vuln,NA
urogymnus acanthobothrium,age_mat,5-10yrs,vuln,NA
urogymnus asperrimus,age_mat,5-10yrs,vuln,NA
urogymnus dalyensis,age_mat,5-10yrs,vuln,NA
urogymnus granulatus,age_mat,5-10yrs,vuln,NA
urogymnus lobistoma,age_mat,5-10yrs,vuln,NA
urogymnus polylepis,age_mat,5-10yrs,vuln,NA
urogymnus ukpam,age_mat,5-10yrs,vuln,NA
zearaja chilensis,age_mat,5-10yrs,vuln,NA
zearaja nasuta,age_mat,5-10yrs,vuln,NA
anchoa analis,age_mat,<1yr,vuln,NA
anchoa argentivittata,age_mat,<1yr,vuln,NA
anchoa cayorum,age_mat,<1yr,vuln,NA
anchoa chamensis,age_mat,<1yr,vuln,NA
anchoa choerostoma,age_mat,<1yr,vuln,NA
anchoa colonensis,age_mat,<1yr,vuln,NA
anchoa compressa,age_mat,<1yr,vuln,NA
anchoa cubana,age_mat,<1yr,vuln,NA
anchoa curta,age_mat,<1yr,vuln,NA
anchoa delicatissima,age_mat,<1yr,vuln,NA
anchoa eigenmannia,age_mat,<1yr,vuln,NA
anchoa exigua,age_mat,<1yr,vuln,NA
anchoa filifera,age_mat,<1yr,vuln,NA
anchoa helleri,age_mat,<1yr,vuln,NA
anchoa hepsetus,age_mat,<1yr,vuln,NA
anchoa ischana,age_mat,<1yr,vuln,NA
anchoa januaria,age_mat,<1yr,vuln,NA
anchoa lamprotaenia,age_mat,<1yr,vuln,NA
anchoa lucida,age_mat,<1yr,vuln,NA
anchoa lyolepis,age_mat,<1yr,vuln,NA
anchoa marinii,age_mat,<1yr,vuln,NA
anchoa mitchilli,age_mat,<1yr,vuln,NA
anchoa mundeola,age_mat,<1yr,vuln,NA
anchoa mundeoloides,age_mat,<1yr,vuln,NA
anchoa nasus,age_mat,<1yr,vuln,NA
anchoa panamensis,age_mat,<1yr,vuln,NA
anchoa parva,age_mat,<1yr,vuln,NA
anchoa pectoralis,age_mat,<1yr,vuln,NA
anchoa scofieldi,age_mat,<1yr,vuln,NA
anchoa spinifer,age_mat,<1yr,vuln,NA
anchoa starksi,age_mat,<1yr,vuln,NA
anchoa tricolor,age_mat,<1yr,vuln,NA
anchoa trinitatis,age_mat,<1yr,vuln,NA
anchoa walkeri,age_mat,<1yr,vuln,NA
anchoviella balboae,age_mat,<1yr,vuln,NA
anchoviella blackburni,age_mat,<1yr,vuln,NA
anchoviella brevirostris,age_mat,<1yr,vuln,NA
anchoviella cayennensis,age_mat,<1yr,vuln,NA
anchoviella elongata,age_mat,<1yr,vuln,NA
anchoviella guianensis,age_mat,<1yr,vuln,NA
anchoviella hernanni,age_mat,<1yr,vuln,NA
anchoviella juruasanga,age_mat,<1yr,vuln,NA
anchoviella lepidentostole,age_mat,<1yr,vuln,NA
anchoviella manamensis,age_mat,<1yr,vuln,NA
anchoviella miarcha,age_mat,<1yr,vuln,NA
anchoviella nattereri,age_mat,<1yr,vuln,NA
anchoviella perezi,age_mat,<1yr,vuln,NA
anchoviella perfasciata,age_mat,<1yr,vuln,NA
anchoviella sanfranciscana,age_mat,<1yr,vuln,NA
cetengraulis edentulus,age_mat,<1yr,vuln,NA
cetengraulis mysticetus,age_mat,<1yr,vuln,NA
encrasicholina auster,age_mat,<1yr,vuln,NA
encrasicholina devisi,age_mat,<1yr,vuln,NA
encrasicholina gloria,age_mat,<1yr,vuln,NA
encrasicholina heteroloba,age_mat,<1yr,vuln,NA
encrasicholina integra,age_mat,<1yr,vuln,NA
encrasicholina intermedia,age_mat,<1yr,vuln,NA
encrasicholina macrocephala,age_mat,<1yr,vuln,NA
encrasicholina oligobranchus,age_mat,<1yr,vuln,NA
encrasicholina punctifer,age_mat,<1yr,vuln,NA
encrasicholina purpurea,age_mat,<1yr,vuln,NA
encrasicholina sigma,age_mat,<1yr,vuln,NA
engraulis albidus,age_mat,<1yr,vuln,NA
engraulis anchoita,age_mat,<1yr,vuln,NA
engraulis australis,age_mat,<1yr,vuln,NA
engraulis capensis,age_mat,<1yr,vuln,NA
engraulis encrasicolus,age_mat,<1yr,vuln,NA
engraulis eurystole,age_mat,<1yr,vuln,NA
engraulis japonicus,age_mat,<1yr,vuln,NA
engraulis mordax,age_mat,<1yr,vuln,NA
engraulis ringens,age_mat,<1yr,vuln,NA
lycengraulis batesii,age_mat,<1yr,vuln,NA
lycengraulis grossidens,age_mat,<1yr,vuln,NA
lycengraulis poeyi,age_mat,<1yr,vuln,NA
stolephorus acinaces,age_mat,<1yr,vuln,NA
stolephorus advenus,age_mat,<1yr,vuln,NA
stolephorus andhraensis,age_mat,<1yr,vuln,NA
stolephorus apiensis,age_mat,<1yr,vuln,NA
stolephorus babarani,age_mat,<1yr,vuln,NA
stolephorus baganensis,age_mat,<1yr,vuln,NA
stolephorus brachycephalus,age_mat,<1yr,vuln,NA
stolephorus carpentariae,age_mat,<1yr,vuln,NA
stolephorus chinensis,age_mat,<1yr,vuln,NA
stolephorus commersonnii,age_mat,<1yr,vuln,NA
stolephorus continentalis,age_mat,<1yr,vuln,NA
stolephorus dubiosus,age_mat,<1yr,vuln,NA
stolephorus holodon,age_mat,<1yr,vuln,NA
stolephorus indicus,age_mat,<1yr,vuln,NA
stolephorus insignus,age_mat,<1yr,vuln,NA
stolephorus insularis,age_mat,<1yr,vuln,NA
stolephorus multibranchus,age_mat,<1yr,vuln,NA
stolephorus nelsoni,age_mat,<1yr,vuln,NA
stolephorus pacificus,age_mat,<1yr,vuln,NA
stolephorus ronquilloi,age_mat,<1yr,vuln,NA
stolephorus shantungensis,age_mat,<1yr,vuln,NA
stolephorus tamilensis,age_mat,<1yr,vuln,NA
stolephorus teguhi,age_mat,<1yr,vuln,NA
stolephorus tri,age_mat,<1yr,vuln,NA
stolephorus waitei,age_mat,<1yr,vuln,NA
stolephorus zephyrus,age_mat,<1yr,vuln,NA
thryssa adelae,age_mat,<1yr,vuln,NA
thryssa aestuaria,age_mat,<1yr,vuln,NA
thryssa baelama,age_mat,<1yr,vuln,NA
thryssa belvedere,age_mat,<1yr,vuln,NA
thryssa brevicauda,age_mat,<1yr,vuln,NA
thryssa chefuensis,age_mat,<1yr,vuln,NA
thryssa cultella,age_mat,<1yr,vuln,NA
thryssa dayi,age_mat,<1yr,vuln,NA
thryssa dussumieri,age_mat,<1yr,vuln,NA
thryssa encrasicholoides,age_mat,<1yr,vuln,NA
thryssa gautamiensis,age_mat,<1yr,vuln,NA
thryssa hamiltonii,age_mat,<1yr,vuln,NA
thryssa kammalensis,age_mat,<1yr,vuln,NA
thryssa kammalensoides,age_mat,<1yr,vuln,NA
thryssa malabarica,age_mat,<1yr,vuln,NA
thryssa marasriae,age_mat,<1yr,vuln,NA
thryssa mystax,age_mat,<1yr,vuln,NA
thryssa polybranchialis,age_mat,<1yr,vuln,NA
thryssa purava,age_mat,<1yr,vuln,NA
thryssa scratchleyi,age_mat,<1yr,vuln,NA
thryssa serena,age_mat,<1yr,vuln,NA
thryssa setirostris,age_mat,<1yr,vuln,NA
thryssa spinidens,age_mat,<1yr,vuln,NA
thryssa stenosoma,age_mat,<1yr,vuln,NA
thryssa vitrirostris,age_mat,<1yr,vuln,NA
thryssa whiteheadi,age_mat,<1yr,vuln,NA
arctocephalus australis,age_mat,1-5yrs,vuln,NA
arctocephalus galapagoensis,age_mat,1-5yrs,vuln,NA
arctocephalus gazella,age_mat,1-5yrs,vuln,NA
arctocephalus philippii,age_mat,1-5yrs,vuln,NA
arctocephalus pusillus,age_mat,1-5yrs,vuln,NA
arctocephalus tropicalis,age_mat,1-5yrs,vuln,NA
callorhinus ursinus,age_mat,1-5yrs,vuln,NA
delphinus delphis,age_mat,10-20yrs,vuln,NA
delphinus capensis,age_mat,10-20yrs,vuln,NA
eumetopias jubatus,age_mat,1-5yrs,vuln,NA
globicephala macrorhynchus,age_mat,5-10yrs,vuln,NA
globicephala melas,age_mat,5-10yrs,vuln,NA
kogia sima,age_mat,10-20yrs,vuln,NA
lagenorhynchus albirostris,age_mat,5-10yrs,vuln,NA
lagenorhynchus australis,age_mat,5-10yrs,vuln,NA
lagenorhynchus cruciger,age_mat,5-10yrs,vuln,NA
lagenorhynchus obliquidens,age_mat,5-10yrs,vuln,NA
lagenorhynchus obscurus,age_mat,5-10yrs,vuln,NA
neophoca cinerea,age_mat,1-5yrs,vuln,NA
otaria byronia,age_mat,1-5yrs,vuln,NA
phocarctos hookeri,age_mat,1-5yrs,vuln,NA
zalophus californianus,age_mat,1-5yrs,vuln,NA
zalophus japonicus,age_mat,1-5yrs,vuln,NA
zalophus wollebaeki,age_mat,1-5yrs,vuln,NA
acrochordus arafurae,age_mat,1-5yrs,vuln,NA
acrochordus granulatus,age_mat,1-5yrs,vuln,NA
acrochordus javanicus,age_mat,1-5yrs,vuln,NA
chlidonias albostriatus,age_mat,1-5yrs,vuln,NA
chlidonias niger,age_mat,1-5yrs,vuln,NA
chroicocephalus genei,age_mat,1-5yrs,vuln,NA
creagrus furcatus,age_mat,1-5yrs,vuln,NA
gelochelidon nilotica,age_mat,1-5yrs,vuln,NA
hydrocoloeus minutus,age_mat,1-5yrs,vuln,NA
hydroprogne caspia,age_mat,1-5yrs,vuln,NA
larosterna inca,age_mat,1-5yrs,vuln,NA
larus argentatus,age_mat,1-5yrs,vuln,NA
larus atlanticus,age_mat,1-5yrs,vuln,NA
larus atricilla,age_mat,1-5yrs,vuln,NA
larus audouinii,age_mat,1-5yrs,vuln,NA
larus belcheri,age_mat,1-5yrs,vuln,NA
larus brunnicephalus,age_mat,1-5yrs,vuln,NA
larus cachinnans,age_mat,1-5yrs,vuln,NA
larus californicus,age_mat,1-5yrs,vuln,NA
larus canus,age_mat,1-5yrs,vuln,NA
larus cirrocephalus,age_mat,1-5yrs,vuln,NA
larus crassirostris,age_mat,1-5yrs,vuln,NA
larus delawarensis,age_mat,1-5yrs,vuln,NA
larus dominicanus,age_mat,1-5yrs,vuln,NA
larus fuliginosus,age_mat,1-5yrs,vuln,NA
larus fuscus,age_mat,1-5yrs,vuln,NA
larus glaucescens,age_mat,1-5yrs,vuln,NA
larus glaucoides,age_mat,1-5yrs,vuln,NA
larus hartlaubii,age_mat,1-5yrs,vuln,NA
larus heermanni,age_mat,1-5yrs,vuln,NA
larus hemprichii,age_mat,1-5yrs,vuln,NA
larus hyperboreus,age_mat,1-5yrs,vuln,NA
larus ichthyaetus,age_mat,1-5yrs,vuln,NA
larus leucophthalmus,age_mat,1-5yrs,vuln,NA
larus livens,age_mat,1-5yrs,vuln,NA
larus maculipennis,age_mat,1-5yrs,vuln,NA
